"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls"
"KHARCHENKO12","1061","Dutra-Bica 58",266.268,-28.848,0.0127,0.1483,"nan","nan","nan","dutrabica58","UCC G000.0+00.1","Q1P","nan","nan",2.9,False,48.0,True,"000",0.95,0.59,"AB",39.0,0.006,0.157,266.252,-28.854,0.425,-0.066,-0.387,"nan",0.0,3.0
"KHARCHENKO12;BICA19","1023;0","ESO 456 05;AL 2;Andrews-Lindsay 2;MWSC 2734",268.2709,-29.88878,0.0188,-1.8838,"nan","nan","nan","eso45605;al2;andrewslindsay2;mwsc2734","UCC G000.0-01.8","Q1N","nan","nan",5.4,False,36.0,True,"000",0.84,0.94,"AA",25.0,0.035,-1.888,268.264,-29.874,0.362,-0.279,-1.987,31.442,2.0,0.0
"BICA19","1","VVV 151;VVV-CL 151",267.82153,-29.65676,0.02,-1.43,"nan","nan","nan","vvv151;vvvcl151","UCC G000.0-01.4","Q1N","nan","nan",3.1,False,25.0,True,"000",0.3,0.67,"CB",0.0,0.02,-1.428,267.841,-29.652,0.174,-1.905,-4.303,"nan",0.0,1.0
"BICA19","2871","DB 1;Dutra-Bica 1",266.70606,-29.06133,0.03,-0.29,"nan","nan","nan","db1;dutrabica1","UCC G000.0-00.2","Q1N","nan","nan",1.8,False,25.0,True,"000",0.64,0.27,"BC",0.0,0.044,-0.288,266.714,-29.057,0.398,-1.338,-2.951,24.157,4.0,6.0
"BICA19","3488","FSR 0001;MWSC 2622",263.09679,-27.06227,0.03,3.47,"nan","nan","nan","fsr0001;mwsc2622","UCC G000.0+03.4","Q1P","nan","nan",6.7,False,66.0,True,"000",0.11,0.49,"DC",27.0,0.012,3.447,263.075,-27.086,0.039,-4.449,-2.012,-33.841,1.0,0.0
"KHARCHENKO12;BICA19","1098;3489","FSR 0002;MWSC 2623",263.13512,-27.06842,0.0434,3.438,"nan","nan","nan","fsr0002;mwsc2623","UCC G000.0+03.4a","Q1P","nan","nan",8.9,False,38.0,True,"100",0.31,0.45,"CC",11.0,0.003,3.349,263.194,-27.156,-0.001,-4.577,-8.487,152.912,1.0,0.0
"BICA19","2","Ryu 152",264.37026,-27.76323,0.05,2.14,"nan","nan","nan","ryu152","UCC G000.0+02.1","Q1P","nan","nan",1.1,False,28.0,True,"000",0.36,0.33,"CC",10.0,0.043,2.136,264.371,-27.769,0.074,-3.193,-5.841,-82.741,1.0,0.0
"BICA19","3","Ryu 537",261.73039,-26.18957,0.09,4.97,"nan","nan","nan","ryu537","UCC G000.0+04.9","Q1P","nan","nan",1.1,False,25.0,True,"000",0.44,0.26,"CC",0.0,0.093,4.967,261.734,-26.191,0.103,-3.198,-4.489,70.147,2.0,0.0
"BICA19","4","Ryu 153",266.51323,-28.87683,0.1,-0.05,"nan","nan","nan","ryu153","UCC G000.1+00.0","Q1P","nan","nan",2.7,False,38.0,True,"000",0.18,0.28,"DC",23.0,0.083,-0.09,266.538,-28.907,0.528,-0.927,-2.242,13.288,3.0,1.0
"BICA19","3250","DB 2;Dutra-Bica 2",266.99821,-29.12234,0.11,-0.54,"nan","nan","nan","db2;dutrabica2","UCC G000.1-00.5","Q1N","nan","nan",3.0,False,25.0,True,"000",0.15,0.23,"DD",0.0,0.097,-0.541,266.987,-29.125,0.454,-0.62,-0.689,-24.184,2.0,7.0
"BICA19","2872","VVV 142;VVV-CL 142",266.13958,-28.66487,0.11,0.34,"nan","nan","nan","vvv142;vvvcl142","UCC G000.1+00.3","Q1P","nan","nan",4.4,False,36.0,True,"000",0.32,0.41,"CC",28.0,0.138,0.358,266.124,-28.636,0.54,0.023,-1.556,-23.556,1.0,2.0
"BICA19","5","Ryu 538",262.1084,-26.36593,0.13,4.59,"nan","nan","nan","ryu538","UCC G000.1+04.5","Q1P","nan","nan",3.4,False,116.0,True,"000",0.64,0.25,"BD",94.0,0.116,4.568,262.119,-26.385,0.091,-2.816,-5.585,-40.242,1.0,0.0
"BICA19","3251","DB 29;Dutra-Bica 29",265.5571,-28.31384,0.14,0.96,"nan","nan","nan","db29;dutrabica29","UCC G000.1+00.9","Q1P","nan","nan",4.3,False,45.0,True,"000",0.44,0.59,"CB",16.0,0.152,0.971,265.538,-28.293,0.384,-2.763,-3.968,-7.585,1.0,2.0
"KHARCHENKO12;BICA19","1048;6","Ruprecht 131;OCL 2;ESO 455 45;MWSC 2706",267.30518,-29.24316,0.1447,-0.8319,"nan","nan","nan","ruprecht131;ocl2;eso45545;mwsc2706","UCC G000.1-00.8","Q1N","nan","nan",2.2,False,25.0,True,"000",0.1,0.28,"DC",0.0,0.139,-0.825,267.302,-29.256,0.384,-1.068,-1.962,"nan",0.0,5.0
"BICA19","2873","VVV 146;VVV-CL 146",266.50394,-28.81332,0.15,-0.01,"nan","nan","nan","vvv146;vvvcl146","UCC G000.1+00.0a","Q1P","nan","nan",8.1,False,31.0,True,"100",0.4,0.41,"CC",10.0,0.169,-0.107,266.605,-28.825,0.523,-0.666,-2.038,-34.396,5.0,3.0
"BICA19","7","Ryu 539",261.56929,-26.00977,0.16,5.19,"nan","nan","nan","ryu539","UCC G000.1+05.1","Q1P","nan","nan",1.2,False,25.0,True,"000",0.17,0.27,"DC",0.0,0.154,5.199,261.554,-26.014,0.16,-2.92,-5.006,"nan",0.0,0.0
"CASTRO22","0","UBC 1001",267.36,-29.23,0.1806,-0.8662,0.37,0.42,-1.94,"ubc1001","UCC G000.1-00.8a","Q1N","nan","nan",7.1,False,113.0,False,"000",0.97,1.0,"AA",67.0,0.164,-0.901,267.375,-29.261,0.368,0.438,-1.939,-31.398,3.0,41.0
"BICA19","8","Ryu 540",271.19839,-31.11075,0.21,-4.68,"nan","nan","nan","ryu540","UCC G000.2-04.6","Q1N","nan","nan",1.4,False,50.0,True,"000",0.26,0.34,"CC",23.0,0.211,-4.675,271.193,-31.114,0.261,-0.291,-4.335,-15.48,4.0,0.0
"CASTRO22","592","UBC 1593",267.03,-29.01,0.2206,-0.5058,0.58,0.57,-1.43,"ubc1593","UCC G000.2-00.5","Q1N","casado7;cwwdl7654","0.78;0.62",6.4,False,117.0,False,"000",0.95,0.97,"AA",73.0,0.2,-0.504,267.017,-29.019,0.566,0.593,-1.397,"nan",0.0,46.0
"CASADO21;HUNT23","5;1285","Casado 7",267.03259,-28.99749,0.2324,-0.5012,0.572,0.527,-1.455,"casado7","UCC G000.2-00.5a","Q1N","ubc1593;cwwdl7654","0.78;0.66",5.1,False,93.0,False,"000",0.82,0.79,"AA",72.0,0.207,-0.507,267.023,-29.018,0.563,0.58,-1.409,"nan",0.0,8.0
"CHI23_3","450","CWWDL 7654",267.0515,-28.9924,0.2453,-0.5128,0.578,0.51,-1.354,"cwwdl7654","UCC G000.2-00.5b","Q1N","ubc1593;casado7","0.62;0.66",4.7,False,64.0,False,"000",0.72,0.8,"BA",51.0,0.211,-0.508,267.026,-29.019,0.564,0.59,-1.406,"nan",0.0,8.0
"BICA19","9","Cmg 451",265.83168,-28.32228,0.26,0.75,"nan","nan","nan","cmg451","UCC G000.2+00.7","Q1P","nan","nan",3.5,False,25.0,True,"000",0.29,0.49,"CC",0.0,0.241,0.748,265.834,-28.333,0.404,-1.607,-1.637,-12.194,2.0,2.0
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;HUNT23","1032;10;1125;1001;4969","Ruprecht 134;OCL 4;VDBH 252;vdBergh-Hagen 252;ESO 456 01;MWSC 2730",268.184,-29.537,0.2837,-1.6402,0.391,-1.653,-2.432,"ruprecht134;ocl4;vdbh252;vdberghhagen252;eso45601;mwsc2730","UCC G000.2-01.6","Q1N","nan","nan",3.9,False,306.0,False,"000",1.0,1.0,"AA",286.0,0.285,-1.638,268.181,-29.533,0.398,-1.605,-2.447,-41.872,14.0,4.0
"FERREIRA21;HUNT23","25;6067","UFMG 88",268.20394,-29.47872,0.3427,-1.6256,0.619,2.044,-1.617,"ufmg88","UCC G000.3-01.6","Q1N","nan","nan",5.4,False,28.0,True,"000",1.0,0.92,"AA",28.0,0.361,-1.643,268.241,-29.492,0.64,2.111,-1.701,-26.93,4.0,8.0
"BICA19","11","Ryu 541",267.02841,-28.8463,0.36,-0.42,"nan","nan","nan","ryu541","UCC G000.3-00.4","Q1N","nan","nan",1.4,False,51.0,True,"000",0.21,0.27,"DC",43.0,0.353,-0.416,267.027,-28.854,0.418,-0.521,-1.666,-42.766,2.0,0.0
"BICA19","3252","DB 18;Dutra-Bica 18;MWSC 2665",265.71013,-28.11509,0.38,0.95,"nan","nan","nan","db18;dutrabica18;mwsc2665","UCC G000.3+00.9","Q1P","nan","nan",4.1,False,42.0,True,"000",0.16,0.53,"DB",10.0,0.382,0.967,265.685,-28.107,0.276,-2.579,-4.27,-15.477,1.0,4.0
"QIN23","0","OCSN 1",260.16,-24.86,0.4053,6.8877,6.73,-4.75,-21.64,"ocsn1","UCC G000.4+06.8","Q1P","nan","nan",81.8,False,75.0,True,"100",1.0,0.49,"AC",66.0,-0.045,6.883,259.831,-25.003,6.752,-4.676,-21.668,-3.501,33.0,313.0
"BICA19","3478","Schmitz J1808.6-3116",272.16382,-31.2688,0.47,-5.48,"nan","nan","nan","schmitzj180863116","UCC G000.4-05.4","Q1N","nan","nan",2.1,False,25.0,True,"000",0.29,0.63,"CB",0.0,0.465,-5.485,272.177,-31.276,0.187,-4.084,-6.193,"nan",0.0,0.0
"HUNT23","1787","HSC 2",268.62743,-29.53106,0.4843,-1.9699,0.634,1.68,-1.182,"hsc2","UCC G000.4-01.9","Q1N","nan","nan",6.3,False,33.0,True,"000",0.88,0.63,"AB",25.0,0.473,-1.962,268.603,-29.524,0.623,1.677,-1.174,"nan",0.0,10.0
