"fname","plot_used","process","N_clust","N_clust_max","N_box","frame_limit","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","e_Plx_m","pmRA_m","e_pmRA_m","pmDE_m","e_pmDE_m","Rv_m","e_Rv_m","N_Rv","X_GC","Y_GC","Z_GC","R_GC","shared_members","shared_members_p","C_N","C_dens","C_C3","C_lit","C_dup","C_dup_same_db","UTI","bad_oc"
"ads12696","y","n","nan","nan","nan","nan",6.7,0.35,0.38,"DC",11.0,64.00852,3.9749,294.31735,29.33689,0.1604,0.0602,-2.4837,0.0497,-4.7159,0.0588,-16.9973,6.2687,3.0,-5.698,4.9708,0.3987,7.5719,"nan","nan",0.0,0.01,0.12,0.0,1.0,1.0,0.03,"y"
"ads13292","y","n","nan","nan","nan","nan",1.0,0.98,0.53,"AB",83.0,71.86015,2.4244,300.59778,35.31288,0.5153,0.09336,-3.3527,0.10483,-6.7129,0.11056,-5.66374,10.44271,2.0,-7.5407,1.7737,0.0984,7.7472,"teutsch8","24.1",0.66,1.0,0.75,0.0,0.76,1.0,0.37,"n"
"ads16795","y","n","nan","nan","nan","nan",88.7,0.46,0.49,"CC",25.0,111.87712,-2.57522,351.3901,58.44167,4.4213,0.0693,19.1632,0.0732,2.1681,0.0701,-12.6819,1.43185,4.0,-8.2058,0.2087,0.0109,8.2085,"nan","nan",0.25,0.15,0.25,0.25,1.0,1.0,0.23,"y"
"ah03j0822364","y","n","nan","nan","nan","nan",6.7,0.35,0.34,"DC",11.0,254.97634,0.33739,125.54654,-36.37083,0.2452,0.0647,-2.9466,0.0599,3.4633,0.0799,"nan","nan",0.0,-9.1009,-3.6414,0.0459,9.8024,"nan","nan",0.0,0.03,0.12,0.31,1.0,1.0,0.16,"y"
"ah03j1725344","y","n","nan","nan","nan","nan",3.8,1.0,0.63,"AB",236.0,353.10208,0.6297,261.39383,-34.39988,0.5585,0.0976,-0.996,0.11305,-2.3792,0.0813,6.81885,8.1844,18.0,-6.4059,-0.2077,0.0356,6.4094,"pismis24;oc0688","31.4;11.0",0.8,1.0,0.75,0.0,1.0,0.69,0.51,"n"
"ah03j2011p267","y","n","nan","nan","nan","nan",3.7,0.4,0.42,"AA",20.0,65.60612,-3.93192,302.92289,26.61667,0.6012,0.0371,-3.1955,0.0261,-5.662,0.0364,-29.05855,19.7595,2.0,-7.459,1.4626,-0.0914,7.6016,"gulliver18","100.0",0.0,1.0,1.0,0.0,1.0,1.0,0.4,"n"
"alessi1","y","n","nan","nan","nan","nan",14.6,1.0,0.82,"AA",99.0,123.24945,-13.31786,13.33616,49.55139,1.4108,0.0302,6.4839,0.0278,-6.3911,0.0248,-4.2843,2.6286,51.0,-8.4953,0.5688,-0.1393,8.5154,"nan","nan",0.74,1.0,1.0,1.0,1.0,1.0,0.95,"n"
"alessi10","y","n","nan","nan","nan","nan",24.5,1.0,0.9,"AA",192.0,31.6103,-21.06766,301.2536,-10.54576,2.2566,0.11955,1.4759,0.1256,-7.8836,0.0848,-15.4419,3.1839,40.0,-7.7733,0.2149,-0.138,7.7775,"cwwdl14542","29.7",0.78,1.0,1.0,1.0,1.0,1.0,0.96,"n"
"alessi11","y","n","nan","nan","nan","nan",7.6,0.4,0.31,"DC",12.0,59.82984,-10.29233,305.29954,18.37571,0.2725,0.1182,-3.3193,0.1224,-5.3186,0.1078,-39.6815,4.1339,1.0,-6.4351,2.9093,-0.5943,7.0871,"nan","nan",0.0,0.04,0.12,0.0,1.0,1.0,0.03,"y"
"alessi116","y","n","nan","nan","nan","nan",15.1,1.0,0.81,"AA",90.0,64.02746,-13.12233,310.21266,20.16338,1.0756,0.0194,-6.2856,0.01835,-9.2956,0.0183,24.381,3.5795,51.0,-7.7336,0.7994,-0.1871,7.7771,"upk84;cwwdl14281;ubc131","100.0;61.1;34.4",0.7,1.0,1.0,0.38,1.0,1.0,0.69,"n"
"alessi12","y","n","nan","nan","nan","nan",29.6,1.0,0.98,"AA",303.0,67.44184,-11.49676,310.88335,23.78644,1.8379,0.0463,4.3168,0.043,-4.7015,0.0443,1.6587,4.1202,101.0,-7.9197,0.4871,-0.0867,7.9352,"nan","nan",0.83,1.0,1.0,1.0,1.0,1.0,0.97,"n"
"alessi129","y","n","nan","nan","nan","nan",4.9,0.67,0.45,"CC",19.0,200.94896,7.1814,103.89154,13.90337,0.1766,0.0668,-0.1861,0.0712,-0.6226,0.0585,61.9502,3.41365,4.0,-12.833,-1.8048,0.6693,12.9766,"nan","nan",0.0,0.06,0.25,0.0,1.0,1.0,0.06,"y"
"alessi13","y","n",100.0,"nan","nan","nan",167.3,0.99,1.0,"AA",100.0,237.21791,-55.71016,51.9803,-35.66006,9.4652,0.02955,36.0433,0.0257,-4.5204,0.03475,17.41965,3.32815,48.0,-8.1543,-0.0499,-0.0663,8.1547,"nan","nan",0.75,0.76,1.0,1.0,1.0,1.0,0.9,"n"
"alessi135","y","n","nan","nan","nan","nan",4.7,0.82,0.46,"CB",26.0,182.08832,-0.22105,87.41182,27.03902,1.0476,0.0334,-0.3448,0.0384,-1.0326,0.0238,-3.70055,8.6901,6.0,-9.058,-0.0341,0.0196,9.0581,"coingaia23;majaess65;cwwdl14154","100.0;100.0;96.2",0.26,1.0,0.38,0.0,0.0,1.0,0.0,"n"
