"fnames","Names"
"ads12696","ADS 12696"
"ads13292","ADS 13292"
"ads16795;arcas","ADS 16795;AR Cas"
"afgl333","AFGL333"
"afgl4029","AFGL4029"
"afgl437","AFGL437"
"afgl490","AFGL490"
"afgl5066","AFGL5066"
"afgl5085","AFGL5085"
"afgl5142","AFGL5142"
"afgl5173","AFGL5173"
"afgl5180","AFGL5180"
"afgl5182","AFGL5182"
"afgl6366n","AFGL6366-N"
"afgl6366s","AFGL6366-S"
"afgl961","AFGL961"
"ah03j0822364;mwsc1477","AH03 J0822 36.4;MWSC 1477"
"ah03j1725344;bdsb100;bds2003100","AH03 J1725 34.4;BDSB 100;BDS2003 100"
"ah03j2011p267;mwsc3281","AH03 J2011+26.7;MWSC 3281"
"ah20031;bdb2003g04317p0000","AH2003 1;BDB2003 G043.17+00.00"
"ah20032","AH2003 2"
"ah20033;4;bdb2003g04315p0002","AH2003 3;4;BDB2003 G043.15+00.02"
"alessi1;mwsc88;casadoalessi1;ca1;ledrew1","Alessi 1;MWSC 88;Casado Alessi 1;CA 1;LeDrew 1"
"alessi10;mwsc3242;ledrew3;ocsn140","Alessi 10;MWSC 3242;LeDrew 3;OCSN 140"
"alessi11;mwsc3321","Alessi 11;MWSC 3321"
"alessi116","Alessi 116"
"alessi12;mwsc3404;ledrew2;fof2391","Alessi 12;MWSC 3404;LeDrew 2;FoF 2391"
"alessi129","Alessi 129"
"alessi13;mwsc278;chiforgroup;harrington2;slotegraaf3;ramakers26","Alessi 13;MWSC 278;Chi For Group;Harrington 2;Slotegraaf 3;Ramakers 26"
"alessi135","Alessi 135"
"alessi14;mwsc885","Alessi 14;MWSC 885"
"alessi144","Alessi 144"
"alessi145;ubc13","Alessi 145;UBC 13"
"alessi146","Alessi 146"
"alessi147","Alessi 147"
"alessi15;mwsc964;dshj06430p0140","Alessi 15;MWSC 964;DSH J0643.0+0140"
"alessi158","Alessi 158"
"alessi16;mwsc968","Alessi 16;MWSC 968"
"alessi161;ubc3","Alessi 161;UBC 3"
"alessi162","Alessi 162"
"alessi165;at17;alessiteutsch17;hd67425group","Alessi 165;AT 17;Alessi-Teutsch 17;HD 67425 Group"
"alessi167","Alessi 167"
"alessi168","Alessi 168"
"alessi169","Alessi 169"
"alessi17;mwsc1271","Alessi 17;MWSC 1271"
"alessi170","Alessi 170"
"alessi173","Alessi 173"
"alessi175","Alessi 175"
"alessi176","Alessi 176"
"alessi177","Alessi 177"
"alessi179;hd66271group","Alessi 179;HD 66271 Group"
"alessi18;mwsc1284;dshj073712623","Alessi 18;MWSC 1284;DSH J0737.1-2623"
"alessi180","Alessi 180"
"alessi181","Alessi 181"
"alessi183","Alessi 183"
"alessi184","Alessi 184"
"alessi186","Alessi 186"
"alessi187","Alessi 187"
"alessi188","Alessi 188"
"alessi189","Alessi 189"
