"n_Name","Name","r_Name","RAJ2000","DEJ2000","E(B-V)","log(Age)","ApDiam","Nstars","u_Nstars","NBS","RA","DEC"
"*","Berkeley 58",322,"00 00.2","+60 58",0.55,8.4,5.0,30,"nan",0,0.05,60.96667
"nan","Berkeley 104",15,"00 03.5","+63 35",0.45,8.89,3.0,30,"nan",9,0.875,63.58333
"nan","Blanco 1",110,"00 04.1","-29 50",0.01,7.8,70.0,10,"nan",1,1.025,-29.83333
"nan","Berkeley 60",15,"00 17.7","+60 56",0.86,8.2,3.0,45,"nan",2,4.425,60.93333
"*","NGC 103",164,"00 25.2","+61 19",0.41,8.13,5.0,7,"nan",0,6.3,61.31667
"nan","NGC 129",181,"00 30.0","+60 13",0.55,7.89,12.0,25,"nan",1,7.5,60.21667
"nan","NGC 133",56,"00 31.3","+63 21",0.6,7.0,3.0,4,"nan",0,7.825,63.35
"*","NGC 136",164,"00 31.5","+61 31",0.56,8.3,1.5,10,"nan",0,7.875,61.51667
"nan","King 14",164,"00 31.9","+63 10",0.41,7.92,7.0,10,"nan",0,7.975,63.16667
"nan","King 15",322,"00 32.9","+61 52",0.7,8.4,3.0,20,"nan",3,8.225,61.86667
"nan","NGC 146",322,"00 33.0","+63 18",0.48,7.82,5.0,15,"nan",0,8.25,63.3
"*","Stock 24",322,"00 39.7","+61 57",0.5,8.08,5.0,17,"nan",0,9.925,61.95
"nan","NGC 225",332,"00 43.6","+61 46",0.27,8.11,15.0,10,"nan",0,10.9,61.76667
"nan","NGC 188",346,"00 47.5","+85 15",0.08,9.63,15.0,185,"nan",24,11.875,85.25
"nan","King 2",21,"00 51.0","+58 11",0.31,9.78,4.0,250,"nan",30,12.75,58.18333
"*","Berkeley 62",322,"01 01.0","+63 57",0.85,7.19,6.0,22,"nan",0,15.25,63.95
"*","NGC 366",322,"01 06.4","+62 14",1.26,7.41,4.0,20,"nan",0,16.6,62.23333
"*","NGC 381",91,"01 08.3","+61 35",0.4,8.51,7.0,20,"nan",0,17.075,61.58333
"*","NGC 433",322,"01 15.2","+60 08",0.86,7.5,4.0,10,"nan",0,18.8,60.13333
"nan","NGC 436",322,"01 16.0","+58 49",0.46,7.93,5.0,16,"nan",2,19.0,58.81667
"*","NGC 457",181,"01 19.6","+58 17",0.47,7.32,20.0,15,"nan",1,19.9,58.28333
"nan","NGC 559",251,"01 29.5","+63 18",0.79,7.75,7.0,6,"nan",1,22.375,63.3
"nan","NGC 581",322,"01 33.4","+60 39",0.38,7.34,6.0,15,"nan",0,23.35,60.65
"nan","Trumpler 1",203,"01 35.6","+61 17",0.58,7.48,3.0,10,"nan",0,23.9,61.28333
"nan","NGC 637",186,"01 43.1","+64 02",0.63,6.98,3.0,7,"nan",0,25.775,64.03333
"*","NGC 654",316,"01 44.0","+61 53",0.87,7.15,6.0,15,"nan",0,26.0,61.88333
"nan","NGC 659",322,"01 44.4","+60 40",0.65,7.55,6.0,15,"nan",0,26.1,60.66667
"nan","NGC 663",290,"01 46.2","+61 14",0.78,7.21,15.0,25,"nan",0,26.55,61.23333
"nan","Collinder 463",388,"01 48.4","+71 57",0.26,8.37,30.0,25,"nan",0,27.1,71.95
