"Name","l","b","alpha2000","delta2000","Diam","d_pc","(m-M)0","E(B-V)","logt","Diam(pc)","Disp","pmra","pmde","sigma","Nc","RA_ICRS","DE_ICRS"
"Alessi 1",123.2,-13.3,"00 53 00.0","+49 33.0",54,"nan","nan","nan","nan","nan","nan",6.7,-7.8,1.7,28,13.25,49.55
"Alessi 2",152.3,6.4,"04 46 24.0","+55 15.0",36,500.0,8.5,0.18,8.5,5.2,6.6,0.2,-1.1,2.8,23,71.6,55.25
"Alessi 3",257.8,-15.4,"07 16 24.0","-46 36.0",72,290.0,7.3,0.11,8.7,6.1,2.9,-11.5,12.4,2.1,22,109.1,-46.6
"Alessi 5",288.1,-2.1,"10 42 54.0","-61 12.0",36,400.0,8.0,0.15,7.6,4.2,4.2,-14.3,4.4,2.2,13,160.725,-61.2
"Alessi 6",313.6,-5.6,"14 40 12.0","-66 10.5",36,440.0,8.2,0.19,8.2,4.6,7.0,-7.3,-4.3,3.4,18,220.05,-66.175
"Alessi 8",326.5,4.3,"15 29 30.0","-51 12.5",24,570.0,8.8,0.09,8.15,4.0,4.6,-6.1,-5.8,1.7,22,232.375,-51.20833
"Alessi 9",344.3,-9.1,"17 44 00.0","-47 00.0",144,190.0,6.45,0.07,8.4,8.0,1.1,10.9,-9.7,1.3,21,266.0,-47.0
"Alessi 10",31.6,-21.0,"20 04 48.0","-10 31.5",36,380.0,7.9,0.18,"nan",4.0,2.0,2.3,-8.6,1.1,17,301.2,-10.525
"Alessi 11",59.9,-10.3,"20 21 12.0","+18 24.0",28,"nan","nan","nan","nan","nan","nan",-0.3,-9.6,4.4,12,305.3,18.4
"Alessi 12",67.4,-11.4,"20 43 18.6","+23 46.5",64,540.0,8.65,0.08,8.1,10.1,3.5,4.3,-5.3,1.4,28,310.8275,23.775
"Alessi 19",40.1,12.7,"18 18 24.0","+12 01.5",84,550.0,8.7,0.03,8.2,13.4,4.1,0.4,-6.6,1.6,18,274.6,12.025
