"Name","Rc","e_Rc","E_Rc","Rk","e_Rk","E_Rk","MassRk","e_MassRk","Mflag","Pflag","Rflag","RA_ICRS","DE_ICRS","logAge","e_logAge","Dist","e_Dist","AV","e_AV","c","e_c","E_c","n0","e_n0","E_n0","Sample"
"ASCC_10",1.8,-0.09,0.1,51.98,-23.24,30.05,145.6,6.1,"2",1,4,51.8737,35.0113,8.178,0.155,643,30,0.82,0.11,0.0268,-0.0049,0.0084,1.47,-0.06,0.09,0
"ASCC_101",0.69,-0.06,0.07,50.91,-30.68,32.62,97.1,5.8,"2",1,4,288.419,36.3653,8.521,0.162,397,1,0.152,0.071,0.1037,-0.057,0.0826,8.93,-0.55,0.64,0
"ASCC_105",5.49,-1.45,1.05,7.69,-0.95,2.59,144.0,5.6,"2",1,2,295.6291,27.3637,8.328,0.138,545,8,0.45,0.039,0.0541,-0.0225,0.03,9.24,-5.28,5.7,1
"ASCC_107",1.15,-0.08,0.09,48.34,-28.69,33.87,201.9,6.9,"2",1,4,297.1623,22.0071,7.44,0.121,864,30,1.372,0.129,0.0639,-0.031,0.0521,4.09,-0.19,0.29,0
"ASCC_108",9.13,-2.34,2.72,16.5,-2.76,8.92,470.2,9.6,"2",1,1,298.3162,39.3132,8.334,0.108,1138,31,0.464,0.071,0.0339,-0.0096,0.0131,3.01,-1.52,3.45,1
"ASCC_11",1.84,-0.05,0.05,23.13,-3.7,5.03,692.2,13.6,"2",1,2,53.0779,44.8787,8.66,0.063,849,20,0.917,0.075,0.0386,-0.0129,0.0187,8.91,-0.27,0.3,1
"ASCC_110",4.61,-1.59,1.68,8.96,-1.97,10.27,250.7,12.3,"2",2,1,300.7723,33.5487,8.795,0.084,1583,143,1.228,0.122,0.0313,-0.0083,0.0149,2.55,-1.5,3.39,1
"ASCC_111",4.35,-1.35,2.28,11.87,-3.62,25.82,268.0,8.3,"2",1,1,302.7576,37.4883,8.507,0.209,819,18,0.605,0.084,0.0414,-0.0149,0.0224,3.31,-1.52,6.59,1
"ASCC_113",6.47,-2.7,1.97,36.62,-24.61,41.14,155.8,6.2,"2",1,4,318.0929,38.5861,8.455,0.226,559,9,0.279,0.132,0.1759,-0.1043,0.1191,0.45,-0.29,0.63,0
"ASCC_114",3.9,-1.51,1.4,7.05,-1.57,19.48,428.8,12.8,"2",1,3,324.979,53.999,7.632,0.271,911,12,1.216,0.091,0.1938,-0.1232,0.1952,16.75,-11.52,19.11,0
"ASCC_115",0.81,-0.16,0.19,51.53,-32.22,32.31,101.8,5.8,"2",1,4,329.3149,51.524,8.389,0.239,742,17,0.945,0.204,0.1064,-0.054,0.0675,2.74,-0.32,0.39,0
"ASCC_12",6.16,-1.34,0.93,8.1,-0.67,1.55,333.6,11.4,"2",1,2,72.4335,41.7837,8.356,0.262,1010,36,1.088,0.082,0.0683,-0.0287,0.0331,14.12,-6.88,7.06,1
"ASCC_123",5.98,-2.57,2.25,31.11,-20.74,44.05,43.5,5.4,"2",1,3,340.2234,54.1737,7.793,0.083,233,1,0.306,0.062,0.1281,-0.0743,0.0966,0.47,-0.27,0.88,0
"ASCC_127",2.78,-0.74,2.1,14.05,-7.28,48.6,160.8,11.3,"1",1,2,347.1807,64.9151,7.496,0.131,365,10,0.668,0.08,0.131,-0.0793,0.1256,4.32,-1.19,11.05,1
"ASCC_128",8.3,-2.76,1.99,12.17,-1.94,6.08,140.9,6.1,"2",1,3,349.9374,54.4024,8.243,0.223,650,11,0.613,0.037,0.0378,-0.0127,0.0214,2.92,-1.86,2.0,0
"ASCC_13",4.29,-1.22,1.35,7.92,-1.38,5.83,147.5,9.1,"2",1,1,78.3057,44.4212,7.615,0.098,1066,26,0.915,0.027,0.0388,-0.0117,0.0135,3.8,-2.06,4.55,1
"ASCC_16",3.26,-0.82,0.66,4.78,-0.55,1.82,161.5,8.1,"2",1,2,81.2025,1.6256,7.088,0.061,348,3,0.224,0.045,0.5192,-0.2804,0.2571,52.75,-28.67,39.03,1
"ASCC_19",0.74,-0.14,0.16,56.85,-30.99,28.97,161.5,7.7,"2",1,4,82.0035,-1.9617,7.139,0.03,356,2,0.189,0.043,0.5075,-0.1922,0.1898,9.39,-0.97,1.1,0
"ASCC_21",0.69,-0.22,0.31,50.93,-32.86,32.79,105.8,6.3,"2",1,4,82.1423,3.4771,7.102,0.038,343,5,0.236,0.048,0.8537,-0.4138,0.4079,9.35,-1.51,2.12,0
"ASCC_23",1.06,-0.05,0.05,62.71,-26.69,24.76,267.8,8.1,"1",1,4,95.0305,46.7183,8.605,0.102,608,12,0.325,0.097,0.0395,-0.014,0.0245,7.64,-0.24,0.27,0
"ASCC_29",1.87,-0.41,1.24,14.23,-9.19,50.89,131.7,7.2,"2",1,2,103.5647,-1.6507,7.892,0.165,1008,24,0.4,0.046,0.109,-0.0642,0.1055,3.16,-0.65,6.74,1
"ASCC_30",8.3,-2.26,1.74,11.65,-1.6,3.66,142.5,5.3,"2",1,3,104.318,-6.2998,8.499,0.107,1070,45,0.635,0.115,0.0309,-0.0078,0.0136,2.64,-1.5,1.56,0
"ASCC_32",6.49,-0.75,1.1,33.22,-10.4,23.01,696.8,18.0,"2",1,1,105.7112,-26.5758,7.432,0.022,792,11,0.22,0.019,0.0386,-0.0135,0.0238,1.53,-0.26,0.51,1
"ASCC_41",0.92,-0.07,0.07,59.96,-28.94,26.76,143.0,7.0,"1",1,4,116.665,0.1802,8.448,0.223,297,5,0.079,0.041,0.0744,-0.0357,0.0501,8.53,-0.38,0.46,0
"ASCC_58",2.07,-0.13,0.17,45.35,-22.45,33.69,251.7,10.1,"1",1,4,153.6049,-54.9491,7.775,0.09,477,4,0.281,0.038,0.0458,-0.0187,0.0339,3.32,-0.17,0.32,0
"ASCC_6",2.71,-0.39,0.63,12.66,-4.11,9.55,454.1,10.4,"2",1,1,26.8538,57.7058,7.852,0.104,1444,27,0.994,0.046,0.0527,-0.0233,0.036,4.59,-0.92,2.22,1
"ASCC_66",0.3,-0.06,0.07,52.99,-31.79,31.38,55.5,5.7,"3",1,4,168.362,-55.4297,8.069,0.154,938,57,0.354,0.109,0.074,-0.0365,0.0524,8.79,-1.34,2.1,0
"ASCC_67",1.84,-0.21,0.39,28.8,-17.64,41.65,180.7,6.2,"2",1,2,175.2892,-60.9906,7.483,0.227,1921,89,0.81,0.044,0.0299,-0.0072,0.0127,1.14,-0.1,0.32,1
"ASCC_71",6.31,-2.32,2.07,10.46,-2.46,18.68,270.5,11.4,"2",1,3,184.9792,-67.4796,8.082,0.135,1187,33,0.916,0.041,0.0832,-0.0451,0.0766,5.13,-3.66,4.99,0
"ASCC_73",3.16,-0.9,2.26,24.74,-16.38,46.73,140.6,5.8,"2",1,4,189.5166,-67.2172,8.688,0.143,644,11,0.69,0.154,0.0472,-0.0186,0.0263,0.79,-0.18,1.87,0
"ASCC_77",3.37,-1.07,0.81,5.18,-0.72,2.81,345.1,10.4,"2",1,1,212.723,-62.3219,8.083,0.256,1068,56,0.806,0.093,0.2054,-0.125,0.1698,30.75,-18.62,24.88,1
