"Cluster","RA","DEC","l","b","RG_kpc","RG_err","rc_pc","rc_err","rh_pc","rh_err","rt_pc","rt_err","mM0","mM0_err","EBV","EBV_err","logt","logt_err","FeH","FeH_err","muAlpha","muAlpha_err","muDelta","muDelta_err","trh_Myr","trh_err","Mclu","Mclu_err","Nclu_1e2","Nclu_err","RJ_pc","RJ_err","Mini","Mini_err","delta_c","delta_c_err","sigma0_arcmin2","sigma0_err","sigmabg_arcmin2","sigmabg_err","RA_deg","DEC_deg"
"NGC 129","00:30:32","60:13:32",120.32,-2.55,9.1,0.5,3.23,0.79,4.11,0.55,11.43,1.42,11.3,0.25,0.62,0.07,8.05,0.3,0.22,0.21,-2.59,0.07,-1.18,0.08,239,49,2.2,0.1,50,2,12.4,0.9,2.9,0.2,4.18,0.7,2.42,0.51,0.76,0.05,7.63333,60.22556
"NGC 188","00:47:18","85:13:59",122.84,22.37,9.0,0.5,2.72,0.51,4.52,0.6,15.61,2.68,11.15,0.2,0.11,0.05,9.8,0.15,0.05,0.2,-2.32,0.08,-1.01,0.11,480,98,5.5,0.2,158,6,24.6,1.8,25.6,4.7,44.71,11.23,6.57,1.17,0.15,0.03,11.825,85.23306
"NGC 559","01:29:30","63:18:29",127.2,0.75,9.3,0.5,1.65,0.19,3.11,0.49,11.97,3.19,11.45,0.3,0.7,0.01,8.9,0.1,-0.13,0.23,-4.27,0.06,0.18,0.03,201,49,3.2,0.1,81,3,13.6,2.7,7.7,0.6,25.64,2.51,12.92,1.04,0.52,0.03,22.375,63.30806
"NGC 654","01:44:04","61:52:55",129.09,-0.36,9.5,0.6,0.93,0.12,2.22,0.45,10.51,3.7,11.65,0.4,1.03,0.1,7.3,0.2,-0.13,0.31,-1.16,0.14,-0.32,0.12,100,31,3.3,0.2,67,5,14.5,1.1,3.6,0.1,13.72,2.2,15.35,2.3,1.21,0.1,26.01667,61.88194
"NGC 752","01:57:05","37:49:51",136.96,-23.29,8.3,0.5,3.28,0.46,3.59,0.29,8.89,0.69,8.22,0.15,0.06,0.03,9.2,0.05,0.05,0.15,9.76,0.19,-11.82,0.21,140,23,0.62,0.05,16,2,8.3,0.8,5.3,0.5,9.37,2.34,0.11,0.03,0.013,0.001,29.27083,37.83083
"NGC 1027","02:42:36","61:36:30",135.75,1.55,8.7,0.5,2.59,0.4,4.14,0.83,13.9,4.65,9.95,0.25,0.47,0.08,7.95,0.2,0.05,0.2,-1.78,0.13,2.03,0.14,222,67,1.32,0.04,33,1,9.9,1.0,1.8,0.1,3.77,0.41,1.27,0.19,0.46,0.01,40.65,61.60833
"NGC 1647","04:46:08","19:02:55",180.37,-16.79,8.5,0.5,3.98,0.95,4.19,0.66,10.08,2.05,8.5,0.3,0.45,0.08,8.35,0.25,0.1,0.23,-1.08,0.15,-1.54,0.17,200,48,1.08,0.03,26,1,9.8,1.1,1.9,0.2,5.62,1.09,0.31,0.07,0.07,0.01,71.53333,19.04861
"NGC 1817","05:12:38","16:41:38",186.19,-13.03,9.5,0.5,5.35,1.14,6.4,1.04,17.0,3.89,10.95,0.2,0.23,0.05,9.05,0.1,-0.06,0.13,0.43,0.03,-0.93,0.07,528,131,2.3,0.1,59,2,16.2,2.9,5.7,0.5,4.95,0.46,1.31,0.15,0.33,0.01,78.15833,16.69389
"M 37","05:52:20","32:32:38",177.64,3.09,9.2,0.5,1.92,0.14,3.8,0.49,15.28,3.32,10.39,0.3,0.26,0.05,8.85,0.1,0.0,0.23,1.88,0.14,-5.62,0.14,326,64,5.3,0.1,135,3,16.5,2.1,10.3,0.6,10.93,3.2,8.76,1.14,0.44,0.04,88.08333,32.54389
"NGC 2141","06:02:54","10:27:08",198.04,-5.8,11.7,0.8,2.83,0.28,6.42,1.18,29.08,9.44,12.95,0.35,0.29,0.07,9.4,0.2,0.22,0.17,-0.09,0.13,-0.75,0.11,942,262,9.2,0.2,250,8,31.0,3.3,19.5,2.3,14.49,1.7,27.56,3.07,2.04,0.12,90.725,10.45222
