"Name","GLON","GLAT","RAJ2000","DEJ2000","Daxis","daxis","Names","Class","Comm","Ref","RA","DEC"
"Arches",0.12,0.01,"17 45 50","-28 49 22",0.5,0.3,"Arches Cluster,Object 17,G0.121+0.017 Cluster","IRC","in Nuclear Arches,inc WR102a,WR102b  d=8 t=2 eFIR=102.6 LD=1.2","010, 076, 073",266.46661,-28.82853
"DB2001-1",2.2,3.45,"17 37 40","-25 15 00",1.9,1.7,"DB2001-1","IRGr","IR/Opt cluster or dust window? sup LDN74 eFIR=2.0","078",264.41555,-25.24813
"DB2001-2",3.73,3.96,"17 39 20","-23 41 00",1.0,0.6,"DB2001-2","IRGr","IR/Opt  sup LDN114   eFIR=1.02","078",264.83247,-23.68377
"Quintuplet,AFGL2004",0.16,-0.06,"17 46 15","-28 49 35",0.5,0.5,"Quintuplet Cluster,AFGL2004","IRC","in Nuclear Filaments,inc WR102c,d,e,f,g,h,i,j,k  d=8 t=4 eFIR=90.0 LD=1.2","009, 075, 073",266.55861,-28.83079
"SGR1806-20",10.0,-0.24,"18 08 39","-20 24 39",0.8,0.6,"SGR1806-20 Cluster","IRC","rel SNR G10.0-0.3,inc Soft Gamma Repeater d=14.5 eFIR=17.9 LD=3.4","083",272.1642,-20.40656
"W31",10.16,-0.36,"18 09 27","-20 19 30",1.2,1.1,"W31 IR Cluster,G10.2-0.3 IR Cl","IRC","in W31,in G10.2-0.3 d=3.4 t=0.5 eFIR=114.7 LD=1.19","067",272.35885,-20.32473
"Kes29",10.62,-0.38,"18 10 29","-19 56 01",0.6,0.6,"Kes29 IR Cluster,G10.6-0.4 IR Cl","IRC","in W31 d=6  eFIR=87.3 LD=1.0","035",272.61427,-19.93169
"GGD27",10.84,-2.58,"18 19 11","-20 47 17",1.5,1.5,"GGD27 IR Cluster,GGD27-IRS Cluster","IRC","in neb GGD27  d=1.7 eFIR=11.7 LD=0.67","008, 013",274.78871,-20.78765
"NGC 6595",11.42,-1.71,"18 17 04","-19 51 58",2.0,2.0,"NGC6595 IR Cluster,IRAS18138-1954 Cluster","IRC","in RN NGC6595   eFIR=17.8","039",274.26331,-19.86564
"W33",12.8,-0.19,"18 14 13","-17 55 55",0.9,0.7,"W33 IR Cluster,G12.8-0.2 IR Cl","IRC","in G12.8-0.2,W33C,W33 d=4.3 eFIR=137.5 LD=1.1","036",273.54526,-17.92845
