"A","BDS2003","n_[BDS2003]","GLON","GLAT","RAJ2000","DEJ2000","Dmaj","Dmin","Neb","n_Neb","Class","Rem","RA","DEC"
"O","BDSB_1, BDS2003_1","nan",5.97,-1.18,"18 03 41","-24 22 40",1.9,1.6,"in Lagoon Neb.=M8 = NGC 6523 = W29 = CTB46","a","IRC","R=1.0 LD = 0.6",270.92363,-24.38234
"O","BDSB_2, BDS2003_2","nan",6.9,-2.29,"18 09 57","-24 06 33",1.9,1.9,"in NGC 6559=ESO521*N40, in Sh2-29","nan","IRC","R=1.4 LD = 0.8 loose",272.48331,-24.11056
"O","BDSB_3, BDS2003_3","nan",8.66,-0.34,"18 06 15","-21 37 27",1.1,1.0,"in Gum77b=RCW151","nan","IRCC","R=1.9 LD = 0.6",271.55934,-21.6259
"O","BDSB_6, BDS2003_6","nan",12.43,-1.11,"18 16 51","-18 41 52",0.9,0.7,"in Sh2-39","nan","IRCC","nan",274.21148,-18.69215
"O","BDSB_7, BDS2003_7","nan",12.64,0.61,"18 10 55","-17 41 25",1.9,1.7,"in vdB-RN116","nan","IRGr","R=0.6 LD = 0.3",272.7275,-17.68472
"O","BDSB_8, BDS2003_8, FSR_0055","nan",18.14,-0.28,"18 25 01","-13 15 47",1.8,1.8,"in G18.143-0.289","nan","IRC","R=4.5 LD = 2.4 deeply emb., lane",276.24789,-13.26458
"O","BDSB_9, BDS2003_9","nan",18.67,1.97,"18 17 53","-11 44 26",2.8,2.3,"in Gum85 = G18.7+2.0","nan","IRC","R=2.6 LD = 2.1 Opt/IR loose",274.46929,-11.73869
"O","BDSB_10, BDS2003_10","nan",28.97,-0.6,"18 46 21","-03 47 42",1.9,1.3,"in G28.983-0.603","nan","IRGr","nan",281.58552,-3.79943
"O","BDSB_11, BDS2003_11","nan",39.89,-1.27,"19 08 43","+05 36 02",1.4,1.4,"rel RNO108, in Sh2-74 = RCW182=G39.904-1.331","nan","IRGr","nan",287.17859,5.60576
"O","BDSB_12, BDS2003_12","nan",53.62,0.04,"19 30 23","+18 20 46",1.2,1.2,"in DG159 = Ber17, in Sh2-82 = AFGL4249","nan","IRGr","R=1.1 LD = 0.4",292.59266,18.34472
"O","BDSB_14, BDS2003_14","nan",62.57,2.39,"19 40 22","+27 18 29",1.0,1.0,"in NGC 6813 = IRAS 19383+2711, in W54","nan","IRC","nan",295.08634,27.3064
