"Cluster","Age","Rgc","Av","RAJ2000","DEJ2000","[Fe/H]","e_[Fe/H]","[Mg/Fe]","e_[Mg/Fe]","[Si/Fe]","e_[Si/Fe]","[S/Fe]","e_[S/Fe]","[Ca/Fe]","e_[Ca/Fe]","[F/Fe]","e_[F/Fe]","[Na/Fe]","e_[Na/Fe]","[Al/Fe]","e_[Al/Fe]","[K/Fe]","e_[K/Fe]","[Ti/Fe]","e_[Ti/Fe]","[V/Fe]","e_[V/Fe]","[Cr/Fe]","e_[Cr/Fe]","[Mn/Fe]","e_[Mn/Fe]","[Co/Fe]","e_[Co/Fe]","[Ni/Fe]","e_[Ni/Fe]"
"Alessi 1",1.45,8.73,0.08,13.4387099,49.559849,0.01,0.04,0.08,0.03,-0.03,0.02,0.1,0.07,0.05,0.04,"nan","nan",0.07,0.08,-0.02,0.03,-0.03,0.12,-0.01,0.04,-0.24,0.21,-0.02,0.02,-0.1,0.01,-0.11,0.05,0.02,0.02
"Alessi-Teutsch 11",0.14,8.33,0.37,304.09348,52.105125,-0.1,0.03,0.13,0.03,0.08,0.03,0.49,0.1,0.13,0.04,"nan","nan",0.07,0.07,0.06,0.04,0.03,0.11,0.07,0.04,0.03,0.16,-0.16,0.05,0.09,0.05,-0.05,0.03,0.15,0.07
"Basel 11b",0.23,10.12,1.56,89.542149,21.9624174,-0.03,0.01,0.11,0.02,0.04,0.01,0.31,0.13,0.07,0.03,"nan","nan",0.08,0.07,-0.02,0.03,0.05,0.13,-0.02,0.0,-0.26,0.26,-0.06,0.04,-0.05,0.04,-0.11,0.04,0.06,0.1
"Berkeley 32",4.9,11.14,0.34,104.51366152,6.426670426765,-0.29,0.09,0.14,0.03,0.12,0.02,0.39,0.15,0.06,0.05,"nan","nan",-0.02,0.05,-0.05,0.08,-0.11,0.05,0.04,0.01,-0.1,0.04,-0.04,0.05,0.09,0.05,0.0,0.06,0.09,0.05
"COIN-Gaia 30",0.26,8.8,1.25,21.0218991,70.4236439,-0.13,0.03,0.14,0.03,0.08,0.03,0.37,0.1,0.14,0.04,"nan","nan",0.15,0.06,-0.01,0.04,-0.07,0.12,0.0,0.04,0.06,0.16,-0.15,0.07,-0.02,0.04,-0.16,0.03,0.07,0.07
"Collinder 110",1.82,10.29,1.14,99.738812533,2.05903237577,-0.18,0.0,0.12,0.05,0.02,0.05,0.57,0.16,0.03,0.03,"nan","nan",-0.07,0.06,-0.01,0.01,-0.11,0.01,-0.03,0.05,-0.04,0.03,-0.12,0.04,0.04,0.02,-0.02,0.01,0.04,0.01
"Collinder 350",0.59,8.02,0.52,266.8931225,1.10427585,0.01,0.1,0.03,0.02,-0.06,0.02,0.08,0.11,0.0,0.04,-0.02,0.01,0.03,0.01,-0.07,0.04,-0.1,0.14,-0.07,0.05,-0.29,0.12,-0.1,0.06,-0.12,0.04,-0.13,0.06,0.06,0.01
"Collinder 463",0.11,8.87,0.79,26.288141,71.8526614,0.03,0.02,0.11,0.02,-0.05,0.01,0.33,0.07,0.07,0.02,"nan","nan",0.12,0.06,-0.06,0.02,0.01,0.09,-0.04,0.02,-0.2,0.02,-0.08,0.02,0.07,0.02,-0.1,0.01,0.11,0.01
"Gulliver 18",0.04,7.82,1.59,302.9329,26.585274,-0.03,0.03,0.08,0.03,-0.04,0.03,0.24,0.1,0.05,0.04,0.03,0.01,0.18,0.07,-0.09,0.04,-0.01,0.11,-0.03,0.04,-0.05,0.16,-0.09,0.05,0.14,0.05,-0.03,0.04,0.06,0.04
"Gulliver 24",0.18,9.13,1.05,1.1186123,62.701218,-0.05,0.03,0.04,0.03,0.11,0.03,0.46,0.1,-0.08,0.04,"nan","nan",0.02,0.06,-0.06,0.04,-0.12,0.1,-0.06,0.04,-0.06,0.16,-0.04,0.05,0.07,0.04,-0.02,0.04,0.13,0.07
