cluster,age_nest_50,age_nest_16,age_nest_84
Melotte_22,241.25,228.75,248.75
NGC_2516,433.7499999999999,428.7499999999999,453.75
NGC_2632,738.75,718.75,813.75
NGC_3114,186.25,181.25,193.75
NGC_5822,1053.75,1036.25,1118.75
NGC_1039,388.75,356.2499999999999,433.7499999999999
NGC_188,7398.75,7293.75,7478.75
NGC_2287,578.75,521.25,678.75
NGC_2447,631.25,608.75,691.25
NGC_2682,5298.75,5241.25,5338.75
NGC_3532,766.25,658.75,2016.2500000000002
NGC_6475,421.2499999999999,416.25,551.25
NGC_6819,3498.75,3456.2500000000005,3571.2500000000005
