"param","Name","RAJ2000","DEJ2000","Rad","VVVXtile","Comments","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Dist","Distp5","Distp95","RV","e_RV","BP-RP","e_BP-RP"
"nan","VVVX CL001",180.38077,-65.137202,18,"e0730","Very faint, embedded group of stars","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL002",180.39708,-65.126113,20,"e0730","Very faint, embedded group of stars","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL003",184.27694,-60.220145,29,"e0814","Small open cluster",-6.2048,4.0251,-0.3767,3.2011,0.4006,0.2471,1568.0,1142.0,2838.0,-35.24,3.26,0.63,0.4
"*","VVVX CL004",184.30742,-60.303649,55,"e0814","Open cluster",-5.8743,1.529,0.6543,0.8239,0.2025,0.0713,3166.0,2543.0,4465.0,-27.99,6.44,0.8,0.21
"*","VVVX CL005",184.32452,-60.242285,45,"e0814","Small reddened open cluster",-9.3827,3.2809,0.0499,2.241,0.4337,0.1749,1710.0,1299.0,2855.0,"nan","nan",0.78,0.43
"*","VVVX CL006",185.43737,-65.356478,55,"e0732","O9 star+group of bright stars",-5.124,2.31,-0.06,1.1,0.3605,0.0772,2346.0,1921.0,3266.0,-34.39,0.52,0.64,0.4
"*","VVVX CL007",187.47388,-60.114671,120,"e0815","Open cluster",-7.1671,3.25,0.226,0.7475,0.185,0.053,3670.0,3010.0,4958.0,-30.71,19.12,0.82,0.26
"nan","VVVX CL008",190.7683,-60.437844,34,"e0816","Faint, embedded group of stars","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL009",191.76513,-60.072564,66,"e0816","Several bright stars, open cluster, IRAS 12441-5947",-6.1444,1.7354,-0.0144,1.6379,0.5445,0.2224,1439.0,1077.0,2555.0,-4.85,2.2,0.98,0.63
"*","VVVX CL010",192.65835,-64.916684,38,"e0734","Concentrated open cluster?",-7.2231,1.2559,-0.3623,0.5297,0.2183,0.0534,3409.0,2811.0,4584.0,"nan","nan",0.65,0.36
"*","VVVX CL011",192.80092,-60.592911,55,"e0817","Several bright stars, open cluster",-8.943,3.5489,-1.458,1.3995,0.4141,0.0683,2186.0,1832.0,2907.0,-36.81,18.53,0.63,0.38
"*","VVVX CL012",196.76463,-59.841214,62,"e0818","Several bright stars, open cluster",-7.0325,2.3901,-0.4942,1.256,0.247,0.0646,3024.0,2466.0,4174.0,59.38,34.84,1.01,0.21
"*","VVVX CL013",198.57615,-65.840076,50,"e0735","Several bright stars, open cluster",-6.6136,1.1734,-0.8688,1.12,0.1952,0.0303,4257.0,3656.0,5297.0,"nan","nan",0.63,0.13
"*","VVVX CL014",202.94912,-64.935656,55,"e0737","Open cluster",-6.2479,1.4922,-1.3088,0.8171,0.2526,0.1972,1933.0,1425.0,3282.0,"nan","nan",0.79,0.18
"*","VVVX CL015",203.4424,-59.141331,31,"e0821","Several bright stars, open cluster",-6.292,1.0532,-1.771,0.8923,0.2979,0.0193,3260.0,2980.0,3651.0,-21.63,3.85,0.75,0.2
"nan","VVVX CL016",207.53069,-65.007603,12,"e0738","Very faint, weak nebula, group of stars","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL017",208.82052,-65.056893,66,"e0738","Open cluster",-6.1841,1.5941,-1.9572,1.0552,0.2501,0.0589,3092.0,2544.0,4199.0,95.3,1.1,0.69,0.21
"*","VVVX CL018",211.5902,-64.731412,23,"e0739","Small group, dissolved?",-5.612,1.6243,-3.0585,1.984,0.2964,0.0315,3143.0,2763.0,3768.0,-29.33,0.89,0.64,0.06
"*","VVVX CL019",217.91142,-58.051811,145,"e0826","Open cluster",-6.0215,1.167,-2.9814,1.4978,0.2657,0.0456,3195.0,2697.0,4131.0,"nan","nan",1.25,0.39
"*","VVVX CL020",218.72375,-63.222653,36,"e0742","Open cluster",-6.2019,1.0804,-2.1719,2.6371,0.9905,1.1153,795.0,480.0,2224.0,"nan","nan",1.07,0.16
"*","VVVX CL021",218.82365,-57.981169,40,"e0826","Several bright stars, open cluster",-6.1757,1.4781,-3.3479,1.7196,0.3039,0.0834,2527.0,2034.0,3621.0,"nan","nan",1.35,0.11
"*","VVVX CL022",219.64214,-57.257272,80,"e0826","Open cluster",-6.0517,1.5384,-2.4212,1.4175,0.8489,0.098,1158.0,998.0,1458.0,-41.37,32.49,1.12,0.22
"*","VVVX CL023",220.16631,-57.441524,105,"e0827","Open cluster",-5.9583,2.1346,-2.8311,1.3637,0.371,0.1483,1925.0,1477.0,3096.0,-21.68,10.59,1.15,0.25
"*","VVVX CL024",224.24548,-61.592499,28,"e0744","Open cluster",-5.4323,1.1612,-3.0226,1.4221,0.2279,0.0997,2660.0,2083.0,3962.0,"nan","nan",0.87,0.21
"*","VVVX CL025",234.03339,-52.575296,59,"e0833","Open cluster",-4.7031,2.5805,-3.3457,2.6372,0.1983,0.0446,3781.0,3151.0,4969.0,"nan","nan",0.94,0.17
"*","VVVX CL026",234.94962,-59.136058,68,"e0748","B8Ib+group",-4.8548,1.7112,-4.0185,0.9792,0.4375,0.3185,1394.0,989.0,2693.0,8.72,0.34,0.97,0.38
"*","VVVX CL027",237.48745,-57.608643,70,"e0749","Group of stars",-4.7041,1.3876,-3.9946,1.372,0.2847,0.1872,1923.0,1428.0,3240.0,-62.72,13.12,0.94,0.24
"*","VVVX CL028",237.51044,-51.179911,85,"e0835","Open cluster",-5.3555,1.3411,-3.7328,1.7328,"nan","nan","nan","nan","nan",-64.8,1.58,1.11,0.38
"*","VVVX CL029",238.13046,-50.768071,125,"e0835","Open cluster",-5.553,2.296,-3.577,1.8099,0.3526,0.1424,1993.0,1532.0,3176.0,"nan","nan",1.37,0.07
"*","VVVX CL030",238.7097,-56.558402,67,"e0750","Open cluster",-4.772,1.3078,-4.083,1.3743,0.2294,0.1996,1960.0,1441.0,3328.0,-87.11,6.31,0.87,0.26
"*","VVVX CL031",238.9441,-56.279803,140,"e0750","OB star+group of stars",-4.788,1.2216,-4.1505,1.147,0.311,0.0526,2798.0,2356.0,3655.0,-49.13,0.27,0.98,0.2
"*","VVVX CL032",239.83643,-56.233403,51,"e0750","B9 star + group of stars",-4.358,1.5724,-4.217,1.3106,0.3185,0.1039,2309.0,1823.0,3451.0,-38.27,23.88,0.99,0.32
"nan","VVVX CL033",240.0624,-49.524395,13,"e0836","Faint, weak nebula, group of stars, 2MASX J16001524-4931255","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL034",240.69529,-56.720018,37,"e0750","Open cluster",-4.269,2.2917,-4.03,1.6007,0.2762,0.0611,2903.0,2393.0,3944.0,-95.56,23.94,0.93,0.03
"nan","VVVX CL035",241.35752,-48.991222,38,"e0837","Very red group of stars, radio source [CAB2011] G332.40+2.46","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL036",241.42324,-49.191992,17,"e0837","Embedded group+ Maser: Caswell OH 332.295+02.280?+YSO: 2MASS J16054183-4911294","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL037",242.63032,-54.937447,8,"e0752","Embedded faint group + YSO [MHL2007] G328.9716-02.4664 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
