"Star cluster","alpha","delta","l","b","rlim (')","rcore (')","Rlim (pc)","Rcore (pc)","c","RA","DEC","log(age)","m-M","E(J-K)","E(B-V)","d_kpc","e_d_kpc","Z","RGC"
"AH03 J0748-26.9","074841","-265857",243.2154,-0.621,"6.2±0.8","1.37±0.13","nan","nan","nan",117.17083,-26.9825,"nan","nan","nan","nan","nan","nan","nan","nan"
"AH03 J0822-36.4","082205","-362132",254.9306,0.3333,"3.4±0.5","0.58±0.06","0.75±0.15","0.13±0.02",0.77,125.52083,-36.35889,6.95,9.49,0.07,0.13,0.751,0.044,"0.004±0.000","8.526±0.011"
"AH03 J1725-34.4","172532","-342403",353.0946,0.6434,"6.4±0.5","0.81±0.04","0.55±0.09","0.07±0.01",0.9,261.38333,-34.40083,6.85,8.66,0.82,1.53,0.295,0.024,"0.003±0.000","8.007±0.024"
"AH03 J2011+26.7","201151","+264402",65.7237,-3.9034,"2.7±0.2","0.26±0.02","2.04±0.30","0.20±0.03",1.02,302.9625,26.73389,7.35,12.82,0.47,0.88,2.592,0.18,"-0.176±0.012","7.610±0.070"
"Alessi 15","064304","+014037",210.4848,-1.0969,"3.5±0.2","0.44±0.05","1.62±0.19","0.21±0.04",0.9,100.76667,1.67694,9.25,11.25,0.14,0.26,1.604,0.097,"-0.031±0.002","9.716±0.083"
"Alessi 16","064340","+021007",210.1159,-0.7389,"3.63±0.45","0.63±0.10","1.26±0.23","0.22±0.05",0.76,100.91667,2.16861,9.05,10.61,0.14,0.26,1.195,0.072,"-0.015±0.001","9.353±0.062"
"Alessi 18","073711","-262310",241.4212,-2.5543,"4.04±0.44","0.38±0.06","nan","nan","nan",114.29583,-26.38611,"nan","nan","nan","nan","nan","nan","nan","nan"
"Alessi 52","121256","-624136",298.5323,-0.151,"8.6±0.7","1.38±0.09","8.38±1.27","1.35±0.18",0.79,183.23333,-62.69333,9.15,13.53,0.56,1.05,3.364,0.243,"-0.009±0.001","7.317±0.106"
"Alessi 53","062924","+091056",202.2562,-0.6641,"3.54±0.24","0.18±0.01","1.5±0.2","0.08±0.01",1.29,97.35,9.18222,7.75,11.27,0.28,0.52,1.46,0.094,"-0.017±0.001","9.667±0.087"
"Alessi 56","190654","+093507",43.2162,0.9608,"6.7±0.4","0.73±0.05","1.37±0.23","0.15±0.03",0.96,286.725,9.58528,7.4,11.77,1.59,2.97,0.7,0.078,"0.012±0.001","7.804±0.057"
"Alessi 57","192057","+154031",50.2013,0.7542,"5.7±0.6","0.68±0.06","1.26±0.27","0.15±0.03",0.92,290.2375,15.67528,7.35,11.99,1.62,3.03,0.758,0.086,"0.010±0.001","7.837±0.055"
"Alessi 59","065220","+021150",211.0782,1.2008,"5.9±0.5","0.51±0.03","6.64±0.94","0.57±0.07",1.06,103.08333,2.19722,7.4,13.48,0.34,0.64,3.865,0.255,"0.081±0.005","11.781±0.215"
"Alessi 60","070231","-010706",215.1913,1.954,"6.4±0.7","0.9±0.1","5.40±0.91","0.80±0.13",0.83,105.62917,-1.11833,8.4,12.58,0.16,0.3,2.916,0.178,"0.099±0.006","10.814±0.144"
"Antalova 2","172941","-322848",355.1727,0.9917,"4.74±0.42","0.70±0.05","5.03±1.11","0.74±0.15",0.83,262.42083,-32.48,9.1,16.06,2.03,3.79,3.651,0.492,"0.063±0.009","4.672±0.489"
"Archinal 1","185450","+053148",38.2413,1.766,"1.92±0.24","0.28±0.03","0.80±0.16","0.12±0.02",0.84,283.70833,5.53,7.1,12.05,0.79,1.48,1.436,0.114,"0.044±0.004","7.227±0.089"
"Arp-Madore 2","073843","-335045",248.1226,-5.8865,"7.3±0.4","1.01±0.08","25.55±2.97","3.52±0.50",0.86,114.67917,-33.84583,9.35,15.79,0.25,0.47,11.967,0.759,"-1.227±0.078","16.915±0.213"
"Auner 1","070415","-194505",231.9961,-6.1593,"5.8±0.6","0.47±0.03","15.54±2.51","1.25±0.15",1.09,106.0625,-19.75139,9.6,15.03,0.14,0.26,9.145,0.553,"-0.981±0.059","15.684±0.302"
"VDBH 106, BH 106","105240","-541544",286.0568,4.6716,"4.77±0.42","0.56±0.05","nan","nan","nan",163.16667,-54.26222,"nan","nan","nan","nan","nan","nan","nan","nan"
