"Star cluster","χlim","χcore","χhalo","Nevolved","Mturno","Ntotal","Mtotal","e_Mtotal","Ncore","Mcore"
"AH03 J0822-36.4","0.74±0.16","nan","nan",0,18.16,"235±52",169,37,"nan","nan"
"AH03 J1725-34.4","1.35±0.24","1.99±0.44","0.88±0.79",0,21.86,"415±90",208,45,"94±19","37±7"
"AH03 J2011+26.7","-0.33±0.36","nan","nan",0,10.32,"35±26",116,84,"nan","nan"
"Alessi 15","0.44±1.04","nan","nan",2,1.65,"442±104",333,107,"nan","nan"
"Alessi 16","2.02±1.31","-1.83±5.83","1.97±1.09",2,1.92,"209±108",74,37,"73±66","36±32"
"Alessi 53","1.22±0.47","nan","nan",0,6.53,"400±265",182,121,"nan","nan"
"Alessi 56","0.92±0.22","2.65±0.33","0.63±0.21",0,9.74,"938±185",529,185,"1061±298","372±104"
"Alessi 57","1.11±0.36","1.24±0.44","1.13±0.34",0,10.29,"1891±1479",976,763,"264±85","128±41"
"Alessi 59","0.06±0.33","nan","nan",0,9.66,"337±229",624,425,"nan","nan"
"Alessi 60","1.33±1.06","-0.78±0.96","0.78±0.75",2,3.34,"1032±1360",413,536,"19±24","30±38"
"Archinal 1","1.39±0.54","nan","nan",0,14.1,"756±613",357,289,"nan","nan"
"VDBH 111, BH 111","1.96±0.58","nan","nan",2,3.93,"2376±1813",884,669,"nan","nan"
"VDBH 118, BH 118","2.30±0.72","nan","nan",0,4.47,"1379±1189",493,425,"nan","nan"
"VDBH 151, BH 151","1.25±0.65","nan","nan",3,6.2,"960±1179",448,528,"nan","nan"
"VDBH 19, BH 19","2.63±0.90","nan","nan",3,3.77,"1434±1805",505,622,"nan","nan"
"VDBH 200, BH 200","0.92±0.57","1.04±0.15","1.20±0.57",0,10.29,"1868±2407",1070,1379,"706±145","378±77"
"VDBH 202, BH 202","0.65±0.38","0.62±0.78","0.61±0.36",0,4.77,"1437±697",734,356,"228±269","118±139"
"VDBH 205, BH 205","1.51±0.26","0.33±0.25","1.49±0.22",0,9.57,"5319±2397",2314,1042,"126±44","149±52"
"VDBH 211, BH 211","-0.70±4.15","nan","nan",13,1.69,"419±1510",176,574,"nan","nan"
"VDBH 217, BH 217","0.80±0.38","0.58±0.49","0.42±0.48",1,7.33,"2212±1335",1234,741,"251±186","164±117"
"VDBH 37, BH 37","1.23±2.79","-1.56±0.58","1.91±2.27",8,2.2,"7459±17749",2743,6492,"83±37","122±52"
