"Cluster","alpha","delta","A_V","e_A_V","Age","e_Age","d_sun","e_d_sun","R_GC (kpc)","x_GC (kpc)","y_GC (kpc)","z_GC (kpc)","RA","DEC"
"BPI 14","05:29:00","34:24:00",1.98,0.2,2,1,2.7,0.3,"9.90±0.3","-09.89±0.3","+0.30±0.03","-0.01±0.01",82.25,34.4
"CBB 3","05:27:43.31","34:32:36.0",1.98,0.2,2,1,2.7,0.3,"9.90±0.3","-09.89±0.3","+0.32±0.03","-0.01±0.01",81.93046,34.54333
"CBB 4","05:28:29.3","34:19:50",1.98,0.2,2,1,2.7,0.3,"9.90±0.3","-09.89±0.3","+0.30±0.03","-0.01±0.01",82.12208,34.33056
"CBB 5","05:28:33.9","34:28:37",1.98,0.2,2,1,2.7,0.3,"9.90±0.3","-09.89±0.3","+0.31±0.03","-0.01±0.01",82.14125,34.47694
"CBB 6","05:29:19","34:14:41.4",2.98,0.2,2,1,2.7,0.5,"09.93±0.5","-09.92±0.5","+0.30±0.03","0.0±0.01",82.32917,34.24483
"CBB 7","05:26:50","34:43:10",2.98,0.2,2,1,2.5,0.5,"09.69±0.5","-09.68±0.5","+0.30±0.03","-0.01±0.01",81.70833,34.71944
"CBB 8","05:15:50","34:24:00",3.57,0.2,2,1,2.41,0.7,"9.61±0.7","-09.60±0.7","+0.34±0.03","-0.10±0.01",78.95833,34.4
"CBB 9","05:25:55","34:50:54",3.27,0.2,2,1,2.6,0.5,"9.82±0.5","-09.82±0.5","+0.33±0.03","-0.01±0.01",81.47917,34.84833
"FSR 734","05:03:22.6","42:25:15.2",2.18,0.2,2,1,2.62,0.3,"09.77±0.3","-09.74±0.3","+0.72±0.07","+0.02±0.01",75.84417,42.42089
"FSR 761","05:33:23","39:50:44",2.78,0.2,2,1,2.54,0.3,"09.73±0.3","-09.72±0.3","+0.47±0.04","+0.16±0.02",83.34583,39.84556
"FSR 777","05:27:31","34:44:01",1.98,0.2,3,2,2.69,0.3,"09.89±0.3","-09.89±0.3","+0.33±0.03","-0.01±0.01",81.87917,34.73361
"FSR 816","05:39:17","31:30:05",1.98,0.2,10,5,1.78,0.5,"8.99±0.5","-08.99±0.5","+0.10±0.01","0.01±0.01",84.82083,31.50139
"FSR 817","05:39:27","30:53:36",1.98,0.2,2,2,2.3,0.3,"9.56±0.3","-09.56±0.3","+0.10±0.01","0.0±0.01",84.8625,30.89333
"FSR 833","06:05:15","30:47:55",1.79,0.2,3,2,2.89,0.4,"10.10±0.4","-10.10±0.4","-0.03±0.01","+0.23±0.02",91.3125,30.79861
"FSR 842","05:34:18.8","25:36:38",2.68,0.2,5,3,1.95,0.2,"09.17±0.2","-09.17±0.2","-0.05±0.01","-0.13±0.01",83.57833,25.61056
"FSR 846","05:48:44","26:22:05",2.98,0.2,3,2,2.48,0.3,"9.70±0.3","-9.70±0.3","-0.11±0.01","-0.03±0.01",87.18333,26.36806
"FSR 850","05:45:15","24:45:13",2.18,0.2,10,5,2.75,0.5,"09.96±0.5","-09.96±0.5","-0.17±0.02","-0.11±0.01",86.3125,24.75361
"FSR 864","05:47:49.9","21:55:32.5",2.48,0.2,5,3,2.9,0.3,"10.10±0.3","-10.10±0.3","-0.32±0.03","-0.16±0.02",86.95792,21.92569
"FSR 868","05:24:56","18:18:21",2.98,0.2,5,3,2.72,0.3,"09.90±0.3","-09.88±0.3","-0.30±0.03","-0.46±0.04",81.23333,18.30583
"FSR 888","06:22:13","23:24:33",3.17,0.2,3,2,2.65,0.3,"09.84±0.3","-09.83±0.3","-0.41±0.04","+0.21±0.02",95.55417,23.40917
"FSR 890","06:23:10","23:11:13",3.37,0.2,3,2,2.58,0.3,"09.77±0.3","-09.76±0.3","-0.41±0.04","+0.20±0.02",95.79167,23.18694
"FSR 893","06:13:45","21:32:54",0.99,0.06,3000,1500,1.1,0.5,"08.3±0.5","-08.31±0.5","-0.18±0.02","+0.04±0.01",93.4375,21.54833
"FSR 944","07:21:48","22:29:50",3.17,0.2,3,2,2.42,0.3,"09.5±0.3","-09.45±0.3","-0.63±0.06","+0.68±0.07",110.45,22.49722
"FSR 946","06:10:58","14:09:30",4.46,0.2,1,1,2.05,0.3,"09.21±0.3","-09.19±0.3","-0.56±0.05","-0.08±0.01",92.74167,14.15833
"FSR 947","06:08:59","13:52:34",2.38,0.2,2,1,2.93,0.3,"10.07±0.3","-10.04±0.3","-0.80±0.08","-0.15±0.01",92.24583,13.87611
"Kronberger 1","05:28:22","34:46:01",1.98,0.2,3,2,2.69,0.3,"09.89±0.3","-09.89±0.3","-0.32±0.03","-0.01±0.01",82.09167,34.76694
"Stock 8","05:28:07","34:25:28",1.98,0.2,2,1,2.69,0.3,"09.89±0.3","-09.89±0.3","+0.31±0.03","-0.01±0.01",82.02917,34.42444
