"Cluster","RAJ2000","DEJ2000","GLON","GLAT","r50","Nstars","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","plx","s_plx","e_plx","d05","d16","dmode","d84","d95","dmode+01","dmode-01","X","Y","Z","Rgc"
"ASCC_10",51.87,34.981,155.723,-17.77,0.558,71,-1.737,0.159,0.021,-1.368,0.143,0.02,1.459,0.1,0.013,666.0,668.4,672.0,675.6,678.1,629.6,720.4,-583.3,263.1,-205.1,8927.2
"ASCC_101",288.399,36.369,68.028,11.608,0.372,75,0.934,0.205,0.032,1.288,0.258,0.033,2.488,0.057,0.008,396.4,396.8,397.3,397.9,398.2,382.2,413.8,145.6,360.9,79.9,8202.3
"ASCC_105",295.548,27.366,62.825,2.063,0.648,127,1.464,0.162,0.021,-1.635,0.145,0.017,1.783,0.065,0.006,550.5,551.0,551.8,552.5,553.0,522.9,584.0,251.8,490.5,19.9,8103.0
"ASCC_107",297.164,21.987,58.904,-1.901,0.174,59,-0.155,0.101,0.017,-5.156,0.115,0.018,1.109,0.049,0.007,873.6,875.4,878.5,881.4,883.5,807.6,963.1,453.5,751.9,-29.2,7922.3
"ASCC_108",298.306,39.349,74.378,6.074,0.537,230,-0.519,0.099,0.007,-1.69,0.129,0.008,0.838,0.048,0.003,1150.5,1151.9,1154.0,1156.1,1157.5,1034.6,1304.5,309.0,1105.1,122.1,8106.7
"ASCC_11",53.056,44.856,150.546,-9.224,0.312,276,0.926,0.163,0.012,-3.03,0.147,0.012,1.141,0.061,0.004,852.0,853.1,854.5,856.1,857.0,787.2,934.3,-734.4,414.7,-137.0,9083.9
"ASCC_110",300.742,33.528,70.411,1.378,0.203,70,0.271,0.064,0.008,-3.132,0.05,0.009,0.497,0.036,0.004,1883.4,1890.9,1902.2,1913.5,1921.0,1598.2,2349.1,637.6,1791.6,45.7,7908.1
"ASCC_111",302.891,37.515,74.714,2.056,0.537,156,-1.15,0.151,0.017,-1.524,0.154,0.013,1.166,0.059,0.005,834.5,835.4,836.9,838.4,839.5,772.3,913.4,220.5,806.8,30.0,8159.5
"ASCC_113",317.933,38.638,82.877,-6.589,0.529,196,0.8,0.125,0.01,-3.679,0.163,0.011,1.762,0.041,0.003,557.2,557.6,558.2,558.8,559.2,528.7,591.2,68.8,550.3,-64.1,8289.5
"ASCC_114",324.99,53.997,97.082,1.028,0.216,150,-3.716,0.11,0.017,-3.421,0.115,0.012,1.066,0.037,0.003,910.1,911.4,913.2,915.0,916.4,836.8,1005.0,-112.6,906.1,16.4,8501.0
