"Note","Cluster","RAJ2000","DEJ2000","GLON","GLAT","r50","N","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","d"
"Grade A","COIN-Gaia_1",11.933,66.769,122.566,3.9,0.357,88,-5.03,0.12,-3.04,0.11,1.55,0.04,635
"Grade A","COIN-Gaia_2",15.06,55.409,124.192,-7.441,0.187,151,-4.46,0.12,-1.96,0.12,0.79,0.06,1226
"Grade A","COIN-Gaia_3",18.739,60.505,125.825,-2.235,0.126,98,-2.43,0.1,-1.81,0.12,0.78,0.05,1243
"Grade A","COIN-Gaia_4",26.129,58.756,129.782,-3.408,0.107,66,-0.95,0.07,-1.04,0.08,0.45,0.03,2086
"Grade A","COIN-Gaia_5",27.408,58.078,130.583,-3.927,0.224,39,-2.77,0.17,-0.53,0.1,1.06,0.08,916
"Grade A","COIN-Gaia_6",28.101,58.636,130.809,-3.3,0.077,132,-2.35,0.11,-0.44,0.14,0.28,0.06,3267
"Grade A","COIN-Gaia_7",33.738,58.466,133.686,-2.651,0.152,53,-1.04,0.1,-1.56,0.09,0.65,0.05,1477
"Grade A","COIN-Gaia_8",39.048,50.013,139.64,-9.43,0.312,69,2.51,0.11,-2.49,0.11,1.36,0.04,720
"Grade A","COIN-Gaia_9",47.748,48.023,145.694,-8.585,0.265,41,-1.93,0.11,-2.79,0.12,1.12,0.06,871
"Grade A","COIN-Gaia_10",68.385,40.509,161.919,-4.981,0.177,41,2.02,0.09,-3.37,0.11,0.94,0.04,1029
"Grade A","COIN-Gaia_11",68.11,39.479,162.538,-5.834,0.336,92,3.57,0.15,-5.63,0.13,1.49,0.05,661
"Grade A","COIN-Gaia_12",79.209,41.708,166.113,2.112,0.306,90,2.62,0.13,-4.66,0.09,1.03,0.05,944
"Grade A","COIN-Gaia_13",83.186,42.087,167.459,4.776,1.003,165,-3.83,0.18,-1.66,0.17,1.93,0.09,511
"Grade A","COIN-Gaia_14",77.696,39.195,167.476,-0.293,0.157,24,1.33,0.09,-6.57,0.08,1.04,0.03,933
"Grade A","COIN-Gaia_15",76.09,35.831,169.408,-3.328,0.147,134,0.44,0.15,-3.75,0.1,0.82,0.07,1172
"Grade A","COIN-Gaia_16",80.179,37.438,170.038,0.27,0.059,49,1.26,0.14,-3.74,0.14,0.62,0.06,1535
"Grade A","COIN-Gaia_17",81.244,37.558,170.418,1.035,0.151,83,0.36,0.16,-4.28,0.12,0.89,0.07,1094
"Grade A","COIN-Gaia_18",78.408,35.498,170.797,-2.014,0.239,59,0.77,0.12,-4.92,0.14,0.95,0.07,1018
"Grade A","COIN-Gaia_19",82.188,34.29,173.556,-0.153,0.172,88,-1.48,0.13,-4.64,0.09,0.77,0.06,1245
"Grade A","COIN-Gaia_20",78.634,31.691,174.004,-4.082,0.258,55,0.55,0.14,-1.45,0.09,0.91,0.05,1063
"Grade A","COIN-Gaia_21",84.766,28.402,179.696,-1.504,0.098,42,-0.12,0.09,-3.82,0.08,0.7,0.04,1378
"Grade A","COIN-Gaia_22",91.06,31.602,179.721,4.815,0.086,104,-0.71,0.15,-3.28,0.11,0.49,0.07,1927
"Grade A","COIN-Gaia_23",87.449,27.008,182.127,-0.209,0.275,108,-0.32,0.16,-0.96,0.13,1.03,0.08,942
