"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"ADS 16795",348.65321156602,57.26469379429,"o",4.778,0.083,0.83,0,7.43,7.54,7.64,-0.18,-0.07,0.04,0.67,0.77,0.86,6.5,6.67,6.82,-0.0740483673230283,0.20231945404972,0.0298381097424345,8.199
"AH03 J0748-26.9",117.16371118237,-26.96443007594,"o",0.211,0.021,1.0,0,7.9,8.0,8.13,-0.72,-0.55,-0.39,1.43,1.5,1.57,12.53,12.77,12.99,-1.61474028148011,-3.19603604881456,0.007144081729555,10.248
"ASCC 100",284.62971873485,32.43666773222,"o",2.749,0.03,0.94,0,7.01,7.21,7.39,-0.06,0.06,0.23,0.32,0.46,0.59,7.64,7.86,8.11,0.165235566238676,0.324444282363254,0.123804602088144,7.963
"ASCC 101",288.41450533645,36.28386326207,"o",2.506,0.035,0.99,0,8.06,8.14,8.24,0.3,0.39,0.46,0.34,0.4,0.46,7.92,8.04,8.18,0.149348748883077,0.368236650807057,0.122481687013906,7.981
"ASCC 105",295.49878975919,27.29586866253,"o",1.775,0.025,1.0,0,7.58,7.65,7.72,-0.06,0.04,0.12,0.67,0.72,0.78,8.71,8.83,8.96,0.267124651198845,0.518317156154003,0.0619510314368116,7.872
"ASCC 106",295.58161632159,1.42091099476,"o",1.324,0.027,1.0,0,8.06,8.16,8.28,0.36,0.5,0.67,1.09,1.19,1.27,9.19,9.4,9.58,0.570031545655609,0.480112665160147,-0.0999138390371641,7.567
"ASCC 107",297.13515559847,21.97556362072,"o",1.125,0.025,1.0,0,7.24,7.32,7.42,0.09,0.22,0.38,1.48,1.56,1.64,9.74,9.92,10.1,0.497818600515125,0.82467138773347,0.0086356710225351,7.669
"ASCC 108",298.33062066814,39.36013567424,"o",0.838,0.024,1.0,0,8.38,8.47,8.55,0.24,0.35,0.46,0.44,0.5,0.56,10.23,10.36,10.51,0.316026076417367,1.1304684279857,0.165463992295831,7.887
"ASCC 11",53.05418030687,44.84375825098,"o",1.172,0.034,1.0,0,8.32,8.39,8.46,0.1,0.21,0.3,0.86,0.92,0.97,9.62,9.72,9.83,-0.755867687816004,0.426556118549107,-0.0975195070981705,8.888
"ASCC 110",300.73528797775,33.50150825691,"o",0.502,0.021,0.99,0,8.54,8.62,8.69,0.09,0.21,0.35,1.45,1.53,1.61,11.13,11.28,11.44,0.605206136675308,1.69791264414218,0.0831138062588286,7.706
"ASCC 111",302.95216137231,37.51425242109,"o",1.164,0.021,1.0,0,8.26,8.37,8.47,-0.14,-0.03,0.07,0.65,0.71,0.78,9.46,9.6,9.74,0.218891924433045,0.801939042353216,0.0702832330581479,7.944
"ASCC 113",317.99799006135,38.79654457209,"o",1.769,0.023,1.0,0,8.06,8.12,8.19,0.17,0.25,0.31,0.3,0.36,0.4,8.65,8.75,8.86,0.0676741757039653,0.55457548199621,-0.0224125836876859,8.073
"ASCC 114",324.98720133389,53.98640264667,"o",1.066,0.023,1.0,0,7.51,7.59,7.69,-0.04,0.08,0.22,1.03,1.09,1.15,9.68,9.85,10.0,-0.114840338159503,0.926003643134235,0.0585239945996246,8.289
"ASCC 115",329.190413471,51.46179734115,"o",1.291,0.022,1.0,0,8.01,8.1,8.19,0.08,0.2,0.33,0.99,1.05,1.13,9.41,9.55,9.67,-0.104995938092884,0.805220108150731,0.0057630802941341,8.266
"ASCC 12",72.49920706889,41.70779855647,"o",0.952,0.028,1.0,0,8.45,8.53,8.6,-0.12,0.0,0.12,0.93,0.99,1.05,10.02,10.12,10.26,-1.01049215289812,0.30775048467193,0.0099034932859165,9.138
"ASCC 125",344.0842736687,62.6982977765,"o",1.185,0.026,0.97,2,6.59,6.76,6.97,0.0,0.22,0.44,2.85,3.01,3.2,9.86,10.22,10.59,-0.380827948593376,1.03764800677873,0.0950097397855307,8.566
"ASCC 127",346.64995872135,65.61352851552,"o",2.653,0.029,0.99,0,6.89,6.98,7.05,-0.14,-0.07,0.01,1.11,1.19,1.25,7.81,7.93,8.05,-0.146155224287101,0.355120185715599,0.0749778709552491,8.276
"ASCC 128",349.28066504228,54.16877084173,"o",1.504,0.024,1.0,0,8.12,8.19,8.26,0.39,0.48,0.54,0.39,0.45,0.51,9.04,9.16,9.28,-0.223432540866474,0.637263512696788,-0.0310552624961344,8.37
"ASCC 13",78.1407918466,44.42443667136,"o",0.888,0.028,1.0,0,7.58,7.65,7.73,0.03,0.17,0.3,0.63,0.7,0.75,10.0,10.14,10.3,-1.02076436726228,0.303424070675341,0.101155446013486,9.148
"ASCC 14",80.1256755202,35.22809791033,"o",0.927,0.028,1.0,0,7.4,7.57,7.77,0.05,0.22,0.45,0.56,0.68,0.78,10.06,10.32,10.54,-1.1468500513407,0.164684109563788,0.023768171784866,9.27
"ASCC 18",81.3224294601,0.31655563406,"o",2.415,0.038,0.99,0,6.66,6.8,6.93,0.01,0.15,0.29,0.26,0.4,0.51,7.84,8.03,8.26,-0.353245925588439,-0.14573847122617,-0.0883553769448357,8.476
"ASCC 19",81.96590510139,-1.89040961345,"o",2.806,0.028,1.0,0,6.58,6.73,6.84,0.0,0.14,0.28,0.43,0.56,0.67,7.5,7.71,7.92,-0.298479747968475,-0.137887164828682,-0.0733780623384769,8.422
"ASCC 20",82.00576203078,1.69777149873,"o",2.731,0.037,0.99,0,7.04,7.12,7.2,-0.05,0.03,0.11,0.46,0.53,0.6,7.75,7.85,8.0,-0.329638765847795,-0.129849244967753,-0.0701959045109535,8.453
"ASCC 21",82.36433652892,3.30928617423,"o",2.902,0.028,1.0,0,6.75,6.85,6.96,-0.03,0.07,0.19,0.49,0.59,0.7,7.49,7.67,7.83,-0.307817826288016,-0.11336082445694,-0.0549973650039583,8.431
"ASCC 23",95.02805330681,46.72044702269,"o",1.615,0.036,1.0,0,8.1,8.22,8.32,0.23,0.31,0.41,0.32,0.38,0.44,8.84,8.99,9.1,-0.593357304275919,0.132108815743748,0.199397543768476,8.716
"ASCC 24",98.28676455371,-6.88171055604,"o",4.727,0.038,0.98,3,5.62,6.15,6.65,-0.93,-0.49,-0.07,0.0,0.0,0.0,5.8,6.43,7.1,-0.153098013225081,-0.115380672168216,0.0178269329023066,8.276
"ASCC 27",103.52746180656,-4.53749169096,"o",0.284,0.037,0.95,0,8.0,8.11,8.22,0.55,0.73,0.9,2.78,2.87,2.95,12.34,12.57,12.79,-2.5980959042165,-1.9773042236502,-0.0357853764260774,10.901
"ASCC 28",103.46024061758,-0.23033068028,"o",0.918,0.029,1.0,0,7.75,7.83,7.93,-0.28,-0.14,0.03,0.49,0.56,0.64,9.95,10.13,10.28,-0.886169128718464,-0.584593794302018,0.0518284991901534,9.027
"ASCC 29",103.55436968647,-1.6758216269,"o",0.968,0.03,1.0,0,7.76,7.82,7.89,-0.06,0.04,0.15,0.24,0.3,0.35,9.94,10.06,10.19,-0.84474180412451,-0.585818732607509,0.0411440448520727,8.986
"ASCC 30",104.28299325464,-6.19374769758,"o",0.894,0.03,1.0,0,8.38,8.46,8.52,0.15,0.25,0.37,0.41,0.47,0.52,10.05,10.18,10.3,-0.842935639970998,-0.684823946448097,0.0141882709261462,8.991
"ASCC 33",104.69623763522,-24.00883861491,"o",2.358,0.032,0.99,0,7.8,7.95,8.12,0.02,0.13,0.24,0.36,0.44,0.53,8.01,8.19,8.34,-0.244426702434463,-0.352599669558214,-0.0270671267996521,8.374
"ASCC 36",108.66890594402,-21.05332416353,"o",1.018,0.017,0.99,0,7.82,7.93,8.05,-0.42,-0.29,-0.14,0.27,0.35,0.44,9.8,9.97,10.17,-0.574226463127033,-0.7981384573777,-0.0355725807018499,8.733
"ASCC 45",123.91256802182,-35.67800134393,"o",0.248,0.018,0.88,0,7.15,7.27,7.4,0.24,0.47,0.66,1.87,1.98,2.09,12.42,12.78,13.1,-1.01362278631433,-3.45167773451491,0.0217484383936934,9.766
"ASCC 5",14.50371507298,55.85780429028,"o",0.533,0.02,1.0,0,7.04,7.17,7.3,-0.11,0.11,0.32,0.75,0.86,0.98,11.04,11.35,11.61,-1.0303452589496,1.53471989074595,-0.18275936340062,9.28
"ASCC 51",139.93436595999,-69.63686689758,"o",1.811,0.024,1.0,0,7.87,7.96,8.05,0.04,0.15,0.24,0.39,0.45,0.51,8.61,8.74,8.87,0.152261392566714,-0.521422069693723,-0.093574612685854,7.987
"ASCC 52",141.85624990051,-54.74329323903,"o",0.389,0.019,0.98,0,8.3,8.46,8.57,-0.12,0.08,0.26,1.01,1.14,1.28,11.16,11.42,11.71,0.208625364735294,-1.90938860120662,-0.0532869689129796,8.14
"ASCC 58",153.76451753758,-55.04464876209,"o",2.096,0.028,1.0,0,7.35,7.45,7.54,-0.03,0.06,0.2,0.52,0.6,0.68,8.31,8.48,8.65,0.101126984846543,-0.486074809970927,0.052273887255247,8.036
