"Cluster","Age","Mc","Mdotc","Lwc","k","Mmin*","Mmax*","_RA","_DE"
"ASCC_107",17.0,216.9,6.7e-09,1.3999999999999998e+34,3093.9,1.25,6.07,297.164,21.987
"ASCC_127",18.2,108.7,1.1e-09,2.1e+33,1616.2,0.43,2.78,347.205,64.974
"ASCC_16",13.5,161.4,3.9e-09,7.9e+33,2323.5,0.42,3.1,81.198,1.655
"ASCC_19",10.5,181.2,5.6e-09,1.2e+34,2584.6,0.96,4.28,81.982,-1.987
"ASCC_21",8.9,45.6,5.4e-11,5.9e+31,736.6,0.36,3.28,82.179,3.527
"ASCC_32",25.1,559.6,7.8e-09,1.4999999999999999e+34,8226.4,1.04,3.25,105.714,-26.512
"ASCC_79",18.6,670.9,1.7e-08,3.5e+34,9637.9,1.53,4.54,229.731,-60.798
"ASCC_9",29.5,594.8,6e-09,1.0999999999999999e+34,8852.6,2.71,6.9,41.671,57.743
"Alessi_18",5.1,310.7,2.6e-08,6.2e+34,4278.7,2.25,4.07,114.29583,-26.38833
"Alessi_19",25.7,125.9,1.7e-09,3.2e+33,1853.3,0.88,5.26,274.741,12.311
"Alessi_20",9.3,130.5,2e-09,3.9e+33,1909.2,1.07,3.36,2.593,58.742
"Alessi_43",11.5,574.3,4.1e-08,9.4e+34,7955.4,1.12,6.58,132.631,-41.738
"Alessi_59",10.0,201.1,7.8e-09,1.7e+34,2844.9,2.69,3.47,103.07833,2.19083
"Alessi_Teutsch_5",18.6,316.0,8e-09,1.6e+34,4539.8,1.08,3.7,332.218,61.103
"Andrews_Lindsay_5",1.0,1029.7,6.8e-07,2e+36,13356.9,3.06,5.62,281.079,-4.931
"Antalova_2",12.0,143.4,2.7e-09,5.4e+33,2083.3,1.54,2.17,262.462,-32.541
"Aveni_Hunter_1",10.5,93.3,7.1e-10,1.2e+33,1404.4,1.22,2.8,354.175,48.205
"BDSB30",3.5,43.2,4.5e-11,4.7e+31,702.1,1.63,3.18,333.667,61.433
"BDSB91",14.1,136.1,2.3e-09,4.5e+33,1985.4,1.51,2.54,96.319,-10.551
"BDSB93",15.8,61.9,1.6e-10,2.4e+32,969.6,1.41,5.23,104.297,-8.202
"BDSB96",7.9,99.3,8.7e-10,1.6e+33,1487.4,1.33,5.5,106.332,-12.327
"VDBH_121, BH_121",2.6,1251.8,1.1e-06,3.3e+36,16117.6,1.8,12.3,174.661,-63.387
"VDBH_150, BH_150",21.9,581.7,1.1e-08,2.0999999999999997e+34,8459.6,2.82,7.29,204.506,-63.346
"VDBH_151, BH_151",15.8,417.5,1.5e-08,3.2e+34,5925.2,3.43,10.21,205.051,-61.731
"VDBH_205, BH_205",6.2,452.3,7.6e-08,1.9e+35,6099.2,1.84,4.76,254.053,-40.636
"VDBH_221, BH_221",10.7,515.5,4.3e-08,1e+35,7103.6,1.29,6.64,259.641,-32.334
"VDBH_23, BH_23",28.8,79.3,4e-10,6.7e+32,1211.8,0.43,5.71,123.449,-36.329
"VDBH_245, BH_245",4.7,543.2,1.3e-07,3.2999999999999998e+35,7254.8,4.07,9.08,266.561,-29.7
"VDBH_54, BH_54",8.7,508.3,6.9e-08,1.7e+35,6897.3,2.84,7.42,132.413,-44.353
"VDBH_56, BH_56",17.8,311.4,8.7e-09,1.8e+34,4457.7,1.05,4.47,134.355,-43.181
"Basel_18",27.5,211.8,2.5e-09,4.6e+33,3136.0,1.26,5.09,201.967,-62.306
"Berkeley_14A",9.3,97.0,8e-10,1.4e+33,1456.0,1.41,1.6,75.278,43.429
"Berkeley_15",18.6,1089.5,2.8e-08,5.7e+34,15651.0,1.71,4.62,75.52,44.506
"Berkeley_4",21.4,473.4,9.1e-09,1.8e+34,6872.9,2.55,8.95,11.28364,64.39197
"Berkeley_47",21.9,631.2,1.2e-08,2.3e+34,9180.3,2.69,6.86,292.127,17.362
"Berkeley_59",1.3,1323.8,1.2e-06,3.7999999999999997e+36,17007.6,2.51,9.58,0.57,67.441
"Berkeley_62",14.8,660.5,2.7e-08,5.9e+34,9324.2,1.63,5.78,15.309,63.918
"Berkeley_63",18.2,621.8,1.7e-08,3.4e+34,8917.3,2.53,6.77,34.858,63.718
"Berkeley_86",11.0,180.1,1.2e-05,9.3e+36,2569.0,1.74,5.16,305.084,38.688
"Berkeley_87",8.3,1279.1,1.4e-05,2.3e+37,17298.2,2.62,10.86,305.396,37.433
"Berkeley_90",5.1,817.2,3.8e-07,1.1e+36,10704.6,2.59,13.93,308.819,46.843
"Berkeley_94",15.5,440.0,1.6e-08,3.5e+34,6233.8,2.31,8.35,335.711,55.862
"Berkeley_95",12.0,313.0,2e-08,4.6e+34,4349.8,2.28,7.63,337.082,59.129
"Berkeley_97",15.1,534.0,2.1e-08,4.5e+34,7552.1,1.7,7.22,339.86667,58.9975
"Bica_3",15.8,749.0,2.7e-08,5.599999999999999e+34,10629.5,3.75,7.47,276.519,-13.058
"Biurakan_2",9.3,297.5,2.3e-08,5.4e+34,4108.6,1.48,6.42,302.283,35.488
"Bochum_11",6.3,357.9,3.9e-08,9.4e+34,4890.0,2.12,10.95,161.81333,-60.0975
"Bochum_13",8.9,494.2,6.4e-08,1.6e+35,6718.0,2.36,9.91,259.333,-35.529
"Bochum_6",6.5,497.9,9.9e-08,2.5999999999999997e+35,6679.9,1.68,7.57,112.992,-19.416
"COIN-Gaia_16",25.7,135.3,1.8e-09,3.4e+33,1992.5,1.49,3.49,80.179,37.438
"COIN-Gaia_21",28.2,169.3,1.9e-09,3.5e+33,2511.4,1.4,4.08,84.766,28.402
"Collinder_106",24.5,454.7,6.7e-09,1.3e+34,6671.6,1.42,3.87,99.278,6.002
"Collinder_107",18.2,579.0,1.5e-08,3.2e+34,8303.4,1.43,6.01,99.203,4.972
"Collinder_132",24.5,196.2,2.9e-09,5.5e+33,2879.6,0.83,3.37,108.485,-30.758
"Collinder_135",26.3,305.4,3.9e-09,7.3e+33,4505.3,0.38,4.4,109.362,-37.044
"Collinder_140",26.9,134.8,1.6e-09,3.1e+33,1991.7,0.4,5.12,110.882,-31.966
