ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_498,101.9179,0.0011,-21.6639,0.0061,0.173,-0.2472,0.0389,2.0612,0.2468,232.0213,0.0069,-10.4818,0.0003,26,25,1,8.9223,0.0268,-0.60274,0.33245,13.80838,0.05071,0.60692,0.00988
CKCWDM_543,109.135,0.0027,-33.2117,0.0062,0.1027,-0.6824,0.1081,2.2265,0.1465,245.4008,0.0082,-9.6928,0.0001,29,28,1,8.9401,0.0187,0.29095,0.18183,14.93921,0.05134,0.43076,0.01018
CKCWDM_585,114.9947,0.003,-43.1981,0.0011,0.1017,-1.1281,0.0398,2.597,0.1324,256.5487,0.0019,-10.1219,0.0008,20,20,1,8.9365,0.0179,-0.8605,0.49715,14.96414,0.05214,1.58809,0.01014
CKCWDM_587,116.167,0.0023,-43.9876,0.0028,0.0726,-1.3235,0.1181,2.9087,0.1315,257.6624,0.0036,-9.7466,0.0005,20,20,1,8.9242,0.0352,-0.84,0.49022,15.69301,0.05048,0.94652,0.01003
CKCWDM_696,104.5519,0.0033,-23.6223,0.0113,0.0554,-0.3832,0.0743,1.7336,0.1486,234.8755,0.0142,-9.1276,0.0002,25,23,1,8.8741,0.0165,-0.81995,0.49844,16.28064,0.04948,0.50647,0.00996
CKCWDM_752,103.8884,0.0022,-21.4629,0.0112,0.0583,-0.3431,0.1052,1.6231,0.138,232.6372,0.0132,-8.7412,0.0003,20,19,1,8.762,0.027,0.31216,0.19051,16.17188,0.04906,0.92514,0.01
CKCWDM_868,106.7802,0.0017,-27.7115,0.0076,0.167,-0.9396,0.1116,2.2218,0.1344,239.4892,0.0089,-9.1006,0.0002,24,24,1,8.9183,0.0303,-0.57123,0.34496,13.88436,0.0506,0.51513,0.01041
CKCWDM_948,110.2021,0.0019,-32.5581,0.0018,0.0889,-0.8006,0.1051,1.9949,0.15,245.2129,0.0028,-8.5993,0.0005,35,33,1,8.9035,0.0247,-0.58576,0.34401,15.25497,0.04987,0.42522,0.00988
CKCWDM_974,109.7526,0.0032,-31.4076,0.0054,0.1104,-0.7133,0.108,2.1424,0.1299,244.0006,0.0074,-8.4218,0.0004,25,24,1,8.8944,0.0269,0.32904,0.18017,14.7834,0.04923,0.51094,0.00973
CKCWDM_992,108.1864,0.0018,-30.4833,0.0065,0.1017,-0.5059,0.1075,2.0349,0.175,242.5581,0.0079,-9.2133,0.0001,22,22,1,8.9268,0.0176,-0.88039,0.47922,14.96428,0.05123,0.37945,0.01014
CKCWDM_1327,105.4742,0.0023,-22.1704,0.008,0.0751,-0.4548,0.1142,1.5086,0.149,233.9319,0.0101,-7.7281,0.0001,20,17,1,8.9152,0.0213,-0.88517,0.48752,15.6209,0.05149,0.79142,0.00977
CKCWDM_1428,108.539,0.0038,-28.2073,0.0082,0.0804,-0.4926,0.0755,1.6324,0.1243,240.6339,0.0112,-7.927,0.0002,31,30,1,8.903,0.0249,-0.10171,0.06117,15.47176,0.04858,0.68098,0.00992
CKCWDM_1489,108.9718,0.0015,-27.7484,0.0008,0.0452,-0.7918,0.0998,1.7274,0.1667,240.3937,0.0016,-7.3792,0.0004,23,23,1,8.8797,0.0198,0.30167,0.17057,16.72036,0.05258,0.73629,0.00997
CKCWDM_1534,108.6104,0.0025,-26.0338,0.0043,0.0758,-0.6804,0.0285,1.9271,0.1037,238.7054,0.006,-6.8921,0.0004,20,19,1,8.9178,0.0339,-0.84357,0.48886,15.59937,0.0493,1.24438,0.00986
CKCWDM_1543,109.1879,0.0032,-29.4897,0.0078,0.092,-0.6868,0.0585,2.1511,0.132,242.0487,0.0103,-7.9944,0.0002,34,34,1,8.9081,0.0369,-0.57328,0.33502,15.17611,0.05104,0.61311,0.00981
CKCWDM_1649,110.1434,0.0015,-30.2054,0.0049,0.117,-0.8424,0.0945,1.9266,0.2209,243.0712,0.0059,-7.5787,0.0002,30,29,1,8.9253,0.0191,-0.8694,0.48027,14.65748,0.05033,0.64505,0.00981
CKCWDM_1654,111.8042,0.0012,-32.0049,0.0048,0.1483,-0.9454,0.1703,2.7369,0.1545,245.3413,0.0053,-7.1417,0.0004,37,36,1,8.9271,0.0192,-0.876,0.47802,14.14061,0.0497,0.83441,0.00976
CKCWDM_1684,109.9234,0.0003,-29.3704,0.0028,0.0809,-0.7987,0.146,2.0575,0.2161,242.2336,0.0028,-7.369,0.0003,26,26,1,8.9187,0.0316,-0.58121,0.33169,15.4566,0.05125,0.67471,0.01004
CKCWDM_1687,110.4688,0.002,-29.7849,0.0024,0.0821,-0.681,0.0574,1.7551,0.0901,242.8236,0.0035,-7.1361,0.0005,26,25,1,8.9033,0.0239,-0.57899,0.33423,15.42859,0.05141,0.68622,0.01006
