"Name","RAJ2000","DEJ2000","pmRA","pmDE","plx","Dist","logAge","[Fe/H]","Av","Nstar","dr","rc","e_rc","rcpc","e_rcpc","mu","e_mu","mupc","e_mupc","mf-all","e_mf-all","mf-low","e_mf-low","mf-high","e_mf-high","mass-single","Rhalfmass","trh","qlim","fbin-qlim","e_fbin-qlim","fbin-tot","e_fbin-tot","fbincore-tot","e_fbincore-tot","fbss-MS","e_fbss-MS","Nbss"
"Alessi12",310.9028,23.8969,4.329,-4.648,1.825,8.658,8.195,-0.023,0.248,517,1,19.257494,3.266028,3.019355,0.512076,0.115175,0.02018,0.0028,0.0005,2.105,0.049,1.411,0.028,3.76,0.05,526.082,42.077623,24.7723,0.6,0.092,0.073,0.229,0.182,0.207,0.425,0.0,0.0,0
"ASCC32",105.7112,-26.5758,-3.317,3.475,1.24,9.494,7.432,-0.003,0.22,2064,1,36.809262,4.14584,8.480237,0.955132,0.135216,0.008772,0.0072,0.00047,2.127,0.025,1.081,0.016,3.687,0.03,2417.39,73.051369,36.5429,0.6,0.144,0.039,0.36,0.098,0.287,0.195,0.0,0.0,0
"Collinder258",186.7703,-60.7602,-7.065,-0.263,0.765,10.38,8.143,0.15,0.751,236,0,3.422335,0.810697,1.18566,0.280864,1.624024,0.211328,0.19,0.025,2.731,0.123,2.592,0.084,3.053,0.268,1032.35,6.322249,37.1785,0.7,0.195,0.084,0.651,0.281,1.0,0.42,0.0,0.0,0
"Collinder394",283.0602,-20.2242,-1.465,-5.882,1.389,9.201,7.932,0.152,0.904,691,1,9.234045,1.24918,1.858762,0.251453,0.506836,0.028079,0.021,0.0011,2.075,0.042,2.106,0.048,3.021,0.242,1340.09,22.416358,123.32,0.6,0.098,0.05,0.245,0.124,0.38,0.302,0.0,0.0,0
"Collinder463",26.9513,71.7699,-1.713,-0.299,1.137,9.593,8.243,0.195,1.096,679,1,12.645776,2.34196,3.04948,0.564755,0.355904,0.073845,0.021,0.0043,2.134,0.045,1.613,0.062,2.342,0.061,1496.18,26.709542,52.7269,0.65,0.119,0.048,0.34,0.136,0.063,0.403,0.0,0.0,0
"Haffner13",115.2406,-30.0685,-6.192,5.887,1.736,8.745,7.63,0.086,0.174,492,0,14.295071,1.786835,2.332786,0.29159,0.297898,0.02616,0.0079,0.0007,2.132,0.057,0.977,0.032,0.0,0.0,560.935,20.699014,37.4575,0.6,0.126,0.071,0.315,0.177,0.333,0.335,0.0,0.0,0
"Haffner22",123.1043,-27.9024,-1.635,2.875,0.331,12.158,9.387,-0.347,0.7,721,1,4.352989,0.656853,3.421359,0.516273,4.17034,0.350328,2.6,0.22,0.669,0.014,0.484,0.088,-0.188,0.991,940.188,6.815023,116.705,0.6,0.188,0.043,0.471,0.107,0.592,0.175,0.07,0.001,8
"Haffner26",123.9064,-30.8481,-1.584,2.371,0.305,12.006,8.769,-0.121,0.757,703,1,4.432178,0.820151,3.247664,0.600963,1.857066,0.268728,1.0,0.14,3.443,0.113,4.784,0.077,3.371,0.36,14563.9,8.958788,193.032,0.65,0.24,0.065,0.686,0.185,0.429,0.449,0.0,0.0,0
"IC2488",141.8464,-57.019,-7.764,5.689,0.724,10.521,8.254,0.094,0.888,822,1,7.67205,1.13251,2.836499,0.41871,1.268359,0.057126,0.17,0.0078,2.452,0.053,1.555,0.057,2.713,0.115,3028.76,13.259287,50.1432,0.65,0.158,0.047,0.45,0.133,0.437,0.234,0.0,0.0,0
"IC2714",169.3793,-62.711,-7.588,2.66,0.723,10.448,8.678,0.04,1.218,1761,1,6.086027,0.570725,2.175762,0.204035,4.433049,0.281203,0.57,0.036,2.679,0.043,2.663,0.035,2.758,0.18,8795.18,10.481555,67.9804,0.65,0.139,0.028,0.397,0.079,0.457,0.143,0.0,0.0,0
"IC4725",277.9379,-19.1124,-1.687,-6.112,1.513,9.024,8.223,0.169,1.358,572,1,11.253893,1.143033,2.088571,0.212131,0.568413,0.046586,0.02,0.0016,1.859,0.038,2.227,0.083,2.112,0.075,1267.65,15.641235,133.755,0.65,0.088,0.054,0.252,0.153,0.357,0.269,0.0,0.0,0
"Lynga2",216.0807,-61.3326,-6.71,-4.682,1.034,9.824,8.208,0.046,0.973,197,0,7.18892,1.683593,1.928059,0.451537,0.546893,0.079465,0.039,0.0057,2.325,0.097,1.101,0.087,3.24,0.666,521.616,8.82902,34.3412,0.6,0.098,0.078,0.246,0.195,0.172,0.4,0.0,0.0,0
"Melotte22",56.6466,24.0985,19.954,-45.511,7.352,5.652,8.116,0.032,0.168,1200,0,54.641873,4.305476,2.145779,0.169075,0.047405,0.002853,7.3e-05,4e-06,1.396,0.011,0.979,0.015,0.0,0.0,935.909,83.143417,522.034,0.6,0.059,0.04,0.148,0.1,0.215,0.175,0.0,0.0,0
"Melotte71",114.3783,-12.0681,-2.444,4.208,0.437,11.424,9.123,-0.154,0.556,1054,1,2.85175,0.31482,1.598523,0.17647,11.83421,1.137339,3.7,0.36,1.965,0.031,1.816,0.046,2.216,0.194,2881.33,5.612046,55.9053,0.6,0.143,0.03,0.358,0.075,0.438,0.152,0.053,0.0,5
"NGC1245",48.6845,47.2359,0.512,-1.568,0.289,12.207,9.079,-0.001,0.831,1114,1,3.653853,0.364429,2.936687,0.2929,8.668766,0.582193,5.6,0.38,1.93,0.031,1.34,0.087,1.797,0.119,3356.09,5.698663,38.2688,0.65,0.125,0.041,0.356,0.118,0.477,0.183,0.025,0.001,3
