"Cluster","GLON","GLAT","Parallax","pmRA","pmDE","log(Age)","A0","OC_Type","rc (pc)","rb (pc)","rt (rc') (pc)","N_TypeI","N_TypeII","RA","DEC"
"Berkeley_26",207.699,2.354,0.18,0.06,0.42,9.65,2.0,"A","1.04 ± 0.36","5.78 ± 2.49","9.82 ± 0.10",4,20,102.57168,5.72947
"CWNU_2946",286.158,2.929,0.08,-4.24,2.02,9.35,1.55,"A","6.84 ± 0.87","9.03 ± 0.27","21.36 ± 0.33",2,2,161.95475,-55.86387
"CWNU_2961",273.269,-3.714,0.14,-3.52,3.42,9.4,1.2,"A","1.52 ± 0.06","10.24 ± 0.14","20.20 ± 0.16",2,7,137.22746,-53.25151
"CWNU_2974",262.278,-7.022,0.13,-2.55,4.4,9.5,0.8,"A","1.49 ± 0.16","6.24 ± 0.19","11.99 ± 0.56",1,3,122.79654,-46.54183
"CWNU_2987",228.1,3.474,0.16,-0.67,1.44,9.3,0.66,"A","0.84 ± 0.05","6.87 ± 0.29","14.62 ± 0.09",2,2,113.04092,-11.81827
"CWNU_3008",113.145,4.68,0.1,-1.22,-0.25,9.3,3.5,"A","7.58 ± 0.72","9.53 ± 0.21","22.05 ± 0.44",2,8,348.56039,65.68781
"CWNU_3009",124.156,-4.891,0.14,-1.23,-0.05,9.3,1.3,"A","0.81 ± 1.13","3.29 ± 0.25","13.57 ± 1.06",1,1,15.1588,57.95889
"CWNU_3048",157.106,4.428,0.23,0.44,-1.64,9.35,2.94,"A","0.54 ± 0.57","6.97 ± 0.48","11.51 ± 1.55",1,4,74.09625,50.29332
"CWNU_3064",149.648,5.699,0.21,0.05,-0.02,9.45,1.32,"A","0.69 ± 0.16","4.44 ± 0.30","15.00 ± 2.23",5,16,67.54459,56.75444
"CWNU_3067",147.947,10.025,0.23,0.56,-0.11,9.25,1.76,"A","3.57 ± 0.02","9.94 ± 4.53","21.46 ± 0.21",3,1,71.68025,60.87583
"CWNU_3085",292.325,0.517,0.11,-6.5,1.92,8.95,2.85,"A","1.03 ± 0.16","5.90 ± 0.42","20.81 ± 1.56",1,7,170.88713,-60.53203
"CWNU_3096",214.251,-2.026,0.22,-0.31,-0.31,9.15,2.47,"A","1.33 ± 0.24","7.98 ± 0.26","16.78 ± 0.50",2,0,101.65689,-2.09722
"CWNU_3102",114.051,-9.984,0.2,-2.17,-0.86,9.45,0.75,"A","0.98 ± 0.69","3.89 ± 0.21","13.55 ± 1.95",2,2,358.59398,51.90109
"CWNU_3109",225.277,-4.989,0.17,-0.09,1.11,9.55,1.4,"A","1.83 ± 0.42","6.61 ± 0.12","12.44 ± 0.53",1,0,104.02046,-13.25069
"CWNU_3114",66.921,0.393,0.15,-3.38,-5.98,8.75,2.8,"A","0.85 ± 0.06","8.24 ± 0.94","17.69 ± 0.40",1,8,299.56271,30.04303
"CWNU_3129",255.945,2.017,0.11,-2.06,1.84,9.25,2.1,"A","2.07 ± 0.10","12.95 ± 2.87","16.49 ± 0.46",2,4,127.95187,-36.20627
"CWNU_3142",117.775,0.928,0.16,-0.74,-0.78,9.45,2.32,"A","1.88 ± 0.19","4.93 ± 0.08","11.13 ± 0.12",2,6,1.30676,63.33612
"CWNU_3153",177.157,5.046,0.19,0.31,-0.76,9.2,1.89,"A","2.15 ± 0.84","5.60 ± 0.25","18.23 ± 2.25",4,2,89.81406,33.94379
"CWNU_3154",20.255,-1.398,0.18,-0.2,-1.74,9.15,4.1,"A","1.39 ± 0.02","10.33 ± 0.25","20.12 ± 0.10",1,2,278.26819,-11.91015
"CWNU_3160",62.781,6.01,0.05,-2.59,-4.85,9.3,1.1,"A","0.52 ± 0.12","10.47 ± 4.13","15.37 ± 0.18",3,3,291.59373,29.22694
"CWNU_3184",74.334,2.945,0.06,-2.46,-4.12,8.65,3.68,"A","4.12 ± 1.16","12.25 ± 2.68","22.49 ± 0.90",0,1,301.68848,37.67876
"CWNU_3190",87.309,5.739,0.2,-3.44,-4.98,9.25,3.95,"A","2.43 ± 0.02","8.02 ± 0.21","14.82 ± 0.07",2,2,308.63105,49.9438
"CWNU_3200",288.257,0.087,0.1,-4.66,2.02,8.8,2.65,"A","7.22 ± 0.22","38.13 ± 0.19","45.79 ± 0.38",2,9,163.0658,-59.34603
