"ID","Z","[Fe/H]","sigma_[Fe/H]","Number","m-M","E(V-I)","Age","Name"
"LISC_0000",0.008,-0.2265,0.0592,84,11.36,0.43,0.7,"NGC 1817, LISC_0000"
"LISC_0017",0.004,-0.1985,0.0223,4,11.3,0.3,0.5,"NGC 2186, LISC_0017"
"LISC_0030",0.004,-0.1514,0.1042,67,11.92,0.28,1.6,"NGC 1245, LISC_0030"
"LISC_0122",0.004,-0.1362,0.2619,23,11.4,0.65,0.5,"FSR 0850, LISC_0122"
"LISC_0123",0.004,-0.2294,0.1287,44,12.39,0.62,0.7,"NGC 2194, LISC_0123"
"LISC_0125",0.008,-0.2885,0.0355,7,11.9,0.64,0.9,"NGC 2236, LISC_0125"
"LISC_0296",0.001,-0.1734,0.0662,11,11.8,0.93,0.0,"FSR 0904, LISC_0296"
"LISC_0569",0.0001,-0.2582,0.063,4,13.15,0.33,0.4,"NGC 2324, LISC_0569"
"LISC_0936",0.004,0.0017,0.2081,25,11.2,1.0,0.1,"Tombaugh 5, LISC_0936"
"LISC_0942",0.004,-0.0152,0.0452,3,13.45,0.59,1.1,"NGC 1798, LISC_0942"
"LISC_0963",0.008,-0.2572,0.0583,32,12.58,0.24,0.9,"NGC 2266, LISC_0963"
"LISC_0964",0.008,-0.1471,0.0947,30,11.6,0.35,0.7,"NGC 2355, LISC_0964"
"LISC_0977",0.008,-0.2747,0.0475,55,12.3,0.25,1.5,"NGC 2420, LISC_0977"
"LISC_3072",0.008,-0.0667,0.0938,57,10.2,0.21,0.9,"NGC 6866, LISC_3072"
"LISC_3080",0.008,-0.2401,0.1121,13,10.37,0.2,2.6,"FSR 0866, LISC_3080"
"LISC_3088",0.008,-0.2343,0.0402,21,10.54,0.39,1.4,"NGC 2126, LISC_3088"
"LISC_3107",0.008,-0.4691,0.022,3,10.38,0.47,0.7,"UBC 215, LISC_3107"
"LISC_3133",0.0001,-0.1411,0.046,3,11.03,0.53,0.0,"COIN-Gaia 28, LISC_3133"
"LISC_3298",0.0003,-0.1668,0.05,4,11.15,0.19,0.4,"Gulliver 47, LISC_3298"
"LISC_3310",0.008,-0.0893,0.0702,111,10.0,0.19,0.9,"NGC 6811, LISC_3310"
"LISC_3313",0.004,-0.2714,0.1695,39,9.63,0.41,0.3,"ASCC 11, LISC_3313"
"LISC_3389",0.001,-0.1052,0.2723,9,8.7,0.12,0.3,"NGC 7063, LISC_3389"
"LISC_3390",0.0003,-0.2344,0.0325,11,8.52,0.2,0.4,"ASCC 124, LISC_3390"
"LISC_3391",0.004,-0.0278,0.0188,10,8.7,0.27,0.0,"UPK 185, LISC_3391"
"LISC_3405",0.008,0.003,0.0491,9,8.68,0.16,0.1,"ASCC 113, LISC_3405"
"LISC_3407",0.008,-0.1004,0.0222,6,9.84,0.36,0.0,"UBC 183, LISC_3407"
"LISC_3426",0.0001,-0.1929,0.1072,15,9.9,0.38,0.1,"COIN-Gaia 23, LISC_3426"
