"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"Berkeley 58",0.05,60.96667,"nan",11.0,2700.0,0.72,8.47,"K14",0.56,0.26,1.56,0.26,88.0,"K14",-87.0,1.78,1.0,"D14","nan","nan","nan","nan"
"NGC 7801",0.0875,50.74167,"r",8.0,1275.0,0.17,9.23,"D14",-3.56,0.36,-2.6,0.24,85.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-3-p-*"
"FSR 0459",0.1625,59.23889,"IR",2.0,3800.0,1.103,8.95,"K12",-1.66,0.59,-0.01,0.59,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Stock 18",0.40417,64.625,"nan",6.0,1242.0,0.71,8.1,"D14",-2.78,0.15,-0.15,0.08,109.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-*"
"Berkeley 59",0.55833,67.41667,"nan",10.0,1000.0,1.241,6.1,"BDW",-2.11,0.81,-1.2,0.75,2.0,"K14",-5.17,9.48,3.0,"D14","nan","nan","nan","3-3-m-n"
"Berkeley 104",0.875,63.58333,"nan",3.0,4365.0,0.45,8.89,"D14",-2.35,0.31,-0.3,0.03,76.0,"K14","nan","nan","nan","nan",0.07,"nan","nan","4-2-p-*"
"Blanco 1",1.02917,-29.83333,"nan",70.0,269.0,0.01,7.796,"TYC",20.17,0.51,3.0,0.51,27.0,"K14",5.53,0.11,49.0,"M09",0.04,0.02,8.0,"nan"
"Stock 19",1.17083,56.08333,"nan",4.0,"nan","nan","nan","D14",1.43,0.58,-2.04,0.19,42.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-*"
"NGC 7826",1.32083,-20.69167,"r",20.0,620.0,0.03,9.34,"D14",6.48,1.97,-6.2,1.18,39.0,"K14",-4.62,2.39,1.0,"D14","nan","nan","nan","4-2-p-*"
"Majaess 1",1.84167,64.97278,"IR",5.0,"nan","nan","nan","D14",4.63,0.64,1.72,0.48,20.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Czernik 1",1.90833,61.475,"nan",2.5,2530.0,1.23,6.7,"K12",-3.83,0.86,1.66,0.86,5.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-m-*"
"SAI 1",2.08333,51.72083,"nan",4.0,2170.0,0.34,9.1,"D14",0.31,0.92,-0.88,0.53,35.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 1",2.4,60.475,"nan",5.0,2420.0,0.78,8.6,"D14",-1.83,0.37,-0.75,0.27,135.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-1-p-*"
"ASCC 1",2.4,62.68,"nan",24.0,4000.0,0.16,8.25,"D14",-3.27,0.08,1.19,0.04,1189.0,"K14",-74.1,0.39,3.0,"D14","nan","nan","nan","nan"
"King 13",2.525,61.16667,"nan",5.0,3100.0,0.82,8.5,"D14",-4.15,0.11,-2.46,0.02,127.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-m-*"
"FSR 0474",2.72083,59.74722,"IR",4.6,4638.0,1.145,8.9,"D14",-0.41,0.38,-0.81,0.12,53.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0480",3.72917,61.47306,"IR",1.5,5492.0,0.937,9.3,"D14",-1.66,0.57,-1.81,0.12,24.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Juchert Saloran 1",4.08333,59.96194,"nan",5.0,3859.0,0.83,9.05,"D14",-0.59,0.54,0.58,0.19,60.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
