"n_Cluster","Cluster","V","RAJ2000","DEJ2000","Rad","N","Nc","pmRAc","e_pmRAc","pmDEc","e_pmDEc","rhoc","Nf","pmRAf","e_pmRAf","pmDEf","e_pmDEf","rhof","FileName","n_FileName","ocl_left","RV","e_RV","o_RV","r_RV","ocl_right","_RA","_DE"
"*","AH03 J0822-36.4","nan",125.55,-36.4,7.0,386.0,303.0,-3.48,1.87,1.49,2.25,-0.18,83.0,-4.91,15.36,0.99,13.96,-0.24,"AH03_J0822-36.4.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","AH03 J1725-34.4","nan",261.3833,-34.40556,2.3,31.0,26.0,-3.29,2.74,-0.95,2.54,0.16,5.0,-3.95,16.68,-18.68,7.09,0.9,"AH03_J1725-34.4.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","AH03 J2011+26.7","nan",302.98749,26.73556,3.25,55.0,32.0,0.29,0.1,-2.56,5.78,0.32,23.0,-3.35,16.83,-4.67,14.9,-0.02,"AH03_J2011+26.7.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 1","nan",2.4,62.68,13.0,1587.0,1189.0,-3.27,2.6,1.19,1.45,0.01,398.0,-0.69,16.45,2.84,14.93,0.01,"ASCC_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 100","nan",285.40417,33.57,19.6,1964.0,1691.0,0.2,3.27,-3.41,4.86,0.19,273.0,-0.07,16.6,-2.93,17.14,0.09,"ASCC_100.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 101","nan",288.40417,36.33,22.6,2769.0,2109.0,-0.17,2.32,-2.76,3.92,0.26,660.0,-0.19,13.31,-3.05,14.05,0.07,"ASCC_101.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 102","nan",291.20834,29.95,11.8,1442.0,1232.0,-1.0,2.18,-1.4,2.41,0.41,210.0,-5.9,18.01,-3.32,19.01,-0.1,"ASCC_102.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 104","nan",294.72083,18.69,29.8,10528.0,8379.0,-0.99,1.64,-3.22,1.9,0.24,2149.0,-1.93,17.57,-3.89,18.62,0.03,"ASCC_104.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 105","nan",295.44165,27.38,37.0,14383.0,10389.0,-2.05,1.92,-4.11,2.08,0.16,3994.0,-2.38,20.53,-3.96,20.22,-0.02,"ASCC_105.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 107","nan",297.1333,21.96,7.6,549.0,423.0,0.93,2.48,-4.04,3.66,0.22,126.0,0.53,19.88,-7.87,16.66,-0.13,"ASCC_107.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 108","nan",298.45416,39.37,14.2,2013.0,1581.0,-1.99,2.85,-4.01,2.93,0.21,432.0,0.1,18.46,-2.16,17.55,0.13,"ASCC_108.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 109","nan",298.5,34.58,31.0,9261.0,7530.0,-2.52,2.89,-4.59,3.82,0.21,1731.0,-2.89,20.81,-3.06,19.91,0.07,"ASCC_109.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
