"Cluster","radius","Ntot","Ncabs","Ncrel","pmRAC","s_pmRAC","pmDEC","s_pmDEC","rhoC","Nfabs","pmRAF","s_pmRAF","pmDEF","s_pmDEF","rhoF","FileName"
"AH03_J0822-36.4",7.0,380,305,0.8,-3.6,2.09,3.54,2.52,-0.24,75,-7.68,7.28,2.85,8.57,-0.45,"AH03_J0822-36.4.dat"
"ASCC_107",7.6,528,396,0.75,-2.98,2.4,-5.18,2.45,0.25,132,-5.44,11.84,-5.09,12.97,-0.11,"ASCC_107.dat"
"ASCC_114",10.6,837,624,0.75,-4.08,2.2,-2.89,1.73,0.21,213,-1.36,11.18,-3.05,11.75,0.14,"ASCC_114.dat"
"ASCC_115",10.6,1143,962,0.84,-4.46,2.0,-2.99,1.74,0.27,181,-2.01,11.95,-2.24,10.89,0.09,"ASCC_115.dat"
"ASCC_116",11.8,960,769,0.8,-3.8,2.76,-2.84,2.01,0.25,191,-2.31,11.87,-4.09,9.32,0.03,"ASCC_116.dat"
"ASCC_119",13.6,1225,969,0.79,-4.22,3.53,-3.32,2.78,0.27,256,-0.08,11.3,-1.52,9.4,0.25,"ASCC_119.dat"
"ASCC_12",16.0,1247,927,0.74,0.62,1.06,-2.71,1.55,-0.07,320,2.7,7.21,-5.74,7.72,0.01,"ASCC_12.dat"
"ASCC_130",10.0,933,783,0.84,-2.24,2.2,-0.32,0.1,0.07,150,0.19,9.72,-1.72,7.25,0.07,"ASCC_130.dat"
"ASCC_14",14.2,716,539,0.75,1.21,1.88,-3.16,2.27,-0.03,177,3.01,9.41,-6.83,9.98,-0.07,"ASCC_14.dat"
"ASCC_15",13.0,722,561,0.78,1.12,2.05,-3.37,2.6,-0.04,161,3.75,8.78,-6.07,10.45,0.09,"ASCC_15.dat"
"ASCC_17",16.0,1021,802,0.79,0.79,1.59,-3.16,2.57,-0.1,219,1.87,7.03,-7.68,7.67,-0.12,"ASCC_17.dat"
"ASCC_23",22.6,1258,936,0.74,0.79,2.39,-2.73,2.85,0.05,322,2.36,10.31,-8.2,11.98,0.04,"ASCC_23.dat"
"ASCC_24",22.0,1002,783,0.78,-0.75,2.69,-0.41,3.3,-0.11,219,-0.29,8.51,-4.15,10.1,-0.19,"ASCC_24.dat"
"ASCC_25",13.6,666,554,0.83,0.27,2.57,-3.44,2.24,0.01,112,1.89,7.71,-10.36,8.06,0.13,"ASCC_25.dat"
"ASCC_27",13.0,654,483,0.74,-1.26,1.61,-1.32,2.22,-0.09,171,-1.55,8.67,-2.63,9.08,-0.15,"ASCC_27.dat"
"ASCC_3",13.6,991,807,0.81,-0.88,2.9,-1.26,1.21,0.01,184,1.32,10.85,-2.79,8.52,0.21,"ASCC_3.dat"
"ASCC_36",11.8,759,605,0.8,-1.69,1.48,2.4,1.81,-0.03,154,-2.3,6.24,1.53,8.2,-0.1,"ASCC_36.dat"
"ASCC_37",10.6,802,660,0.82,-2.09,1.67,1.99,2.32,-0.29,142,-3.16,8.09,2.93,9.07,-0.13,"ASCC_37.dat"
"ASCC_40",11.8,1101,908,0.82,-2.09,1.33,1.42,1.8,-0.11,193,-3.78,6.82,-1.18,7.89,-0.25,"ASCC_40.dat"
"ASCC_5",8.8,334,289,0.87,-0.58,3.84,-1.08,1.08,-0.13,45,3.54,13.69,-5.95,8.03,0.27,"ASCC_5.dat"
"ASCC_60",8.2,1203,931,0.77,-7.44,2.29,2.89,1.3,-0.14,272,-8.89,9.14,2.38,9.15,-0.23,"ASCC_60.dat"
"ASCC_78",10.6,1091,869,0.8,-5.46,3.34,-4.69,2.74,0.19,222,-7.36,10.26,-6.57,8.85,0.08,"ASCC_78.dat"
