Cluster,Distance_UBVRI_pc,e_Distance_UBVRI_pc,logAge_UBVRI_dex,e_logAge_UBVRI_dex,Av_UBVRI_mag,e_Av_UBVRI_mag,FeH_UBVRI_dex,e_FeH_UBVRI_dex,Distance_Gaia_pc,e_Distance_Gaia_pc,logAge_Gaia_dex,e_logAge_Gaia_dex,Av_Gaia_mag,e_Av_Gaia_mag,FeH_Gaia_dex,e_FeH_Gaia_dex,alpha_deg,delta_deg,Nc,R_deg,plx,sigma_plx,mu_alpha_cos_delta,sigma_mu_alpha_cos_delta,mu_delta,sigma_mu_delta,RV_km_s,sigma_RV_km_s,NRV
"VDBH 217, BH 217",2647,252,6.837,0.170,4.209,0.076,0.162,0.041,2228,204,7.133,0.489,3.488,0.095,0.193,0.039,259.0719,-40.8181,196,0.034,0.316,0.130,-0.704,0.164,-1.860,0.142,nan,nan,nan
Collinder 307,1845,43,8.054,0.174,2.823,0.059,0.101,0.022,1741,41,8.333,0.084,2.545,0.052,0.171,0.025,248.8126,-50.9981,168,0.048,0.524,0.106,-0.745,0.170,-3.327,0.145,nan,nan,nan
Collinder 416,1593,30,7.767,0.149,2.104,0.051,-0.020,0.066,1494,49,7.915,0.120,1.929,0.035,0.181,0.070,302.8938,26.5363,122,0.049,0.601,0.146,-3.195,0.104,-5.654,0.118,nan,nan,nan
Dias 6,2279,145,8.830,0.081,2.773,0.134,0.173,0.035,2370,113,8.727,0.611,3.001,0.056,0.155,0.046,277.6169,-12.3233,303,0.040,0.344,0.140,0.515,0.154,-0.587,0.121,4.654,0.862,2
ESO 275 01,1508,16,8.096,0.140,1.252,0.047,0.046,0.033,1482,15,8.161,0.086,1.566,0.038,0.102,0.048,238.7738,-46.0128,179,0.039,0.628,0.235,-0.253,0.252,-1.381,0.237,nan,nan,nan
ESO 518 03,1620,70,9.201,0.188,0.938,0.087,0.108,0.094,1599,72,9.131,0.131,1.341,0.175,-0.007,0.074,251.7718,-25.8110,46,0.036,0.598,0.070,2.676,0.314,-2.663,0.197,22.095,0.653,5
Harvard 13,1133,15,9.113,0.071,1.268,0.139,0.146,0.061,1118,23,9.045,0.027,1.563,0.101,0.115,0.109,255.9652,-48.0893,79,0.053,0.833,0.092,-2.833,0.239,-7.209,0.210,-3.296,1.256,13
Hogg 19,2285,49,7.829,0.119,2.482,0.061,0.119,0.016,2161,86,7.339,0.308,2.378,0.060,0.136,0.056,247.2408,-49.1087,75,0.038,0.409,0.076,-2.116,0.102,-3.132,0.097,nan,nan,nan
Hogg 21,2330,59,7.969,0.098,1.916,0.038,0.159,0.020,2269,78,7.835,0.295,1.963,0.065,0.150,0.033,251.4036,-47.7385,91,0.038,0.369,0.077,-1.004,0.119,-2.121,0.088,nan,nan,nan
IC 4651,915,15,9.139,0.100,0.365,0.094,0.115,0.025,902,8,9.277,0.024,0.544,0.039,-0.089,0.021,261.2037,-49.9324,277,0.068,1.060,0.086,-2.450,0.196,-5.071,0.204,-30.486,0.785,28
King 26,2107,75,8.244,0.069,3.334,0.080,0.126,0.038,2007,54,7.797,0.199,3.072,0.041,0.144,0.043,292.2398,14.8795,77,0.032,0.411,0.055,-2.386,0.079,-5.003,0.084,nan,nan,nan
NGC 5138,1808,28,7.875,0.156,0.803,0.043,-0.040,0.021,1803,49,8.033,0.109,0.848,0.054,0.031,0.072,201.8212,-59.0296,117,0.050,0.525,0.098,-3.642,0.109,-1.399,0.127,nan,nan,nan
NGC 6031,1691,37,7.620,0.227,1.638,0.069,0.042,0.017,1674,37,7.902,0.142,1.562,0.037,0.134,0.047,241.8911,-54.0157,127,0.036,0.545,0.089,-2.191,0.124,-3.069,0.102,nan,nan,nan
