Name,RA,DEC,R,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logt,e_logt,AV,e_AV,[Fe/H],e_[Fe/H]
Dias 12,9.2993,66.3245,12.681,79,-1.540,0.227,-0.006,0.163,0.159,0.087,-91.057,2.089,2,6069,1506,8.939,0.405,4.010,0.395,-0.181,0.063
Dias 13,15.0612,64.3680,9.861,54,-1.603,0.228,-0.114,0.114,0.162,0.061,nan,nan,0,3120,1180,8.770,0.731,3.064,0.349,-0.333,0.101
Dias 14,33.1042,62.5949,19.458,141,-0.921,0.238,0.092,0.302,0.213,0.056,-60.781,0.830,2,3546,690,8.357,0.494,2.407,0.223,-0.208,0.042
Dias 15,45.9315,62.9139,19.751,85,-0.089,0.138,0.056,0.209,0.188,0.050,-33.649,2.538,2,6403,1310,9.027,0.218,2.743,0.283,-0.181,0.130
Dias 16,61.9305,53.5426,14.053,52,0.116,0.244,0.326,0.121,0.161,0.043,nan,nan,0,3834,760,8.805,0.312,2.616,0.183,-0.361,0.116
Dias 17,66.5584,53.4130,3.394,31,0.108,0.174,-1.044,0.136,0.227,0.070,nan,nan,0,3137,615,8.225,0.763,2.480,0.220,-0.295,0.034
Dias 18,84.2710,26.5927,6.774,43,0.340,0.138,-0.306,0.186,0.220,0.076,-11.718,2.078,2,3733,413,8.659,0.238,2.403,0.241,-0.263,0.101
Dias 19,87.7687,23.6001,8.012,49,0.398,0.141,-0.632,0.274,0.197,0.091,nan,nan,0,5193,557,8.787,0.723,2.545,0.164,-0.269,0.137
Dias 20,99.5408,8.2739,17.297,44,-0.167,0.146,-0.377,0.163,0.209,0.049,39.631,1.380,5,4678,761,8.882,0.197,2.197,0.187,-0.304,0.097
Dias 21,100.8634,-1.2482,6.837,44,-0.423,0.137,0.534,0.100,0.178,0.051,nan,nan,0,4295,225,7.730,0.209,1.973,0.058,-0.227,0.088
Dias 22,110.0193,-13.3799,11.545,40,-0.647,0.083,0.751,0.097,0.226,0.035,nan,nan,0,3504,236,8.327,0.430,1.614,0.118,-0.206,0.074
Dias 23,120.7232,-28.0161,6.765,35,-1.815,0.130,2.482,0.200,0.192,0.035,47.955,2.839,2,5563,545,9.210,0.292,1.246,0.305,-0.183,0.053
Dias 24,122.8776,-34.0747,8.613,45,-2.482,0.092,3.008,0.109,0.167,0.026,96.460,3.521,5,5769,705,8.179,0.863,1.676,0.225,-0.194,0.121
Dias 25,124.5981,-32.1535,17.975,66,-2.293,0.222,2.760,0.359,0.160,0.023,76.386,3.494,5,4626,286,7.885,0.416,1.356,0.096,-0.262,0.056
Dias 26,140.2921,-52.4072,7.759,40,-3.598,0.222,2.928,0.135,0.115,0.049,nan,nan,0,5246,1649,8.519,0.456,2.777,0.504,-0.149,0.231
Dias 27,166.1039,-65.0980,16.645,256,-5.232,0.466,2.062,0.249,0.137,0.057,32.308,1.785,7,6346,878,9.476,0.228,2.072,0.201,-0.088,0.066
Dias 28,171.5147,-62.1815,4.021,50,-6.135,0.243,1.207,0.162,0.280,0.040,nan,nan,0,3489,696,6.969,0.444,2.889,0.139,0.083,0.079
Dias 29,224.3485,-59.3583,14.043,147,-4.748,0.724,-3.380,0.332,0.344,0.054,-27.172,1.566,10,2457,373,8.070,0.754,4.064,0.111,0.156,0.031
Dias 30,258.0942,-30.3556,5.505,32,-3.817,0.287,-5.791,0.301,0.084,0.055,2.528,2.009,3,10691,3453,10.022,0.216,2.056,0.506,0.195,0.061
Dias 31,277.6833,-16.1074,8.520,31,-1.179,0.193,-3.047,0.241,0.259,0.056,nan,nan,0,3966,788,9.052,0.216,2.838,0.177,0.217,0.078
Dias 32,278.2984,-11.9047,8.905,148,-0.304,0.242,-1.854,0.291,0.261,0.079,5.205,5.335,4,4783,240,8.823,0.055,4.050,0.101,0.332,0.062
Dias 33,278.6223,-9.3315,7.998,28,-0.834,0.170,-2.938,0.425,0.327,0.023,-4.218,3.239,2,3537,455,8.667,0.569,3.956,0.121,0.342,0.106
Dias 34,283.1168,-0.4266,4.022,41,-1.626,0.100,-4.295,0.087,0.217,0.032,51.251,1.468,6,3077,655,8.414,0.259,4.039,0.101,0.409,0.131
Dias 35,283.6507,-7.5504,16.807,64,-2.782,0.225,-5.609,0.313,0.147,0.038,nan,nan,0,5539,1074,9.577,0.049,1.425,0.063,0.219,0.074
Dias 36,292.4729,19.0487,3.783,66,-2.595,0.157,-5.523,0.181,0.211,0.065,nan,nan,0,3893,555,7.007,0.689,3.633,0.106,0.102,0.069
Dias 37,296.4799,24.1809,3.782,44,-1.709,0.102,-4.280,0.116,0.267,0.080,nan,nan,0,2903,774,8.951,0.761,3.709,0.404,0.074,0.049
Dias 38,324.2194,56.6787,11.981,98,-2.526,0.255,-2.044,0.120,0.103,0.044,nan,nan,0,6826,1583,8.962,0.101,2.897,0.225,-0.178,0.111
Dias 39,324.3774,57.0073,9.374,44,-2.466,0.101,-2.185,0.084,0.129,0.035,nan,nan,0,5181,1027,8.611,0.621,2.782,0.313,-0.246,0.036
