"Cluster","RAdeg","DEdeg","r50","N","pmRA","e_pmRA","pmDE","e_pmDE","RVel","e_RVel","NRVel","plx","e_plx","Dist","e_Dist","Age","e_Age","[Fe/H]","e_[Fe/H]","AV","e_AV"
"Dias_40",275.9968,-12.3206,0.051,42,-1.002,0.131,-3.053,0.178,10.038,3.646,"4",0.305,0.049,3320,334,6.802,0.074,0.168,0.023,3.949,0.031
"Dias_41",289.6637,1.9252,0.099,44,-2.266,0.296,-4.749,0.178,28.775,0.605,"2",0.136,0.045,5980,925,9.721,0.091,0.251,0.105,1.585,0.147
"Dias_42",105.3175,-9.7576,0.09,102,-0.439,0.193,0.952,0.232,83.858,0.775,"9",0.162,0.051,6336,1317,8.912,0.081,-0.098,0.134,2.169,0.12
"Dias_43",105.4691,-3.4197,0.064,30,-0.803,0.15,0.471,0.257,"nan","nan","nan",0.26,0.044,2808,230,7.852,0.8,-0.197,0.039,1.568,0.275
"Dias_44",130.0892,-48.4003,0.081,42,-2.732,0.242,3.43,0.203,"nan","nan","nan",0.148,0.028,6216,639,8.839,0.2,-0.01,0.097,2.011,0.105
"Dias_45",133.3876,-47.1409,0.068,30,-3.204,0.177,3.468,0.105,"nan","nan","nan",0.157,0.035,4816,2296,8.554,0.54,-0.144,0.068,2.838,0.118
"Dias_46",137.0411,-42.9477,0.074,36,-3.18,0.228,2.853,0.214,97.752,3.325,"2",0.175,0.045,4536,639,9.148,0.124,-0.137,0.044,2.392,0.158
"Dias_47",137.7578,-44.2665,0.071,33,-3.445,0.219,2.883,0.186,75.029,0.618,"2",0.151,0.05,4548,482,9.01,0.084,-0.23,0.131,2.258,0.138
"Dias_48",156.033,-54.6422,0.081,46,-6.451,0.257,3.409,0.283,28.975,2.593,"5",0.223,0.043,4082,385,8.947,0.117,0.027,0.077,1.807,0.238
"Dias_49",161.8347,-55.9875,0.043,45,-5.587,0.223,2.511,0.153,62.875,4.098,"3",0.145,0.042,7256,1286,9.126,0.214,-0.017,0.09,2.164,0.345
"Dias_50",179.7235,-66.4458,0.061,60,-5.961,0.346,1.035,0.14,52.38,1.867,"2",0.164,0.052,7564,1560,9.202,0.23,0.277,0.124,1.52,0.145
"Dias_51",183.6056,-62.6318,0.032,52,-6.943,0.196,0.699,0.127,"nan","nan","nan",0.19,0.044,3836,672,8.668,0.124,0.168,0.134,3.407,0.086
"Dias_52",220.2506,-65.1653,0.052,48,-6.226,0.208,-3.193,0.281,"nan","nan","nan",0.12,0.044,5640,771,9.603,0.166,0.115,0.051,1.517,0.052
"Dias_53",230.4706,-59.1018,0.049,38,-4.274,0.26,-3.539,0.138,-27.19,0.668,"2",0.341,0.04,3048,172,8.277,0.447,0.099,0.063,3.542,0.082
"Dias_54",299.3933,29.6904,0.061,41,-2.537,0.07,-4.617,0.149,"nan","nan","nan",0.19,0.03,4328,379,6.8,0.071,0.048,0.066,2.215,0.076
"Dias_55",344.0448,57.3368,0.107,59,-2.214,0.207,-1.442,0.145,"nan","nan","nan",0.169,0.034,6352,737,8.82,0.042,-0.111,0.053,2.048,0.069
"Dias_56",349.8351,61.0539,0.041,34,-2.568,0.189,-1.216,0.141,"nan","nan","nan",0.236,0.065,3376,645,8.406,0.264,-0.041,0.183,2.824,0.162
"Dias_57",1.5135,63.5054,0.038,38,-1.976,0.28,-0.515,0.11,"nan","nan","nan",0.202,0.047,3860,676,8.723,0.551,-0.174,0.03,1.707,0.264
"Dias_58",15.6569,63.9958,0.041,42,-1.201,0.209,-0.201,0.335,"nan","nan","nan",0.194,0.077,3600,387,7.07,0.524,-0.241,0.038,2.842,0.07
"Dias_59",71.549,50.5223,0.099,41,0.427,0.236,-0.928,0.268,-18.678,1.392,"4",0.213,0.057,4788,925,8.923,0.323,-0.293,0.109,2.542,0.195
