"MWSC","Cluster","RAJ2000","DEJ2000","GLON","GLAT","Dist","logAge","Rcore","Rtidal","Nstars","Distc","Distp","Q","LJ10","GJ10"
2,"NGC_7801",0.082,50.727,114.717,-11.331,1953,9.255,0.61,9.93,64,9301,-384,0.747,1.36,1.517
5,"Berkeley_59",0.559,67.425,118.219,5.001,1000,6.1,0.55,6.51,88,8971,87,0.834,2.167,2.201
6,"Cep_OB4",0.735,67.5,118.299,5.062,850,6.1,9.54,13.56,653,8901,75,0.758,1.308,1.835
7,"Blanco_1",0.885,-30.0,14.83,-79.098,250,7.75,2.82,10.93,265,8454,-245,0.962,1.943,1.732
19,"ASCC_1",2.413,62.704,118.158,0.217,1600,8.406,0.38,5.51,71,9255,6,0.761,0.996,0.914
23,"Alessi_20",2.667,58.748,117.648,-3.708,470,7.575,1.25,3.77,100,8718,-30,0.79,1.319,1.489
34,"Mayer_1",5.514,61.741,119.456,-0.935,1430,7.74,0.57,6.89,114,9203,-23,0.755,1.146,1.079
35,"King_1",5.515,64.384,119.758,1.69,1659,9.7,1.33,10.72,595,9323,49,0.793,0.954,0.897
36,"FSR_0477",5.745,51.883,118.463,-10.745,1908,9.04,0.24,7.38,51,9393,-356,0.854,1.428,1.419
37,"SAI_4",5.907,62.71,119.746,0.007,1600,8.8,0.42,2.62,44,9294,0,0.842,1.066,0.994
39,"Stock_20",6.313,62.602,119.92,-0.12,1100,8.337,1.07,5.24,144,9049,-2,0.816,1.499,1.564
44,"FSR_0496",6.675,64.03,120.223,1.285,1123,9.055,1.84,5.19,234,9065,25,0.77,1.464,1.378
45,"NGC_110",6.855,71.422,120.996,8.637,1600,8.97,0.62,5.86,45,9315,240,0.845,1.059,0.968
50,"FSR_0498",7.275,62.409,120.344,-0.354,1800,8.55,0.4,6.32,63,9409,-11,0.838,1.032,1.109
52,"Stock_21",7.561,57.931,120.107,-4.828,1700,8.825,0.64,7.36,167,9350,-143,0.753,1.058,1.103
53,"NGC_129",7.542,60.203,120.285,-2.563,1685,7.975,2.29,7.26,239,9349,-75,0.768,1.635,1.692
54,"ASCC_3",7.77,55.275,120.005,-7.484,1550,7.729,5.8,10.54,283,9269,-202,0.743,1.146,1.07
55,"NGC_133",7.819,63.345,120.668,0.559,1861,7.3,0.29,3.69,44,9449,18,0.822,1.154,1.583
62,"NGC_189",9.87,61.115,121.483,-1.726,1300,8.709,0.87,3.85,81,9179,-39,0.801,1.189,1.307
68,"NGC_225",10.8,61.782,121.953,-1.077,850,8.191,0.26,3.58,154,8950,-16,0.793,1.201,1.311
78,"FSR_0516",12.637,65.965,122.837,3.09,810,8.83,1.54,4.83,64,8939,44,0.782,0.897,0.822
83,"FSR_0519",13.122,64.667,123.04,1.792,1517,7.35,0.55,6.33,94,9327,47,0.778,1.253,1.17
87,"ASCC_4",13.32,61.6,123.146,-1.274,550,8.65,0.54,2.91,117,8801,-12,0.79,0.919,0.93
88,"Alessi_1",13.327,49.48,123.238,-13.394,750,8.84,4.59,7.68,94,8900,-174,0.779,1.62,1.756
92,"FSR_0524",14.32,62.125,123.61,-0.742,1841,9.19,0.74,7.04,100,9519,-24,0.812,0.982,1.098
93,"ASCC_5",14.407,55.855,123.802,-7.01,523,7.78,0.21,3.01,84,8789,-64,0.761,1.363,1.516
