"Object","l","b","RA(2000)","Dec(2000)","Dmax","Dmin","Optical Vis.","E(B-V)_FIR","Comments","RA","DEC"
"Dutra_Bica_1, DB2000_01,DB2000_1",0.03,-0.29,"17:46:51.2","-29:03:47",42,36,"N",26.2,"in RCW139",266.70605,-29.06134
"Dutra_Bica_2, DB2000_02,DB2000_2",0.11,-0.54,"17:48:01.4","-29:06:52",48,48,"N",10.2,"in Sh2-19",266.99821,-29.12235
"Dutra_Bica_3, DB2000_03,DB2000_3",0.28,-0.99,"17:50:12.4","-29:12:21",50,50,"Y",4.0,"nan",267.54022,-29.20827
"Dutra_Bica_4, DB2000_04,DB2000_4",0.3,-0.19,"17:47:05.7","-28:46:54",36,36,"Y",57.8,"in Sh2-20",266.76835,-28.77863
"Dutra_Bica_5, DB2000_05,DB2000_5",0.31,-0.19,"17:47:07.0","-28:46:04",24,24,"Y",55.6,"in Sh2-20 deeply embedded,compact few stars",266.77426,-28.77007
"Dutra_Bica_6, DB2000_06,DB2000_6",0.31,-0.2,"17:47:09.6","-28:46:26",45,36,"Y",55.6,"in Sh2-20",266.78402,-28.77526
"Dutra_Bica_7, DB2000_07,DB2000_7",0.54,-0.81,"17:50:06.1","-28:53:13",48,48,"Y",21.9,"at Sh2-21 edge",267.51601,-28.89278
"Dutra_Bica_8, DB2000_08,DB2000_8",0.55,-0.8,"17:50:04.7","-28:52:40",42,42,"Y",21.9,"at Sh2-21 edge",267.51207,-28.87906
"Dutra_Bica_9, DB2000_09,DB2000_9",0.55,-2.46,"17:56:37.5","-29:43:06",47,32,"N",1.2,"nan",269.15272,-29.72086
"Dutra_Bica_10, DB2000_10",0.56,-0.85,"17:50:17.6","-28:53:40",36,36,"Y",28.2,"in Sh2-21",267.56695,-28.89612
"Dutra_Bica_11, DB2000_11",0.58,-0.86,"17:50:24.1","-28:53:06",60,60,"Y",25.4,"in Sh2-21",267.58846,-28.88408
"Dutra_Bica_12, DB2000_12",0.59,-0.83,"17:50:16.4","-28:51:42",50,50,"Y",21.1,"in Sh2-21",267.5649,-28.86012
"Dutra_Bica_13, DB2000_13",0.69,-2.05,"17:55:20.9","-29:23:26",43,37,"Y",1.0,"nan",268.82593,-29.39396
"Dutra_Bica_14, DB2000_14",0.76,-1.84,"17:54:38.9","-29:13:36",47,30,"Y",1.1,"nan",268.65839,-29.22766
"Dutra_Bica_15, DB2000_15",0.81,-1.12,"17:51:56.8","-28:48:56",40,33,"Y",1.8,"nan",267.97781,-28.81933
"Dutra_Bica_16, DB2000_16",0.42,-1.86,"17:53:58.0","-29:31:42",39,39,"Y",1.0,"nan",268.48111,-29.53101
"Dutra_Bica_17, DB2000_17",0.93,0.48,"17:45:57.7","-27:53:16",45,28,"N",16.9,"nan",266.48965,-27.89227
"Dutra_Bica_18, DB2000_18",0.38,0.95,"17:42:48.4","-28:06:28",96,57,"Y",1.8,"Open cluster",265.71012,-28.1151
"Dutra_Bica_19, DB2000_19",0.9,1.31,"17:42:40.9","-27:28:30",52,52,"N",2.0,"nan",265.67312,-27.48357
"Dutra_Bica_20, DB2000_20",0.58,0.98,"17:43:12.4","-27:55:04",60,24,"N",2.8,"nan",265.80027,-27.92921
"Dutra_Bica_21, DB2000_21",0.61,0.98,"17:43:17.3","-27:53:45",51,22,"N",2.6,"nan",265.81809,-27.90368
"Dutra_Bica_22, DB2000_22",0.46,0.96,"17:42:58.9","-28:02:09",56,32,"N",2.6,"nan",265.74814,-28.0418
"Dutra_Bica_23, DB2000_23",0.9,0.95,"17:44:05.2","-27:40:03",56,45,"Y",3.8,"nan",266.01883,-27.67251
"Dutra_Bica_24, DB2000_24",1.02,-1.9,"17:55:30.2","-29:01:39",56,56,"Y",1.1,"nan",268.86768,-29.03348
"Dutra_Bica_25, DB2000_25",1.08,-2.73,"17:58:54.8","-29:23:40",43,43,"Y",1.0,"nan",269.72547,-29.39679
"Dutra_Bica_26, DB2000_26",1.12,-0.1,"17:48:41.5","-28:01:42",40,35,"N",83.1,"nan",267.16276,-28.0302
"Dutra_Bica_27, DB2000_27",1.16,-1.48,"17:54:11.6","-28:41:53",97,60,"N",1.9,"Open cluster",268.53427,-28.70072
"Dutra_Bica_28, DB2000_28",1.39,-1.17,"17:53:28.7","-28:20:52",95,70,"Y",2.6,"nan",268.36262,-28.34543
"Dutra_Bica_29, DB2000_29",0.14,0.96,"17:42:14.1","-28:18:28",41,36,"N",2.1,"nan",265.5571,-28.31385
"Dutra_Bica_30, DB2000_30",1.53,-1.97,"17:56:55.8","-28:37:21",43,30,"Y",1.1,"nan",269.22897,-28.62787
"Dutra_Bica_31, DB2000_31",1.57,-0.38,"17:50:49.5","-27:47:07",47,47,"Y",22.3,"nan",267.69623,-27.788
