"Seq","GLON","GLAT","RAJ2000","DEJ2000","D","d","Neb","n_Neb","Type","Com","n_Com","RA","DEC"
"DBSB_3, DBSB2003_3",231.51,-4.31,"07 10 19","-18 29 10",4.0,3.5,"rel Ced93=Gum5=Sh2-301=RCW6","nan","IRGr","R=4.5 mP LD=5.2","b",107.57565,-18.48243
"DBSB_4, DBSB2003_4",232.62,1.0,"07 32 10","-16 58 15",1.2,1.2,"in Gum6=Sh2-302=RCW7","nan","IRC","R=1.6 LD=0.6","nan",113.04448,-16.96771
"DBSB_5, DBSB2003_5",233.75,-0.19,"07 30 04","-18 32 05",2.9,2.9,"in Sh2-305=RCW8","nan","IRC","R=3.7 LD=3.1 loose","nan",112.51973,-18.53076
"DBSB_6, DBSB2003_6",234.24,-0.48,"07 29 59","-19 06 00",3.0,3.0,"in Sh2-306=RCW10","nan","IROC","R=3.8 LD=3.3 Opt/IR cluster","nan",112.49925,-19.09981
"DBSB_7, DBSB2003_7",234.58,0.84,"07 35 34","-18 45 34",1.0,1.0,"in Gum7=Sh2-307=RCW12, in Bran50","nan","IRC","R=2.4 mP LD=0.7","nan",113.89471,-18.75975
"DBSB_8, DBSB2003_8",234.64,0.83,"07 35 39","-18 48 50",0.7,0.7,"in BRC49,in Gum7=Sh2-307=RCW12","nan","IRCC","R=2.4 mP LD=0.5","nan",113.91632,-18.81702
"DBSB_9, DBSB2003_9",234.68,-0.24,"07 31 47","-19 22 02",1.3,1.0,"in Sh2-309=RCW13=Bran42B","nan","IRC","R=4.0 mP LD=1.5 Opt/IR loose","c",112.94618,-19.37023
"DBSB_10, DBSB2003_10",237.74,-0.96,"07 35 27","-22 23 55",2.2,1.9,"in Bran49","nan","IRGr","nan","nan",113.8574,-22.39617
"DBSB_11, DBSB2003_11",238.48,-4.28,"07 24 16","-24 38 01",2.7,2.3,"in Bran22C","nan","IROC","nan","nan",111.06152,-24.63169
"DBSB_12, DBSB2003_12",240.88,-6.51,"07 20 22","-27 47 07",1.7,1.7,"in ESO428*N21=Bran19","nan","IRGr","nan","nan",110.09471,-27.78274
"DBSB_15, DBSB2003_15",248.02,-5.45,"07 40 17","-33 32 35",1.9,1.7,"in ESO368EN8=Bran61","nan","IROC","R=3.8 LD=2.1 in Bochum 15","nan",115.07868,-33.54499
"DBSB_18, DBSB2003_18",259.76,-2.84,"08 22 52","-42 07 58",0.8,0.7,"rel Bran141H","nan","IRC","deeply embedded","nan",125.71592,-42.13404
"DBSB_19, DBSB2003_19",259.94,-0.04,"08 35 31","-40 38 34",1.5,1.0,"in Gum14=RCW27","nan","IRGr","R=1.0 LD=0.4","c",128.88156,-40.63967
"DBSB_21, DBSB2003_21",260.8,0.92,"08 42 17","-40 44 10",0.7,0.4,"in ESO313*N10","nan","IRGr","compact, not PN","nan",130.57632,-40.73872
"DBSB_23, DBSB2003_23",263.25,0.51,"08 48 48","-42 54 27",1.5,1.3,"in Munch23=K2-15","nan","IRC","not PN","nan",132.19524,-42.91009
"DBSB_27, DBSB2003_27",263.76,-0.4,"08 46 39","-43 53 01",2.2,2.2,"in Bran183 field","nan","IRGr","mP deeply embedded","nan",131.6621,-43.87866
"DBSB_28, DBSB2003_28",264.29,1.47,"08 56 28","-43 05 53",1.2,0.8,"in RCW34=vdBH-RN25a=Bran206B,in Gum19","nan","IRC","R=1.7 LD=0.6","nan",134.11383,-43.09508
"DBSB_33, DBSB2003_33",268.42,-0.85,"09 01 54","-47 43 53",2.3,1.9,"inc Bran222","nan","IRC","deeply embedded, dust lane","nan",135.47301,-47.73493
"DBSB_35, DBSB2003_35",269.75,0.97,"09 15 11","-47 28 32",1.2,0.9,"in Bran242","nan","IRGr","nan","nan",138.79517,-47.4797
"DBSB_36, DBSB2003_36",270.26,0.84,"09 16 44","-47 56 28",1.2,1.2,"in RCW41=G270.3+0.8","nan","IRC","R=0.9 LD=0.3","nan",139.18303,-47.93667
"DBSB_38, DBSB2003_38",274.0,-1.15,"09 24 25","-51 59 28",1.9,1.4,"in Gum26=RCW42","nan","IRC","R=7.1 LD=3.9 deeply embedded","nan",141.09747,-51.99043
"DBSB_39, DBSB2003_39",274.8,-1.97,"09 24 25","-53 08 08",0.8,0.8,"in Bran262","nan","IRGr","nan","nan",141.09449,-53.13581
