name,l,b,rt,delta_rt,rc,delta_rc,pmra,delta_pmra,pmdec,delta_pmdec,plx,delta_plx,RAJ2000,DEJ2000,R50,D,delta_D,logt,delta_logt,EBV,delta_EBV,Nmem,Flag
UFMG_97,146.641,4.446,6.2,0.3,2.6,0.4,-0.023,0.102,0.451,0.095,0.186,0.036,61.960,57.970,0.037,4365,302,9.00,0.10,0.55,0.05,14,OC
UFMG_98,148.895,4.419,9.6,3.4,2.0,0.8,0.234,0.16,-0.065,0.114,0.239,0.044,64.930,56.400,0.070,5129,473,8.40,0.15,0.70,0.05,21,OCC
UFMG_99,158.580,4.361,8.7,0.9,3.3,0.9,0.492,0.191,-1.093,0.318,0.217,0.030,75.415,49.095,0.069,4677,431,8.15,0.10,0.68,0.03,22,OC
UFMG_100,149.898,3.795,13.7,4.3,0.7,0.2,-0.115,0.243,-0.460,0.147,0.280,0.049,65.405,55.252,0.086,3631,335,7.70,0.15,0.88,0.03,50,OC
UFMG_101,151.643,3.412,6.8,0.8,1.8,0.4,0.310,0.125,-0.337,0.112,0.236,0.064,67.030,53.738,0.056,3467,160,8.70,0.10,0.73,0.05,22,OC
"UFMG_102, Dias_17",151.665,2.989,8.8,1.6,1.5,0.3,0.073,0.210,-0.999,0.167,0.271,0.042,66.541,53.429,0.064,3890,269,8.40,0.30,0.82,0.05,34,OC
UFMG_103,151.028,2.876,8.4,1.0,3.9,1.1,0.446,0.107,-0.446,0.106,0.235,0.056,65.655,53.804,0.051,3802,351,7.70,0.15,0.93,0.03,40,OC
UFMG_104,154.106,2.118,4.4,0.4,1.0,0.2,0.365,0.175,-0.976,0.136,0.305,0.031,68.250,51.060,0.019,3311,305,8.90,0.15,1.19,0.03,11,OC
UFMG_105,157.518,1.648,4.4,0.7,0.9,0.2,0.348,0.123,-1.078,0.123,0.374,0.058,71.217,48.203,0.047,2667,432,7.55,0.45,0.87,0.03,20,OC
UFMG_106,159.083,1.199,5.6,1.7,1.0,0.3,0.289,0.195,-1.186,0.190,0.359,0.051,72.210,46.720,0.065,2951,341,8.40,0.20,0.78,0.04,25,OC
UFMG_107,139.029,0.518,13.0,1.8,2.5,0.3,-0.680,0.088,-0.326,0.204,0.325,0.059,45.670,59.225,0.070,3715,429,8.65,0.20,1.03,0.05,29,OC
UFMG_108,143.644,0.630,22.2,2.9,7.6,1.3,-0.443,0.124,-0.197,0.161,0.310,0.083,53.181,56.870,0.122,4677,648,7.50,0.30,1.63,0.06,36,OCC
UFMG_109,151.781,0.092,5.3,0.7,0.9,0.2,0.818,0.102,0.063,0.112,0.215,0.059,63.345,51.285,0.025,3715,429,9.05,0.10,0.68,0.06,18,OC
UFMG_110,151.707,0.532,6.7,0.8,1.1,0.3,0.846,0.038,0.139,0.182,0.224,0.064,63.745,51.655,0.020,4786,663,8.80,0.30,0.90,0.06,15,OC
UFMG_111,156.372,0.554,6.9,1.2,2.2,0.7,0.044,0.153,-1.578,0.097,0.259,0.058,68.845,48.334,0.049,4365,605,8.90,0.30,0.95,0.06,13,OC
UFMG_112,147.309,-0.140,3.7,0.9,0.7,0.2,-0.315,0.107,-0.495,0.077,0.275,0.085,57.530,54.050,0.030,2512,290,8.30,0.10,1.50,0.06,15,OC
UFMG_113,149.023,-0.438,14.6,2.6,8.8,4.2,-0.009,0.152,-0.701,0.142,0.273,0.061,59.430,52.730,0.086,3890,449,7.05,0.25,1.24,0.07,41,OC
UFMG_114,153.320,-0.512,7.0,0.4,2.0,0.2,-0.478,0.106,-0.134,0.082,0.346,0.054,64.435,49.784,0.031,3236,373,7.95,0.25,0.96,0.07,19,OC
UFMG_115,154.151,-0.372,8.6,2.1,2.6,0.6,-0.404,0.180,-0.947,0.175,0.303,0.069,65.497,49.300,0.092,3236,448,8.75,0.25,0.95,0.07,30,OC
UFMG_116,146.328,-1.639,9.7,3.1,1.8,0.6,-0.351,0.227,-0.624,0.144,0.274,0.122,54.670,53.460,0.041,4074,850,8.20,0.50,1.58,0.07,11,OC
