"n_FSR","ID","GLON","GLAT","RAJ2000","DEJ2000","rcore","rtid","Dc","Dcont","N","Nc","logRN","Q","Qall","Ident","RA_deg","DEC_deg"
"A","FSR_1",0.029,3.474,"17 32 22","-27 03 39",0.026,0.872,17,5.0,1654,7221,-0.379,2,100010,"nan",263.091667,-27.060833
"A","FSR_2",0.047,3.44,"17 32 32","-27 03 51",0.089,0.178,32,10.0,6534,28520,-0.55,2,100010,"nan",263.133333,-27.064167
"A","FSR_22",6.182,0.843,"17 56 28","-23 11 34",0.039,0.078,16,4.0,642,4439,0.142,3,100110,"nan",269.116667,-23.192778
"A","FSR_23",6.584,0.782,"17 57 35","-22 52 32",0.006,0.119,25,7.0,119,686,0.28,3,110001,"nan",269.395833,-22.875556
"A","FSR_31",8.906,-0.268,"18 06 29","-21 22 33",0.08,3.349,15,5.0,15152,41732,"nan",2,110,"nan",271.620833,-21.375833
"A","FSR_35",9.687,0.762,"18 04 16","-20 11 27",0.016,0.048,11,3.0,107,512,"nan",4,110110,"nan",271.066667,-20.190833
"A","FSR_39",10.25,0.32,"18 07 05","-19 54 57",0.014,0.072,18,5.0,219,795,0.401,3,100101,"nan",271.770833,-19.915833
"A","FSR_46",13.351,0.066,"18 14 20","-17 19 19",0.053,0.106,16,5.0,1142,2868,0.42,3,100110,"nan",273.583333,-17.321944
"A","FSR_51",16.711,2.243,"18 13 04","-13 19 51",0.03,0.09,20,5.0,709,1024,0.57,3,100110,"nan",273.266667,-13.330833
"A","FSR_52",16.786,-2.921,"18 32 03","-15 41 18",0.022,0.916,13,4.0,1000,1906,0.444,2,100100,"nan",278.0125,-15.688333
"A","FSR_54",17.157,-2.278,"18 30 24","-15 03 47",0.009,0.431,10,3.0,141,427,0.637,4,100111,"nan",277.6,-15.063056
"A","FSR_55, BDS2003_8",17.992,-0.278,"18 24 42","-13 23 40",0.017,0.687,18,5.0,826,2998,0.022,4,110110,"[BDS2003]8",276.175,-13.394444
"A","FSR_59",19.744,-0.56,"18 29 04","-11 58 31",0.045,0.136,14,5.0,1136,4124,0.353,3,10110,"nan",277.266667,-11.975278
"A","FSR_69",22.914,-3.426,"18 45 22","-10 28 26",0.013,0.671,17,5.0,511,739,0.383,3,100110,"nan",281.341667,-10.473889
"A","FSR_72",24.695,0.313,"18 35 12","-07 10 53",0.069,0.278,8,3.0,1884,8223,"nan",2,1100,"nan",278.8,-7.181389
"A","FSR_87",29.09,-0.443,"18 46 00","-03 37 15",0.039,1.246,10,3.0,2281,6888,"nan",2,110,"nan",281.5,-3.620833
"A","FSR_88",29.112,-1.73,"18 50 38","-04 11 17",0.094,0.094,32,8.0,2944,6151,"nan",2,100010,"nan",282.658333,-4.188056
"A","FSR_89",29.491,-0.981,"18 48 39","-03 30 34",0.042,0.084,27,8.0,1243,2848,-0.104,2,100010,"nan",282.1625,-3.509444
"A","FSR_90",29.621,-1.386,"18 50 20","-03 34 42",0.022,0.24,13,4.0,574,1582,0.455,3,100110,"nan",282.583333,-3.578333
"A","FSR_94",31.817,-0.124,"18 49 50","-01 02 55",0.007,0.193,24,7.0,156,565,0.244,4,110011,"nan",282.458333,-1.048611
"A","FSR_98",33.032,1.152,"18 47 31","+00 36 51",0.015,0.421,24,6.0,770,1467,0.072,1,100000,"nan",281.879167,0.614167
"A","FSR_100",34.332,-2.788,"19 03 54","-00 01 34",0.018,0.25,14,4.0,464,670,0.521,3,110100,"nan",285.975,-0.026111
"A","FSR_101",35.147,1.749,"18 49 14","+02 46 06",0.024,0.119,14,4.0,462,609,0.633,2,100100,"nan",282.308333,2.768333
"A","FSR_107",36.311,-3.214,"19 09 02","+01 32 10",0.06,0.121,16,5.0,1541,2227,0.725,3,100110,"nan",287.258333,1.536111
"A","FSR_118",44.066,-3.855,"19 25 45","+08 05 42",0.023,0.181,9,3.0,379,455,0.712,2,100100,"nan",291.4375,8.095
"A","FSR_123",45.949,1.051,"19 11 42","+12 03 05",0.015,0.633,14,4.0,517,1185,0.385,2,110,"nan",287.925,12.051389
"A","FSR_124",46.477,2.65,"19 06 52","+13 15 21",0.027,0.11,19,7.0,700,1216,0.345,1,10,"nan",286.716667,13.255833
"A","FSR_126",48.547,-0.182,"19 21 09","+13 46 30",0.052,2.607,9,3.0,4330,5709,"nan",3,10110,"nan",290.2875,13.775
"A","FSR_129",49.395,-1.323,"19 26 56","+13 58 56",0.052,0.103,13,4.0,880,1058,0.812,3,100110,"nan",291.733333,13.982222
"A","FSR_131",51.104,-1.428,"19 30 42","+15 25 59",0.029,0.087,23,6.0,750,750,0.373,3,110010,"nan",292.675,15.433056
"A","FSR_133",51.122,-1.166,"19 29 47","+15 34 28",0.064,0.193,21,6.0,3445,4541,0.082,1,10,"nan",292.445833,15.574444
"A","FSR_134",51.678,0.575,"19 24 30","+16 53 33",0.028,0.111,13,4.0,494,941,0.612,2,110,"nan",291.125,16.8925
"A","FSR_142",55.786,-0.191,"19 35 39","+20 07 44",0.038,1.881,5,2.0,1207,2098,"nan",2,110,"nan",293.9125,20.128889
"A","FSR_154",60.001,-1.077,"19 47 58","+23 21 02",0.007,0.375,28,8.0,265,290,0.408,3,111,"nan",296.991667,23.350556
"A","FSR_157, Czernik41",62.024,-0.701,"19 51 03","+25 17 04",0.024,1.191,9,3.0,925,1608,"nan",2,110,"Czernik41",297.7625,25.284444
"A","FSR_158",62.317,0.275,"19 47 59","+26 01 56",0.01,0.49,13,4.0,219,289,0.704,4,10111,"nan",296.995833,26.032222
"A","FSR_160",62.711,1.344,"19 44 44","+26 54 36",0.019,0.266,9,3.0,344,453,0.666,4,101110,"nan",296.183333,26.91
"A","FSR_162",63.211,-2.752,"20 01 32","+25 14 06",0.013,0.67,12,5.0,380,347,0.721,3,100110,"nan",300.383333,25.235
