"Cluster","n_Cluster","GLON","GLAT","d","x","y","z","RG","VR","VH","VZ","e","Zmax","Ra","Rp","Age","logM","CC","ell","[Fe/H]","r_[Fe/H]","[Mg/Fe]","r_[Mg/Fe]","Sub","_RA.icrs","_DE.icrs"
"Ferrero 1","nan",0.6583,-8.1576,750.0,742.0,9.0,-106.0,7.26,24.1,214.8,8.7,0.09,0.13,7.6,6.3,0.186,2.07,0.4,0.12,"nan","nan","nan","nan","nan",275.0541,-32.3517
"ASCC 98","nan",1.5482,-12.9421,800.0,779.0,21.0,-179.0,7.22,44.0,213.5,9.1,0.15,0.2,8.0,5.9,0.214,3.52,0.51,0.17,"nan","nan","nan","nan",2.0,280.6499,-33.63
"NGC 6520","nan",2.8811,-2.8435,1900.0,1895.0,95.0,-94.0,6.11,15.6,213.1,-8.7,0.07,0.11,6.3,5.4,0.151,1.73,0.34,0.49,-0.25,"33","nan","nan",2.0,270.8499,-27.8883
"NGC 6530","nan",6.0828,-1.3313,1330.0,1322.0,141.0,-31.0,6.68,-0.8,222.0,-2.2,0.02,0.04,6.7,6.5,0.007,2.83,0.44,0.29,"nan","nan","nan","nan","nan",271.1291,-24.3583
"NGC 6514","nan",7.0858,-0.2872,816.0,810.0,101.0,-4.0,7.19,-5.5,233.7,-3.5,0.04,0.03,7.7,7.2,0.023,2.14,0.28,0.26,"nan","nan","nan","nan","nan",270.6748,-22.9717
"Collinder 367","nan",7.1382,-2.1371,1250.0,1239.0,155.0,-47.0,6.76,-4.4,217.2,-4.6,0.04,0.06,6.8,6.3,0.007,3.5,0.52,0.14,"nan","nan","nan","nan","nan",272.4623,-23.8283
"NGC 6546","nan",7.3279,-1.3818,938.0,930.0,120.0,-23.0,7.07,22.3,220.1,15.8,0.08,0.15,7.5,6.4,0.071,2.48,0.3,0.25,"nan","nan","nan","nan","nan",271.8416,-23.2966
"NGC 6531","nan",7.6772,-0.3547,1205.0,1194.0,161.0,-7.0,6.81,7.7,221.4,-12.5,0.03,0.11,6.9,6.5,0.012,3.4,0.48,0.23,"nan","nan","nan","nan","nan",271.054,-22.49
"ASCC 93","nan",8.3294,-1.0495,2500.0,2473.0,362.0,-46.0,5.54,20.1,197.2,19.9,0.12,0.16,5.6,4.4,0.017,4.26,0.53,0.41,"nan","nan","nan","nan","nan",272.0541,-22.26
"VDB 113, vdBergh 113","nan",9.1101,-0.7182,1667.0,1646.0,264.0,-21.0,6.36,10.7,211.6,-0.2,0.07,0.02,6.4,5.6,0.032,4.84,0.36,0.35,"nan","nan","nan","nan","nan",272.1499,-21.4167
"NGC 6583","nan",9.2825,-2.5336,2100.0,2070.0,338.0,-93.0,5.94,-4.8,215.6,10.1,0.09,0.13,6.56,5.36,1.0,"nan","nan","nan",0.37,"12",-0.05,"25",1.0,273.9541,-22.1367
"NGC 6494","nan",9.8936,2.8343,628.0,618.0,108.0,31.0,7.38,-0.1,229.9,1.5,0.01,0.03,7.6,7.4,0.3,2.75,0.59,0.25,0.04,"33","nan","nan",1.0,269.2666,-18.985
"Dias 5","nan",11.6607,-1.7443,1760.0,1723.0,356.0,-54.0,6.29,8.8,235.7,-8.1,0.06,0.09,7.0,6.2,0.014,2.97,0.38,0.54,"nan","nan","nan","nan","nan",274.4166,-19.67
"Markarian 38","nan",11.9832,-0.9312,1471.0,1439.0,305.0,-24.0,6.57,-2.0,213.5,11.0,0.05,0.1,6.6,5.9,0.008,2.47,0.24,0.16,"nan","nan","nan","nan","nan",273.8207,-19.0
"Trumpler 33","nan",12.397,-3.2281,1755.0,1711.0,376.0,-99.0,6.3,-0.6,210.3,24.8,0.06,0.24,6.3,5.6,0.048,2.03,0.48,0.64,"nan","nan","nan","nan","nan",276.1749,-19.7167
"NGC 6603","nan",12.8598,-1.3059,3600.0,3509.0,801.0,-82.0,4.56,13.3,245.5,-3.2,0.12,0.09,5.8,4.5,0.2,3.7,0.3,0.37,"nan","nan","nan","nan","nan",274.6083,-18.4066
"NGC 6561","nan",13.4336,1.1586,3400.0,3306.0,790.0,69.0,4.76,44.2,224.3,6.8,0.14,0.08,5.7,4.3,0.008,4.22,0.3,0.45,"nan","nan","nan","nan","nan",272.6249,-16.725
"IC 4725","nan",13.7023,-4.4335,620.0,601.0,146.0,-48.0,7.4,-14.5,213.6,9.9,0.07,0.1,7.5,6.5,0.092,3.04,0.48,0.31,0.17,"12","nan","nan",1.0,277.9457,-19.1167
"NGC 6613","nan",14.1827,-1.0111,1296.0,1256.0,317.0,-23.0,6.75,2.0,221.2,9.0,0.02,0.08,6.8,6.5,0.017,2.27,0.48,0.44,"nan","nan","nan","nan","nan",274.9915,-17.1016
"Collinder 394","nan",14.883,-9.2356,690.0,658.0,175.0,-111.0,7.34,-17.7,210.3,3.3,0.09,0.11,7.5,6.3,0.064,2.83,0.46,0.05,"nan","nan","nan","nan","nan",283.0666,-20.2033
"NGC 6618","nan",15.0952,-0.7453,1300.0,1255.0,339.0,-17.0,6.75,23.1,219.4,-7.8,0.08,0.07,7.1,6.1,0.001,4.48,0.52,0.52,"nan","nan","nan","nan","nan",275.1958,-16.1717
