OC,N_all,N_50,N_80,RA,s_RA,Dec,s_Dec,pmRA,s_pmRA,pmDec,s_pmDec,parallax,s_parallax,RV,s_RV,Fe_H,s_Fe_H,m_clSize,age
Berkeley 17,8,8,7,+80.1,0.07,+30.6,0.03,+2.53,0.04,-0.39,0.07,0.30,0.02,-73.4,0.27,-0.17,0.03,6,7.24
Berkeley 18,31,19,16,+80.6,0.10,+45.4,0.07,+0.76,0.05,-0.09,0.05,0.16,0.03,-2.58,0.33,-0.36,0.03,3,4.37
Berkeley 19,6,5,3,+81.0,0.03,+29.8,0.29,+0.48,0.23,-0.10,0.18,0.26,0.13,+18.1,0.57,-0.36,0.02,2,2.19
Berkeley 20,11,9,4,+83.2,0.05,+0.19,0.01,+0.79,0.15,-0.30,0.07,0.06,0.04,+78.6,2.00,-0.44,0.06,3,4.79
Berkeley 21,10,8,8,+88.0,0.06,+21.8,0.14,+0.50,0.09,-0.82,0.53,0.16,0.05,+0.84,0.55,-0.22,0.04,6,2.14
Berkeley 22,9,5,3,+89.6,0.05,+7.76,0.03,+0.61,0.01,-0.37,0.02,0.15,0.04,+95.3,0.13,-0.33,0.02,3,2.45
Berkeley 33,18,9,4,+104.,0.05,-13.0,0.29,-0.79,0.17,+1.47,0.23,0.19,0.03,+78.2,0.34,-0.28,0.04,3,0.23
Berkeley 53,14,8,5,+314.,0.04,+51.1,0.04,-3.83,0.09,-5.69,0.04,0.23,0.03,-36.2,0.47,-0.10,0.03,4,0.98
Berkeley 66,11,7,6,+46.1,0.04,+58.8,0.02,-0.17,0.07,+0.07,0.05,0.18,0.06,-50.0,0.23,-0.20,0.02,2,3.09
Berkeley 71,10,4,4,+85.2,0.02,+32.3,0.02,+0.65,0.03,-1.67,0.01,0.26,0.04,-9.44,0.12,-0.25,0.02,3,0.87
Berkeley 98,4,3,3,+341.,0.44,+52.6,0.14,-1.32,0.01,-3.23,0.06,0.25,0.01,-69.1,0.26,-0.03,0.02,2,2.45
Collinder 261,8,5,4,+190.,0.05,-68.4,0.02,-6.42,0.08,-2.63,0.04,0.35,0.01,-25.2,0.08,-0.01,0.01,3,6.31
Czernik  20,20,12,7,+80.0,0.25,+39.4,0.27,+0.44,0.22,-1.60,0.25,0.27,0.06,+30.8,0.77,-0.18,0.03,5,1.66
Czernik  21,4,4,3,+81.7,0.07,+36.1,0.06,+2.18,0.13,-1.01,0.08,0.24,0.02,+45.5,0.57,-0.32,0.00,2,2.57
FSR2007 0494,6,3,3,+6.43,0.05,+63.8,0.02,-2.49,0.04,-0.93,0.03,0.21,0.02,-64.7,0.16,-0.03,0.01,2,0.89
IC 166,25,9,7,+28.1,0.09,+61.8,0.05,-1.46,0.05,+1.05,0.04,0.22,0.07,-39.8,0.19,-0.12,0.03,5,1.32
IC 1369,7,3,3,+318.,0.04,+47.8,0.01,-4.56,0.02,-5.70,0.07,0.27,0.02,-48.7,0.09,-0.04,0.03,2,0.29
King 5,16,15,3,+48.7,0.14,+52.7,0.04,-0.29,0.16,-1.32,0.04,0.43,0.02,-43.8,0.70,-0.16,0.02,2,1.02
King 7,7,5,4,+59.8,0.04,+51.8,0.02,+0.99,0.07,-1.17,0.04,0.37,0.04,-10.4,0.16,-0.17,0.02,2,0.22
King 8,5,3,3,+87.2,0.25,+33.8,0.18,+0.35,0.08,-2.15,0.43,0.18,0.06,-1.12,0.17,-0.18,0.05,2,0.83
M 35,101,76,32,+92.3,0.15,+24.4,0.17,+2.23,0.13,-2.80,0.13,1.15,0.03,-7.42,0.42,-0.05,0.04,6,0.15
M 44,185,143,69,+129.,0.46,+19.6,0.41,-35.8,0.56,-12.9,0.48,5.42,0.07,+35.3,0.51,+0.12,0.07,10,0.68
M 67,378,328,257,+133.,0.17,+11.8,0.19,-11.0,0.15,-2.92,0.16,1.15,0.05,+34.2,0.57,+0.00,0.06,5,4.27
Melotte 71,7,6,4,+114.,0.03,-12.1,0.03,-2.41,0.09,+4.26,0.20,0.49,0.07,+51.0,0.39,-0.15,0.02,2,0.98
NGC 188,69,45,39,+12.0,1.28,+85.2,0.16,-2.34,0.10,-1.04,0.07,0.52,0.02,-41.8,0.63,+0.07,0.04,3,7.08
NGC 752,105,76,35,+29.3,0.28,+37.8,0.19,+9.76,0.18,-11.8,0.19,2.26,0.05,+6.21,0.41,-0.03,0.05,6,1.17
NGC 1193,9,4,4,+46.6,0.03,+44.4,0.02,-0.24,0.05,-0.43,0.04,0.18,0.03,-84.8,0.24,-0.34,0.02,3,5.13
NGC 1245,28,22,20,+48.7,0.10,+47.3,0.06,+0.47,0.07,-1.67,0.04,0.30,0.02,-29.4,0.43,-0.10,0.02,5,1.20
NGC 1798,9,7,7,+77.9,0.03,+47.7,0.02,+0.76,0.07,-0.37,0.04,0.21,0.03,+2.73,0.58,-0.27,0.03,2,1.66
NGC 1857,5,5,3,+80.0,0.28,+39.7,0.24,+0.38,0.17,-1.55,0.27,0.31,0.10,+1.38,0.17,-0.22,0.06,2,0.25
NGC 1907,4,3,3,+82.0,0.04,+35.3,0.01,-0.18,0.04,-3.45,0.07,0.64,0.04,+2.68,0.16,-0.11,0.01,2,0.59
NGC 2158,58,57,56,+91.9,0.06,+24.1,0.08,-0.23,0.09,-1.99,0.07,0.23,0.05,+27.2,1.24,-0.24,0.03,3,1.55
NGC 2204,24,16,9,+93.8,0.10,-18.6,0.06,-0.58,0.04,+1.95,0.04,0.22,0.02,+92.2,0.11,-0.26,0.04,5,2.09
NGC 2243,15,13,13,+97.4,0.07,-31.3,0.10,-1.24,0.04,+5.50,0.04,0.22,0.01,+60.0,0.45,-0.48,0.04,2,4.37
NGC 2324,8,4,4,+106.,0.03,+1.05,0.06,-0.36,0.02,-0.05,0.05,0.22,0.01,+42.4,0.18,-0.20,0.02,3,0.54
NGC 2420,19,19,16,+115.,0.03,+21.6,0.05,-1.25,0.04,-1.99,0.07,0.41,0.02,+74.4,0.30,-0.20,0.02,2,1.74
NGC 4337,12,7,4,+186.,0.03,-58.1,0.02,-8.82,0.08,+1.55,0.03,0.38,0.01,-17.7,0.16,+0.25,0.04,3,1.45
NGC 6705,20,7,6,+283.,0.02,-6.27,0.04,-1.49,0.11,-4.20,0.11,0.41,0.03,+34.8,0.20,+0.11,0.04,3,0.31
NGC 6791,79,64,47,+290.,0.08,+37.8,0.08,-0.39,0.06,-2.25,0.06,0.21,0.02,-47.2,0.77,+0.33,0.04,6,6.31
NGC 6811,11,6,3,+294.,0.07,+46.5,0.06,-3.29,0.06,-8.83,0.06,0.89,0.00,+7.40,0.06,-0.05,0.01,2,1.07
NGC 6819,79,39,19,+295.,0.05,+40.2,0.06,-2.85,0.10,-3.94,0.07,0.38,0.02,+2.76,0.38,+0.04,0.03,5,2.24
NGC 7058,7,6,5,+321.,0.19,+50.9,0.07,+7.40,0.18,+2.96,0.37,2.73,0.02,-19.2,0.21,-0.01,0.03,4,0.04
NGC 7789,95,62,49,+359.,0.16,+56.8,0.10,-0.94,0.11,-2.02,0.10,0.50,0.02,-54.4,0.71,-0.03,0.03,5,1.55
Pleiades,306,223,86,+56.5,0.59,+24.1,0.63,+20.0,0.69,-45.5,0.71,7.38,0.10,+5.95,0.60,-0.00,0.06,5,0.08
Ruprecht 147,59,30,16,+289.,0.26,-16.3,0.20,-0.80,0.31,-26.8,0.28,3.28,0.03,+42.2,0.28,+0.10,0.02,3,3.02
Teutsch 51,10,5,2,+88.5,0.03,+26.8,0.01,+0.56,0.05,-0.22,0.10,0.24,0.03,+17.7,0.20,-0.36,0.01,2,0.68
Tombaugh 2,17,9,5,+106.,0.02,-20.8,0.02,-0.51,0.04,+1.47,0.08,0.07,0.07,+121.,0.34,-0.35,0.02,4,1.62
Trumpler 5,12,5,5,+99.3,0.11,+9.54,0.15,-0.65,0.08,+0.24,0.07,0.30,0.01,+50.5,0.42,-0.44,0.02,3,4.27
Trumpler 20,26,25,23,+190.,0.11,-60.6,0.05,-7.08,0.07,+0.16,0.11,0.27,0.02,-40.1,0.47,+0.11,0.02,2,1.86
