"Cluster","GLON","e_GLON","GLAT","e_GLAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logAge","A0","_RA.icrs","_DE.icrs"
"Alessi_1",123.2631,0.118,-13.3595,0.1,46,1.411,0.036,6.476,0.105,-6.42,0.155,8.7,0.6,13.3557,49.511
"Alessi_10",31.6259,0.272,-21.0414,0.169,81,2.26,0.046,1.447,0.173,-7.898,0.214,7.9,0.6,301.229,-10.5241
"Alessi_12",67.4483,0.4,-11.4755,0.357,198,1.837,0.047,4.315,0.193,-4.701,0.155,7.9,0.35,310.9106,23.7975
"Alessi_13",237.2373,2.393,-55.7144,1.1,66,9.535,0.299,36.141,1.6,-4.606,0.985,7.5,0.05,52.0532,-35.6693
"Alessi_19",40.0609,0.278,12.6327,0.177,43,1.691,0.039,-1.0,0.134,-7.18,0.144,7.25,0.3,274.6656,11.9759
"Alessi_2",152.3327,0.272,6.3674,0.249,140,1.624,0.041,-0.944,0.153,-1.091,0.142,8.45,0.85,71.6056,55.2002
"Alessi_20",117.2417,0.766,-3.7625,0.448,407,2.333,0.084,8.019,0.473,-2.471,0.415,7.05,1.05,1.9052,58.6243
"Alessi_21",223.4612,0.286,-0.0206,0.239,122,1.758,0.047,-5.534,0.19,2.647,0.184,7.65,0.4,107.6854,-9.3694
"Alessi_24",329.0174,0.407,-14.5941,0.257,149,2.07,0.051,-0.46,0.171,-8.95,0.176,7.85,0.3,260.8421,-62.6775
"Alessi_3",257.5537,0.998,-15.247,0.647,162,3.611,0.109,-9.82,0.484,11.958,0.506,8.6,0.5,109.09,-46.3076
"Alessi_31",15.3546,0.137,7.6696,0.106,69,1.481,0.028,-1.136,0.151,-4.208,0.13,7.6,2.7,267.7409,-11.8593
"Alessi_37",101.701,0.211,-11.4026,0.168,98,1.414,0.03,0.354,0.088,-1.677,0.112,7.9,0.8,341.9369,46.3077
"Alessi_43",262.5313,0.319,1.4923,0.166,404,1.058,0.052,-5.573,0.39,3.925,0.378,6.55,1.15,132.6092,-41.7321
"Alessi_5",287.9823,0.663,-1.9474,0.405,491,2.502,0.077,-15.453,0.407,2.556,0.488,7.6,0.5,160.6998,-61.0288
"Alessi_6",313.6547,0.116,-5.5454,0.091,119,1.133,0.03,-10.559,0.136,-5.531,0.136,8.55,1.1,220.0862,-66.1234
"Alessi_62",52.7941,0.176,8.6894,0.147,116,1.617,0.032,0.269,0.104,-1.146,0.117,8.95,0.9,284.0111,21.58
"Alessi_8",326.397,0.128,4.2542,0.099,37,1.494,0.026,-6.029,0.132,-5.684,0.198,7.9,0.45,232.2761,-51.2893
"Alessi_Teutsch_11",87.4432,0.115,9.2648,0.136,82,1.538,0.026,-0.124,0.142,-1.311,0.095,8.05,0.45,304.1382,52.0562
"Alessi_Teutsch_3",266.4421,0.152,-12.8418,0.157,64,1.426,0.032,-5.379,0.115,8.962,0.208,7.9,0.8,118.2513,-53.0316
"Alessi_Teutsch_5",105.1011,0.603,4.0963,0.242,624,1.114,0.055,-1.43,0.918,-3.086,0.485,6.3,1.1,333.2748,61.3596
"Alessi_Teutsch_8",297.0396,0.165,1.3744,0.15,324,0.991,0.032,-6.64,0.129,1.681,0.137,7.9,0.85,180.6622,-60.938
"ASCC_10",155.7671,0.205,-17.844,0.212,46,1.518,0.032,-1.779,0.109,-1.43,0.099,7.9,0.75,51.8578,34.8967
"ASCC_101",68.0081,0.172,11.632,0.213,71,2.52,0.039,0.936,0.241,1.262,0.262,8.1,0.25,288.3615,36.3616
"ASCC_105",62.8241,0.33,2.1388,0.155,70,1.783,0.027,1.372,0.209,-1.609,0.15,7.85,0.55,295.4734,27.4033
"ASCC_107",58.9091,0.116,-1.8981,0.089,49,1.141,0.03,-0.202,0.123,-5.148,0.097,7.05,1.2,297.1641,21.994
"ASCC_108",74.3964,0.284,6.0715,0.157,163,0.847,0.036,-0.473,0.129,-1.722,0.14,7.8,0.8,298.3204,39.3632
"ASCC_11",150.546,0.193,-9.239,0.158,242,1.173,0.049,0.912,0.154,-3.07,0.15,8.45,1.0,53.0432,44.8432
"ASCC_111",74.6897,0.21,2.0117,0.141,93,1.156,0.038,-1.14,0.103,-1.579,0.111,7.9,1.05,302.9209,37.4709
"ASCC_113",82.9019,0.321,-6.5897,0.389,218,1.767,0.032,0.809,0.156,-3.724,0.164,7.85,0.35,317.9549,38.6558
"ASCC_114",97.1078,0.133,1.0275,0.123,166,1.067,0.025,-3.704,0.113,-3.465,0.129,7.5,1.3,325.0232,54.0137
"ASCC_115",97.4645,0.19,-2.4766,0.108,32,1.308,0.031,-0.553,0.065,-0.629,0.07,8.05,1.05,329.1724,51.541
"ASCC_12",163.0205,0.139,-1.8916,0.11,112,0.955,0.049,-0.684,0.13,-2.948,0.099,7.8,1.1,72.4312,41.7178
"ASCC_123",104.6547,1.136,-4.1203,0.819,75,4.308,0.1,12.345,0.48,-1.525,0.523,7.7,0.5,340.6117,54.1097
"ASCC_127",112.2666,0.901,4.1294,1.896,453,2.66,0.093,7.43,0.412,-1.789,0.735,7.25,0.7,347.1188,64.8473
"ASCC_128",109.846,0.16,-5.9613,0.047,15,1.522,0.014,1.255,0.107,0.081,0.111,7.85,0.75,350.001,54.5707
"ASCC_13",163.5293,0.064,3.0593,0.118,55,0.893,0.025,-0.535,0.15,-1.817,0.133,7.65,0.8,78.2063,44.3582
"ASCC_16",201.764,1.669,-17.9493,1.517,2176,2.893,0.095,1.439,0.397,-0.398,0.541,6.9,0.05,81.8581,1.3446
"ASCC_19",206.4123,2.058,-19.0574,1.381,1170,2.781,0.083,1.521,0.5,-1.244,0.363,6.9,0.2,82.9817,-3.0594
"ASCC_23",167.4449,0.212,14.4409,0.187,110,1.617,0.035,1.055,0.132,-0.6,0.131,8.45,0.5,95.0646,46.7445
