"Seq","Cluster","[Fe/H]","s_[Fe/H]","o_[Fe/H]","Nm","N4"
1,"Berkeley_17",-0.06,0.08,2,1,2
2,"Berkeley_18",-0.39,0.11,2,1,2
3,"Berkeley_20",-0.32,0.12,2,2,2
4,"Berkeley_21",-0.18,"nan",1,1,2
5,"Berkeley_22",-0.24,"nan",1,1,2
6,"Berkeley_29",-0.36,0.07,5,4,3
7,"Berkeley_32",-0.3,0.06,15,11,5
8,"Berkeley_39",-0.23,0.05,9,7,3
9,"Blanco_1",0.03,0.07,6,6,2
10,"Collinder_110",0.03,0.02,3,3,1
12,"Collinder_261",0.0,0.04,14,13,4
13,"IC_2391",-0.01,0.03,14,12,4
14,"IC_2602",-0.02,0.02,10,7,2
15,"IC_2714",0.02,0.06,7,4,2
16,"IC_4651",0.12,0.04,35,18,4
17,"IC_4665",-0.03,0.04,18,18,1
18,"IC_4756",0.02,0.04,22,15,3
19,"Melotte_111",0.0,0.08,13,10,2
20,"Melotte_20",0.14,0.11,2,2,2
21,"Melotte_22",-0.01,0.05,12,10,4
22,"Melotte_25",0.13,0.06,92,61,22
23,"Melotte_66",-0.32,0.03,6,6,2
24,"Melotte_71",-0.27,"nan",1,1,1
25,"NGC_1039",0.02,0.06,7,7,1
26,"NGC_1193",-0.22,0.01,2,1,2
27,"NGC_1245",0.02,0.03,3,3,1
28,"NGC_1545",-0.06,"nan",1,1,1
29,"NGC_1817",-0.11,0.03,7,4,3
30,"NGC_188",0.11,0.04,8,4,2
32,"NGC_1901",-0.08,"nan",1,1,1
33,"NGC_1977",-0.06,0.19,2,2,1
34,"NGC_2099",0.02,0.05,3,3,1
35,"NGC_2112",0.14,0.05,3,3,2
38,"NGC_2194",-0.09,0.0,2,2,1
40,"NGC_2251",-0.09,"nan",1,1,1
41,"NGC_2264",-0.13,"nan",1,1,1
42,"NGC_2266",-0.44,"nan",1,1,1
43,"NGC_2287",-0.11,0.01,3,2,1
44,"NGC_2324",-0.22,0.07,2,2,1
45,"NGC_2335",-0.18,"nan",1,1,1
46,"NGC_2355",-0.05,0.08,3,3,1
47,"NGC_2360",-0.03,0.06,16,9,4
48,"NGC_2420",-0.05,0.02,3,3,1
49,"NGC_2423",0.08,0.05,6,3,1
50,"NGC_2447",-0.03,0.05,18,3,4
51,"NGC_2477",0.07,0.03,4,4,1
52,"NGC_2482",-0.07,"nan",1,1,1
53,"NGC_2506",-0.23,0.05,7,5,3
54,"NGC_2516",0.05,0.11,2,2,1
55,"NGC_2527",-0.1,0.04,2,2,1
56,"NGC_2539",-0.02,0.08,8,4,2
57,"NGC_2567",-0.04,0.08,6,3,1
58,"NGC_2632",0.2,0.09,14,14,4
59,"NGC_2660",0.04,0.03,4,4,1
60,"NGC_2682",0.0,0.06,52,27,12
61,"NGC_3114",0.05,0.06,3,2,2
62,"NGC_3532",0.0,0.07,10,4,2
63,"NGC_3680",-0.01,0.06,19,10,5
64,"NGC_3960",-0.04,0.1,5,5,2
65,"NGC_4349",-0.07,0.06,3,2,1
66,"NGC_5822",0.08,0.08,10,7,2
67,"NGC_6134",0.11,0.07,8,8,2
68,"NGC_6192",0.12,0.07,3,3,1
69,"NGC_6253",0.34,0.11,12,10,3
70,"NGC_6281",0.06,0.06,2,2,1
71,"NGC_6475",0.02,0.02,3,3,1
72,"NGC_6494",-0.04,0.08,6,3,1
73,"NGC_6583",0.37,0.04,2,2,1
74,"NGC_6633",-0.08,0.12,8,4,4
75,"NGC_6705",0.12,0.13,10,7,3
76,"NGC_6791",0.42,0.05,8,8,2
77,"NGC_6819",0.09,0.01,3,3,1
78,"NGC_6939",0.13,"nan",1,1,1
79,"NGC_7142",0.11,0.04,7,4,2
80,"NGC_752",-0.02,0.04,19,18,5
81,"NGC_7789",0.01,0.04,6,5,2
83,"Ruprecht_147",0.16,0.08,5,5,1
84,"Saurer_1",-0.38,0.0,2,2,1
