"Name","ID","AllNames","Type","CST","N","CSTt","Nt","RA_ICRS","DE_ICRS","GLON","GLAT","r50","rc","rt","rtot","r50pc","rcpc","rtpc","rtotpc","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","Plx","s_Plx","e_Plx","dist16","dist50","dist84","Ndist","globalPlx","X","Y","Z","RV","s_RV","e_RV","n_RV","CMDCl2.5","CMDCl16","CMDCl50","CMDCl84","CMDCl97.5","CMDClHuman","logAge16","logAge50","logAge84","AV16","AV50","AV84","diffAV16","diffAV50","diffAV84","MOD16","MOD50","MOD84","minClSize","isMerged","isGMMMemb","NXmatches","XmatchType","recno"
"ADS 16795",1,"ADS_16795,AR_Cas","o",6.8322,41,6.8322,41,352.59216,58.55341,112.50889,-2.668,2.65316,3.25586,8.48998,8.48998,9.56715,11.74471,30.81841,30.81841,18.6566,1.30186,0.20332,2.84661,1.25804,0.19647,4.75961,0.10161,0.01587,206.28168,206.45788,206.63439,32,0,-8200.94947,190.52327,11.3916,-13.35774,1.63019,0.57636,8,0.172,0.6798,0.82842,0.99783,0.99885,"nan",7.388,7.755,8.016,0.0,0.174,0.264,0.008,0.471,0.694,6.492,6.65,6.815,40,0,0,1,"1:1",2
"AH03 J0748-26.9",2,"AH03_J0748-26.9,AH03_J0748-26.9,AH03_J0748_26.9,FSR_1315,MWSC_1347,MWSC_1348","o",11.58552,68,11.78131,66,117.15589,-26.97268,243.20022,-0.6276,0.03411,0.02795,0.1463,0.18885,2.36861,1.94141,10.16049,13.11505,-2.46549,0.04242,0.00522,3.18503,0.05194,0.00639,0.20936,0.03313,0.00408,3919.58056,3979.06488,4040.38252,68,0,-9916.03214,-3551.44899,-18.1946,79.36052,16.09866,4.64728,1,0.9963,0.9998,0.99994,1.0,1.0,"TP ",7.841,8.062,8.304,0.766,1.037,1.233,0.649,1.079,1.455,13.327,13.521,13.707,10,0,0,2,"1:m",3
"ASCC 5",3,"ASCC_5,MWSC_93","o",8.31642,25,8.31642,25,14.46908,55.82917,123.84275,-7.031,0.05449,0.04499,0.23229,0.23229,1.65575,1.36707,7.05842,7.05842,-2.40663,0.08268,0.01654,-1.91882,0.09264,0.01853,0.5382,0.03764,0.00753,1721.68751,1740.98321,1760.71632,24,0,-9084.80322,1435.13377,-189.84724,"nan","nan","nan",0,0.9899,0.999,0.99966,1.0,1.0,"nan",6.97,7.326,7.542,0.893,1.176,1.396,0.18,0.723,1.068,11.047,11.212,11.37,10,0,0,1,"1:1",4
"ASCC 6",4,"ASCC_6,MWSC_141,Theia_2326","o",19.25857,209,19.25857,209,26.84216,57.73861,130.36369,-4.324,0.1436,0.08215,0.86659,0.86659,3.76422,2.15326,22.71745,22.71745,-0.83414,0.10924,0.00756,0.14917,0.08861,0.00613,0.62967,0.05079,0.00351,1497.86275,1501.88586,1505.93064,208,0,-9092.16757,1141.10436,-89.94836,-28.83784,22.55436,10.08662,5,0.9907,0.9985,0.99928,1.0,1.0,"nan",7.773,7.961,8.185,0.494,0.657,0.865,0.316,0.758,1.105,10.703,10.891,11.056,80,0,0,2,"1:m",5
"ASCC 9",5,"ASCC_9,Theia_1659","o",17.56655,136,17.87814,132,41.6239,57.77685,137.80669,-1.733,0.13844,0.33497,0.33497,0.41285,5.55555,13.44248,13.44248,16.56808,0.16876,0.06185,0.00538,-1.13868,0.06851,0.00596,0.40228,0.02597,0.00226,2288.40542,2299.27725,2310.25287,136,0,-9824.86029,1543.56813,-44.38768,-23.79109,23.51119,16.62492,2,0.9953,0.9993,0.99969,1.0,1.0,"TP ",7.249,7.466,7.647,2.302,2.5,2.674,0.628,1.078,1.369,11.677,11.842,11.979,40,0,0,2,"1:m",6
"ASCC 11",6,"ASCC_11,MWSC_284,Teutsch_J0332.2+4450,Theia_152","o",27.89349,315,24.37122,231,53.05042,44.84077,150.55168,-9.238,0.19207,0.24306,0.60388,0.76023,2.76882,3.50373,8.7054,10.95962,0.9053,0.15163,0.00998,-3.07237,0.13206,0.00869,1.17058,0.05007,0.00329,824.70038,825.93527,827.17387,226,0,-8832.20569,400.79571,-109.97429,-17.28521,10.74675,1.32283,66,0.991,0.9982,0.99909,1.0,1.0,"nan",8.174,8.37,8.587,0.526,0.729,0.907,0.595,0.997,1.363,9.38,9.527,9.677,20,0,0,2,"m:m",7
"ASCC 12",7,"ASCC_12,MWSC_427","o",19.41707,157,19.51678,155,72.4206,41.7143,163.01817,-1.9,0.22342,0.13,1.32441,1.42674,3.95609,2.30182,23.45501,25.26811,-0.67605,0.1325,0.01064,-2.91645,0.12865,0.01033,0.95499,0.04658,0.00374,1012.07776,1014.5175,1016.96904,153,0,-9091.80453,296.1466,-10.35242,-26.14466,20.49443,4.36943,22,0.9936,0.9991,0.99957,1.0,1.0,"nan",8.259,8.473,8.701,0.505,0.709,0.865,0.511,0.83,1.225,9.831,9.996,10.135,80,0,0,1,"1:1",8
"ASCC 13",8,"ASCC_13,MWSC_486,Theia_2043","o",11.41564,117,11.5234,115,78.22067,44.36503,163.52978,3.072,0.26536,0.31481,0.86654,1.16412,4.98416,5.91292,16.277,21.86808,-0.54823,0.1153,0.01075,-1.80948,0.12816,0.01195,0.88155,0.07391,0.00689,1073.26115,1076.15265,1079.05977,116,0,-9152.33454,304.67009,81.10342,-17.42267,15.84326,4.39413,13,0.9952,0.9992,0.99959,1.0,1.0,"TP ",7.737,7.945,8.159,0.421,0.617,0.754,0.293,0.67,0.996,9.99,10.138,10.322,80,0,0,2,"1:m",9
"ASCC 14",9,"ASCC_14,MWSC_507","o",3.35333,32,5.46688,21,80.00386,35.22906,171.7706,-1.108,0.20658,0.4305,0.4305,0.92492,3.62078,7.5458,7.5458,16.21296,-0.564,0.08223,0.01794,-3.59744,0.1968,0.04295,0.92738,0.04307,0.0094,1000.03648,1004.25092,1008.50104,32,0,-9115.74389,143.71938,3.92426,-15.0685,2.70909,1.91561,2,0.9862,0.9976,0.99879,1.0,1.0,"nan",7.457,7.689,7.865,0.498,0.676,0.829,0.402,0.834,1.212,9.806,9.988,10.142,20,0,0,1,"m:1",10
"ASCC 18",10,"ASCC_18,MWSC_541,OCSN_58","o",5.07672,82,5.66888,43,81.33025,0.36763,202.39397,-18.89,0.29656,0.65752,0.65752,2.25145,2.12907,4.72062,4.72062,16.17179,0.15635,0.25995,0.03964,1.37329,0.22022,0.03358,2.41504,0.04536,0.00692,410.72913,411.33422,411.94109,73,0,-8482.15451,-148.27108,-111.41598,26.15758,8.53235,2.0694,17,0.968,0.9909,0.99495,0.99974,0.99991,"nan",6.727,6.967,7.161,0.062,0.228,0.328,0.202,0.762,1.096,7.851,8.02,8.192,80,0,0,2,"1:m",11
