"Name","ID","AllNames","Type","CST","N","CSTt","Nt","RA_ICRS","DE_ICRS","GLON","GLAT","r50","rc","rt","rtot","r50pc","rcpc","rtpc","rtotpc","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","Plx","s_Plx","e_Plx","dist16","dist50","dist84","Ndist","globalPlx","X","Y","Z","RV","s_RV","e_RV","n_RV","CMDCl2.5","CMDCl16","CMDCl50","CMDCl84","CMDCl97.5","CMDClHuman","logAge16","logAge50","logAge84","AV16","AV50","AV84","diffAV16","diffAV50","diffAV84","MOD16","MOD50","MOD84","r50J","rJ","r50Jpc","rJpc","probJ","NJ","MassJ","e_MassJ","MassTot","e_MassTot","minClSize","isMerged","isGMMMemb","NXmatches","XmatchType","Note"
"AH03_J0748-26.9",2,"AH03_J0748+26.9,AH03_J0748-26.9,AH03_J0748_26.9,FSR_1315,MWSC_1347,MWSC_1348","o",11.58552411,68,11.78130859,66,117.15589,-26.97268,243.20022,-0.6276,0.03411,0.02795,0.1463,0.18885,2.36861,1.94141,10.16049,13.11505,-2.46549,0.04242,0.00522,3.18503,0.05194,0.00639,0.20936,0.03313,0.00408,3919.58056,3979.06488,4040.38252,68,0,-9916.03214,-3551.44899,-18.1946,79.36052,16.09866,4.64728,1,0.9963,0.9998,0.99994,1.0,1.0,"TP",7.84066,8.06174,8.30397,0.7656,1.03667,1.23329,0.6486,1.079,1.45545,13.32692,13.52147,13.70749,0.03414,0.17904,2.37077,12.4342,1.0,67.0,409.19022,85.49308,411.32537,86.73031,10,0,0,2,"1:m+name_updated","nan"
"ASCC_5",3,"ASCC_5,MWSC_93","o",8.31642236,25,8.31642236,25,14.46908,55.82917,123.84275,-7.031,0.05449,0.04499,0.23229,0.23229,1.65575,1.36707,7.05842,7.05842,-2.40663,0.08268,0.01654,-1.91882,0.09264,0.01853,0.5382,0.03764,0.00753,1721.68751,1740.98321,1760.71632,24,0,-9084.80322,1435.13377,-189.84724,"nan","nan","nan",0,0.9899,0.999,0.99966,1.0,1.0,"nan",6.96986,7.32589,7.54226,0.8929,1.17621,1.39559,0.1798,0.72347,1.06781,11.04681,11.21209,11.37014,0.05449,0.27795,1.65575,8.44574,1.0,25.0,173.19577,25.46872,173.19577,25.46872,10,0,0,1,"1:1","nan"
"ASCC_6",4,"ASCC_6,MWSC_141,Theia_2326","o",19.25857004,209,19.25857004,209,26.84216,57.73861,130.36369,-4.324,0.1436,0.08215,0.86659,0.86659,3.76422,2.15326,22.71745,22.71745,-0.83414,0.10924,0.00756,0.14917,0.08861,0.00613,0.62967,0.05079,0.00351,1497.86275,1501.88586,1505.93064,208,0,-9092.16757,1141.10436,-89.94836,-28.83784,22.55436,10.08662,5,0.9907,0.9985,0.99928,1.0,1.0,"nan",7.77258,7.96103,8.18483,0.4945,0.65653,0.86468,0.316,0.75796,1.10453,10.70322,10.89065,11.0559,0.13464,0.47884,3.5294,12.55196,1.0,196.0,580.77667,89.91148,597.88657,92.29021,80,0,0,2,"1:m","nan"
"ASCC_9",5,"ASCC_9,Theia_1659","o",17.56655281,136,17.8781409,132,41.6239,57.77685,137.80669,-1.733,0.13844,0.33497,0.33497,0.41285,5.55555,13.44248,13.44248,16.56808,0.16876,0.06185,0.00538,-1.13868,0.06851,0.00596,0.40228,0.02597,0.00226,2288.40542,2299.27725,2310.25287,136,0,-9824.86029,1543.56813,-44.38768,-23.79109,23.51119,16.62492,2,0.9953,0.9993,0.99969,1.0,1.0,"TP",7.24896,7.46564,7.6469,2.302,2.5,2.67398,0.6282,1.07768,1.3692,11.67747,11.84186,11.97904,0.14181,0.41784,5.69086,16.76801,1.0,136.0,1143.12515,217.93572,1143.12515,217.93572,40,0,0,2,"1:m","nan"
"ASCC_11",6,"ASCC_11,MWSC_284,Teutsch_J0332.2+4450,Theia_152","o",27.89348821,315,24.37121974,231,53.05042,44.84077,150.55168,-9.238,0.19207,0.24306,0.60388,0.76023,2.76882,3.50373,8.7054,10.95962,0.9053,0.15163,0.00998,-3.07237,0.13206,0.00869,1.17058,0.05007,0.00329,824.70038,825.93527,827.17387,226,0,-8832.20569,400.79571,-109.97429,-17.28521,10.74675,1.32283,66,0.991,0.9982,0.99909,1.0,1.0,"nan",8.17351,8.36957,8.58654,0.5259,0.72899,0.90713,0.5949,0.99662,1.36336,9.37985,9.52744,9.67681,0.23111,0.90195,3.3316,13.00299,1.0,315.0,688.49336,86.12396,688.49336,86.12396,20,0,0,2,"m:m","nan"
"ASCC_12",7,"ASCC_12,MWSC_427","o",19.41706905,157,19.51678083,155,72.4206,41.7143,163.01817,-1.9,0.22342,0.13,1.32441,1.42674,3.95609,2.30182,23.45501,25.26811,-0.67605,0.1325,0.01064,-2.91645,0.12865,0.01033,0.95499,0.04658,0.00374,1012.07776,1014.5175,1016.96904,153,0,-9091.80453,296.1466,-10.35242,-26.14466,20.49443,4.36943,22,0.9936,0.9991,0.99957,1.0,1.0,"nan",8.25917,8.47343,8.70145,0.5052,0.70915,0.86513,0.5107,0.82951,1.22475,9.83094,9.99554,10.13536,0.18904,0.60971,3.34726,10.79637,1.0,132.0,374.23574,44.83427,442.39595,56.13074,80,0,0,1,"1:1","nan"
"ASCC_13",8,"ASCC_13,MWSC_486,Theia_2043","o",11.41564199,117,11.523403,115,78.22067,44.36503,163.52978,3.072,0.26536,0.31481,0.86654,1.16412,4.98416,5.91292,16.277,21.86808,-0.54823,0.1153,0.01075,-1.80948,0.12816,0.01195,0.88155,0.07391,0.00689,1073.26115,1076.15265,1079.05977,116,0,-9152.33454,304.67009,81.10342,-17.42267,15.84326,4.39413,13,0.9952,0.9992,0.99959,1.0,1.0,"TP",7.73731,7.94514,8.15861,0.4214,0.61693,0.75406,0.2928,0.66988,0.99557,9.98954,10.13826,10.32196,0.20666,0.55155,3.88168,10.35973,1.0,100.0,323.32205,40.70543,377.19728,40.42737,80,0,0,2,"1:m","nan"
"ASCC_14",9,"ASCC_14,MWSC_507","o",3.35332804,32,5.46688207,21,80.00386,35.22906,171.7706,-1.108,0.20658,0.4305,0.4305,0.92492,3.62078,7.5458,7.5458,16.21296,-0.564,0.08223,0.01794,-3.59744,0.1968,0.04295,0.92738,0.04307,0.0094,1000.03648,1004.25092,1008.50104,32,0,-9115.74389,143.71938,3.92426,-15.0685,2.70909,1.91561,2,0.9862,0.9976,0.99879,1.0,1.0,"nan",7.45721,7.68908,7.8652,0.4981,0.67635,0.82931,0.4022,0.83396,1.21234,9.80632,9.9885,10.14178,0.20255,0.36719,3.55016,6.43606,0.9975,18.0,78.39984,17.47462,125.7266,29.55566,20,0,0,1,"m:1","nan"
"ASCC_19",11,"ASCC_19","o",9.30711743,61,9.35242726,60,81.97813,-1.85602,204.78899,-19.38,0.323,0.75889,0.75889,0.88724,1.98484,4.66363,4.66363,5.45246,1.16772,0.1765,0.02279,-1.18248,0.14031,0.01811,2.80542,0.03309,0.00427,351.66154,352.07912,352.4977,59,0,-8423.79916,-139.25454,-95.25632,11.65061,17.16019,3.36539,26,0.9961,0.9993,0.99965,1.0,1.0,"nan",6.67236,6.87212,7.04482,0.1131,0.22973,0.35084,0.00778,0.51641,0.71303,7.54597,7.67497,7.84399,0.32721,0.88724,2.01071,5.45246,1.0,61.0,56.32117,12.9778,56.09632,13.00698,40,0,0,1,"m:m","nan"
"ASCC_20",12,"ASCC_20,OCSN_57","o",8.64395005,194,8.64395005,194,82.19355,1.7213,201.59022,-17.47,0.65332,1.5054,1.63116,1.63116,4.11889,9.49261,10.28604,10.28604,-0.5691,0.2493,0.0179,0.75899,0.25143,0.01805,2.73025,0.09457,0.00679,360.88362,361.2076,361.53215,162,0,-8442.61793,-126.7789,-86.83411,27.88556,10.88051,1.48065,54,0.9358,0.9863,0.99289,0.99991,0.99994,"nan",6.85849,7.09837,7.28108,4e-05,0.10797,0.17253,0.04253,0.47139,0.73478,7.60236,7.763,7.91718,0.5861,1.06289,3.69505,6.70151,1.0,163.0,104.81021,24.09627,132.89642,25.07332,80,0,0,2,"1:m","nan"
