"RA_ICRS","DE_ICRS","Cluster","N","logAge","AV","MOD","r","Mass","Density","Nrelax","NBSS","NpBS","Reffcl","ReffBSS","_RA.icrs","_DE.icrs"
67.449,25.422,"UBC_199","nan",9.06,0.93,10.46,2.91,300.5,4.371,22.68,0,0,0.179,"nan",67.449,25.422
76.78,30.846,"Skiff_J0507+30.8","*",9.39,0.98,13.92,7.97,2626.0,1.815,5.21,2,2,0.075,0.159,76.78,30.846
66.963,30.936,"Czernik_18","nan",8.72,1.34,10.61,1.18,255.9,56.283,41.69,0,0,0.055,"nan",66.963,30.936
68.11,39.479,"COIN-Gaia_11","*",8.9,1.25,9.13,3.92,304.0,1.807,9.91,1,0,0.343,0.445,68.11,39.479
81.09,32.607,"Berkeley_69","nan",8.9,1.61,12.66,2.26,1211.0,37.568,14.36,0,0,0.039,"nan",81.09,32.607
82.033,35.33,"NGC_1907","nan",8.77,1.28,11.05,2.12,1718.9,65.17,10.35,0,0,0.082,"nan",82.033,35.33
80.689,35.27,"Gulliver_26","nan",8.58,1.62,12.13,3.54,389.3,3.169,5.08,0,0,0.09,"nan",80.689,35.27
81.671,36.013,"Czernik_21","*",9.41,2.05,13.03,3.73,4584.9,30.778,13.85,1,1,0.059,0.012,81.671,36.013
81.244,37.558,"COIN-Gaia_17","nan",8.6,0.75,10.17,2.85,294.6,4.6,8.04,0,0,0.176,"nan",81.244,37.558
75.067,36.23,"UBC_61","nan",8.92,1.24,10.59,3.33,302.5,2.95,13.33,0,0,0.158,"nan",75.067,36.23
80.129,39.545,"Czernik_20","*",9.22,1.49,12.71,1.95,517.1,24.776,50.55,0,1,0.035,"nan",80.129,39.545
77.696,39.195,"COIN-Gaia_14","nan",8.63,0.62,9.86,2.56,76.9,1.649,14.65,0,0,0.194,"nan",77.696,39.195
79.031,39.518,"UBC_432","nan",8.52,1.27,12.32,2.74,241.3,4.269,7.54,0,0,0.076,"nan",79.031,39.518
85.342,39.237,"Teutsch_2","*",9.2,1.2,13.41,4.19,1172.1,5.63,11.59,1,2,0.054,0.169,85.342,39.237
81.457,41.951,"Berkeley_70","*",9.34,1.23,13.48,5.27,3423.5,8.184,7.8,6,4,0.062,0.071,81.457,41.951
79.209,41.708,"COIN-Gaia_12","nan",8.73,0.16,9.9,5.1,251.0,0.684,4.78,0,0,0.346,"nan",79.209,41.708
73.471,40.859,"FSR_0735","*",8.66,1.13,12.28,2.04,452.8,19.172,13.3,0,1,0.054,"nan",73.471,40.859
71.053,42.134,"Berkeley_68","*",9.32,1.38,12.65,5.9,3255.9,5.556,6.4,2,3,0.121,0.105,71.053,42.134
71.1,42.691,"Berkeley_12","*",9.3,2.16,13.17,2.7,2548.0,45.5,21.58,7,2,0.04,0.047,71.1,42.691
74.547,43.036,"Skiff_J0458+43.0","nan",8.53,0.91,12.11,3.09,119.0,1.462,7.86,0,0,0.048,"nan",74.547,43.036
74.935,43.488,"Berkeley_14","*",9.43,1.4,13.47,4.39,6680.8,27.525,9.89,5,3,0.052,0.054,74.935,43.488
77.786,45.718,"FSR_0716","nan",8.94,0.86,12.77,3.24,828.9,8.697,10.45,0,0,0.058,"nan",77.786,45.718
72.763,43.676,"NGC_1664","nan",8.71,0.69,10.64,2.64,1463.7,28.559,6.83,0,0,0.115,"nan",72.763,43.676
80.531,45.442,"Berkeley_18","*",9.64,1.53,13.75,11.5,36419.5,8.228,1.98,22,7,0.124,0.191,80.531,45.442
81.48,46.493,"NGC_1883","*",8.79,1.18,13.37,2.63,1198.1,23.702,8.89,0,1,0.034,"nan",81.48,46.493
82.239,48.043,"UBC_59","*",8.69,0.95,12.06,4.83,588.2,1.888,3.61,1,0,0.106,0.05,82.239,48.043
77.914,47.691,"NGC_1798","*",9.22,1.12,13.55,3.49,3389.3,28.296,10.95,3,1,0.044,0.082,77.914,47.691
61.002,35.347,"UBC_4","nan",8.72,0.54,8.91,10.75,142.0,0.041,1.8,0,0,0.987,"nan",61.002,35.347
52.894,37.38,"NGC_1342","nan",8.91,0.71,9.18,3.46,1204.5,10.432,7.78,0,0,0.293,"nan",52.894,37.38
62.981,42.723,"UBC_57","nan",9.18,1.11,11.6,1.97,304.8,14.158,53.51,0,0,0.069,"nan",62.981,42.723
61.771,44.094,"UPK_333","nan",8.88,0.74,9.25,5.08,202.7,0.556,7.26,0,0,0.499,"nan",61.771,44.094
52.011,45.152,"Gulliver_25","nan",8.56,0.82,10.66,7.83,194.0,0.146,1.82,0,0,0.376,"nan",52.011,45.152
59.821,47.395,"UBC_53","nan",8.68,1.67,11.14,1.68,331.6,25.118,20.58,0,0,0.067,"nan",59.821,47.395
61.766,51.141,"FSR_0667","nan",8.85,1.12,10.36,1.4,165.0,21.479,49.44,0,0,0.062,"nan",61.766,51.141
61.111,52.668,"NGC_1496","nan",8.59,1.42,11.11,1.28,342.6,59.108,24.92,0,0,0.045,"nan",61.111,52.668
67.996,43.62,"Gulliver_11","nan",8.51,0.76,9.79,2.07,242.6,9.865,11.16,0,0,0.18,"nan",67.996,43.62
69.874,47.534,"UBC_56","nan",8.78,1.59,9.75,2.07,349.7,14.235,18.75,0,0,0.129,"nan",69.874,47.534
69.472,50.755,"Berkeley_67","*",9.1,2.03,11.73,3.17,1727.3,19.287,12.17,0,1,0.099,"nan",69.472,50.755
71.783,49.035,"UBC_427","nan",8.78,1.22,12.48,3.93,416.6,2.466,6.77,0,0,0.096,"nan",71.783,49.035
73.943,52.809,"Berkeley_13","nan",8.69,2.09,12.99,4.49,2026.2,8.082,2.62,0,0,0.068,"nan",73.943,52.809
84.519,57.124,"UBC_8","nan",8.7,0.79,8.49,3.7,315.0,2.254,6.73,0,0,0.532,"nan",84.519,57.124
64.728,52.344,"UBC_52","*",9.01,1.56,11.73,2.94,296.5,4.18,19.91,0,1,0.11,"nan",64.728,52.344
71.602,55.199,"Alessi_2","nan",8.55,0.52,9.09,6.35,515.2,0.728,1.8,0,0,0.642,"nan",71.602,55.199
68.037,56.066,"UPK_312","nan",8.68,0.54,9.29,3.27,102.7,1.064,10.65,0,0,0.504,"nan",68.037,56.066
29.223,37.794,"NGC_752","nan",9.07,0.07,8.42,4.09,584.7,3.05,11.25,0,0,0.6,"nan",29.223,37.794
13.343,49.536,"Alessi_1","*",9.16,0.08,9.19,2.99,153.1,2.026,33.36,0,1,0.284,"nan",13.343,49.536
28.136,53.058,"Gaia_2","nan",9.9,0.5,13.65,2.91,402.4,5.529,149.97,0,0,0.042,"nan",28.136,53.058
15.06,55.409,"COIN-Gaia_2","nan",8.82,0.46,10.4,3.93,526.7,3.123,6.89,0,0,0.226,"nan",15.06,55.409
12.741,58.188,"King_2","*",9.61,0.97,14.15,6.02,9995.0,15.801,8.09,14,3,0.056,0.063,12.741,58.188
16.487,59.632,"UBC_36","nan",8.73,1.0,11.55,2.32,182.0,5.279,17.14,0,0,0.057,"nan",16.487,59.632
10.952,60.197,"Czernik_2","nan",8.57,1.41,11.39,2.82,529.5,8.579,6.34,0,0,0.071,"nan",10.952,60.197
9.885,61.09,"NGC_189","nan",8.6,1.54,10.45,1.69,260.7,19.439,18.24,0,0,0.071,"nan",9.885,61.09
5.76,59.451,"UBC_184","*",8.91,1.37,11.15,1.9,365.5,19.254,28.52,0,1,0.079,"nan",5.76,59.451
6.319,60.392,"Berkeley_2","nan",8.77,2.34,14.2,3.26,2406.3,24.909,4.79,0,0,0.025,"nan",6.319,60.392
4.078,59.967,"Juchert_Saloran_1","nan",8.78,2.82,13.66,3.57,2027.5,16.048,4.56,0,0,0.049,"nan",4.078,59.967
4.44,60.936,"Berkeley_60","nan",8.57,2.07,12.85,2.59,1367.7,28.491,5.21,0,0,0.037,"nan",4.44,60.936
2.553,61.175,"King_13","nan",8.7,1.76,12.74,4.37,3029.7,13.126,2.42,0,0,0.062,"nan",2.553,61.175
6.416,63.754,"FSR_0494","*",8.95,2.2,13.05,3.98,684.5,3.888,8.39,4,0,0.049,0.114,6.416,63.754
6.656,64.01,"FSR_0496","*",9.31,1.94,10.77,2.26,961.7,29.278,40.71,3,1,0.071,0.054,6.656,64.01
5.505,64.383,"King_1","*",9.56,1.9,11.19,4.67,8459.8,28.675,11.19,3,5,0.182,0.412,5.505,64.383
