"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"Basel 10",34.862,0.053,58.301,0.022,0.473,0.044,-0.423,0.092,-0.796,0.138,0.057,127,2.087,2.091,2.103,2.116,2.12,-9.768,1.504,-0.064,9.883,"nan","nan","nan","nan","nan","nan"
"Berkeley 104",0.869,0.048,63.595,0.01,0.226,0.025,-2.404,0.054,0.073,0.028,0.063,66,4.341,4.368,4.452,4.536,4.564,-10.363,3.944,0.126,11.089,"nan","nan","nan","nan","nan","nan"
"Berkeley 11",65.127,0.048,44.921,0.015,0.369,0.023,1.069,0.048,-1.866,0.041,0.057,100,2.717,2.728,2.761,2.795,2.806,-10.839,1.074,-0.141,10.892,"nan","nan","nan","nan","nan","nan"
"Berkeley 12",71.107,0.084,42.689,0.035,0.183,0.044,0.85,0.061,-1.763,0.046,0.075,178,5.127,5.191,5.387,5.583,5.647,-13.41,1.695,-0.145,13.517,"nan","nan","nan","nan","nan","nan"
"Berkeley 14",74.935,0.023,43.482,0.02,0.203,0.071,1.474,0.099,0.452,0.085,0.049,220,5.05,5.085,5.192,5.299,5.333,-13.259,1.535,0.102,13.348,"nan","nan","nan","nan","nan","nan"
"Berkeley 17",80.137,0.045,30.574,0.033,0.306,0.063,2.621,0.156,-0.332,0.099,0.074,263,3.229,3.241,3.279,3.316,3.329,-11.563,0.248,-0.173,11.566,"nan","nan","nan","nan","nan","nan"
"Berkeley 18",80.525,0.071,45.439,0.052,0.166,0.079,0.824,0.085,-0.045,0.047,0.122,416,5.678,5.716,5.831,5.946,5.983,-13.871,1.639,0.554,13.967,"nan","nan","nan","nan","nan","nan"
"Berkeley 19",81.006,0.008,29.577,0.016,0.158,0.106,0.729,0.139,-0.302,0.169,0.06,133,6.144,6.241,6.539,6.837,6.934,-14.818,0.352,-0.363,14.822,"nan","nan","nan","nan","nan","nan"
"Berkeley 20",83.155,0.006,0.189,0.002,0.045,0.133,0.82,0.073,-0.259,0.069,0.05,49,12.615,13.009,14.228,15.447,15.841,-20.765,-5.42,-4.18,21.46,"nan","nan","nan","nan","nan","nan"
"Berkeley 21",87.94,0.041,21.809,0.017,0.152,0.125,0.468,0.208,-0.951,0.211,0.089,251,6.369,6.439,6.653,6.868,6.937,-14.901,-0.789,-0.241,14.922,"nan","nan","nan","nan","nan","nan"
