"Name","RAJ2000","DEJ2000","GLON","GLAT","Dist","E(B-V)","Diam","Rgc","logt","e_logt","logM","e_logM","X","Y","Z"
"Stock_18",0.397,64.625,117.617,2.266,0.774,0.177,2.16,8.39,8.68,"nan","nan","nan",-358.51,685.28,30.6
"Berkeley_59",0.559,67.425,118.219,5.001,1.0,1.241,7.68,8.52,6.1,"nan",2.22,0.56,-471.04,877.79,87.17
"Cep_OB4",0.735,67.5,118.299,5.062,0.85,1.099,22.55,8.43,6.1,"nan","nan","nan",-401.39,745.49,75.0
"Blanco_1",0.885,-30.0,14.83,-79.098,0.25,0.012,20.52,7.95,7.75,"nan",3.48,0.16,45.71,12.1,-245.49
"IRAS_00013+6817",0.996,68.565,118.595,6.091,1.338,0.833,4.2,8.72,7.15,"nan","nan","nan",-636.77,1168.17,141.97
"ASCC_1",2.413,62.704,118.158,0.217,1.6,0.489,5.86,8.87,8.406,"nan",3.96,0.25,-755.04,1410.63,6.06
"Alessi_20",2.667,58.748,117.648,-3.708,0.47,0.381,5.0,8.23,7.575,0.188,1.36,0.25,-217.64,415.46,-30.4
"MWSC_4005",2.865,-85.48,303.85,-31.573,1.159,0.25,6.68,7.49,9.375,"nan","nan","nan",550.02,-820.07,-606.83
"Mayer_1",5.514,61.741,119.456,-0.935,1.43,0.5,5.74,8.79,7.74,"nan",3.15,0.44,-703.11,1244.98,-23.33
"King_1",5.515,64.384,119.758,1.69,1.659,0.625,12.74,8.94,9.7,"nan","nan","nan",-823.06,1439.6,48.93
"SAI_4",5.907,62.71,119.746,0.007,1.6,0.4,3.74,8.9,8.8,0.069,"nan","nan",-793.85,1389.17,0.2
"Stock_20",6.313,62.602,119.92,-0.12,1.1,0.2,5.38,8.6,8.337,"nan",1.97,0.26,-548.67,953.39,-2.3
"FSR_0496",6.675,64.03,120.223,1.285,1.123,0.77,6.66,8.62,9.055,0.049,"nan","nan",-565.14,970.11,25.18
"NGC_110",6.855,71.422,120.996,8.637,1.6,0.65,6.42,8.92,8.97,"nan","nan","nan",-814.62,1355.97,240.28
"NGC_129",7.542,60.203,120.285,-2.563,1.685,0.541,9.12,8.97,7.975,"nan",3.01,0.23,-848.9,1453.59,-75.35
"Stock_21",7.561,57.931,120.107,-4.828,1.7,0.416,9.2,8.97,8.825,"nan",2.26,0.38,-849.72,1465.44,-143.08
"NGC_189",9.87,61.115,121.483,-1.726,1.3,0.7,5.45,8.75,8.709,0.047,"nan","nan",-678.61,1108.13,-39.16
"NGC_225",10.8,61.782,121.953,-1.077,0.85,0.6,5.34,8.48,8.191,0.058,1.79,0.31,-449.76,721.08,-15.98
"FSR_0516",12.637,65.965,122.837,3.09,0.81,2.04,4.81,8.47,8.83,0.052,"nan","nan",-438.58,679.59,43.66
"FSR_0519",13.122,64.667,123.04,1.792,1.517,0.697,7.41,8.92,7.35,"nan","nan","nan",-826.7,1271.07,47.44
"ASCC_4",13.32,61.6,123.146,-1.274,0.55,0.25,4.03,8.31,8.65,"nan",2.79,0.21,-300.65,460.39,-12.23
