"Name","GLON","GLAT","X","Y","Z","Rg","dxy","dcmpl","I(Ks)","logt","rt","e_rt","logmt","e_logmt","_RA.icrs","_DE.icrs","Type"
"Hogg_2,MWSC_1722",279.84,-1.722,-7.8673,-1.7913,-0.0339,8.3829,1.818,2.7513,-4.444,8.2,3.5,0.69,1.162,0.257,147.8949,-56.306," "
"FSR_0515,MWSC_77",122.823,-8.11,-9.4453,1.9647,-0.3123,9.9629,2.338,2.2226,-3.463,9.275,7.25,1.32,1.97,0.237,12.6726,54.7616," "
"Collinder_338,MWSC_2651",351.728,-3.298,-7.4883,-0.1003,-0.0194,7.8109,0.697,1.9902,-3.032,8.05,5.1,0.53,1.715,0.135,264.5411,-37.7004," "
"King_2,MWSC_79",122.859,-4.674,-11.1519,4.604,-0.4273,12.3631,5.481,3.9824,-6.728,9.67,12.16,2.62,2.484,0.281,12.7216,58.1977," "
"FSR_0160,MWSC_3166",62.701,1.347,-7.1283,2.0338,0.0746,7.7229,2.2887,3.9112,-6.596,8.69,9.39,1.34,2.52,0.186,296.1768,26.903," "
"Roslund_2,MWSC_3173",60.159,-0.262,-7.3482,1.4466,0.0132,7.8054,1.6677,2.9847,-4.877,6.78,9.02,0.64,2.458,0.092,296.3115,23.8972," "
"MWSC_4486",335.952,-27.341,-6.3706,-0.8065,-1.0025,6.741,1.9792,2.3201,-3.644,9.3,10.71,3.54,2.818,0.431,290.9879,-60.7271,""
"MWSC_4349",333.768,-12.271,-5.3644,-1.3864,-0.6614,5.853,3.1366,4.1236,-6.99,8.805,17.15,7.96,3.569,0.605,261.7441,-57.5255,""
"FSR_1625,MWSC_2061",301.53,4.436,-6.9951,-1.928,0.1963,7.5669,2.262,2.9281,-4.772,8.875,12.26,2.86,2.886,0.304,190.1908,-58.4067," "
"ASCC_48,MWSC_1506",257.423,1.626,-8.2976,-0.5361,0.0364,8.6363,0.5493,4.3015,-7.32,9.185,2.71,1.01,0.804,0.486,128.6572,-37.6266," "
"NGC_1502,MWSC_343",143.668,7.652,-8.9946,0.6006,0.157,9.336,1.0137,3.0731,-5.041,7.08,5.75,1.14,1.72,0.258,61.9434,62.3305," "
"NGC_2506,MWSC_1406",230.547,9.932,-10.3852,-2.682,0.629,11.038,3.4735,4.2249,-7.178,9.21,25.25,4.82,3.518,0.249,119.9932,-10.757," "
"NGC_5168,MWSC_2129",307.724,1.566,-7.1219,-1.3653,0.068,7.568,1.7261,2.0091,-3.067,8.25,5.43,0.86,1.825,0.206,202.7583,-60.9368," "
"FSR_0874,MWSC_635",186.764,-5.396,-9.0792,-0.1069,-0.0649,9.4018,0.9075,1.351,-1.846,8.86,3.59,1.97,1.1,0.715,85.2333,20.357," "
"NGC_436,MWSC_111",126.108,-3.913,-9.9421,2.4184,-0.1839,10.5451,2.9934,2.3444,-3.689,7.925,10.18,2.92,2.369,0.374,18.9862,58.8075," "
"Ruprecht_127,MWSC_2649",352.875,-2.497,-6.755,-0.1779,-0.0417,7.0793,1.4341,4.7559,-8.163,7.55,4.9,0.91,1.753,0.242,264.4581,-36.3042," "
"Trumpler_26,MWSC_2604",357.53,2.858,-6.6915,-0.0641,0.0951,7.0138,1.4879,2.9852,-4.878,8.17,7.05,1.55,2.235,0.286,262.1237,-29.4853," "
"FSR_0274,MWSC_3412",87.139,2.582,-8.0706,2.1479,0.1178,8.6631,2.1506,2.9906,-4.888,7.8,9.54,4.08,2.441,0.557,312.2729,47.8773," "
"NGC_6603,MWSC_2883",12.833,-1.308,-5.9118,0.5162,-0.0323,6.2551,2.3242,4.7553,-8.162,8.4,9.56,0.92,2.742,0.125,274.5969,-18.4312," "
"Trumpler_35,MWSC_2980",28.2,-0.047,-7.0558,0.6017,0.0197,7.4023,1.2733,3.4014,-5.65,8.15,4.6,0.49,1.629,0.139,280.7398,-4.2318," "
"SAI_14,MWSC_120",126.898,0.005,-11.2318,4.0675,0.0212,12.2488,5.0863,3.3879,-5.625,9.45,19.3,6.61,3.093,0.446,21.5065,62.6101," "
"NGC_5155,MWSC_2125",307.207,-0.899,-7.3294,-1.1177,-0.0012,7.7326,1.4033,1.9132,-2.889,7.4,5.91,1.61,1.916,0.355,202.4592,-63.4516," "
"FSR_0560,MWSC_121",129.815,-18.231,-9.338,1.3915,-0.5759,9.7597,1.8116,1.7229,-2.536,8.355,9.83,4.61,2.383,0.611,21.9878,44.1522," "
"DBSB_100,MWSC_2387",332.836,-0.585,-6.1848,-1.0228,-0.0021,6.5867,2.2403,3.1793,-5.238,8.55,3.22,0.62,1.274,0.251,245.0973,-50.9059," "
"FSR_0531,MWSC_125",125.739,12.096,-10.4031,3.0921,0.8372,11.1619,3.8095,3.3545,-5.563,9.4,15.79,3.81,2.899,0.314,23.3413,74.7388," "
"Trumpler_1,MWSC_127",128.214,-1.146,-9.6619,1.8848,-0.0272,10.1602,2.3988,2.2813,-3.572,7.1,4.68,1.58,1.385,0.44,23.8993,61.272," "
"NGC_609,MWSC_128",127.736,2.08,-10.93,3.556,0.1841,11.8005,4.4965,4.0767,-6.903,9.15,19.0,3.38,3.099,0.232,24.0829,64.5322," "
"MWSC_4409",58.789,21.009,-6.8524,2.1879,1.0032,7.5006,2.5581,4.523,-7.731,8.85,15.95,6.43,3.237,0.525,273.8346,31.7237,""
"FSR_0425,MWSC_3710",111.586,0.557,-9.1507,2.4586,0.0465,9.7866,2.644,2.9777,-4.864,8.7,5.2,1.39,1.551,0.348,348.6923,61.281," "
"FSR_1629,MWSC_2049",302.246,-18.097,-6.3536,-2.892,-1.0966,7.2751,3.4194,3.8029,-6.395,9.7,19.87,6.56,3.551,0.43,188.7125,-80.9466," "
"FSR_0553,MWSC_132",128.222,2.15,-12.8153,5.8883,0.3021,14.3965,7.4951,4.1436,-7.027,8.6,29.48,3.14,3.529,0.139,25.2227,64.5126," "
"NGC_1896,MWSC_537",177.369,-3.504,-10.7706,0.1191,-0.1381,11.0933,2.5953,3.3383,-5.533,9.1,10.96,2.53,2.427,0.301,81.4048,29.2603," "
"NGC_2422,MWSC_1278",230.968,3.139,-8.4744,-0.3656,0.0466,8.804,0.4707,3.4283,-5.7,8.12,6.09,0.75,1.842,0.16,114.1587,-14.4877," "
"FSR_0077,MWSC_2894",25.698,5.077,-5.0391,1.5105,0.3303,5.5698,3.4834,3.825,-6.436,9.48,7.64,2.72,2.565,0.464,275.0258,-4.0873," "
"Berkeley_5,MWSC_142",129.277,0.753,-11.9761,4.6442,0.0997,13.1458,5.9995,4.3538,-7.417,8.83,12.25,2.85,2.45,0.303,26.9132,62.9302," "
"ASCC_79,MWSC_2288",320.035,-2.74,-7.5114,-0.5587,-0.0208,7.8533,0.8698,3.5706,-5.964,6.95,10.79,0.81,2.686,0.098,229.6522,-60.6282," "
"NGC_6031,MWSC_2352",329.282,-1.502,-7.0798,-0.6526,-0.0127,7.4305,1.2775,2.0183,-3.084,8.195,5.78,1.42,1.923,0.32,241.9012,-54.0174," "
"Trumpler_17,MWSC_1870",288.681,0.433,-7.4752,-2.0786,0.0374,8.0695,2.1942,2.7718,-4.482,7.775,8.59,1.8,2.365,0.273,164.1079,-59.219," "
"NGC_3033,MWSC_1715",279.582,-2.083,-8.0083,-1.0053,-0.0163,8.3907,1.0195,1.8436,-2.76,8.62,4.58,1.67,1.512,0.475,147.1218,-56.4219," "
"Ruprecht_31,MWSC_1317",250.083,-5.97,-8.3613,-0.506,-0.0355,8.6981,0.5382,0.7074,-0.652,8.65,1.67,0.71,0.167,0.554,115.743,-35.5907," "
"Berkeley_8,MWSC_158",127.365,13.224,-11.1327,3.8695,1.1648,12.0906,4.8686,4.6459,-7.959,9.3,36.89,10.61,3.946,0.375,30.3371,75.4906," "
"Ruprecht_117,MWSC_2395",332.478,-1.604,-7.3469,-0.433,-0.0054,7.6812,0.9371,1.2281,-1.618,8.95,3.04,0.56,1.056,0.24,245.8469,-51.8795," "
"King_1,MWSC_35",119.758,1.69,-9.001,1.4394,0.0697,9.4334,1.6581,3.922,-6.616,9.7,10.72,1.57,2.523,0.191,5.5059,64.3803," "
"FSR_0519,MWSC_83",123.04,1.792,-9.0049,1.2714,0.0683,9.4132,1.5166,2.0393,-3.123,7.35,6.33,1.81,1.838,0.373,13.1119,64.6635," "
"SAI_16,MWSC_165",131.443,0.623,-11.3144,3.5521,0.0723,12.1665,4.7386,4.1317,-7.005,9.15,12.81,2.76,2.563,0.281,31.4002,62.2629," "
"Riddle_4,MWSC_167",132.22,-1.226,-9.6562,1.629,-0.0263,10.1103,2.1997,2.0123,-3.073,7.35,3.57,0.85,1.036,0.31,31.8476,60.2689," "
"MWSC_5149",294.589,29.322,-7.6188,-1.2221,0.7757,8.0343,1.344,1.8921,-2.85,9.5,6.82,3.45,2.068,0.659,184.185,-32.987,""
"Dutra-Bica_45,MWSC_2695",3.645,1.786,-6.9886,0.0758,0.058,7.311,1.1918,3.4024,-5.652,9.1,3.19,0.52,1.163,0.212,266.816,-24.8942," "
"ASCC_17,MWSC_534",176.562,-3.049,-10.022,0.1108,-0.0776,10.3445,1.8473,2.5314,-4.036,7.265,11.25,11.7,2.514,1.355,81.3211,30.1827," "
"ESO_226-06,MWSC_2400",333.086,-1.187,-7.0903,-0.5522,-0.0045,7.4328,1.2198,2.035,-3.115,8.475,2.28,0.76,0.711,0.434,246.0558,-51.1539," "
"NGC_1893,MWSC_516",173.577,-1.66,-11.4558,0.369,-0.0748,11.7836,3.2985,3.9015,-6.578,6.55,15.61,1.29,2.844,0.108,80.6981,33.4298," "
"NGC_6823,MWSC_3163",59.396,-0.139,-7.2802,1.5179,0.0165,7.7522,1.7635,3.1081,-5.106,7.01,10.34,2.94,2.642,0.37,295.7796,23.2974," "
"MWSC_4375",34.944,17.28,-5.2254,2.0632,1.1413,5.9187,3.602,4.6534,-7.973,9.375,18.45,4.33,3.653,0.306,268.231,9.5137,""
"FSR_1577,MWSC_1673",291.659,-17.873,-7.6298,-1.3804,-0.4582,8.0707,1.4853,1.9487,-2.955,9.6,7.74,2.57,2.229,0.433,142.1929,-76.0817," "
"SAI_17,MWSC_179",134.161,-1.712,-10.9635,2.8683,-0.0987,11.6443,3.9983,2.9599,-4.831,8.9,12.1,2.54,2.521,0.273,35.1998,59.1976," "
"Berkeley_64,MWSC_182",131.972,4.611,-11.3782,3.5577,0.4067,12.2292,4.7852,3.625,-6.065,9.0,18.42,6.68,3.033,0.472,35.4019,65.8875," "
"FSR_1194,MWSC_1088",225.08,-2.625,-9.0129,-0.8372,-0.0334,9.3724,1.1824,1.924,-2.909,7.815,5.22,0.5,1.59,0.125,106.0885,-12.0037," "
"FSR_0821,MWSC_642",178.731,-0.184,-9.3906,0.0269,0.0169,9.7126,1.2129,2.0636,-3.168,9.1,3.59,0.36,1.074,0.131,85.461,29.9201," "
"FSR_0368,MWSC_3472",104.923,13.791,-8.5564,1.4197,0.3814,8.9911,1.4693,2.1665,-3.359,8.38,6.01,2.9,1.808,0.629,317.6989,68.5417," "
"FSR_0584,MWSC_193",134.047,0.837,-9.5747,1.4439,0.0502,10.0015,2.0089,1.8064,-2.691,9.1,9.4,13.87,2.306,1.922,36.789,61.6257," "
"PTB_7,MWSC_26",119.577,5.679,-9.7657,2.7976,0.3407,10.4685,3.2167,3.362,-5.577,6.55,13.7,2.35,2.761,0.223,3.7922,68.3142," "
"Tombaugh_4,MWSC_199",134.205,1.068,-10.7573,2.6519,0.0897,11.3922,3.6994,3.4693,-5.776,8.64,13.99,4.05,2.726,0.377,37.277,61.7832," "
"MWSC_4429",343.617,-18.655,-6.3141,-0.548,-0.6351,6.6587,1.9428,3.2919,-5.447,9.045,14.82,8.88,3.253,0.781,278.8837,-51.7465,""
"Ruprecht_57,MWSC_1457",246.325,4.392,-8.8844,-1.6112,0.1559,9.3463,1.7593,2.5201,-4.015,8.975,7.83,3.78,2.121,0.629,123.7893,-26.9668," "
"Melotte_101,MWSC_1840",289.864,-5.551,-7.502,-1.8711,-0.1725,8.0446,1.9895,2.9044,-4.728,8.1,13.21,1.67,2.929,0.165,160.5606,-65.0916," "
"Teutsch_22,MWSC_3449",85.679,-1.513,-7.98,2.6207,-0.0486,8.7058,2.6282,3.3016,-5.465,8.5,7.38,1.83,2.102,0.323,315.4144,44.1164," "
"Platais_10,MWSC_2150",309.259,3.038,-8.0226,-0.1902,0.0338,8.3467,0.2456,1.7051,-2.503,8.34,4.44,1.99,1.476,0.584,205.2786,-59.2221," "
"FSR_1199,MWSC_1097",225.797,-2.466,-9.0057,-0.851,-0.0303,9.3664,1.1871,1.6663,-2.431,8.645,4.47,0.97,1.389,0.283,106.5686,-12.5679," "
"IRAS_18306-0500,MWSC_2948",26.438,1.751,-6.3678,0.9001,0.0826,6.7501,2.0216,3.777,-6.347,7.8,5.96,0.94,2.053,0.205,278.3262,-4.9724," "
"Teutsch_84,MWSC_2526",344.436,-0.444,-4.892,-0.9153,-0.0057,5.2938,3.4111,4.4917,-7.673,8.995,17.86,3.27,3.722,0.239,256.0696,-42.0696," "
"NGC_2609,MWSC_1495",276.134,-12.748,-8.0237,-1.4361,-0.306,8.4683,1.4444,2.4387,-3.864,8.48,4.71,1.3,1.54,0.36,127.3804,-61.0973," "
"Collinder_89,MWSC_838",188.575,3.788,-9.1857,-0.152,0.0883,9.509,1.0191,3.3146,-5.489,7.825,8.41,3.55,2.2,0.55,94.7917,23.3515," "
"Czernik_13,MWSC_227",135.642,2.265,-11.1079,2.865,0.1829,11.7835,4.0979,3.1814,-5.242,6.855,12.7,3.16,2.575,0.324,41.1015,62.3159," "
