"IAU","Name","RAJ2000","DEJ2000","r1(ASCC)","r2(ASCC)","r1(USNO)","r2(USNO)","Bc","N(P>61)","Npm","pmRA","e_pmRA","pmDE","e_pmDE","Dist","E(B-V)","Ref"
"C0001-302","Blanco_1",0.82,-30.14,0.4,2.85,1.25,1.65,20.8,48,16,19.86,0.64,3.37,0.35,262,0.01,2
"C0019+614","Mayer_1",5.47,61.75,0.11,0.22,0.05,0.17,20.0,13,7,-4.46,1.13,-6.66,0.94,1429,0.4,5
"C0022+623","Stock_20",6.31,62.61,0.07,0.15,0.07,0.13,19.8,10,5,0.55,1.06,-1.18,0.58,909,0.2,5
"C0027+577","Stock_21",7.36,58.01,0.1,0.2,"nan",0.08,17.0,9,6,1.0,1.1,-1.34,1.13,1111,0.5,5
"C0027+599","NGC_129",7.47,60.22,0.1,0.3,"nan",0.28,19.6,28,11,-1.77,0.52,-0.92,0.74,1639,0.55,1
"C0030+630","NGC_146",8.2,63.31,0.07,0.12,"nan",0.12,19.8,8,6,-2.59,1.03,0.1,1.1,3030,0.48,1
"C0040+615","NGC_225",10.87,61.79,0.08,0.22,"nan",0.27,19.1,11,6,-2.9,0.97,1.32,0.93,657,0.27,1
"C0040+639","King_16",10.93,64.18,0.09,0.15,0.05,0.17,19.9,7,5,0.7,1.56,2.96,0.88,2300,0.8,3
"C0042+641","Berkeley_4",11.35,64.4,0.09,0.2,"nan",0.23,19.8,15,9,-2.31,0.97,-0.12,0.59,1250,0.6,5
"C0049+563","NGC_281",13.24,56.63,0.08,0.18,"nan","nan","nan",9,6,-0.96,0.4,-1.72,0.88,1430,0.25,5
"C0105+613","NGC_381",17.07,61.58,0.1,0.2,0.09,0.18,19.5,18,8,-0.16,1.5,-0.39,0.8,1052,0.34,1
"C0112+598","NGC_433",18.81,60.14,0.09,0.15,0.07,0.2,19.8,8,6,-3.84,1.15,-0.62,1.45,2323,0.72,4
"C0115+580","NGC_457",19.92,58.27,0.16,0.4,"nan",0.3,19.4,36,16,-1.02,0.48,-1.7,0.44,2439,0.47,1
"C0129+604","NGC_581",23.34,60.67,0.07,0.22,"nan",0.13,19.5,18,8,-0.02,0.34,0.03,0.96,2173,0.38,1
"C0139+637","NGC_637",25.78,64.05,0.09,0.2,0.08,0.21,18.0,9,7,1.06,1.11,-2.91,0.65,2173,0.6,1
"C0140+616","NGC_654",25.96,61.85,0.1,0.28,0.08,0.18,20.0,10,5,-0.84,1.26,0.78,1.37,2040,0.85,1
"C0142+610","NGC_663",26.52,61.24,0.15,0.4,"nan",0.25,19.5,46,18,-3.88,0.44,-0.57,0.54,1952,0.78,3
"C0144+717","Collinder_463",26.71,71.8,0.35,1.1,"nan",0.27,19.8,109,40,-1.06,0.25,-1.3,0.24,704,0.26,1
"C0149+568","Stock_4",28.23,57.07,0.1,0.35,"nan",0.22,19.5,37,8,2.89,0.78,-0.44,0.97,1538,0.2,5
"C0154+374","NGC_752",29.43,37.79,0.3,1.4,"nan",0.83,20.0,113,34,7.63,0.35,-11.87,0.35,456,0.03,1
"C0155+552","NGC_744",29.65,55.47,0.08,0.25,"nan",0.12,19.5,18,9,-1.8,0.83,-3.81,0.79,1204,0.38,1
"C0200+642","Stock_5",31.17,64.35,0.12,0.4,"nan",0.17,19.6,24,10,-0.33,0.62,-2.19,0.31,526,0.2,5
"C0211+590","Stock_2",33.69,59.39,0.4,2.7,"nan",0.83,19.2,168,47,16.49,0.25,-13.16,0.32,300,0.38,3
"C0215+569","NGC_869",34.77,57.15,0.15,2.0,"nan",0.33,19.2,535,11,-0.56,0.62,1.46,0.58,2079,0.58,1
"C0218+568","NGC_884",35.5,57.14,0.15,2.0,"nan",0.33,19.1,559,20,-1.81,0.52,1.48,0.66,2325,0.56,1
"C0219+636","Stock_6",35.85,63.8,0.06,0.2,0.05,0.15,19.8,11,5,0.77,0.68,2.09,1.04,1250,0.4,5
"C0225+604","Markarian_6",37.41,60.67,0.07,0.25,"nan",0.12,19.7,12,6,-4.8,0.46,-1.73,0.98,698,0.57,1
"C0228+612","IC_1805",38.17,61.47,0.15,0.3,0.05,0.17,18.0,20,12,-1.36,0.33,-0.12,0.64,1886,0.71,1
"C0230+573","NGC_957",38.32,57.55,0.12,0.28,"nan",0.15,19.2,16,11,1.65,0.78,-1.08,0.83,1818,0.8,1
"C0233+557","Trumpler_2",39.22,55.92,0.1,0.45,"nan",0.28,19.0,33,11,0.72,0.69,-5.6,0.48,649,0.32,1
"C0238+425","NGC_1039",40.54,42.76,0.25,0.8,"nan",0.32,19.5,69,34,0.02,0.17,-6.79,0.19,500,0.07,1
"C0238+613","NGC_1027",40.69,61.62,0.15,0.4,"nan",0.18,19.4,31,16,0.48,0.86,3.85,0.64,1000,0.4,1
"C0247+602","IC_1848",42.78,60.41,0.2,0.35,"nan",0.3,19.7,22,9,-3.78,0.91,-1.32,0.75,2000,0.6,1
"C0255+602","Collinder_33",44.82,60.4,0.17,0.3,"nan",0.38,19.8,23,15,3.62,0.66,2.33,0.77,1111,0.4,5
"C0307+630","Trumpler_3",47.97,63.17,0.15,0.5,"nan",0.2,19.8,38,14,-2.01,0.53,0.54,0.7,833,0.3,5
"C0312+598","Stock_23",49.08,60.03,0.11,0.3,"nan","nan","nan",11,8,0.24,0.94,-1.97,1.18,1000,0.3,5
"C0318+484","Melotte_20",51.49,49.12,1.3,6.5,1.33,7.33,19.7,158,42,22.46,0.19,-25.47,0.19,190,0.09,2
"C0324+562","King_6",51.99,56.44,0.07,0.22,0.11,0.27,20.0,8,6,-0.94,0.72,-2.56,1.1,871,0.5,4
