"Seq","n_Seq","Name","OName","RAdeg","DEJ2000","GLON","GLAT","Rco","Rcl","RV","e_RV","n_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","V-Mv","r_Dist","logt","o_logt","RVref","e_RVref","r_RVref","logtref","r_logtref"
1,0,"Berkeley 58","nan",0.01,60.96,116.73,-1.29,0.11,0.11,"nan","nan","nan",4.58,2.02,3.24,2.1,5.13,2.27,3,3715,0.55,14.56,1,8.2,-3,"nan","nan","nan",8.4,1.0
2,0,"Berkeley 59","nan",0.55,67.42,118.22,5.0,0.06,0.17,-6.5,6.5,2.0,-4.4,0.42,0.73,1.72,-4.18,1.55,3,1000,1.22,13.78,2,6.8,1,-15.0,7.6,1.0,"nan","nan"
3,1,"Blanco 1","nan",0.82,-30.14,14.17,-79.02,0.7,2.9,3.58,2.36,13.0,19.86,0.26,2.37,0.31,-2.15,-19.89,39,269,0.01,7.18,3,8.32,2,5.0,"nan",4.0,7.8,3.0
4,1,"Alessi 20","nan",2.64,58.76,117.64,-3.69,0.12,0.3,"nan","nan","nan",7.48,0.37,-2.61,0.5,6.97,-3.76,12,450,0.22,8.95,2,8.22,2,"nan","nan","nan","nan","nan"
5,0,"Mayer 1","nan",5.47,61.74,119.44,-0.93,0.08,0.2,-20.9,"nan",1.0,-5.27,0.73,-5.87,1.06,-5.91,-5.23,5,1429,0.4,12.02,1,7.74,3,"nan","nan","nan","nan","nan"
6,0,"Stock 20","nan",6.31,62.62,119.92,-0.1,0.07,0.16,"nan","nan","nan",-0.4,0.76,-1.12,0.72,-0.51,-1.07,12,909,0.2,10.41,1,8.53,2,"nan","nan","nan","nan","nan"
7,0,"Stock 21","nan",7.45,57.92,120.05,-4.83,0.06,0.14,"nan","nan","nan",-0.12,0.94,-1.52,1.19,-0.25,-1.5,6,1100,0.4,11.45,1,8.72,3,"nan","nan","nan","nan","nan"
8,0,"NGC 129","nan",7.5,60.22,120.27,-2.54,0.11,0.27,-43.21,3.49,10.0,-0.92,0.46,-0.48,0.61,-0.96,-0.4,17,1625,0.55,12.76,3,7.87,1,-36.8,0.3,1.0,7.89,3.0
9,1,"NGC 146","nan",8.26,63.3,120.87,0.5,0.07,0.13,"nan","nan","nan",-2.41,0.91,0.89,0.99,-2.34,1.06,5,3032,0.48,13.9,3,7.37,1,"nan","nan","nan",7.82,3.0
10,0,"NGC 225","nan",10.92,61.78,122.01,-1.08,0.08,0.2,-28.0,"nan",1.0,-3.18,0.9,1.99,0.69,-3.12,2.09,8,657,0.27,9.93,3,8.19,2,"nan","nan","nan",8.11,3.0
11,0,"Berkeley 4","nan",11.37,64.4,122.28,1.53,0.08,0.2,"nan","nan","nan",-1.29,0.89,0.12,0.67,-1.29,0.15,9,3200,0.7,14.7,2,7.08,-2,"nan","nan","nan","nan","nan"
12,0,"IC 1590","NGC 281",13.2,56.63,123.12,-6.24,0.06,0.11,-37.5,10.16,3.0,-1.36,0.23,-1.34,0.83,-1.35,-1.35,5,2384,0.32,12.88,3,6.84,-1,"nan","nan","nan",7.02,3.0
13,1,"Alessi 1","nan",13.36,49.57,123.26,-13.3,0.13,0.45,"nan","nan","nan",6.51,0.38,-7.7,0.28,6.57,-7.65,23,800,0.1,9.82,2,8.85,9,"nan","nan","nan",8.2,1.0
14,1,"NGC 381","nan",17.08,61.6,124.94,-1.21,0.1,0.1,-22.0,6.0,2.0,0.81,0.75,-1.51,0.82,0.91,-1.45,5,1058,0.34,11.18,3,8.77,3,"nan","nan","nan",8.57,3.0
15,0,"Platais 2","nan",18.25,32.08,128.23,-30.57,1.7,1.7,0.1,3.2,3.0,13.21,0.98,-9.98,0.74,14.12,-8.65,11,201,0.05,6.67,1,8.54,1,"nan","nan","nan",8.6,1.0
