"ASCC","Name","RAJ2000","DEJ2000","GLON","GLAT","Radco","Radcl","RV","e_RV","o_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","m-M","logt","o_logt","Rem"
"ASCC_1","nan",2.4,62.68,118.15,0.19,0.08,0.2,-76.15,11.15,2.0,-2.07,0.72,0.46,0.57,-1.97,0.79,17,4000,0.16,13.51,8.25,1,"nan"
"ASCC_2","nan",4.96,55.71,118.46,-6.89,0.1,0.3,"nan","nan","nan",-0.91,0.79,-3.94,0.6,-1.39,-3.8,15,1200,0.1,10.71,8.83,4,"nan"
"ASCC_3","nan",7.78,55.28,120.02,-7.48,0.1,0.21,-37.0,"nan",1.0,-1.92,0.61,-1.25,0.59,-2.01,-1.09,7,1700,0.17,11.68,7.9,1,"nan"
"ASCC_4","nan",13.29,61.58,123.13,-1.29,0.15,0.4,-9.55,9.42,4.0,0.11,0.35,-1.48,0.44,0.12,-1.48,22,750,0.3,10.31,8.34,3,"nan"
"ASCC_5","nan",14.49,55.84,123.85,-7.02,0.07,0.13,-43.0,"nan",1.0,-3.1,1.05,-2.91,0.82,-3.02,-2.99,6,1500,0.25,11.65,7.03,1,"nan"
"ASCC_6","nan",26.8,57.73,130.34,-4.34,0.1,0.3,-20.0,"nan",1.0,-1.02,0.5,-1.18,0.53,-0.74,-1.37,16,1200,0.3,11.33,8.17,3,"nan"
"ASCC_7","nan",29.73,58.97,131.54,-2.77,0.1,0.25,-49.0,"nan",1.0,-0.57,1.02,-3.08,0.45,0.25,-3.12,9,2000,0.5,13.06,7.36,1,"nan"
"ASCC_8","nan",35.2,59.61,134.02,-1.33,0.12,0.3,-42.09,"nan",1.0,-1.24,0.53,0.57,0.59,-1.36,0.12,14,2200,0.55,13.42,6.76,1,"nan"
"ASCC_9","nan",41.73,57.73,137.87,-1.76,0.07,0.17,-41.75,1.25,2.0,0.76,0.78,-3.03,0.63,1.99,-2.41,9,2900,0.9,15.1,6.79,1,"nan"
"Alessi-Teutsch 9, ASCC_10","Alessi-Teutsch 9",51.75,35.04,155.6,-17.79,0.12,0.48,"nan","nan","nan",-3.08,0.37,-1.01,0.37,-1.9,-2.63,13,700,0.1,9.53,8.65,3,"nan"
"ASCC_11","nan",53.07,44.84,150.56,-9.24,0.12,0.35,-3.45,6.55,2.0,0.15,0.38,-5.01,0.43,3.04,-3.99,16,650,0.15,9.53,8.61,4,"nan"
"ASCC_12","nan",72.48,41.73,163.03,-1.86,0.1,0.25,"nan","nan","nan",-0.62,0.33,-1.86,0.42,1.03,-1.67,9,500,0.15,8.96,8.42,1,"nan"
"ASCC_13","nan",78.33,44.58,163.4,3.26,0.25,0.7,-7.3,"nan",1.0,-0.75,0.27,-1.66,0.29,0.91,-1.58,26,800,0.2,10.14,7.71,4,"nan"
"ASCC_14","nan",80.13,35.22,171.83,-1.03,0.08,0.22,-16.87,"nan",1.0,-0.91,0.19,-5.98,0.58,4.39,-4.16,11,1100,0.18,10.77,8.61,5,"nan"
"ASCC_15","nan",80.65,36.55,170.98,0.07,0.1,0.2,"nan","nan","nan",-0.08,0.58,-6.58,0.43,5.38,-3.79,8,1400,0.28,11.6,8.6,2,"nan"
"ASCC_16","nan",81.15,1.8,200.98,-18.35,0.25,0.62,0.75,8.75,1.0,0.75,0.22,-0.18,0.29,0.53,0.56,29,460,0.09,8.59,6.93,1,"*"
"ASCC_17","nan",81.3,30.17,176.56,-3.08,0.1,0.25,-16.0,"nan",1.0,1.33,0.39,-6.39,0.55,6.04,-2.47,11,2000,0.32,12.5,7.12,2,"*"
"ASCC_18","nan",81.54,0.82,202.08,-18.49,0.2,0.62,13.39,"nan",1.0,0.89,0.28,-0.02,0.25,0.45,0.77,19,500,0.06,8.68,7.12,1,"*"
"ASCC_19","nan",81.94,-1.98,204.88,-19.47,0.2,0.8,19.3,4.03,4.0,0.61,0.2,-0.68,0.26,0.89,0.22,25,350,0.01,7.75,7.64,2,"*"
"ASCC_20","nan",82.18,1.63,201.67,-17.53,0.25,0.75,17.62,4.82,5.0,-0.09,0.21,0.51,0.19,-0.49,0.17,30,450,0.04,8.39,7.35,1,"*"
"ASCC_21","nan",82.24,3.65,199.86,-16.49,0.3,0.8,19.9,1.38,7.0,0.52,0.25,-0.62,0.28,0.8,0.14,31,500,0.03,8.59,7.11,1,"*"
"Ferrero 11, ASCC_22","Ferrero 11",93.63,0.64,208.12,-7.92,0.08,0.18,"nan","nan","nan",-5.01,0.4,-3.88,0.36,1.13,-6.24,10,1500,0.2,11.5,8.42,1,"nan"
"ASCC_23","nan",95.08,46.67,167.52,14.42,0.15,0.36,"nan","nan","nan",1.31,0.33,-0.59,0.38,1.08,0.95,14,600,0.07,9.11,8.45,1,"nan"
"ASCC_24","nan",97.18,-7.02,216.64,-8.23,0.11,0.35,16.35,3.31,4.0,-5.55,0.47,-4.05,0.41,1.15,-6.77,12,400,0.14,8.44,6.96,1,"nan"
