"Ncl","Name","RAdeg","DEJ2000","Radcl","RV","e_RV","n_RV","RVl","e_RVl","n_RVl","r_RVl"
2,"Berkeley 59",0.55,67.42,0.17,-12.5,7.08,3.0,-14.85,10.73,3.0,"LJ91"
3,"Blanco 1",1.03,-29.83,2.9,3.58,2.36,13.0,5.1,0.02,28.0,"RA99"
4,"Alessi 20",2.34,58.67,0.3,-11.5,0.01,2.0,"nan","nan","nan","nan"
1001,"ASCC 1",2.4,62.68,0.2,-69.67,4.67,2.0,"nan","nan","nan","nan"
5,"Mayer 1",5.47,61.75,0.2,-20.9,2.0,1.0,"nan","nan","nan","nan"
0,"NGC 103",6.31,61.32,0.03,"nan","nan","nan",-11.0,30.0,"nan","RG99"
8,"NGC 129",7.5,60.22,0.27,-43.21,3.49,10.0,-36.0,0.5,14.0,"TF92"
1003,"ASCC 3",7.78,55.28,0.21,-37.0,7.4,1.0,"nan","nan","nan","nan"
10,"NGC 225",10.92,61.78,0.2,-28.0,0.0,-1.0,"nan","nan","nan","nan"
0,"NGC 188",11.86,85.25,0.14,"nan","nan","nan",-45.0,2.13,21.0,"FJ02"
12,"IC 1590",13.2,56.63,0.11,-32.46,6.36,5.0,"nan","nan","nan","nan"
1004,"ASCC 4",13.29,61.58,0.4,-9.24,9.3,4.0,"nan","nan","nan","nan"
13,"Alessi 1",13.36,49.57,0.45,6.0,1.8,-1.0,"nan","nan","nan","nan"
1005,"ASCC 5",14.49,55.84,0.13,-43.0,3.7,1.0,"nan","nan","nan","nan"
14,"NGC 381",17.08,61.58,0.1,-22.0,6.0,2.0,"nan","nan","nan","nan"
15,"Platais 2",18.46,32.03,1.7,2.18,6.33,5.0,"nan","nan","nan","nan"
0,"NGC 436",18.99,58.81,0.04,"nan","nan","nan",-74.28,0.27,1.0,"HR90"
17,"NGC 457",19.89,58.29,0.26,-31.4,3.12,7.0,-32.36,3.28,5.0,"LJ91"
18,"NGC 581",23.34,60.65,0.12,-41.43,1.65,6.0,-45.7,2.44,5.0,"LJ91"
0,"Trumpler 1",23.92,61.28,0.03,"nan","nan","nan",-65.0,30.0,"nan","RG99"
19,"NGC 637",25.77,64.04,0.1,-39.1,7.1,2.0,-45.82,3.89,5.0,"LJ91"
20,"NGC 654",25.99,61.88,0.11,-38.79,2.5,1.0,-34.8,3.0,2.0,"LJ91"
22,"NGC 663",26.53,61.24,0.3,-31.58,2.01,6.0,-32.27,1.2,10.0,"LJ91"
1006,"ASCC 6",26.8,57.73,0.3,-20.0,7.4,1.0,"nan","nan","nan","nan"
0,"IC 166",28.12,61.83,0.06,"nan","nan","nan",-36.7,4.04,4.0,"FL89"
25,"NGC 752",29.41,37.78,1.45,3.52,1.79,17.0,4.7,0.1,15.0,"MM98"
1007,"ASCC 7",29.73,58.97,0.25,-49.0,10.0,1.0,"nan","nan","nan","nan"
27,"Stock 5",31.12,64.43,0.23,-19.7,0.7,2.0,-18.0,"nan","nan","Ly87"
28,"Stock 2",33.67,59.49,2.8,-2.85,3.82,28.0,-2.62,3.41,7.0,"Ha76"
29,"NGC 869",34.75,57.13,1.75,-39.84,1.83,11.0,-46.81,1.7,17.0,"LJ91"
1008,"ASCC 8",35.2,59.61,0.3,-42.09,0.0,1.0,"nan","nan","nan","nan"
30,"NGC 884",35.58,57.14,1.75,-37.66,6.86,7.0,-44.39,0.7,10.0,"LJ91"
32,"Stock 7",37.41,60.71,0.18,-3.67,6.33,3.0,-8.0,15.0,"nan","RG99"
33,"IC 1805",38.17,61.45,0.22,-47.88,14.77,6.0,-26.5,23.0,"nan","RG99"
34,"NGC 957",38.34,57.56,0.22,-39.5,3.77,3.0,-46.9,3.9,2.0,"LJ91"
35,"Trumpler 2",39.22,55.92,0.5,-27.5,11.5,2.0,2.4,0.7,"nan","RG99"
36,"NGC 1039",40.51,42.76,0.37,-16.8,0.01,2.0,-9.75,0.51,30.0,"JF97"
37,"NGC 1027",40.66,61.6,0.24,15.0,3.8,1.0,15.0,"nan",1.0,"So87"
1009,"ASCC 9",41.73,57.73,0.17,-41.75,1.25,2.0,"nan","nan","nan","nan"
38,"IC 1848",42.79,60.43,0.34,-29.24,8.54,5.0,-39.7,5.82,3.0,"LJ91"
39,"Collinder 33",44.82,60.4,0.36,-6.75,13.12,4.0,"nan","nan","nan","nan"
0,"Berkeley 66",46.08,58.77,0.03,"nan","nan","nan",-50.65,0.05,2.0,"VC05"
0,"NGC 1193",46.48,44.38,0.03,"nan","nan","nan",-82.0,10.39,4.0,"FL89"
0,"King 5",48.64,52.72,0.04,"nan","nan","nan",-52.0,2.75,19.0,"FJ02"
41,"Stock 23",49.05,60.12,0.18,-16.75,4.25,2.0,"nan","nan","nan","nan"
42,"Melotte 20",51.07,49.86,6.25,-1.36,0.68,86.0,-0.2,0.5,18.0,"RA99"
45,"NGC 1342",52.9,37.38,0.25,-11.5,0.4,2.0,-10.87,0.11,3.0,"GR91"
1011,"ASCC 11",53.07,44.84,0.35,0.73,5.64,3.0,"nan","nan","nan","nan"
44,"Alessi 13",53.5,-35.32,3.2,19.53,3.0,3.0,"nan","nan","nan","nan"
46,"IC 348",56.14,32.16,0.13,11.25,2.75,2.0,18.1,3.5,4.0,"DL03"
47,"Melotte 22",56.74,24.12,6.4,5.9,0.45,106.0,5.67,0.56,67.0,"RM98"
48,"Tombaugh 5",56.95,59.05,0.18,-5.8,0.3,-1.0,"nan","nan","nan","nan"
0,"NGC 1444",57.36,52.66,0.03,"nan","nan","nan",2.0,"nan","nan","Ly87"
49,"NGC 1502",61.96,62.33,0.21,-20.78,6.42,6.0,-17.9,13.8,2.0,"Ha76"
50,"NGC 1528",63.84,51.22,0.44,-10.3,0.4,1.0,-10.12,0.18,3.0,"GR91"
51,"NGC 1545",65.23,50.25,0.21,-10.84,0.1,1.0,-13.1,0.83,2.0,"GR91"
0,"Hyades",66.72,15.87,10.0,"nan","nan","nan",43.0,"nan","nan","Ly87"
52,"NGC 1582",67.92,43.74,0.48,"nan","nan","nan",5.53,1.0,3.0,"BV03"
53,"Platais 3",70.41,71.24,2.5,7.0,3.7,1.0,"nan","nan","nan","nan"
54,"NGC 1647",71.47,19.11,0.63,-6.12,0.39,-1.0,-2.3,0.36,21.0,"Tu92"
56,"NGC 1662",72.1,10.94,0.43,-13.5,0.4,1.0,-13.82,0.32,2.0,"GR91"
57,"NGC 1664",72.78,43.67,0.33,36.1,1.7,1.0,7.82,0.85,3.0,"GR91"
58,"Berkeley 14A",75.04,43.47,0.74,4.82,3.74,5.0,"nan","nan","nan","nan"
