"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","DM(B)","I(M.B)","DM(V)","I(M.V)","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
1,"Berkeley 58",116.73,-1.29,3715,0.55,8.2,15.106,-4.821,14.555,-4.669,13.331,-6.847,13.174,-7.659,13.055,-7.832,0.0032,60.961
2,"Berkeley 59",118.22,5.0,1000,1.22,6.8,15.004,-4.896,13.782,-4.73,11.067,-4.849,10.719,-4.972,10.454,-4.924,0.5539,67.4203
3,"Blanco 1",14.17,-79.02,269,0.01,8.32,7.19,-1.871,7.18,-1.911,7.158,-2.075,7.155,-2.148,7.153,-2.226,0.8223,-30.1429
4,"Alessi 20",117.64,-3.69,450,0.22,8.22,9.168,-2.784,8.948,-2.709,8.458,-2.914,8.396,-3.162,8.348,-3.135,2.6369,58.761
5,"Mayer 1",119.44,-0.93,1429,0.4,7.74,12.416,-3.873,12.015,-3.632,11.125,-3.592,11.011,-3.585,10.924,-3.556,5.4692,61.7412
6,"Stock 20",119.92,-0.1,909,0.2,8.53,10.613,-2.49,10.413,-2.606,9.968,-3.89,9.911,-4.379,9.867,-4.542,6.2994,62.6182
7,"Stock 21",120.05,-4.83,1100,0.4,8.72,11.848,-1.94,11.447,-2.279,10.557,-2.934,10.443,-3.103,10.356,-3.103,7.4466,57.9205
8,"NGC 129",120.27,-2.54,1625,0.55,7.87,13.31,-4.77,12.759,-5.209,11.535,-6.811,11.378,-7.24,11.259,-7.51,7.4992,60.2209
9,"NGC 146",120.87,0.5,3032,0.48,7.37,14.378,-5.133,13.897,-4.569,12.829,-4.583,12.692,-4.411,12.588,-4.298,8.267,63.2982
10,"NGC 225",122.01,-1.08,657,0.27,8.19,10.195,-2.146,9.925,-2.104,9.324,-2.221,9.247,-2.305,9.188,-2.293,10.91,61.7778
11,"Berkeley 4",122.28,1.53,3200,0.7,7.08,15.397,-6.851,14.696,-6.46,13.138,-6.341,12.938,-6.438,12.786,-6.332,11.3514,64.3941
12,"IC 1590",123.12,-6.24,2384,0.32,6.84,13.199,-5.537,12.879,-5.253,12.167,-5.657,12.075,-5.691,12.006,-5.467,13.1994,56.6313
13,"Alessi 1",123.26,-13.3,800,0.1,8.85,9.925,-2.605,9.825,-2.925,9.602,-5.292,9.574,-5.927,9.552,-6.571,13.3518,49.5705
14,"NGC 381",124.94,-1.21,1058,0.34,8.77,11.516,-1.807,11.176,-2.05,10.419,-2.33,10.322,-2.341,10.248,-2.299,17.0829,61.5959
15,"Platais 2",128.23,-30.57,201,0.05,8.54,6.721,-0.468,6.671,-0.556,6.56,-0.75,6.545,-0.835,6.535,-0.857,18.2435,32.0801
16,"NGC 433",125.88,-2.61,2000,0.55,7.65,13.761,-4.271,13.21,-4.537,11.986,-5.519,11.829,-5.752,11.71,-5.791,18.78,60.1261
17,"NGC 457",126.63,-4.37,2429,0.47,7.38,13.855,-8.555,13.384,-8.667,12.338,-9.059,12.204,-9.357,12.102,-9.622,19.8894,58.2997
18,"NGC 581",128.05,-1.81,2194,0.39,7.44,13.306,-6.29,12.915,-6.135,12.047,-6.042,11.936,-5.95,11.851,-5.92,23.339,60.6445
19,"NGC 637",128.54,1.73,2160,0.61,7.21,14.174,-5.373,13.563,-5.149,12.205,-4.754,12.031,-4.691,11.899,-4.604,25.7525,64.0388
