"Name","Type","u_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","n_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","DeltaH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Source","SType","[Fe/H]"
"Berkeley_58, MWSC_1","nan","nan",0.067,60.933,116.75,-1.326,0.025,0.06,0.155,0.91,1.8,0.36,"nan","nan","nan",16,49,200,2700.0,0.72,12.389,0.346,0.231,0.0,8.466,0.068,7.0,1.14,0.26,12.67,3.26,5.38,1.02,"COCD","nan","nan"
"NGC_7801, MWSC_2","nan","nan",0.082,50.727,114.717,-11.331,0.015,0.07,0.156,-3.2,-3.47,0.71,"nan","nan","nan",2,14,65,1953.0,0.146,11.5,0.07,0.047,0.0,9.255,"nan",1.0,0.61,0.33,9.93,6.14,2.67,1.44,"DIAS","nan","nan"
"FSR_0459, MWSC_3","nan","nan",0.127,59.242,116.446,-2.99,0.02,0.04,0.09,-1.66,-0.01,0.59,"nan","nan","nan",8,19,55,3800.0,1.103,13.254,0.53,0.354,-0.03,8.95,0.034,10.0,2.41,0.44,13.43,2.24,1.53,0.2,"DIAS","irc","nan"
"Stock_18, MWSC_4","nan","nan",0.397,64.625,117.617,2.266,0.01,0.05,0.08,-3.41,-1.17,0.58,"nan","nan","nan",2,19,28,750.0,0.1,9.407,0.048,0.032,0.0,8.815,"nan",1.0,0.1,0.02,2.38,0.43,668.64,133.78,"DIAS","nan","nan"
"Berkeley_59, MWSC_5","nan","nan",0.559,67.425,118.219,5.001,0.035,0.067,0.22,-3.2,-1.11,0.47,-12.5,7.08,3.0,16,28,89,1000.0,1.241,10.399,0.596,0.398,-0.04,6.1,"nan","nan",0.55,0.06,6.51,0.74,153.96,12.16,"COCD","nan","nan"
"Berkeley_104, MWSC_8","nan","nan",0.852,63.58,117.615,1.202,0.02,0.045,0.135,-4.54,-4.42,0.52,"nan","nan","nan",8,27,143,3599.0,0.606,12.976,0.291,0.194,-0.005,8.85,0.027,10.0,1.15,0.25,14.2,3.29,4.69,0.96,"DIAS","nan",0.07
"IRAS_00013+6817, MWSC_9","nan","nan",0.996,68.565,118.595,6.091,0.01,0.055,0.09,-3.52,-1.55,0.87,"nan","nan","nan",2,9,23,1338.0,0.833,10.9,0.4,0.267,-0.02,7.15,"nan","nan",0.74,0.36,5.65,2.72,1.68,0.6,"BIEM","irc","nan"
"FSR_0504, MWSC_14","nan","nan",1.455,81.84,121.227,19.116,0.01,0.045,0.08,-3.57,7.83,0.68,"nan","nan","nan",2,10,14,3744.0,0.104,12.9,0.05,0.033,-0.02,9.45,"nan","nan",0.49,0.2,10.68,4.38,5.04,2.47,"FPOS","nan","nan"
"Czernik_1, MWSC_17","nan","nan",1.902,61.49,117.721,-0.941,0.012,0.03,0.07,-3.83,1.66,0.86,"nan","nan","nan",5,10,36,2609.0,0.833,12.35,0.4,0.267,-0.01,7.76,"nan","nan",0.44,0.19,4.46,1.97,8.81,3.43,"DIAS","nan","nan"
"SAI_1, MWSC_18","nan","nan",2.112,51.724,116.177,-10.586,0.012,0.045,0.065,-4.2,-1.78,0.76,"nan","nan","nan",2,13,19,1905.0,0.312,11.5,0.15,0.1,0.0,9.27,"nan","nan",0.26,0.14,2.93,1.65,27.2,11.56,"DIAS","nan","nan"
