"Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","o_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","dH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src","SType","[Fe/H]","e_[Fe/H]","o_[Fe/H]"
"Berkeley_58, MWSC_1","nan","nan",0.067,60.933,116.75,-1.326,0.025,0.087,0.155,0.56,1.56,0.26,"nan","nan",0,16,88,197,2700.0,0.72,12.389,0.346,0.231,0.0,8.47,0.047,10.0,1.12,0.25,13.66,3.31,5.19,1.0,"COCD","nan","nan","nan",0
"NGC_7801, MWSC_2","nan","nan",0.082,50.727,114.717,-11.331,0.015,0.07,0.156,-3.2,-3.47,0.71,"nan","nan",0,2,14,65,1953.0,0.146,11.5,0.07,0.047,0.0,9.255,"nan",1.0,0.61,0.33,9.93,6.14,2.67,1.44,"DIAS","nan","nan","nan",0
"FSR_0459, MWSC_3","nan","nan",0.127,59.242,116.446,-2.99,0.018,0.055,0.09,-1.66,-0.01,0.53,"nan","nan",0,3,24,50,2926.0,1.145,12.7,0.55,0.367,0.0,7.8,"nan","nan",0.39,0.21,7.65,4.63,5.62,3.53,"DIAS","irc","nan","nan",0
"Stock_18, MWSC_4","nan","nan",0.397,64.625,117.617,2.266,0.01,0.05,0.08,-3.59,-1.15,0.54,"nan","nan",0,2,20,32,774.0,0.177,9.501,0.085,0.057,-0.03,8.68,"nan",1.0,0.16,0.03,2.14,0.38,355.57,56.43,"DIAS","nan","nan","nan",0
"Berkeley_59, MWSC_5","nan","nan",0.559,67.425,118.219,5.001,0.035,0.115,0.22,-3.2,-1.11,0.38,-12.5,7.08,3,16,45,89,1000.0,1.241,10.399,0.596,0.398,-0.04,6.1,"nan","nan",0.55,0.06,6.51,0.74,153.96,12.16,"COCD","nan","nan","nan",0
"Blanco_1, MWSC_7","nan","nan",0.885,-30.0,14.83,-79.098,0.5,1.4,2.35,19.71,2.28,0.18,5.5,2.04,24,82,214,266,250.0,0.012,6.994,0.006,0.004,-0.03,7.75,"nan","nan",2.82,0.38,10.93,1.26,24.84,2.43,"COCD","nan",-0.188,0.098,7
"Berkeley_104, MWSC_8","nan","nan",0.852,63.58,117.615,1.202,0.018,0.055,0.135,-4.57,-4.37,0.44,"nan","nan",0,8,34,136,3599.0,0.606,12.976,0.291,0.194,-0.005,8.805,0.031,15.0,1.13,0.27,14.92,3.92,4.51,0.99,"DIAS","nan",0.07,"nan",0
"IRAS_00013+6817, MWSC_9","nan","nan",0.996,68.565,118.595,6.091,0.01,0.055,0.09,-3.52,-1.55,0.87,"nan","nan",0,2,9,23,1338.0,0.833,10.9,0.4,0.267,-0.02,7.15,"nan","nan",0.73,0.33,5.69,2.54,1.69,0.61,"BIEM","irc","nan","nan",0
"FSR_0504, MWSC_14","nan","nan",1.455,81.84,121.227,19.116,0.01,0.045,0.08,-3.57,7.83,0.68,"nan","nan",0,2,10,14,3744.0,0.104,12.9,0.05,0.033,-0.02,9.45,"nan","nan",0.49,0.19,10.62,4.26,5.03,2.46,"FPOS","nan","nan","nan",0
"Czernik_1, MWSC_17","nan","nan",1.902,61.49,117.721,-0.941,0.012,0.03,0.07,-3.83,1.66,0.86,"nan","nan",0,5,10,36,2609.0,0.833,12.35,0.4,0.267,-0.01,7.76,"nan","nan",0.44,0.19,4.46,1.97,8.81,3.43,"DIAS","nan","nan","nan",0
"SAI_1, MWSC_18","nan","nan",2.112,51.724,116.177,-10.586,0.012,0.045,0.065,-4.2,-1.78,0.76,"nan","nan",0,2,13,19,1905.0,0.312,11.5,0.15,0.1,0.0,9.27,"nan","nan",0.26,0.14,2.93,1.65,27.2,11.56,"DIAS","nan","nan","nan",0
"ASCC_1, MWSC_19","nan","nan",2.413,62.704,118.158,0.217,0.03,0.043,0.105,-3.97,-3.18,0.53,-69.7,4.67,2,8,13,72,1600.0,0.489,11.178,0.235,0.157,0.03,8.406,"nan",1.0,0.38,0.16,5.51,1.88,6.09,3.28,"COCD","nan","nan","nan",0
"Berkeley_1, MWSC_20","nan","nan",2.4,60.467,117.79,-1.99,0.01,0.04,0.07,-0.27,-2.3,0.54,"nan","nan",0,3,18,42,10300.0,0.904,15.355,0.434,0.289,0.0,8.6,"nan","nan",7.24,6.57,24.99,17.88,0.02,0.02,"DIAS","nan","nan","nan",0
"King_13, MWSC_21","nan","nan",2.514,61.184,117.96,-1.291,0.027,0.065,0.115,-0.14,-2.99,0.34,"nan","nan",0,12,54,142,3100.0,0.82,12.721,0.394,0.263,0.01,8.595,"nan","nan",1.54,0.6,10.59,4.23,1.4,0.33,"DIAS","nan","nan","nan",0
"Alessi_20, MWSC_23","nan","nan",2.667,58.748,117.648,-3.708,0.035,0.152,0.305,6.34,-2.51,0.47,-11.5,0.01,2,7,36,101,470.0,0.381,8.483,0.183,0.122,-0.01,7.575,0.188,2.0,1.25,0.26,3.77,0.59,51.36,11.26,"COCD","nan","nan","nan",0
"FSR_0474, MWSC_24","nan","nan",2.685,59.735,117.813,-2.735,0.017,0.045,0.09,-1.41,-0.02,0.51,"nan","nan",0,5,23,59,4638.0,1.145,13.7,0.55,0.367,0.02,8.9,"nan","nan",1.09,0.35,14.2,4.72,1.53,0.53,"DIAS","irc","nan","nan",0
"FSR_0480, MWSC_25","nan","nan",3.736,61.471,118.583,-1.095,0.02,0.09,0.14,-0.31,-2.33,0.25,"nan","nan",0,10,105,202,5492.0,0.937,14.0,0.45,0.3,-0.035,9.3,"nan","nan",3.14,0.88,21.95,6.36,0.79,0.13,"DIAS","irc","nan","nan",0
"PTB_7, MWSC_26","nan","nan",3.801,68.318,119.577,5.679,0.02,0.075,0.165,-0.22,-1.11,0.3,"nan","nan",0,4,53,172,3233.0,1.405,13.0,0.675,0.45,-0.015,6.55,"nan","nan",5.37,1.41,13.7,2.35,0.93,0.3,"BIEM","irc","nan","nan",0
"Juchert-Saloran_1, MWSC_28","nan","nan",4.081,59.962,118.541,-2.613,0.025,0.06,0.125,-2.38,-1.24,0.34,"nan","nan",0,16,38,125,5326.0,0.833,13.9,0.4,0.267,0.0,9.3,"nan","nan",1.57,0.31,17.91,3.43,2.12,0.45,"DIAS","nan","nan","nan",0
"Berkeley_60, MWSC_29","nan","nan",4.425,60.934,118.839,-1.673,0.015,0.04,0.09,-0.5,-3.78,0.43,"nan","nan",0,11,25,91,3299.0,0.958,12.9,0.46,0.307,0.04,8.4,"nan","nan",0.75,0.16,10.92,2.56,11.19,2.24,"DIAS","nan",0.07,"nan",0
"ASCC_2, MWSC_31","nan","nan",4.875,55.645,118.397,-6.948,0.055,0.1,0.22,-1.56,-1.34,0.33,"nan","nan",0,20,54,221,2301.0,0.5,11.97,0.24,0.16,0.0,8.87,0.08,3.0,1.15,0.47,13.58,6.2,1.94,0.66,"COCD","nan","nan","nan",0
"FSR_0486, MWSC_32","nan","nan",5.103,59.332,118.973,-3.304,0.015,0.035,0.06,-2.35,-1.46,0.65,"nan","nan",0,5,14,27,1850.0,0.55,11.513,0.264,0.176,0.0,8.9,"nan","nan",0.42,0.12,2.96,0.76,20.79,4.9,"DIAS","irc","nan","nan",0
"FSR_0479, MWSC_33","nan","nan",5.311,54.827,118.546,-7.791,0.012,0.05,0.09,-3.43,-1.52,0.6,"nan","nan",0,3,15,40,2038.0,0.479,11.7,0.23,0.153,0.01,8.8,"nan",1.0,0.72,0.21,6.69,1.97,5.82,1.39,"FPOS","nan","nan","nan",0
