"Name","Type","Type?","GLON","GLAT","d","E(B-V)","logt","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
"Berkeley_58, MWSC_1","nan","nan",116.75,-1.326,2700.0,0.72,8.47,12.735,-5.225,12.504,-5.468,12.389,-5.529,0.0583,60.9297
"NGC_7801, MWSC_2","nan","nan",114.717,-11.331,1953.0,0.146,9.255,11.57,-3.112,11.523,-3.528,11.5,-3.6,0.0737,50.7232
"FSR_0459, MWSC_3","nan","nan",116.446,-2.99,2926.0,1.145,7.8,13.25,-5.744,12.883,-6.205,12.7,-6.303,0.118,59.2384
"Stock_18, MWSC_4","nan","nan",117.617,2.266,774.0,0.177,8.68,9.585,-1.483,9.528,-1.675,9.5,-1.767,0.3878,64.6217
"Berkeley_59, MWSC_5","nan","nan",118.219,5.001,1000.0,1.241,6.1,10.996,-5.274,10.598,-5.287,10.4,-5.277,0.5509,67.4211
"Blanco_1, MWSC_7","nan","nan",14.83,-79.098,250.0,0.012,7.75,7.0,-1.945,6.996,-2.184,6.994,-2.233,0.8785,-30.0035
"Berkeley_104, MWSC_8","nan","nan",117.615,1.202,3599.0,0.606,8.805,13.267,-5.573,13.073,-5.935,12.976,-6.006,0.8433,63.5765
"IRAS_00013+6817, MWSC_9","nan","nan",118.595,6.091,1338.0,0.833,7.15,11.3,-2.23,11.033,-2.327,10.9,-2.329,0.9871,68.5619
"FSR_0504, MWSC_14","nan","nan",121.227,19.116,3744.0,0.104,9.45,12.95,-2.486,12.917,-2.963,12.9,-3.029,1.4417,81.8362
"Czernik_1, MWSC_17","nan","nan",117.721,-0.941,2609.0,0.833,7.76,12.75,-2.995,12.483,-3.086,12.35,-3.085,1.8933,61.4862
"SAI_1, MWSC_18","nan","nan",116.177,-10.586,1905.0,0.312,9.27,11.65,-2.187,11.55,-2.681,11.5,-2.777,2.1029,51.7205
"ASCC_1, MWSC_19","nan","nan",118.158,0.217,1600.0,0.489,8.406,11.413,-3.704,11.256,-4.039,11.178,-4.151,2.4049,62.7005
"Berkeley_1, MWSC_20","nan","nan",117.79,-1.99,10300.0,0.904,8.6,15.789,-7.804,15.5,-8.342,15.355,-8.436,2.3914,60.463
"King_13, MWSC_21","nan","nan",117.96,-1.291,3100.0,0.82,8.595,13.115,-5.23,12.852,-5.527,12.721,-5.598,2.5048,61.1803
"Alessi_20, MWSC_23","nan","nan",117.648,-3.708,470.0,0.381,7.575,8.666,-2.632,8.544,-2.647,8.483,-2.635,2.6576,58.7445
"FSR_0474, MWSC_24","nan","nan",117.813,-2.735,4638.0,1.145,8.9,14.25,-5.535,13.883,-6.076,13.7,-6.244,2.6756,59.7313
"FSR_0480, MWSC_25","nan","nan",118.583,-1.095,5492.0,0.937,9.3,14.45,-7.333,14.15,-8.068,14.0,-8.267,3.7265,61.4679
"PTB_7, MWSC_26","nan","nan",119.577,5.679,3233.0,1.405,6.55,13.675,-5.446,13.225,-5.591,13.0,-5.577,3.7922,68.3142
"Juchert-Saloran_1, MWSC_28","nan","nan",118.541,-2.613,5326.0,0.833,9.3,14.3,-6.606,14.033,-7.427,13.9,-7.717,4.0719,59.9587
"Berkeley_60, MWSC_29","nan","nan",118.839,-1.673,3299.0,0.958,8.4,13.36,-4.946,13.053,-5.143,12.9,-5.181,4.4159,60.9301
"ASCC_2, MWSC_31","nan","nan",118.397,-6.948,2301.0,0.5,8.87,12.21,-5.506,12.05,-6.001,11.97,-6.111,4.8654,55.6419
"FSR_0486, MWSC_32","nan","nan",118.973,-3.304,1850.0,0.55,8.9,11.777,-1.961,11.601,-2.243,11.513,-2.309,5.0939,59.3288
"FSR_0479, MWSC_33","nan","nan",118.546,-7.791,2038.0,0.479,8.8,11.93,-2.986,11.777,-3.234,11.7,-3.274,5.3021,54.8231
"Mayer_1, MWSC_34","nan","nan",119.456,-0.935,1430.0,0.5,7.74,11.178,-2.491,11.018,-2.781,10.938,-2.815,5.5039,61.738
"King_1, MWSC_35","nan","nan",119.758,1.69,1659.0,0.625,9.7,11.6,-5.862,11.4,-6.494,11.3,-6.616,5.5059,64.3803
"FSR_0477, MWSC_36","nan","nan",118.463,-10.745,1908.0,0.458,9.04,11.77,-3.149,11.623,-3.508,11.55,-3.553,5.7361,51.8793
"SAI_4, MWSC_37","nan","nan",119.746,0.007,1600.0,0.4,8.8,11.341,-1.493,11.213,-1.779,11.149,-1.854,5.8981,62.7064
"Stock_20, MWSC_39","nan","nan",119.92,-0.12,1100.0,0.2,8.337,10.367,-2.631,10.303,-2.813,10.271,-2.865,6.3038,62.5983
"NGC_103, MWSC_40","nan","nan",119.771,-1.373,2501.0,0.45,8.565,12.351,-4.227,12.207,-4.705,12.135,-4.798,6.2603,61.3366
"Berkeley_2, MWSC_41","nan","nan",119.696,-2.328,5499.0,0.899,8.98,14.423,-5.836,14.135,-6.237,13.991,-6.312,6.3071,60.379
"FSR_0494, MWSC_42","nan","nan",120.084,1.018,5087.0,0.521,9.3,13.95,-7.104,13.783,-7.857,13.7,-8.064,6.4112,63.747
"FSR_0496, MWSC_44","nan","nan",120.223,1.285,1123.0,0.77,9.055,10.87,-4.811,10.623,-5.392,10.5,-5.538,6.6659,64.0264
"NGC_110, MWSC_45","nan","nan",120.996,8.637,1600.0,0.65,8.97,11.542,-3.014,11.334,-3.333,11.23,-3.359,6.8432,71.4182
"SAI_6, MWSC_46","nan","nan",120.049,-2.066,3100.0,0.899,8.7,13.178,-5.069,12.89,-5.498,12.746,-5.583,6.9693,60.6738
"FSR_0481, MWSC_48","nan","nan",118.586,-19.406,2164.0,0.385,9.1,11.985,-2.238,11.862,-2.571,11.8,-2.623,7.2258,43.2755
"FSR_0503, MWSC_51","nan","nan",120.938,6.104,4701.0,0.799,9.18,14.002,-5.873,13.746,-6.386,13.618,-6.494,7.3472,68.8903
"Stock_21, MWSC_52","nan","nan",120.107,-4.828,1700.0,0.416,8.825,11.486,-3.85,11.353,-4.244,11.286,-4.305,7.5529,57.9273
"NGC_129, MWSC_53","nan","nan",120.285,-2.563,1685.0,0.541,7.975,11.567,-5.907,11.394,-6.185,11.307,-6.228,7.5331,60.1992
"NGC_133, MWSC_55","nan","nan",120.668,0.559,1861.0,0.625,7.3,11.85,-3.778,11.65,-3.78,11.55,-3.733,7.8086,63.3419
"NGC_136, MWSC_56","nan","nan",120.563,-1.274,3519.0,0.833,8.4,13.4,-5.357,13.133,-5.741,13.0,-5.829,7.8903,61.5063
"King_14, MWSC_57","nan","nan",120.743,0.388,2600.0,0.6,7.7,12.556,-5.285,12.364,-5.302,12.268,-5.279,8.004,63.1772
"King_15, MWSC_58","nan","nan",120.733,-0.905,5500.0,0.7,8.4,14.263,-5.01,14.039,-5.262,13.927,-5.315,8.1895,61.887
"NGC_146, MWSC_59","nan","nan",120.847,0.505,2800.0,0.6,7.701,12.717,-5.142,12.525,-5.169,12.429,-5.164,8.2152,63.3015
"NGC_189, MWSC_62","nan","nan",121.483,-1.726,1300.0,0.7,8.709,11.131,-3.53,10.907,-3.772,10.795,-3.821,9.8606,61.112
"Stock_24, MWSC_63","nan","nan",121.555,-0.879,2400.0,0.55,7.985,12.342,-3.51,12.166,-3.68,12.078,-3.725,9.9296,61.9614
"Dolidze_12, MWSC_65","nan","nan",121.628,-1.993,4000.0,0.5,9.135,13.411,-7.382,13.251,-8.185,13.171,-8.448,10.1833,60.8516
"FSR_0508, MWSC_66","nan","nan",121.917,2.1,5053.0,1.499,6.67,14.72,-4.418,14.24,-4.479,14.0,-4.446,10.4632,64.9529
"Dias_1, MWSC_67","nan","nan",121.962,1.202,2186.0,0.937,7.9,12.45,-6.997,12.15,-7.797,12.0,-8.143,10.6424,64.057
"NGC_225, MWSC_68","nan","nan",121.953,-1.077,850.0,0.6,8.191,10.128,-3.943,9.936,-4.393,9.84,-4.504,10.7893,61.779
"Czernik_2, MWSC_69","nan","nan",121.963,-2.708,4500.0,0.5,9.123,13.667,-6.24,13.507,-6.857,13.427,-7.01,10.9148,60.1491
"King_16, MWSC_70","nan","nan",122.102,1.317,2325.0,0.833,7.8,12.5,-3.756,12.233,-3.898,12.1,-3.913,10.9545,64.1765
"FSR_0507, MWSC_71","nan","nan",121.778,-10.498,2203.0,0.885,9.0,12.425,-4.144,12.142,-4.61,12.0,-4.726,11.0015,52.3571
"Berkeley_4, MWSC_73","nan","nan",122.239,1.516,3300.0,0.7,7.3,13.154,-5.925,12.93,-5.912,12.818,-5.881,11.2574,64.3791
"NGC_188, MWSC_74","nan","nan",122.839,22.381,2000.0,0.085,9.65,11.574,-5.721,11.547,-6.27,11.533,-6.373,11.8214,85.252
