"Theia","N*","OName","logAge","Av","String","Width","Height","Length","GLON","GLAT","plx","pmGLON","pmGLAT","RV","X","Y","Z","U","V","W","_RA.icrs","_DE.icrs","dist"
"Theia_4",107,"ASCC_125",6.26727,1.96643,"nan",7.89937,3.97209,"nan",110.309,2.96364,1.156,-28.3326,1.63032,-5.40542,-299.895,810.331,44.7328,29.5002,4.93782,1.40342,344.1429455,62.98534575,865.2
"Theia_5",122,"NGC_7023",6.37036,1.2416,"nan",7.86262,4.11629,"nan",105.285,13.911,2.499,-6.58386,-5.825,-8.73705,-102.387,374.662,96.1987,8.80086,-4.9997,-8.32693,318.0905514,68.88480754,400.14
"Theia_6",86,"nan",6.37515,1.22375,"nan",8.99607,11.6514,"nan",121.643,-1.24906,1.598,-7.22314,1.13173,-5.74988,-328.241,532.645,-13.6417,9.97636,-0.725157,1.39855,10.1497809,61.59556031,625.81
"Theia_7",113,"Taurus",6.5,0.25,"nan",6.58769,2.11816,"nan",172.137,-15.5548,7.362,0.639536,-1.07079,5.38881,-129.632,17.903,-36.4262,-5.0299,0.0690864,-2.61732,67.0770489,25.97017905,135.84
"Theia_8",58,"nan",6.5,0.25,"nan",6.72626,5.74144,"nan",111.099,19.7012,2.325,-3.02097,0.64819,-8.08385,-145.79,377.835,145.016,6.10273,-6.24818,-2.1088,314.7541455,76.85680874,430.17
"Theia_10",66,"nan",6.79999,0.799999,"nan",3.56826,1.37923,"nan",112.138,13.8636,2.894,-6.08959,2.32805,-4.35964,-126.442,310.79,82.8085,7.57328,-2.20354,1.22646,333.4929207,73.34200119,345.59
"Theia_11",75,"LDN_1251",6.79999,0.799999,"nan",2.4437,2.38992,"nan",115.009,14.2834,2.79,-4.04874,0.189082,-5.47722,-146.869,314.829,88.4442,6.12186,-3.18869,-1.18766,341.3725252,75.18193066,358.48
"Theia_12",263,"nan",6.79492,1.42181,"nan",13.6557,13.3258,"nan",31.15,0.387587,1.555,-11.0056,-0.700117,-2.5016,550.353,332.65,4.35025,3.65901,-10.9904,-0.700767,281.7017308,-1.40900395,643.09
"Theia_13",999,"Orion",6.89498,0.199979,"y",29.498,13.4985,176.496,205.343,-18.2406,2.639,-4.82186,2.75791,6.56547,-342.773,-142.513,-109.982,-4.20573,3.17317,2.34927,83.2304288,-1.78199781,387.17
"Theia_15",48,"nan",6.85354,2.10246,"nan",5.2579,6.14504,"nan",216.255,-15.245,1.199,-12.68,-1.37519,"nan",-649.018,-475.964,-219.35,-7.35601,10.6525,-1.34958,90.6441625,-9.76883062,834.19
"Theia_19",129,"nan",6.95752,2.42856,"nan",14.1133,8.26271,"nan",119.313,2.93336,1.331,-8.80825,-2.79572,-19.9222,-367.411,654.383,38.4554,17.9048,-13.1124,-3.93809,4.0962823,65.5585131,751.46
"Theia_23",544,"Serpens",7.08037,1.37433,"y",24.3803,10.37,285.651,28.2003,2.77346,2.295,-8.14188,-5.60862,6.60796,439.337,208.85,13.273,23.5453,-0.178948,-5.60919,278.2284097,-2.93850089,486.63
"Theia_24",14,"nan",7.0,2.0,"nan",1.07648,0.898519,"nan",316.468,21.1649,1.436,-12.9823,13.0888,"nan",470.689,-447.17,251.365,-12.6003,-6.26715,12.4454,209.4044453,-39.96097734,696.2
"Theia_26",534,"NGC_7039",7.0,0.5,"nan",13.0708,10.1446,"nan",88.2337,-1.8636,1.313,-17.851,1.90874,5.80149,23.4697,761.082,-24.7754,18.8273,5.41733,1.80712,318.2128169,45.76613647,761.85
"Theia_29",67,"Chameleon_II",7.10001,2.0,"nan",2.62558,3.18001,"nan",303.455,-14.7117,5.008,-3.45713,-0.33312,-26.494,106.473,-161.141,-50.7115,-17.3856,20.0316,6.53724,195.2113139,-77.57389325,199.69
"Theia_31",78,"nan",7.1,0.5,"nan",2.95121,2.48202,"nan",254.372,2.10776,2.723,-14.5144,8.88287,8.85208,-98.8685,-353.449,13.5076,-16.7188,-4.36839,9.46544,126.9090154,-34.87984801,367.27
"Theia_35",84,"nan",7.17411,0.869163,"nan",9.73717,4.25974,"nan",232.563,-4.62809,2.268,-12.591,-4.78256,8.44358,-267.181,-348.991,-35.58,-15.4675,1.50786,-5.65965,107.7836579,-19.56159272,440.96
"Theia_38",966,"nan",7.10009,1.0,"nan",6.26049,12.4653,"nan",56.2814,3.66219,2.01,-13.6738,-2.70059,11.1233,275.653,413.035,31.7828,18.027,1.82596,-1.98175,290.536691,22.4044193,497.59
"Theia_46",76,"nan",7.2948,1.6611,"nan",17.8202,8.83219,"nan",111.312,2.40671,1.83,-23.2871,2.39527,-11.6524,-198.432,508.632,22.9469,26.8282,-2.42394,1.93964,346.6537266,62.88921622,546.45
"Theia_47",296,"nan",7.25428,1.08174,"nan",13.6783,15.1774,"nan",152.33,1.81076,1.267,-4.25289,-0.508127,-1.33835,-698.471,366.232,24.9329,3.21937,3.22825,-0.547384,65.9168461,52.13001021,789.06
"Theia_48",96,"nan",7.20013,1.36784,"nan",14.7978,10.0389,"nan",80.7261,-2.13311,1.202,-47.8473,0.964535,5.20069,134.002,820.647,-30.9714,51.2995,-2.95621,0.728935,311.7635313,39.92747708,832.09
