"Cluster","Group","logAge","e_logAge","AVmag","e_AVmag","Dist","e_Dist"
"ASCC 10",557.0,8.27,0.11,0.8,0.05,664.1,15.4
"ASCC 101",445.0,8.59,0.06,0.21,0.04,394.6,7.1
"ASCC 105",544.0,8.17,0.1,0.56,0.07,563.5,17.6
"ASCC 107",205.0,7.6,0.13,1.33,0.1,825.8,32.6
"ASCC 108",3446.0,8.19,0.11,0.55,0.08,1146.6,39.5
"ASCC 11",152.0,8.27,0.16,0.8,0.06,828.4,21.5
"ASCC 110",3854.0,8.54,0.12,1.56,0.15,2089.5,134.0
"ASCC 111",196.0,8.09,0.14,0.79,0.11,839.3,34.5
"ASCC 113",461.0,8.23,0.1,0.3,0.05,531.3,12.6
"ASCC 114",296.0,7.74,0.11,1.06,0.08,913.0,33.1
"ASCC 115",191.0,8.01,0.06,0.89,0.05,735.2,12.9
"ASCC 12",501.0,8.26,0.12,0.81,0.06,1030.7,27.7
"ASCC 123",117.0,7.92,0.09,0.55,0.15,259.1,8.1
"ASCC 127",32.0,7.81,0.17,0.54,0.08,476.1,35.8
"ASCC 128",391.0,8.43,0.09,0.49,0.08,609.9,17.2
"ASCC 13",2043.0,8.05,0.13,0.8,0.06,1093.1,31.9
"ASCC 16",13.0,7.08,0.07,0.11,0.13,360.5,7.6
"ASCC 19",13.0,7.11,0.08,0.31,0.16,361.0,11.1
"ASCC 21",13.0,7.03,0.08,0.23,0.15,359.2,10.8
"ASCC 23",552.0,8.21,0.08,0.47,0.05,618.7,20.0
"ASCC 29",2521.0,7.95,0.04,0.36,0.05,1011.1,20.1
"ASCC 30",2563.0,8.28,0.07,0.62,0.06,1098.7,27.6
"ASCC 32",87.0,7.46,0.11,0.29,0.1,769.5,24.8
"ASCC 41",225.0,8.4,0.07,0.29,0.05,299.5,6.4
"ASCC 58",143.0,7.77,0.08,0.28,0.1,480.6,11.4
"ASCC 6",2326.0,8.06,0.1,0.74,0.06,1595.9,40.1
"ASCC 66","nan",7.95,0.06,0.3,0.05,916.4,26.2
"ASCC 67",1935.0,7.98,0.24,0.71,0.14,2004.5,134.5
"ASCC 71",3299.0,8.11,0.12,0.8,0.08,1244.8,48.7
"ASCC 73",338.0,8.17,0.14,0.71,0.07,704.5,24.8
"ASCC 77",2146.0,8.0,0.11,0.87,0.07,1121.8,53.3
"ASCC 79",89.0,7.14,0.22,1.19,0.18,765.2,67.6
"ASCC 85",156.0,7.81,0.16,0.92,0.14,809.7,52.2
"ASCC 87",330.0,8.51,0.08,0.88,0.12,772.8,28.4
"ASCC 88",195.0,7.88,0.22,1.71,0.15,878.1,52.4
"ASCC 9",1659.0,7.64,0.27,2.45,0.13,2307.1,129.4
"ASCC 90",948.0,8.87,0.09,0.91,0.16,574.8,21.3
"ASCC 97",462.0,7.92,0.11,1.39,0.1,609.8,26.0
"ASCC 99",518.0,8.5,0.07,0.43,0.05,325.9,6.0
"Alessi 1",1254.0,8.97,0.06,0.4,0.09,667.7,17.3
"Alessi 10",535.0,8.09,0.07,0.45,0.05,463.6,8.4
"Alessi 12",254.0,7.99,0.09,0.35,0.06,526.7,15.2
"Alessi 13","nan",7.63,0.06,0.83,0.09,139.3,5.0
"Alessi 15","nan",9.05,0.22,1.33,0.22,4665.0,591.9
"Alessi 17","nan",8.09,0.36,1.48,0.22,4001.0,337.6
"Alessi 18","nan",8.14,0.43,2.37,0.28,4863.7,501.2
"Alessi 19",73.0,7.84,0.1,0.48,0.1,560.3,16.7
"Alessi 2",847.0,8.29,0.13,0.78,0.06,619.3,16.5
"Alessi 20",34.0,7.11,0.12,0.92,0.18,454.4,17.7
"Alessi 21",118.0,7.78,0.07,0.45,0.09,572.2,13.5
"Alessi 24",452.0,7.91,0.09,0.37,0.09,480.6,15.0
"Alessi 3",1011.0,8.65,0.09,0.32,0.06,298.3,6.7
"Alessi 31",739.0,8.55,0.08,1.79,0.09,650.1,17.6
"Alessi 37",349.0,8.2,0.07,0.64,0.05,700.3,12.7
"Alessi 43",28.0,6.61,0.23,1.32,0.24,995.3,45.8
"Alessi 44",125.0,8.05,0.12,0.87,0.08,641.6,19.8
"Alessi 5",143.0,7.81,0.09,0.65,0.11,400.0,19.0
"Alessi 53","nan",8.42,0.22,2.14,0.18,5720.1,539.4
"Alessi 59","nan",7.19,0.4,2.49,0.31,4928.9,537.3
"Alessi 6",996.0,8.58,0.1,0.91,0.06,834.8,32.0
"Alessi 60",2826.0,8.63,0.08,0.81,0.08,2923.3,124.2
"Alessi 62",1131.0,8.87,0.05,0.84,0.05,627.0,14.8
"Alessi 8",335.0,8.08,0.07,0.41,0.05,622.5,18.3
"Alessi 9",598.0,8.28,0.11,0.31,0.08,224.2,6.1
"Alessi Teutsch 11",397.0,8.0,0.06,0.41,0.05,639.2,11.1
"Alessi Teutsch 12",257.0,7.98,0.06,0.52,0.07,602.4,15.9
"Alessi Teutsch 3",150.0,7.92,0.05,0.68,0.06,694.7,11.4
"Alessi Teutsch 5",9.0,7.16,0.14,1.19,0.19,852.2,34.3
"Alessi Teutsch 8",498.0,7.95,0.12,0.67,0.1,1009.4,46.3
"Andrews Lindsay 5","nan",8.02,0.36,4.5,0.66,3305.1,422.6
"Antalova 2","nan",7.9,0.29,2.3,0.23,1311.4,100.0
"Archinal 1","nan",7.94,0.25,4.91,0.27,1899.6,184.3
"Arp Madore 2","nan",9.09,0.05,1.22,0.1,12161.4,867.6
"Auner 1","nan",9.06,0.24,1.46,0.24,6462.2,511.9
"Aveni Hunter 1",33.0,7.23,0.13,0.77,0.17,459.9,18.6
"BDSB30",9.0,6.57,0.08,2.64,0.35,1013.7,39.9
"BDSB91","nan",6.76,0.14,1.73,0.25,948.0,59.9
