"Cat","DSH","n_DSH","RAJ2000","DEJ2000","Dvis","E(B-V)","e_E(B-V)","(m-M)0","e_(m-M)0","Dist","e_Dist","l_logt","logt","e_logt","Note","Name","RA_ICRS","DE_ICRS"
"a","J0355.3+5823","nan","03 55 21.0","+58 23 30",3.0,0.79,0.06,13.2,0.3,4.4,0.6,"<",7.6,"nan","nan","Juchert 9",58.8375,58.39167
"a","J0528.3+3446","nan","05 28 21.0","+34 46 30",1.6,0.52,0.06,11.4,0.2,1.9,0.2,"<",7.5,"nan","nan","Kronberger 1",82.0875,34.775
"a","J0553.8+2649","nan","05 53 51.9","+26 49 47",3.6,1.06,0.09,12.6,0.2,3.3,0.3,"nan",8.9,0.1,"nan","Teutsch 51",88.46625,26.82972
"a","J1453.4-6028","nan","14 53 25.6","-60 28 57",3.4,1.61,0.06,11.95,0.6,2.5,0.6,"nan",8.1,0.15,"nan","Teutsch 80",223.35667,-60.4825
"a","J1704.3-4204","nan","17 04 20.1","-42 04 24",4.0,1.12,0.15,11.75,0.25,2.2,0.3,"nan",9.0,0.1,"nan","Teutsch 84",256.08375,-42.07333
"a","J1930.2+1832","nan","19 30 13.1","+18 32 09",1.2,2.55,0.09,11.0,0.2,1.6,0.2,"nan",7.5,0.25,"nan","Teutsch 42",292.55458,18.53583
"a","J1933.9+1831","nan","19 33 55.0","+18 31 12",2.1,"1.52,1.3","0.06,0.06","12.8,12.2","0.3,0.3","3.6,2.7","0.4,0.4","nan,nan","7.4,8.35","0.3,0.1","a,b","Kronberger 79",293.47917,18.52
"a","J2002.3+3518","nan","20 02 23.3","+35 18 41",1.1,0.58,0.03,11.0,0.2,1.6,0.2,"<",7.0,"nan","nan","ADS 13292",300.59708,35.31139
"a","J2027.7+3604","nan","20 27 43.0","+36 04 32",3.2,1.24,0.03,11.05,0.15,1.6,0.1,"<",6.9,"nan","nan","Teutsch 30",306.92917,36.07556
"b","J0347.3+5354","nan","03 47 18.0","+53 54 35",5.0,1.68,0.15,12.75,0.15,3.6,0.2,"nan","nan","nan","nan","Juchert 11",56.825,53.90972
"b","J0920.5-5251","nan","09 20 31.8","-52 51 06",2.2,0.96,0.11,14.25,0.2,7.0,0.6,"nan","nan","nan","nan","Teutsch 48",140.1325,-52.85167
"b","J1054.2-6144","nan","10 54 13.6","-61 44 16",0.8,0.9,0.15,15.2,0.15,11.1,0.8,"nan","nan","nan","nan","Kronberger 39",163.55667,-61.73778
"b","J1323.6-6340","nan","13 23 38.8","-63 40 10",2.0,0.95,0.12,14.15,0.1,6.7,0.4,"nan","nan","nan","nan","Teutsch 79",200.91167,-63.66944
"b","J1906.8+0935","nan","19 06 52.1","+09 35 00",2.2,2.0,0.13,12.95,0.1,3.9,0.2,"nan","nan","nan","nan","Alessi 56",286.71708,9.58333
"b","J1920.8+1540","nan","19 20 53.8","+15 40 36",2.5,2.11,0.11,12.95,0.1,3.9,0.2,"nan","nan","nan","nan","Alessi 57",290.22417,15.67667
"b","J1940.1+2615","nan","19 40 11.0","+26 15 48",1.3,0.84,0.15,15.4,0.15,11.9,0.8,"nan","nan","nan","nan","Kronberger 31",295.04583,26.26333
"b","J1942.7+2951","nan","19 42 46.9","+29 51 20",1.3,0.54,0.15,14.55,0.1,8.1,0.4,"nan","nan","nan","nan","Teutsch 43",295.69542,29.85556
"b","J1945.1+2809","nan","19 45 11.4","+28 09 40",1.3,0.56,0.12,14.5,0.15,7.9,0.6,"nan","nan","nan","nan","Kronberger 4",296.2975,28.16111
"b","J2126.1+5331","nan","21 26 08.9","+53 31 58",3.5,1.5,0.13,13.85,0.15,5.9,0.4,"nan","nan","nan","nan","Kronberger 81",321.53708,53.53278
"c","J0718.4-1734","nan","07 18 26.8","-17 34 40",2.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 49",109.61167,-17.57778
"c","J1052.8-5927","nan","10 52 50.1","-59 27 53",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Teutsch 31",163.20875,-59.46472
"c","J1822.6-1443","nan","18 22 39.9","-14 43 41",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 25",275.66625,-14.72806
"c","J2003.1+3158","nan","20 03 07.9","+31 58 01",0.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 54",300.78292,31.96694
"c","J2111.8+5222","nan","21 11 50.5","+52 22 48",0.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","Kronberger 80",317.96042,52.38
