EC,Name,RA(J2000),Dec(J2000),Distance(pc),Size(pc),N,K_limit,Mass(M_sun),References,ra,dec
1,NGC 281W,00:52:23.7,+56:33:45,2100,,231,18.0,130.0,"1,2",13.0987,56.5625
2,NGC 281E,00:54:14.7,+56:33:22,2100,,88,17.0,57.0,1,13.5612,56.5561
3,IRAS 01546+6319,01:58:19.8,+63:33:59,2400,0.54,54,17.5,35.0,3,29.5825,63.5664
4,IRAS 02044+6031,02:08:04.7,+60:46:02,2400,0.73,147,17.5,94.0,3,32.0196,60.7672
5,IRAS 02048+5957,02:08:27.0,+60:11:46,2400,0.56,58,17.5,37.0,3,32.1125,60.1961
6,IRAS 02054+6011,02:09:01.3,+60:25:16,2400,0.59,70,17.5,45.0,3,32.2554,60.4211
7,IRAS 02175+5845,02:21:07.7,+58:59:06,2400,0.73,109,17.5,70.0,,35.2821,58.985
8,IC 1805W,02:25:14.5,+61:27:00,2300,,79,17.0,57.0,1,36.3104,61.45
9,IRAS 02232+6138,02:27:04.1,+61:52:22,2400,0.91,205,17.5,130.0,3,36.7671,61.8728
10,IRAS 02245+6115,02:28:21.5,+61:28:29,2400,0.64,121,17.5,77.0,3,37.0896,61.4747
11,IRAS 02407+6047,02:44:37.8,+60:59:53,2400,0.46,50,17.5,32.0,3,41.1575,60.9981
12,IRAS 02461+6147,02:50:09.2,+61:59:58,2400,0.72,115,17.5,73.0,3,42.5383,61.9994
13,IRAS 02484+6022,02:52:18.7,+60:34:59,2400,0.62,86,17.5,55.0,3,43.0779,60.5831
14,IRAS 02497+6217,02:53:43.2,+62:29:23,2400,0.38,36,17.5,23.0,3,43.43,62.4897
15,AFGL 4029,03:01:32.3,+60:29:12,2200,,173,16.5,140.0,1,45.3846,60.4867
16,IRAS 02541+6208,02:58:13.2,+62:20:29,2400,0.45,40,17.5,26.0,3,44.555,62.3414
17,W3IRS5,02:25:40.6,+62:05:52,2400,,87,17.0,64.0,4,36.4192,62.0978
18,IRAS 02570+6028,03:01:00.7,+60:40:20,2400,0.62,78,17.5,50.0,3,45.2529,60.6722
19,IRAS 02575+6017,03:01:29.2,+60:29:12,2400,1.0,240,17.5,150.0,3,45.3717,60.4867
20,IRAS 02593+6016,03:03:17.9,+60:27:52,2400,0.62,88,17.5,56.0,3,45.8246,60.4644
21,AFGL 437,03:07:25.6,+58:30:52,2000,,122,17.0,79.0,1,46.8567,58.5144
22,AFGL 490,03:27:38.7,+58:46:58,900,,45,16.5,25.0,1,51.9112,58.7828
23,NGC 1333,03:32:08.1,+31:31:03,318,0.49,143,14.5,79.0,5,53.0337,31.5175
24,IC 348,03:44:21.5,+32:10:16,320,,300,15.0,160.0,"6,7",56.0896,32.1711
25,LKHalpha 101,04:30:14.4,+35:16:25,800,,150,15.0,98.0,"8,9",67.56,35.2736
26,S242,05:52:12.9,+26:59:33,2100,,96,16.5,81.0,1,88.0537,26.9925
27,AFGL 5142,05:30:45.6,+33:47:51,1800,,60,16.0,50.0,"1,2",82.69,33.7975
28,OMC 2,05:35:27.3,-05:09:39,500,,119,17.5,63.0,1,83.8638,-5.1608
29,L1641 N,06:23:40,-05:36:23.1,500,0.66,43,14.7,24.0,"1,10",95.9167,-5.6064
30,Trapezium,05:37:47.4,-05:21:46,500,0.47,780,17.5,413.0,13,84.4475,-5.3628
31,AFGL 5157,05:37:47.8,+31:59:24,1800,,71,16.5,50.0,1,84.4492,31.99
32,L1641C,05:38:46.9,-07:01:40,500,0.66,47,14.7,27.0,"1,10",84.6954,-7.0278
33,S235B,05:40:52.5,+35:41:25,1800,,300,16.5,220.0,"1,2",85.2188,35.6903
34,NGC 2024,05:41:42.6,-00:53:46,400,0.88,309,14.0,180.0,14,85.4275,-0.8961
35,NGC 2068,05:46:41.8,+00:06:21,400,0.86,192,14.0,110.0,14,86.6742,0.1058
36,NGC 2071,05:47:10.0,+00:19:19,400,0.59,105,14.0,60.0,14,86.7917,0.3219
37,L1641S,05:52:28.9,-08:07:30,500,1.3,134,14.7,78.0,"1,10",88.1204,-8.125
38,MWC 137,06:18:45.5,+15:16:52,1300,0.4,59,16.5,35.0,15,94.6896,15.2811
39,NGC 2282,06:46:51.0,+01:18:54,1700,1.6,111,15.0,170.0,16,101.7125,1.315
40,MonR2,06:07:46.6,-06:22:59,800,1.85,371,14.0,340.0,"1,17",91.9442,-6.3831
41,AFGL 6366S,06:08:40.9,+21:31:00,1500,,550,18.0,300.0,1,92.1704,21.5167
42,Gem4,06:08:41.0,+21:30:49,1500,1.74,114,14.5,190.0,18,92.1708,21.5136
43,AFGL 5180,06:08:54.1,+21:38:24,1500,,94,16.5,60.0,1,92.2254,21.64
44,Geml,06:09:05.4,+21:50:20,1500,1.22,56,14.5,95.0,18,92.2725,21.8389
45,IRAS 06068+2030,06:09:51.7,+20:30:04,1500,0.39,59,15.3,54.0,2,92.4654,20.5011
46,GGD 12-15,06:10:50.9,-06:11:54,800,1.13,134,16.5,73.0,"1,11",92.7121,-6.1983
47,IRAS 06155-2319,06:18:35.1,+23:18:11,1600,0.43,38,15.3,41.0,2,94.6462,23.3031
48,RNO 73,06:33:31.0,+04:00:06,1600,,43,16.5,28.0,1,98.3792,4.0017
49,NGC 2244,06:34:55.3,+04:25:13,1600,,150+,,,19,98.7304,4.4203
50,NGC 2264,06:41:03.2,+09:53:07,800,,360,14.0,330.0,"1,20",100.2633,9.8853
51,S287 N,06:47:50.4,-02:12:54,1400,,46,16.5,29.0,1,101.96,-2.215
52,BSF 56,06:59:14.4,-03:54:51,1400,,64,16.5,40.0,1,104.81,-3.9142
53,S 287 C,06:59:36.6,-04:40:22,1400,,50,16.5,31.0,1,104.9025,-4.6728
54,L 1654,06:59:41.7,-07:46:29,1100,,415,17.0,230.0,1,104.9237,-7.7747
55,BIP 14,08:15:14.8,-47:30:42,1400,,98,16.5,61.0,1,123.8117,-47.5117
56,RCW38,08:59:05.4,-47:30:42,1700,,1300,18.0,730.0,1,134.7725,-47.5117
57,NGC 3576,11:11:57.0,-61:18:54,2400,,51,13.0,720.0,22,167.9875,-61.315
58,Rho Oph,16:27:01.6,-24:36:41,125,,100,14.0,53.0,23,246.7567,-24.6114
58,NGC 6334 I,17:20:53.0,-35:46:57,1700,0.6,93,16.0,78.0,24,260.2208,-35.7825
60,"Trifid, M20",18:02:23.0,-23:01:48,1600,,85,14.3,190.0,25,270.5958,-23.03
61,"M16, NGC 6611",18:18:48.0,-13:47:00,1800,,300,14.0,960.0,26,274.7,-13.7833
62,"M17, NGC 6618",18:20:26.0,-16:10:36,1800,,100,12.8,890.0,27,275.1083,-16.1767
63,"NGC 6530, M8",18:07:51.9,-24:19:32,1800,,100+,,,28,271.9662,-24.3256
64,MWC 297,18:27:39.5,-03:49:52,450,0.5,37,16.7,20.0,15,276.9146,-3.8311
65,Serpens SVS2,18:29:56.8,+01:14:46,250,,51,15.5,27.0,"1,29",277.4867,1.2461
66,S87E,19:46:19.9,+24:35:24,2110,,101,15.2,180.0,30,296.5829,24.59
67,R CrA,19:01:53.9,-36:57:09,700,,40,16.5,22.0,"1,31",285.4746,-36.9525
68,S88B,19:46:47.0,+25:12:43,2000,,98,15.5,120.0,1,296.6958,25.2119
69,S 106,20:27:25.0,+37:21:40,600,0.3,160,14.0,120.0,32,306.8542,37.3611
70,W 75 N,20:38:37.4,+42:37:56,2000,,130,16.5,99.0,1,309.6558,42.6322
71,L1228,20:57:13.0,+77:35:46,150,,47,18.0,25.0,1,314.3042,77.5961
72,IC 5146,21:02:36.3,+47:27:59,1200,,100,,,33,315.6512,47.4664
73,L988 e,21:03:57.5,+50:14:38,700,,46,14.5,32.0,1,315.9896,50.2439
74,LKHalpha 234,21:43:02.2,+66:06:29,1000,,139,17.0,76.0,1,325.7592,66.1081
75,Cep A,22:56:19.0,+62:01:57,700,,580,17.0,310.0,1,344.0792,62.0325
76,Cep C,23:05:48.8,+62:30:02,750,,110,16.5,60.0,1,346.4533,62.5006
