"Name","RA_ICRS","DE_ICRS","Rt","e_Rt","Rcore","e_Rcore","N","e_N","Score","e_Score","Souter","e_Souter","Ncore","e_Ncore","Nouter","e_Nouter"
"Alessi_10",301.23,-10.51,143.43,69.86,0.4,0.0,100.0,0.0,0.5,0.0,1.17,0.0,89.0,0.0,11.0,0.0
"Alessi_12",310.86,23.85,33.93,7.64,0.63,0.01,302.0,1.1,1.23,0.05,1.86,0.01,279.4,0.6,21.6,0.6
"Alessi_19",274.79,12.21,22.48,23.53,0.24,0.02,91.7,7.18,0.18,0.03,1.51,0.26,42.6,1.7,49.4,1.7
"Alessi_2",71.64,55.18,36.83,14.61,0.55,0.0,192.0,0.0,0.96,0.0,1.65,0.0,175.0,0.0,17.0,0.0
"Alessi_20",2.6,58.7,79.4,36.8,0.35,0.0,297.0,0.0,0.38,0.0,1.78,0.0,248.0,0.0,49.0,0.0
"Alessi_21",107.71,-9.45,44.01,22.09,0.48,0.0,225.0,0.0,0.72,0.0,1.19,0.0,191.0,0.0,34.0,0.0
"Alessi_24",260.76,-62.69,9.85,1.11,0.58,0.01,147.4,0.92,1.05,0.03,1.64,0.03,125.9,0.38,21.1,0.38
"Alessi_3",109.17,-46.19,38.89,11.9,0.53,0.01,194.4,1.28,0.88,0.02,2.06,0.04,179.8,0.2,15.2,0.2
"Alessi_31",267.72,-11.84,52.42,43.91,0.46,0.0,163.0,0.0,0.65,0.0,1.73,0.0,149.0,0.0,14.0,0.0
"Alessi_37",341.99,46.35,73.9,56.12,0.54,0.0,195.0,0.0,0.91,0.0,1.3,0.0,153.0,0.0,42.0,0.0
"Alessi_43",132.53,-41.67,51.73,27.89,0.18,0.0,497.0,0.0,0.1,0.0,1.3,0.0,237.0,0.0,260.0,0.0
"Alessi_5",160.82,-61.08,25.99,4.97,0.71,0.01,412.7,4.75,1.57,0.03,1.84,0.07,399.0,0.0,11.0,0.0
"Alessi_6",220.06,-66.13,25.14,11.79,0.65,0.02,180.1,1.92,1.34,0.08,1.68,0.09,163.4,0.22,15.6,0.22
"Alessi_60",105.61,-1.12,67.9,64.0,0.59,0.0,100.0,0.0,1.09,0.0,1.16,0.0,93.0,0.0,7.0,0.0
"Alessi_62",284.04,21.6,20.71,6.52,0.4,0.0,180.2,1.66,0.49,0.01,1.96,0.02,147.0,0.0,32.0,0.0
"Alessi_8",232.41,-51.18,17.67,19.5,0.39,0.06,78.7,8.76,0.5,0.16,1.56,0.14,52.2,0.89,24.8,0.89
"Alessi_9",266.04,-47.07,189.77,25.49,0.52,0.0,221.0,0.0,0.84,0.0,1.95,0.0,208.0,0.0,13.0,0.0
"Antalova_2",262.58,-32.58,106.52,55.41,0.65,0.0,339.0,0.0,1.33,0.0,1.72,0.0,317.0,0.0,22.0,0.0
"ASCC_101",288.39,36.34,191.92,29.41,0.26,0.0,134.0,0.0,0.22,0.0,2.05,0.0,95.0,0.0,39.0,0.0
"ASCC_105",295.6,27.28,53.54,43.47,0.37,0.0,218.0,0.0,0.42,0.0,1.9,0.0,131.0,0.0,87.0,0.0
"ASCC_107",297.12,21.99,103.98,76.09,0.51,0.0,145.0,0.0,0.8,0.0,1.8,0.0,102.0,0.0,43.0,0.0
"ASCC_108",298.32,39.36,86.33,44.77,0.42,0.0,293.0,0.0,0.57,0.0,1.57,0.0,211.0,0.0,82.0,0.0
"ASCC_11",53.04,44.86,33.51,23.55,0.58,0.03,256.0,2.05,1.07,0.11,1.76,0.04,233.4,1.11,23.6,1.11
"ASCC_110",300.73,33.52,143.35,65.33,0.28,0.0,94.0,0.0,0.25,0.0,1.67,0.0,61.0,0.0,33.0,0.0
"ASCC_111",302.93,37.51,65.5,50.25,0.35,0.0,149.0,0.0,0.38,0.0,1.65,0.0,121.0,0.0,28.0,0.0
"ASCC_113",317.97,38.71,24.88,2.34,0.77,0.01,298.3,1.73,1.87,0.06,1.22,0.02,283.5,0.17,13.5,0.17
"ASCC_114",325.01,53.97,23.21,5.41,0.58,0.03,235.9,1.51,1.06,0.1,1.58,0.02,213.5,0.5,22.5,0.5
"ASCC_115",329.25,51.53,200.0,0.0,0.29,0.0,95.0,0.0,0.26,0.0,1.28,0.0,57.0,0.0,38.0,0.0
"ASCC_12",72.44,41.75,83.8,65.77,0.5,0.0,179.0,0.0,0.79,0.0,2.07,0.0,155.0,0.0,24.0,0.0
"ASCC_127",347.01,65.1,191.1,22.69,0.36,0.0,262.0,0.0,0.4,0.0,1.56,0.0,180.0,0.0,82.0,0.0
"ASCC_128",349.93,54.36,91.66,69.68,0.36,0.0,123.0,0.0,0.41,0.0,1.43,0.0,79.0,0.0,44.0,0.0
"ASCC_13",78.22,44.4,200.0,0.0,0.5,0.0,133.0,0.0,0.79,0.0,1.78,0.0,96.0,0.0,37.0,0.0
"ASCC_19",82.31,-1.89,177.59,39.42,0.97,0.0,1250.0,0.0,2.97,0.0,1.05,0.0,1249.0,0.0,1.0,0.0
"ASCC_21",81.91,1.9,20.9,0.52,0.48,0.02,987.4,3.04,0.73,0.05,1.86,0.04,779.6,6.7,205.4,6.7
"ASCC_23",95.06,46.72,104.31,71.15,0.85,0.0,127.0,0.0,2.26,0.0,1.4,0.0,126.0,0.0,1.0,0.0
"ASCC_29",103.6,-1.66,70.31,75.18,0.48,0.0,98.0,0.0,0.74,0.0,1.33,0.0,79.0,0.0,19.0,0.0
"ASCC_30",104.27,-6.22,200.0,0.0,0.38,0.0,103.0,0.0,0.47,0.0,2.05,0.0,77.0,0.0,26.0,0.0
"ASCC_58",153.66,-55.05,160.86,49.59,0.66,0.0,246.0,0.0,1.36,0.0,1.34,0.0,225.0,0.0,21.0,0.0
"ASCC_6",26.86,57.73,59.69,51.08,0.52,0.0,162.0,0.0,0.86,0.0,1.49,0.0,138.0,0.0,24.0,0.0
"ASCC_67",175.23,-61.03,197.66,16.49,0.89,0.0,496.0,0.0,2.47,0.0,1.0,0.0,484.0,0.0,12.0,0.0
"ASCC_71",185.03,-67.52,50.55,44.42,0.48,0.0,144.0,0.0,0.71,0.0,2.13,0.0,113.0,0.0,31.0,0.0
"ASCC_77",212.72,-62.33,29.84,7.33,0.63,0.0,218.0,0.0,1.26,0.0,1.27,0.0,207.0,0.0,11.0,0.0
"ASCC_79",229.74,-60.9,58.63,14.49,0.81,0.0,770.0,0.0,2.04,0.0,1.89,0.0,756.0,0.0,14.0,0.0
"ASCC_85",251.86,-45.55,37.8,26.59,0.3,0.01,192.3,1.55,0.28,0.01,1.98,0.09,124.4,0.27,68.6,0.27
"ASCC_87",255.65,-28.41,190.78,33.2,0.3,0.0,90.0,0.0,0.28,0.0,1.59,0.0,58.0,0.0,32.0,0.0
"ASCC_88",256.89,-35.57,43.28,39.82,0.5,0.0,149.8,0.6,0.8,0.0,1.14,0.01,129.0,0.0,21.0,0.0
"ASCC_9",41.7,57.76,137.76,57.14,0.79,0.0,266.0,0.0,1.96,0.0,1.2,0.0,252.0,0.0,14.0,0.0
"ASCC_90",264.79,-34.82,198.4,11.21,0.22,0.0,119.0,0.0,0.15,0.0,1.59,0.0,71.0,0.0,48.0,0.0
"ASCC_99",282.16,-18.4,75.56,48.64,0.62,0.0,146.0,0.0,1.19,0.0,1.62,0.0,132.0,0.0,14.0,0.0
"Barkhatova_1",313.4,46.04,89.65,68.62,0.38,0.0,128.0,0.0,0.46,0.0,1.08,0.0,101.0,0.0,27.0,0.0
"Basel_1",282.02,-5.88,27.64,28.71,0.37,0.01,105.3,1.55,0.44,0.01,1.47,0.08,92.1,0.1,13.9,0.1
"Basel_10",34.89,58.29,200.0,0.0,0.85,0.0,406.0,0.0,2.27,0.0,2.04,0.0,384.0,0.0,22.0,0.0
"Basel_17",167.61,-59.05,195.25,22.14,0.69,0.0,167.0,0.0,1.48,0.0,1.87,0.0,150.0,0.0,17.0,0.0
"Basel_18",201.98,-62.31,200.0,0.0,0.44,0.0,208.0,0.0,0.6,0.0,2.31,0.0,125.0,0.0,83.0,0.0
"Basel_4",87.24,30.2,73.92,77.69,0.37,0.0,84.0,0.0,0.43,0.0,1.4,0.0,58.0,0.0,26.0,0.0
"Basel_8",98.56,8.02,192.11,28.15,0.8,0.0,110.0,0.0,1.99,0.0,1.34,0.0,105.0,0.0,5.0,0.0
"Berkeley_10",54.89,66.49,29.18,28.55,0.56,0.01,168.1,1.64,0.99,0.03,2.31,0.15,159.1,0.1,8.9,0.1
"Berkeley_100",351.47,63.78,114.82,84.66,0.67,0.0,56.0,0.0,1.39,0.0,1.17,0.0,49.0,0.0,7.0,0.0
"Berkeley_101",353.21,64.21,71.4,76.04,0.58,0.0,79.0,0.0,1.06,0.0,1.36,0.0,77.0,0.0,2.0,0.0
"Berkeley_104",0.86,63.59,26.2,39.93,0.26,0.04,56.9,2.3,0.21,0.05,1.63,0.17,47.2,1.21,10.8,1.21
"Berkeley_11",65.13,44.93,19.22,24.3,0.48,0.03,80.2,3.84,0.73,0.09,1.21,0.25,68.8,0.2,13.2,0.2
"Berkeley_12",71.1,42.69,67.59,64.43,0.45,0.0,116.0,0.0,0.63,0.0,1.6,0.0,93.0,0.0,23.0,0.0
"Berkeley_13",73.95,52.81,29.87,42.42,0.25,0.0,88.3,1.79,0.19,0.0,2.22,0.03,77.0,0.0,12.0,0.0
