"Pair_left","IDHR24_left","Cluster","sep3D","Dvt","Dv3d","Dage","Type","overlap","Group","Pair_right","IDHR24_right","RA_ICRS","DE_ICRS","Plx","pmRA","pmDE","RV","logt","DM","E(B-V)"
"1","1","ADS_16795","39.25","6.53","9.63","17.8","PBC","-","4.0","1.0","1.0","352.59","58.55","4.76","18.66","2.85","-13.36","7.57","7.06","0.13"
"13, 14","50","ASCC_100","23.18, 44.14","1.35, 8.39","5.95, 8.9","0.89, 256.22","PBC, TBC","Conrad_2017, deLaFuenteMarcos_2009","7.0","13.0","50.0","285.4","33.6","2.75","1.73","-3.45","-13.85","7.59","7.8","0.04"
"14","51","ASCC_101","44.14","8.39","8.9","256.22","TBC","deLaFuenteMarcos_2009","7.0","14.0","51.0","288.34","36.36","2.51","0.97","1.28","-18.12","8.47","7.99","0.03"
"393","53","ASCC_105","31.84","2.56","1.81","14.32","PBC","Piecka_2021","","","","","","","","","","7.85","9.3","0.18"
"15","56","ASCC_108","47.4","9.56","16.16","682.13","TBC","Palma_2025","","","","","","","","","","8.05","10.67","0.19"
"2, 46","7","ASCC_12","43.21, 45.41","0.91, 4.2","16.15, 34.57","69.23, 99.46","TBC, TBC","-","2.0","2.0","7.0","72.42","41.71","0.95","-0.68","-2.92","-26.14","8.02","11.09","0.33"
"16, 374","63","ASCC_125","11.11, 17.78","9.76, 2.59","15.29, 24.13","7.13, 6.27","PBC, PBC","-","8.0","16.0","63.0","344.1","62.71","1.19","-0.54","-2.2","-23.13","6.76","11.07","0.84"
"17","64","ASCC_127","24.81","1.37","13.64","1.6","PBC","-","","","","","","","","","","7.38","8.26","0.21"
"3","8","ASCC_13","41.45","0.49","5.2","58.5","TBC","-","","","","","","","","","","7.73","10.8","0.25"
"4","10","ASCC_18","20.07","3.11","4.14","6.93","PBC","-","3.0","4.0","10.0","81.33","0.37","2.42","0.16","1.37","26.16","7.31","8.09","0.13"
"5","11","ASCC_19","17.92","1.12","1.68","9.72","PBC","-","1.0","5.0","11.0","81.98","-1.86","2.81","1.17","-1.18","11.65","7.11","7.91","0.11"
"6","12","ASCC_20","20.29","3.48","16.59","8.7","PBC","-","5.0","6.0","12.0","82.19","1.72","2.73","-0.57","0.76","27.89","7.39","7.92","0.06"
"7","13","ASCC_21","13.29","0.93","1.61","0.0","PBC","Palma_2025","5.0","7.0","13.0","82.21","3.61","2.9","1.53","-0.58","10.17","7.2","7.52","0.02"
"345","20","ASCC_33","40.38","6.18","9.83","29.79","PBC","-","","","","","","","","","","7.86","8.73","0.14"
"8","23","ASCC_51","43.5","6.69","6.24","160.29","TBC","-","","","","","","","","","","7.87","9.18","0.13"
"9","25","ASCC_58","27.98","8.45","7.16","42.51","TBC","Palma_2025","","","","","","","","","","7.87","8.17","0.02"
"10","31","ASCC_65","28.9","8.04","","6.72","PBC","-","6.0","10.0","31.0","167.83","-61.17","0.38","-6.31","1.13","4.17","6.85","12.65","0.43"
"11","35","ASCC_71","21.61","1.62","3.56","0.0","PBC","-","","","","","","","","","","8.05","11.16","0.28"
"12","42","ASCC_85","40.86","3.33","15.9","85.21","TBC","-","","","","","","","","","","8.0","10.33","0.25"
"26","112","Alessi-Teutsch_5","16.47","6.91","6.91","0.61","PBC","-","","","","","","","","","","7.13","10.58","0.4"
"19","79","Alessi_20","31.16","1.63","3.6","7.46","PBC","-","9.0","19.0","79.0","2.64","58.76","2.34","8.12","-2.43","-9.31","7.46","8.2","0.31"
"20, 214","84","Alessi_33","39.21, 39.26","1.16, 0.28","0.91, 3.29","7.63, 0.0","PBC, PBC","-","10.0","20.0","84.0","105.71","-26.37","1.25","-3.22","3.49","34.11","7.34","9.7","0.07"
"21","85","Alessi_34","46.42","3.74","11.8","10.4","PBC","-","","","","","","","","","","7.45","9.13","0.23"
"22","86","Alessi_36","23.68","1.58","1.19","8.98","PBC","Song_2022","","","","","","","","","","7.54","7.5","0.09"
"23, 31","89","Alessi_43","18.88, 49.4","1.18, 5.4","1.81, 7.26","11.69, 3.39","PBC, PBC","Palma_2025, -","11.0","23.0","89.0","132.58","-41.69","1.06","-5.55","3.95","18.82","7.07","10.14","0.24"
"18","70","Alessi_5","49.62","0.78","15.16","15.8","PBC","-","","","","","","","","","","7.71","8.57","0.21"
"24, 65","95","Alessi_72","31.34, 45.05","1.22, 2.02","9.08, 8.79","7.64, 19.28","PBC, PBC","Palma_2025, -","12.0","24.0","95.0","106.54","-16.07","0.76","-3.07","1.75","31.26","7.47","11.02","0.21"
"25","98","Alessi_96","25.99","4.44","8.83","49.0","TBC","Palma_2025","","","","","","","","","","8.11","8.14","0.22"
"27","119","Antalova_1","48.8","3.94","","34.76","TBC","-","","","","","","","","","","7.65","12.14","0.62"
"28","120","Antalova_2","27.1","2.65","25.67","8.57","PBC","Song_2022","13.0","28.0","120.0","262.44","-32.55","0.87","2.02","-1.49","-15.55","6.77","11.53","0.49"
"29, 309","129","BDSB_96","17.99, 25.14","4.85, 2.42","8.23, 11.91","6.82, 5.63","PBC, PBC","-","14.0","29.0","129.0","106.33","-12.32","0.86","-3.66","1.0","15.61","7.04","11.1","0.25"
"32","169","VDBH_221, BH_221","26.38","1.9","4.66","9.05","PBC","-","16.0","32.0","169.0","259.59","-32.39","0.89","1.97","-1.57","0.27","7.0","10.87","0.32"
"30","134","VDBH_54, BH_54","32.61","4.33","207.52","44.77","TBC","-","15.0","30.0","134.0","132.41","-44.35","0.43","-4.81","5.32","35.01","7.19","13.22","0.99"
"31","136","VDBH_56, BH_56","49.4","5.4","7.26","3.39","PBC","-","11.0","31.0","136.0","134.37","-43.22","1.1","-5.52","5.39","13.23","7.18","9.89","0.2"
"38","276","Berkeley_14A","45.16","8.21","10.47","356.2","TBC","-","18.0","38.0","276.0","75.05","43.68","0.89","-0.32","-2.78","-12.27","7.38","10.94","0.29"
"33","189","Berkeley_7","29.57","1.81","","3.12","PBC","Palma_2025","","","","","","","","","","7.67","13.82","0.73"
"34","257","Berkeley_85","47.53","9.72","27.52","130.94","HEP","-","","","","","","","","","","8.35","14.86","1.11"
"35, 36","258","Berkeley_86","20.56, 38.09","4.93, 7.28","12.89, 50.99","3.65, 13.07","PBC, PBC","LP_2019, -","17.0","35.0","258.0","305.08","38.68","0.56","-3.45","-5.47","-42.48","7.06","12.59","0.9"
"36","259","Berkeley_87","38.09","7.28","50.99","13.07","PBC","-","17.0","36.0","259.0","305.41","37.41","0.56","-3.63","-6.35","8.95","7.39","13.72","1.46"
"37","267","Berkeley_96","49.33","0.86","","13.22","PBC","Palma_2025","","","","","","","","","","7.23","14.65","0.68"
"6, 7","290","Briceno_1","20.29, 13.29","3.48, 0.93","16.59, 1.61","8.7, 0.0","PBC, PBC","-, Palma_2025","5.0","6.0","290.0","81.08","1.7","2.89","1.38","-0.02","11.59","7.2","7.59","0.03"
"39","292","CMa_02, CMa_2","27.72","5.54","14.78","73.36","TBC","-","","","","","","","","","","8.25","11.02","0.28"
"40","300","COIN-Gaia_10","46.17","9.95","9.88","128.32","TBC","-","2.0","40.0","300.0","68.46","40.5","0.95","1.97","-3.45","8.09","7.88","11.5","0.53"
"41","306","COIN-Gaia_16","40.44","2.99","66.31","8.87","PBC","-","","","","","","","","","","7.08","11.94","0.32"
"42","307","COIN-Gaia_18","27.14","9.02","11.27","10.58","PBC","-","","","","","","","","","","8.17","10.95","0.36"
"43","310","COIN-Gaia_21","49.24","2.56","3.09","761.97","TBC","Palma_2025","","","","","","","","","","7.51","11.77","0.47"
"44","312","COIN-Gaia_24","43.86","4.84","5.43","56.65","TBC","-","19.0","44.0","312.0","90.72","23.16","0.99","2.48","-2.95","-2.94","8.44","10.91","0.34"
"45, 179","317","COIN-Gaia_30","36.08, 40.2","7.26, 9.21","12.62, 5.78","35.71, 10.58","TBC, PBC","-","20.0","45.0","317.0","21.17","70.58","1.37","-6.15","2.02","-19.7","8.17","10.74","0.58"
"40, 46","326","COIN-Gaia_39","46.17, 45.41","9.95, 4.2","9.88, 34.57","128.32, 99.46","TBC, TBC","-","2.0","40.0","326.0","69.58","42.97","0.97","0.1","-2.54","7.96","8.31","10.75","0.34"
"47","327","COIN-Gaia_40","30.29","8.92","27.35","100.27","TBC","Palma_2025","","","","","","","","","","8.08","12.51","0.37"
"82","560","CWNU_1004","9.65","0.97","7.01","3.64","PBC","Palma_2025","28.0","82.0","560.0","239.73","-42.01","6.26","-11.06","-23.51","-2.01","7.39","7.01","0.6"
"83","563","CWNU_1010","5.24","5.04","6.42","36.34","TBC","-","","","","","","","","","","7.88","6.29","0.07"
"84","566","CWNU_1015","26.24","5.32","2.75","36.91","TBC","-","","","","","","","","","","7.65","6.12","0.01"
"83","567","CWNU_1018","5.24","5.04","6.42","36.34","TBC","-","","","","","","","","","","8.05","6.34","0.05"
"57","373","CWNU_102","48.61","3.92","10.02","14.77","PBC","-","23.0","57.0","373.0","128.77","-36.57","1.05","-5.62","5.17","22.17","7.39","10.06","0.15"
"85","575","CWNU_1042","27.36","2.48","12.13","4.68","PBC","Palma_2025","","","","","","","","","","6.99","12.11","0.9"
"86","578","CWNU_1054","47.36","7.59","11.95","27.86","PBC","-","3.0","86.0","578.0","89.73","0.95","2.38","-2.22","-1.89","14.17","7.53","10.09","0.55"
"87","583","CWNU_1066","47.61","6.6","3.64","31.64","TBC","-","","","","","","","","","","8.06","4.93","0.0"
"88, 216","584","CWNU_1069","23.77, 43.07","8.95, 7.26","9.84, 12.36","16.02, 4.97","PBC, PBC","-","29.0","88.0","584.0","119.31","-43.51","2.48","-9.3","8.95","20.99","7.47","8.14","0.08"
"89","585","CWNU_1072","34.56","7.35","23.31","2.55","PBC","-","","","","","","","","","","7.32","8.64","0.19"
"90","589","CWNU_1083","27.36","0.27","36.26","2.01","PBC","-","30.0","90.0","589.0","126.14","-41.02","2.93","-7.14","10.11","30.68","7.03","7.84","0.1"
"91","591","CWNU_1086","32.02","2.25","3.08","18.07","PBC","-","31.0","91.0","591.0","67.64","53.96","1.31","0.95","-3.43","-1.83","6.52","9.25","0.01"
"92","594","CWNU_1092","25.73","1.05","16.32","12.82","PBC","-","32.0","92.0","594.0","90.83","8.56","2.38","-3.4","-4.07","30.3","7.4","8.27","0.09"
"90, 93","597","CWNU_1096","27.36, 26.02","0.27, 1.68","36.26, 15.62","2.01, 1.79","PBC, PBC","-, Palma_2025","30.0","90.0","597.0","127.26","-38.82","2.73","-6.68","9.61","-5.12","6.94","8.01","0.08"
"58","375","CWNU_110","34.75","4.57","13.1","407.32","TBC","-","","","","","","","","","","8.07","11.02","0.17"
"92, 122, 396","598","CWNU_1106","25.73, 28.79, 39.93","1.05, 9.29, 3.28","16.32, 27.07, 22.12","12.82, 1.82, 3.92","PBC, PBC, PBC","-","32.0","92.0","598.0","87.59","8.23","2.44","-3.43","-3.64","46.87","7.09","7.49","0.0"
"94, 394","599","CWNU_1107","37.41, 37.89","4.29, 4.48","4.31, 13.76","111.31, 18.0","TBC, PBC","-","33.0","94.0","599.0","329.75","63.98","1.01","-3.18","-4.23","-19.09","6.95","11.11","0.44"
"95","602","CWNU_1126","11.43","3.27","5.94","8.31","PBC","-","34.0","95.0","602.0","332.32","64.08","1.08","-1.41","-3.25","-25.15","7.37","10.28","0.37"
"96, 346, 347","603","CWNU_1129","19.97, 24.79, 28.45","0.31, 7.28, 8.49","3.32, 5.87, 8.46","15.4, 12.95, 6.77","PBC, PBC, PBC","-","35.0","96.0","603.0","68.77","22.8","6.25","10.84","-17.45","14.88","7.32","6.01","0.48"
"97","605","CWNU_1137","35.83","5.15","5.24","42.97","TBC","Palma_2025","","","","","","","","","","8.32","9.63","0.22"
"98","610","CWNU_1144","42.85","7.32","34.81","14.36","HEP","-","","","","","","","","","","7.39","6.91","0.13"
"59","611","CWNU_1145","46.56","4.38","13.78","2.47","PBC","-","","","","","","","","","","7.74","11.48","0.4"
"99, 323","616","CWNU_1173","43.06, 43.94","3.35, 3.96","3.59, 2.79","139.44, 0.0","TBC, PBC","Palma_2025, -","36.0","99.0","616.0","179.92","-70.29","2.24","-13.03","-0.62","5.45","7.67","8.64","0.2"
"100","619","CWNU_1183","29.96","6.53","6.26","48.71","TBC","-","","","","","","","","","","7.71","8.3","0.02"
"72","624","CWNU_1227","45.08","8.1","8.59","15.83","PBC","-","25.0","72.0","624.0","94.61","-7.78","2.5","-3.93","-0.16","30.61","7.46","8.13","0.06"
"101, 177","625","CWNU_1228","16.72, 23.89","8.76, 6.57","13.33, 23.73","59.85, 2.9","TBC, PBC","-","34.0","101.0","625.0","336.72","63.72","1.08","-0.47","-3.03","-38.19","7.1","12.14","1.17"
"102","630","CWNU_1243","35.62","6.03","15.39","8.28","PBC","-","","","","","","","","","","7.22","10.8","0.36"
"99","632","CWNU_1256","43.06","3.35","3.59","139.44","TBC","Palma_2025","36.0","99.0","632.0","188.17","-72.3","2.12","-13.38","-1.33","3.96","8.27","8.37","0.19"
"103","656","CWNU_1298","44.51","5.68","","75.47","TBC","-","37.0","103.0","656.0","9.03","62.75","0.37","-2.88","-0.95","","8.17","12.97","0.43"
"104","658","CWNU_1300","46.69","1.94","","87.98","TBC","-","38.0","104.0","658.0","142.6","-50.07","0.53","-5.31","3.9","19.12","8.07","13.17","0.81"
"105","659","CWNU_1303","41.62","7.24","88.86","51.94","TBC","-","","","","","","","","","","6.92","13.74","1.01"
"106","726","CWNU_1445","39.11","3.55","","6.9","PBC","Palma_2025","","","","","","","","","","7.35","11.95","0.25"
"107","737","CWNU_1465","38.0","8.44","","5.4","PBC","Palma_2025","","","","","","","","","","7.56","14.7","1.07"
"59","398","CWNU_154","46.56","4.38","13.78","2.47","PBC","-","","","","","","","","","","7.72","11.14","0.34"
"60","399","CWNU_155","22.6","6.28","43.72","61.83","TBC","Palma_2025","","","","","","","","","","7.09","11.28","0.33"
"108, 160","813","CWNU_1630","29.34, 48.8","3.91, 7.93","17.91, 29.99","5.01, 42.11","PBC, TBC","-","39.0","108.0","813.0","273.73","-20.42","0.73","1.5","-1.17","7.6","7.15","10.83","0.31"
"109","835","CWNU_1684","21.08","1.13","","23.12","PBC","Palma_2025","","","","","","","","","","7.75","12.31","0.56"
"61","410","CWNU_175","38.92","7.17","9.08","785.07","TBC","Palma_2025","","","","","","","","","","8.93","10.56","0.36"
"153","906","CWNU_1849","44.87","9.24","","44.69","TBC","-","","","","","","","","","","7.33","13.31","0.96"
"110","950","CWNU_1994","38.67","2.49","25.02","33.06","TBC","Palma_2025","","","","","","","","","","7.7","12.89","0.8"
"62","423","CWNU_207","29.74","1.96","27.96","5.23","PBC","Palma_2025","","","","","","","","","","7.07","10.47","0.4"
"111","974","CWNU_2072","44.06","9.27","","50.03","TBC","Palma_2025","","","","","","","","","","7.88","11.99","0.25"
"63","427","CWNU_218","36.38","1.45","19.36","9.0","PBC","Palma_2025","","","","","","","","","","8.1","12.18","0.49"
"112","1004","CWNU_2180","34.4","7.34","","125.4","TBC","Palma_2025","","","","","","","","","","8.3","12.46","0.67"
"113","1005","CWNU_2188","31.86","3.65","","10.73","PBC","-","","","","","","","","","","7.52","12.71","0.74"
"114","1024","CWNU_2259","42.71","7.68","","7.64","PBC","Palma_2025","","","","","","","","","","8.21","12.9","0.26"
"115","1050","CWNU_2312","42.94","2.51","","113.43","TBC","Palma_2025","","","","","","","","","","8.32","13.45","0.43"
"116","1086","CWNU_2405","29.1","1.73","","8.39","PBC","Palma_2025","","","","","","","","","","7.08","12.77","0.32"
"64","439","CWNU_252","32.33","2.68","14.61","46.75","TBC","Palma_2025","","","","","","","","","","8.21","11.09","0.27"
"107","1144","CWNU_2530","38.0","8.44","","5.4","PBC","Palma_2025","","","","","","","","","","7.49","14.9","1.53"
"48","339","CWNU_26","35.17","6.36","","420.96","TBC","Palma_2025","","","","","","","","","","7.67","12.69","0.44"
"117","1194","CWNU_2634","44.25","6.55","7.09","12.52","PBC","Palma_2025","","","","","","","","","","7.41","14.53","0.93"
"50","1200","CWNU_2645","46.79","2.85","","11.57","PBC","Palma_2025","","","","","","","","","","7.75","13.38","0.9"
"118","1208","CWNU_2664","41.99","9.72","","154.43","TBC","-","","","","","","","","","","7.44","13.47","0.75"
"118","449","CWNU_277","41.99","9.72","","154.43","TBC","-","","","","","","","","","","8.26","12.71","0.45"
"65","451","CWNU_281","45.05","2.02","8.79","19.28","PBC","-","12.0","65.0","451.0","106.04","-16.35","0.73","-2.75","1.44","22.8","7.01","11.21","0.34"
"119, 128","1277","CWNU_2888","40.85, 48.61","7.11, 9.32","nan, 17.34","78.34, 66.85","TBC, TBC","Palma_2025, -","40.0","119.0","1277.0","201.33","-62.28","0.45","-4.0","-1.0","-27.53","8.01","14.12","0.9"
"106","1287","CWNU_2918","39.11","3.55","","6.9","PBC","Palma_2025","","","","","","","","","","7.19","13.5","0.51"
"66","464","CWNU_313","23.36","7.48","24.16","328.4","HEP","-","","","","","","","","","","7.54","9.6","0.29"
"67","474","CWNU_336","38.74","6.6","7.66","20.08","PBC","Palma_2025","","","","","","","","","","7.92","12.48","0.6"
"68","476","CWNU_338","26.12","3.65","4.25","3.8","PBC","-","","","","","","","","","","7.23","9.03","0.1"
"3","481","CWNU_350","41.45","0.49","5.2","58.5","TBC","-","","","","","","","","","","8.05","10.2","0.19"
"51","483","CWNU_354","47.66","1.87","","11.05","PBC","-","","","","","","","","","","7.73","12.6","0.93"
"69","484","CWNU_356","45.02","9.54","48.05","279.89","TBC","-","","","","","","","","","","6.93","12.34","0.53"
"70","487","CWNU_361","46.92","0.27","6.39","13.07","PBC","-","24.0","70.0","487.0","64.35","42.81","1.02","2.09","-1.37","-27.1","8.03","10.94","0.49"
"44, 71","503","CWNU_406","43.86, 36.19","4.84, 0.9","5.43, 7.03","56.65, 147.98","TBC, TBC","-","19.0","44.0","503.0","91.4","20.81","0.98","1.61","-2.28","-4.57","8.34","10.9","0.28"
