"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_0,NGC_1817","nan",186.181,0.182,-13.025,0.173,0.817,0.549,0.058,0.516,0.252,-0.888,0.221,567,1.41,0.0846,-0.25,1,"352","687","5076",0,78.1382,16.7096
"FoF_1","nan",184.719,0.12,-13.51,0.077,0.47,0.359,0.052,0.355,0.224,-2.5,0.22,135,1.32,0.0792,0.0,1,"nan","nan","5047",0,76.88,17.6123
"FoF_2,NGC_2204","nan",226.034,0.11,-16.126,0.116,0.461,0.252,0.039,-0.538,0.237,1.975,0.282,384,1.38,0.0828,0.25,1,"576","708","6219",0,93.8771,-18.6908
"FoF_3,NGC_2243","nan",239.472,0.069,-18.018,0.062,0.331,0.257,0.048,-1.261,0.151,5.493,0.164,361,3.39,0.2034,0.0,1,"625","713","6569",0,97.385,-31.2792
"FoF_4,Melotte_66","nan",259.574,0.073,-14.278,0.089,0.384,0.258,0.04,-1.476,0.2,2.74,0.255,330,2.69,0.1614,0.0,1,"917","651","7005",0,111.5585,-47.6941
"FoF_5","n",292.316,0.216,-12.736,0.129,0.559,0.506,0.026,-6.873,0.177,1.425,0.215,171,3.16,0.1896,0.0,1,"nan","nan","nan",0,156.1448,-72.508
"FoF_6","nan",325.553,0.032,-17.569,0.035,0.118,0.242,0.031,-5.552,0.208,-4.683,0.316,126,10.7,0.642,-2.0,3,"2106","nan","9172",0,262.9756,-67.0492
"FoF_7","nan",0.069,0.027,-17.299,0.031,0.133,0.28,0.054,0.9,0.379,-2.391,0.401,206,0.851,0.0511,-2.0,3,"2420","nan","10",0,284.8881,-36.6325
"FoF_8","nan",5.617,0.034,-14.071,0.069,0.367,0.281,0.063,-2.958,0.399,-1.41,0.429,176,0.004,0.0002,0.5,3,"2412","nan","338",0,283.7512,-30.4646
"FoF_9","nan",8.793,0.054,-23.268,0.054,0.265,0.341,0.12,-3.412,0.404,-9.27,0.366,1798,12.9,0.774,-2.0,1,"2506","nan","473",0,294.9949,-30.9632
"FoF_10,Collinder_74","nan",199.007,0.086,-10.376,0.049,0.252,0.364,0.044,0.981,0.2,-1.497,0.199,91,2.19,0.1314,-0.25,1,"479","245","5423",0,87.1669,7.3857
"FoF_11,NGC_2225","nan",218.776,0.068,-9.865,0.045,0.236,0.276,0.03,-0.273,0.28,0.553,0.354,93,2.04,0.1224,-0.5,1,"616","710","6013",0,96.6442,-9.6368
"FoF_12","nan",282.196,0.026,-11.254,0.029,0.116,0.281,0.061,0.939,0.559,0.484,0.612,261,12.9,0.774,-2.0,1,"1272","nan","7669",0,138.0151,-64.8666
"FoF_13","nan",300.996,0.049,-9.882,0.047,0.201,0.26,0.049,-6.352,0.299,3.412,0.269,294,0.741,0.0445,-2.0,3,"1611","nan","8388",0,186.4492,-72.6573
"FoF_14","nan",338.162,0.085,-11.964,0.079,0.39,0.426,0.126,3.289,0.433,-17.593,0.432,7570,12.9,0.774,-2.0,1,"2141","nan","9761",0,265.1795,-53.6791
"FoF_15","nan",349.288,0.029,-11.189,0.028,0.089,0.243,0.026,0.321,0.411,-8.805,0.313,157,0.851,0.0511,-2.0,1,"2249","nan","10273",0,272.012,-43.7136
"FoF_16","nan",2.855,0.016,-12.512,0.018,0.083,0.284,0.055,1.322,0.316,-4.676,0.306,99,0.617,0.037,-1.5,3,"2376","nan","216",0,280.8065,-32.2911
"FoF_17,NGC_2186","nan",203.55,0.105,-6.176,0.051,0.333,0.426,0.037,0.409,0.27,-1.967,0.306,123,0.933,0.056,-0.5,1,"557","705","5517",0,93.0471,5.4618
"FoF_18,FoF_2051,Tombaugh_1","nan",232.35,0.087,-7.321,0.055,0.332,0.368,0.042,-2.565,0.194,3.808,0.201,300,1.45,0.087,-0.25,1,"776","1184","6350",0,105.1215,-20.5838
"FoF_19","nan",227.307,0.111,-8.737,0.053,0.383,0.253,0.033,-0.053,0.267,1.252,0.307,117,0.646,0.0388,-1.75,3,"nan","nan","6251",0,101.4657,-16.7177
"FoF_20","nan",303.61,0.033,-8.013,0.031,0.13,0.251,0.036,-8.331,0.349,-0.871,0.304,188,0.933,0.056,-2.0,3,"1656","nan","8481",0,194.9092,-70.874
"FoF_21,FoF_2206,NGC_6253","nan",335.468,0.064,-6.256,0.065,0.271,0.56,0.053,-4.516,0.227,-5.295,0.22,673,3.24,0.1944,0.25,1,"2017","870","9633",0,254.786,-52.7051
"FoF_22","nan",341.416,0.023,-7.166,0.032,0.129,0.239,0.024,-2.191,0.355,-4.361,0.299,82,11.8,0.708,-2.0,3,"2084","nan","9923",0,261.3666,-48.4265
"FoF_23","nan",345.561,0.03,-6.737,0.027,0.094,0.258,0.034,-1.456,0.439,-2.538,0.315,144,12.9,0.774,-1.75,1,"2122","nan","10117",0,264.0743,-44.7313
"FoF_24","nan",9.892,0.071,-7.552,0.069,0.262,0.311,0.076,9.805,0.494,-5.567,0.474,3750,12.9,0.774,-2.0,1,"2358","nan","527",0,279.1,-23.9051
"FoF_25","nan",9.886,0.055,-7.554,0.053,0.199,0.547,0.092,9.735,0.594,-5.479,0.529,1081,11.8,0.708,-2.0,1,"2358","nan","527",0,279.099,-23.9114
"FoF_26,IC_1590","nan",123.126,0.044,-6.239,0.031,0.11,0.346,0.036,-2.38,0.193,-1.406,0.165,73,0.006,0.0004,0.0,2,"69","555","3736",0,13.2103,56.6322
"FoF_27,NGC_1245","nan",146.646,0.095,-8.931,0.077,0.457,0.295,0.043,0.504,0.231,-1.544,0.21,602,1.02,0.0612,0.5,1,"203","661","4261",0,48.6732,47.2373
"FoF_28,NGC_2141","nan",198.046,0.077,-5.801,0.05,0.29,0.282,0.059,-0.015,0.234,-0.697,0.265,361,2.63,0.1578,0.5,1,"507","700","5414",0,90.7385,10.4499
"FoF_29,Czernik_25","nan",202.425,0.081,-5.133,0.045,0.353,0.445,0.05,-0.208,0.253,0.244,0.256,151,0.933,0.056,0.0,1,"561","260","5495",0,93.4411,6.9409
"FoF_30,Haffner_5","nan",236.057,0.071,-4.639,0.055,0.25,0.569,0.043,0.978,0.167,-4.084,0.175,197,2.63,0.1578,-0.25,1,"871","534","6450",1,109.4877,-22.6603
"FoF_31,Berkeley_33","nan",225.452,0.093,-4.613,0.027,0.24,0.236,0.019,-0.666,0.228,1.595,0.271,53,0.347,0.0208,0.25,3,"754","149","nan",0,104.446,-13.2371
"FoF_32,Ruprecht_18","nan",239.916,0.075,-4.949,0.051,0.227,0.367,0.041,-0.517,0.166,1.136,0.286,221,0.214,0.0128,-0.75,1,"907","1049","6587",0,111.1489,-26.2097
"FoF_33,NGC_2439","nan",246.465,0.105,-4.477,0.067,0.401,0.257,0.04,-2.217,0.305,3.165,0.325,592,0.006,0.0004,0.5,2,"988","757","6736",0,115.1898,-31.718
"FoF_34,FSR_1361","nan",251.554,0.134,-5.024,0.066,0.408,0.357,0.032,-2.513,0.264,3.935,0.305,291,0.741,0.0445,-1.75,1,"1035","429","6878",0,117.6563,-36.3923
"FoF_35,NGC_2477","nan",253.579,0.182,-5.836,0.138,0.837,0.672,0.052,-2.442,0.239,0.866,0.253,2480,2.24,0.1344,-0.75,1,"1040","764","6902",0,118.0536,-38.5426
