"Name","GLON","GLAT","RAJ2000","DEJ2000","E(B-V)","e_E(B-V)","Dmod","e_Dmod","Dist","logt","e_logt","Weight","Nref","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","SimbadName"
"AH03_J0748_26.9",243.279,-0.624,117.165,-26.98,0.282,"nan",12.078,"nan",2604,8.57,"nan",0.03,1,-1.941,1.313,3.115,1.195,"nan","nan","Name AH03 J0748-26.9    "
"Alessi 1",123.265,-13.106,13.26,49.765,0.082,"nan",7.989,"nan",396,8.334,"nan",0.15,2,0.857,0.976,-4.489,0.533,6.0,1.8,"Cl Alessi 1             "
"Alessi 2",152.358,6.328,71.505,55.207,0.309,"nan",8.787,"nan",572,7.529,"nan",0.1,2,1.62,0.446,-3.654,0.602,"nan","nan","Cl Alessi 2             "
"Alessi 3",257.991,-15.375,109.125,-46.685,0.098,"nan",8.166,"nan",430,8.859,"nan",0.18,2,-1.203,0.601,5.537,0.648,20.0,7.4,"Cl Alessi 3             "
"Alessi 5",288.152,-2.049,160.785,-61.167,0.15,"nan",8.127,"nan",422,7.6,"nan",0.1,1,-14.33,2.24,4.4,2.24,8.2,6.69,"Cl Alessi 5             "
"Alessi 10",31.718,-20.983,301.185,-10.479,0.241,"nan",11.419,"nan",1922,8.29,"nan",0.03,1,1.651,0.735,-6.04,0.824,75.9,2.6,"Cl Alessi 10            "
"Alessi 12",67.534,-11.507,310.95,23.792,0.175,"nan",10.223,"nan",1108,8.377,"nan",0.1,2,4.33,1.44,-5.35,1.44,-26.0,3.7,"Cl Alessi 12            "
"Alessi 19",40.286,12.755,274.62,12.167,0.04,"nan",8.252,"nan",447,8.0,"nan",0.12,1,0.42,1.63,-6.56,1.63,-5.1,1.24,"Cl Alessi 19            "
"Alessi 20",117.71,-3.692,2.64,58.76,0.22,"nan",8.768,"nan",567,6.48,"nan",0.07,1,8.73,0.53,-3.11,0.53,-11.5,0.01,"Cl Alessi 20            "
"Alessi 21",223.507,0.007,107.7,-9.337,0.104,"nan",9.506,"nan",796,7.325,"nan",0.16,2,3.473,0.677,-1.3,0.871,38.8,1.8,"Cl Alessi 21            "
"Alessi 24",328.96,-14.753,261.0,-62.864,0.1,"nan",8.132,"nan",423,7.03,"nan",0.2,1,1.35,0.45,-8.31,0.44,-6.95,9.14,"Cl Alessi 24            "
"Alessi 33",237.95,-9.605,105.495,-26.503,0.073,"nan",9.492,"nan",791,8.189,"nan",0.17,2,-0.768,0.113,0.813,0.153,"nan","nan","Cl Alessi 33            "
"Alessi 34",264.991,-10.443,120.45,-50.558,0.264,"nan",9.289,"nan",721,8.309,"nan",0.14,2,-3.767,1.078,7.52,1.076,17.8,2.8,"Cl Alessi 34            "
"Alessi 37",101.8,-11.482,342.03,46.252,0.15,"nan",8.542,"nan",511,8.48,"nan",0.11,1,-0.82,0.11,-2.75,0.05,"nan","nan","Cl Alessi 37            "
"Alessi 40",13.975,-5.605,279.15,-19.467,0.394,"nan",10.817,"nan",1457,8.485,"nan",0.1,2,2.641,0.585,-5.946,0.639,-16.31,5.17,"Cl Alessi 40            "
"Alessi 43",262.572,1.478,132.57,-41.72,0.554,"nan",9.765,"nan",897,8.005,"nan",0.16,2,-6.523,0.555,4.893,0.557,17.13,8.67,"Cl Alessi 43            "
"Alessi 44",40.275,-10.638,295.635,1.523,0.564,"nan",9.058,"nan",648,8.486,"nan",0.11,2,-1.232,0.979,-7.051,0.935,-62.2,0.2,"Cl Alessi 44            "
"Alessi 53",202.326,-0.664,97.35,9.181,0.655,"nan",13.156,"nan",4278,8.97,"nan",0.06,1,0.58,0.02,-1.96,0.02,"nan","nan","Cl Alessi 53            "
"Alessi 59",211.15,1.195,103.08,2.191,0.421,"nan",13.135,"nan",4236,8.24,"nan",0.05,1,0.08,0.23,-0.986,0.254,"nan","nan","Cl Alessi 59            "
"Alessi 60",215.27,1.95,105.63,-1.13,0.158,"nan",13.322,"nan",4617,8.74,"nan",0.06,1,-0.72,0.223,-0.39,0.221,"nan","nan","Cl Alessi 60            "
"Alessi 62",52.879,8.745,283.965,21.619,0.145,"nan",12.43,"nan",3062,9.05,"nan",0.11,1,-2.416,0.217,-5.645,0.269,"nan","nan","Cl Alessi 62            "
