"Name","logAge","D","[Fe/H]","AV","MR1","MR2","N1","N2","N","M*low","M*hi","Hunt2024","_RA","_DE"
"ASCC_20",7.406,361.261,-0.03,0.032,0.2,0.411,66,50,185,0.17,5.6,"Hunt2024",82.18333,1.63
"Alessi_24",8.05,483.285,0.079,0.214,0.2,0.399,120,95,245,0.26,3.77,"Hunt2024",260.80292,-62.66472
"VDBH_99, BH_99",7.644,444.88,-0.099,0.305,0.207,0.385,266,208,549,0.19,5.16,"Hunt2024",159.59958,-59.15778
"Blanco_1",8.445,237.525,0.04,0.019,0.2,0.393,163,142,694,0.18,3.01,"Hunt2024",0.76708,-29.81528
"COIN-Gaia_12",8.779,962.664,-0.033,0.37,0.272,0.543,74,33,120,0.47,2.08,"Hunt2024",79.19125,41.70111
"COIN-Gaia_24",8.426,978.266,0.011,0.874,0.309,0.515,52,34,86,0.57,2.57,"Hunt2024",90.70375,23.15556
"Collinder_135",7.678,294.689,-0.011,0.045,0.2,0.378,86,63,195,0.17,3.6,"Hunt2024",109.34833,-36.95639
"Melotte_111",8.794,86.227,-0.05,0.025,0.2,0.415,84,64,251,0.12,2.17,"Hunt2024",182.97875,25.27667
"NGC_1039",8.4,500.549,0.07,0.195,0.282,0.456,388,287,891,0.3,3.04,"Hunt2024",40.53792,42.73389
"NGC_1901",8.987,418.845,-0.145,0.173,0.273,0.461,93,81,198,0.25,1.81,"Hunt2024",79.69083,-68.15361
"NGC_2215",8.809,958.659,-0.087,0.735,0.246,0.443,112,92,173,0.47,2.07,"Hunt2024",95.17583,-7.2575
"NGC_2287",8.313,735.823,-0.13,0.203,0.275,0.411,481,405,836,0.36,3.23,"Hunt2024",101.51292,-20.71861
"NGC_2301",8.189,886.492,-0.008,0.203,0.2,0.45,495,342,764,0.4,3.25,"Hunt2024",102.9625,0.47639
"NGC_2360",9.031,1076.271,-0.03,0.306,0.34,0.548,439,311,940,0.49,1.81,"Hunt2024",109.44083,-15.63917
"NGC_2447",8.806,1027.628,-0.05,0.068,0.276,0.523,409,254,875,0.47,2.12,"Hunt2024",116.14417,-23.85611
"NGC_2482",8.601,1360.312,-0.07,0.31,0.273,0.506,99,71,164,0.58,2.43,"Hunt2024",118.79125,-24.2775
"NGC_2516",8.168,411.022,0.08,0.276,0.287,0.415,1116,918,2574,0.25,3.55,"Hunt2024",119.50208,-60.77667
"NGC_2539",8.87,1316.379,0.066,0.148,0.375,0.52,246,177,591,0.56,2.08,"Hunt2024",122.66292,-12.83111
"NGC_2682",9.55,864.246,0.02,0.113,0.254,0.556,510,345,1238,0.44,1.2,"Hunt2024",132.84792,11.815
"NGC_3114",8.158,990.941,0.05,0.243,0.2,0.506,829,451,1444,0.45,3.74,"Hunt2024",150.47917,-60.03778
"NGC_3532",8.518,478.143,-0.034,0.193,0.269,0.477,1563,1103,2627,0.27,2.75,"Hunt2024",166.39125,-58.70361
"NGC_3680",9.243,1049.457,-0.1,0.248,0.371,0.547,48,39,94,0.5,1.51,"Hunt2024",171.3325,-43.24389
"NGC_5460",8.283,708.008,0.05,0.33,0.249,0.478,127,82,236,0.45,3.25,"Hunt2024",211.84,-48.28
"NGC_5822",8.966,827.819,0.02,0.435,0.254,0.514,423,254,642,0.49,1.87,"Hunt2024",226.03458,-54.36444
"NGC_6475",8.445,277.753,0.14,0.246,0.264,0.398,642,515,1354,0.24,2.84,"Hunt2024",268.43375,-34.82667
"NGC_6633",8.932,392.501,-0.043,0.287,0.261,0.441,317,283,412,0.25,2.02,"Hunt2024",276.87583,6.63917
"NGC_6811",8.991,1150.717,-0.059,0.252,0.33,0.51,183,133,356,0.49,1.85,"Hunt2024",294.34083,46.37861
"NGC_6866",8.832,1444.743,0.0,0.448,0.357,0.493,207,172,332,0.61,2.06,"Hunt2024",300.99042,44.17278
"NGC_6940",8.989,1009.287,0.009,0.445,0.277,0.53,464,340,678,0.5,1.83,"Hunt2024",308.61833,28.28528
"NGC_6991",9.183,566.73,0.003,0.273,0.317,0.467,192,163,298,0.36,1.61,"Hunt2024",313.6325,47.39056
"NGC_7058",7.803,365.789,0.01,0.165,0.2,0.416,137,109,348,0.21,4.47,"Hunt2024",320.44208,50.82861
"NGC_7063",7.873,669.29,-0.09,0.346,0.22,0.419,78,51,161,0.34,4.12,"Hunt2024",321.12583,36.49583
"NGC_752",9.244,439.039,-0.082,0.141,0.312,0.393,139,130,340,0.26,1.51,"Hunt2024",29.22375,37.75167
"RSG_5",7.804,334.673,0.105,0.032,0.2,0.419,68,43,157,0.18,4.4,"Hunt2024",303.55792,45.57389
"Ruprecht_147",9.447,304.35,0.12,0.247,0.291,0.426,86,79,194,0.29,1.29,"Hunt2024",289.07333,-16.34583
"Stephenson_1",7.819,356.353,0.201,0.035,0.2,0.437,128,92,294,0.22,3.74,"Hunt2024",283.54667,36.89833
"Stock_1",8.669,405.869,0.12,0.341,0.2,0.454,152,110,239,0.3,2.27,"Hunt2024",294.14958,25.12528
"UPK_136",7.938,640.145,-0.047,0.27,0.2,0.453,55,39,86,0.37,4.2,"Hunt2024",322.67875,43.32778
"UPK_303",8.498,210.186,0.118,0.024,0.2,0.43,73,54,236,0.2,2.86,"Hunt2024",41.20167,40.26139
"UPK_429",8.413,878.987,0.018,0.123,0.234,0.543,44,17,92,0.5,2.0,"Hunt2024",108.91458,-0.85028
"UPK_467",8.111,590.406,0.163,0.048,0.2,0.409,51,33,144,0.35,3.21,"Hunt2024",121.25583,-11.45639
"UPK_612",8.122,223.865,0.021,0.144,0.2,0.371,60,41,212,0.18,2.24,"Hunt2024",253.24292,-67.88056
