"MCM2005b","GLON","GLAT","R","Nst","Meth","Com","_RA.icrs","_DE.icrs"
MCM_1,12.753,-0.146,0.8,47,"A","b,c",273.481,-17.9487
MCM_2,13.994,-0.124,0.7,36,"V","c,d",274.0813,-16.8475
MCM_3,14.129,-0.644,0.6,87,"A","d,e,f",274.6266,-16.9755
MCM_4,15.176,-0.638,0.7,77,"A","b,c,f",275.1369,-16.0499
MCM_6,18.911,-0.054,0.3,22,"A","b,f",276.4123,-12.4773
MCM_7,18.956,-0.056,0.6,63,"A","b,f,g",276.4356,-12.4384
MCM_8,20.64,-0.022,0.5,11,"A","d,e,f",277.2054,-10.9322
MCM_9,22.752,-0.399,0.3,48,"A","d,e,f",278.5371,-9.2341
MCM_10,23.221,-0.335,0.8,86,"A","b,g",278.6984,-8.7883
MCM_11,29.957,-0.193,0.5,25,"A","b,f",281.6739,-2.7355
MCM_12,30.79,-0.078,0.8,27,"A","b,c,f",281.9519,-1.9418
MCM_13,33.771,-0.261,0.5,51,"A","d,e,f",283.4744,0.6277
MCM_14,35.125,-0.747,0.3,45,"A","c,d,e,f,h",284.5249,1.6108
MCM_15,38.926,-0.354,0.8,61,"V","c,d",285.9166,5.1704
MCM_16,38.948,-0.53,0.3,18,"A","b,c,f",286.0838,5.1093
MCM_17,42.258,-0.209,0.3,21,"A","b,e,f",287.3294,8.1961
MCM_18,42.432,-0.264,1.1,86,"V","c,d",287.4598,8.3251
"MCM_19, Alessi 56",43.213,0.961,0.4,44,"A","b,e,f",286.7233,9.5825
MCM_20,44.177,-0.072,0.5,78,"A","d,e,f,h",288.1046,9.9611
MCM_21,48.603,0.028,1.8,257,"V","c,d",290.1239,13.9232
MCM_22,52.234,0.74,1.0,78,"V","c,d",291.2513,17.4605
"MCM_23, teutsch 42",53.772,0.164,0.4,45,"A","b,e,f,g",292.5549,18.5376
MCM_24,56.249,-0.158,0.7,39,"V","c,d",294.126,20.5495
MCM_25,62.932,0.086,0.6,53,"A","c,d,g",297.526,26.4668
MCM_26,296.296,-0.489,0.4,47,"A","d,e,g",178.3126,-62.6087
MCM_27,296.719,0.36,0.4,66,"A","b,e,g",179.5897,-61.8698
MCM_28,297.393,-0.625,0.8,59,"V","c,d",180.5986,-62.9681
MCM_29,297.513,-0.769,1.3,144,"V","c,d",180.7991,-63.1321
MCM_30,298.756,-0.408,0.3,39,"A","d,e,f,g,h",183.636,-62.9802
MCM_31,298.863,-0.434,1.7,189,"V","c,d",183.8613,-63.021
MCM_32,300.132,-0.086,0.3,28,"A","c,d,e,g",186.7197,-62.8242
MCM_33,300.506,-0.176,0.8,34,"V","c,d",187.5195,-62.9471
MCM_34,302.433,-0.105,1.3,159,"V","c,d",191.7615,-62.9725
MCM_35,304.846,0.08,0.3,47,"A","b,e,g,h",197.0399,-62.7296
MCM_36,305.384,-0.237,0.8,43,"V","c,d",198.268,-63.0057
MCM_37,305.835,-0.061,1.2,122,"V","c,d",199.2186,-62.7893
"MCM_38, fsr 1662",309.084,0.171,0.9,122,"A","d,g",206.0846,-62.0672
MCM_39,309.271,-0.609,0.9,31,"A","d,f",206.8323,-62.7908
MCM_40,309.89,0.4,0.9,40,"V","c,d",207.6493,-61.6699
MCM_41,310.99,0.436,0.3,33,"A","b,c,g",209.868,-61.3668
MCM_42,311.19,0.641,1.4,38,"A","b,c,f",210.1573,-61.1165
MCM_43,311.207,0.77,0.9,29,"A","b,c,f",210.1207,-60.9876
MCM_44,311.483,0.36,0.8,30,"V","c,d",210.9007,-61.3079
MCM_45,311.488,-0.456,0.8,72,"V","c,d",211.3914,-62.09
MCM_46,311.901,0.085,0.9,50,"V","c,d",211.9002,-61.4534
MCM_47,311.936,0.205,0.9,65,"V","c,d",211.8973,-61.3284
MCM_48,311.979,0.224,0.3,26,"A","b,e,f",211.9715,-61.2977
MCM_49,312.975,-0.434,0.2,17,"A","b,c,f",214.3796,-61.6158
MCM_50,313.279,-0.335,0.2,21,"A","c,d,e,f",214.9127,-61.4219
MCM_51,313.788,0.709,0.6,38,"V","c,d",215.1766,-60.2676
MCM_52,314.226,0.343,0.6,41,"V","c,d",216.2636,-60.4596
"MCM_53, fsr 1686",315.981,-0.284,0.4,39,"A","d,e,f,g",220.0348,-60.3722
MCM_54,316.772,-0.06,0.7,65,"A","b,c,f,g",221.2921,-59.8401
MCM_55,316.844,-0.028,0.1,11,"A","b,c,f",221.3947,-59.7805
MCM_56,317.422,0.082,0.5,29,"A","b,c,f",222.3315,-59.4319
MCM_57,319.164,-0.362,0.8,96,"A","b,c,g",225.7535,-59.0231
MCM_58,319.402,-0.013,1.1,106,"V","c,d",225.8297,-58.6025
MCM_59,320.245,0.436,1.0,113,"V","c,d",226.8055,-57.7976
MCM_60,321.124,-0.52,0.6,101,"A","b,c,g",229.153,-58.1688
MCM_61,326.142,-0.371,0.7,61,"V","c,d",236.4964,-55.1743
MCM_62,326.675,0.528,1.8,155,"A","c,d,f,h",236.2719,-54.1373
MCM_63,326.905,-0.299,0.8,24,"A","b,c,f",237.4606,-54.6451
MCM_64,327.554,-0.828,0.2,26,"A","b,c,f",238.9075,-54.6439
MCM_65,328.192,-0.57,1.2,58,"V","d,c",239.4601,-54.0358
MCM_66,328.196,-0.477,1.0,90,"V","d,c",239.363,-53.9622
MCM_67,328.312,-0.589,1.0,89,"V","d,c",239.6366,-53.9725
"MCM_68, fsr 1712",328.809,0.878,0.5,78,"A","d,e,f",238.6945,-52.5298
MCM_69,329.656,-0.481,0.9,171,"V","d,c",241.2205,-53.0082
MCM_70,329.697,0.584,0.4,54,"A","b,e,f",240.1151,-52.1805
MCM_71,331.278,-0.411,0.0,33,"A","b,c,f",243.1065,-51.862
MCM_72,331.342,-0.363,0.6,52,"A","b,c,h,f",243.1289,-51.7832
MCM_73,331.571,-0.009,0.3,22,"A","b,e,f",243.0082,-51.3683
