"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
1,"VDBH 131, BH 131","nan","(01),13",300.116,-0.68,"12 26 13.7","-63 24 50",300,"nan",6.25,0.94,"S","nan","nan","nan","nan","nan","nan",1259.0,290.0,"96","OC2","exp",">",3.77,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",6.25,0.94,96.0,"nan","nan",96.0,"96","nan","nan","nan",0,"nan","nan","nan","nan","nan",186.55708,-63.41389
2,"MCM 32, MCM2005b 32","nan","09",300.131,-0.086,"12 26 52.0","-62 49 27",36,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",4.47,1,"G300.16-0.09",-39.4,249.0,"nan",4.14,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","associated with G300.16-0.09?",186.71667,-62.82417
3,"VDBH 132, BH 132","nan","01",300.263,-1.322,"12 27 00.0","-64 04 00",240,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.0,50.0,"176","OC2","exp",">",7.46,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",186.75,-64.06667
4,"VVV CL013","nan","14",300.343,-0.217,"12 28 37.0","-62 58 25",54,"nan",4.16,0.54,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G300.3412-00.2190",-38.5,187.0,"nan",4.16,0.54,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",187.15417,-62.97361
5,"FSR2007 1616","nan","11",300.474,-0.666,"12 29 26.0","-63 25 58",101,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",17.81,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",187.35833,-63.43278
6,"MCM 33, MCM2005b 33","nan","09",300.507,-0.176,"12 30 05.0","-62 56 50",96,"nan",9.41,0.6,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G300.50-0.18",9.4,249.0,"nan",9.41,0.6,"nan","nan","nan","nan","nan","nan","F","O","nan","nan","nan","nan","nan","nan","nan","CH87 300.479-0.192","nan","nan",0,"nan","nan","nan","nan","nan",187.52083,-62.94722
7,"Ruprecht 105","nan","01",300.885,1.237,"12 34 14.0","-61 34 00",720,"nan",0.95,0.14,"S","nan","nan","nan","nan","nan","nan",1023.0,471.0,"115","OC2","exp*","nan",0.91,1,"G300.97+1.15",-42.5,249.0,"nan",4.24,0.5,"nan","nan","nan","nan","nan","nan","T","nan",0.95,0.14,115.0,"nan","nan",115.0,"115","nan","nan","nan",1,"nan","nan","nan","nan","nan",188.55833,-61.56667
8,"G3CC 5","nan","17",300.913,0.887,"12 34 16.2","-61 55 04",76,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G300.91+0.88",-40.9,249.0,"nan",4.23,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","KC-01","nan","nan","nan",188.5675,-61.91778
9,"DBSB 77, DBS2003 77","nan","05",300.966,1.154,"12 34 52.0","-61 39 15",138,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G300.97+1.15",-42.5,249.0,"nan",4.24,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","CH87 300.956+1.161","nan","nan",0,1.0,"KC-01","nan","nan","nan",188.71667,-61.65417
10,"VVV CL015","nan","14",300.967,1.137,"12 34 52.0","-61 40 16",40,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G300.97+1.15",-42.5,249.0,"nan",4.24,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,1.0,"KC-01","nan","nan","nan",188.71667,-61.67111
