"Cluster","[Fe/H]HQS","e_[Fe/H]HQS","N[Fe/H]HQS","[Fe/H]LQS","e_[Fe/H]LQS","N[Fe/H]LQS","[Fe/H]Phot","e_[Fe/H]Phot","w_[Fe/H]Phot","Systems","RGC","e_RGC","Age","e_Age","N","_RA","_DE"
"Alessi 13","nan","nan","nan","nan","nan","nan",0.15,"nan",1.5,"1",8.03,0.0,0.53,0.0,2,50.425,-36.3
"Berkeley 11","nan","nan","nan","nan","nan","nan",-0.01,"nan",1.5,"1",10.31,0.32,0.08,0.06,7,65.115,44.915
"Berkeley 17",-0.06,"nan",1.0,"nan","nan","nan",-0.15,"nan",1.0,"3",10.58,0.44,7.79,2.9,7,80.156,30.59
"Berkeley 18",-0.39,"nan",1.0,"nan","nan","nan","nan","nan","nan","nan",12.92,0.71,4.03,0.63,6,80.602,45.405
"Berkeley 20",-0.32,0.12,2.0,"nan","nan","nan",-0.51,0.09,1.5,"3,4",15.84,0.26,6.24,1.93,6,83.15417,0.18833
"Berkeley 21",-0.18,"nan",1.0,-0.54,0.2,3.0,-0.56,"nan",0.5,"3",12.88,1.2,1.42,1.13,6,87.925,21.78333
"Berkeley 22",-0.24,"nan",1.0,-0.32,0.19,2.0,"nan","nan","nan","nan",13.87,0.8,3.07,1.08,7,89.6,7.83333
"Berkeley 23","nan","nan","nan","nan","nan","nan",-0.42,"nan",1.0,"4",13.91,0.86,1.13,0.4,5,98.36875,20.54639
"Berkeley 25","nan","nan","nan",-0.2,0.05,4.0,"nan","nan","nan","nan",16.79,1.78,5.08,0.95,4,100.31667,-16.48667
"Berkeley 26","nan","nan","nan","nan","nan","nan",-0.35,"nan",0.5,"4",12.13,2.41,1.77,1.62,4,102.547,5.755
"Berkeley 29",-0.47,0.02,2.0,-0.32,0.04,3.0,-0.48,"nan",1.5,"1",21.59,3.14,2.67,1.48,10,103.2675,16.9275
"Berkeley 31","nan","nan","nan","nan","nan","nan",-0.25,"nan",1.0,"3",14.37,1.75,3.78,2.63,8,104.4,8.26667
"Berkeley 32",-0.3,0.05,11.0,"nan","nan","nan",-0.39,"nan",1.0,"3",11.19,0.52,3.85,0.84,12,104.525,6.43333
"Berkeley 33","nan","nan","nan",-0.26,0.05,5.0,"nan","nan","nan","nan",11.89,0.81,0.84,0.27,7,104.425,-13.21667
"Berkeley 39",-0.23,0.05,7.0,-0.2,0.03,18.0,-0.15,0.14,2.0,"3,4",11.53,0.4,6.77,1.91,7,116.675,-4.6
"Berkeley 70","nan","nan","nan","nan","nan","nan",-0.01,"nan",1.0,"4",12.62,0.41,3.05,0.73,4,81.43583,41.89583
"Berkeley 73","nan","nan","nan",-0.22,0.1,2.0,"nan","nan","nan","nan",15.81,1.24,1.71,0.35,5,95.525,-6.31667
"Berkeley 75","nan","nan","nan",-0.22,"nan",1.0,"nan","nan","nan","nan",14.59,1.37,2.79,0.98,4,102.25417,-23.99667
"Berkeley 81",0.19,0.06,2.0,0.24,0.05,10.0,0.02,"nan",0.5,"4",5.73,0.27,0.95,0.09,9,285.405,-0.46
"Berkeley 99","nan","nan","nan","nan","nan","nan",-0.48,"nan",1.0,"4",11.12,0.26,2.9,0.42,6,350.345,71.788
"Blanco 1",0.03,0.07,6.0,"nan","nan","nan","nan","nan","nan","nan",7.96,0.0,0.07,0.06,8,1.02917,-29.83333
"Collinder 110",0.03,0.02,3.0,"nan","nan","nan",-0.01,"nan",1.0,"4",9.59,0.69,1.24,0.62,5,99.64583,2.04
"Collinder 140","nan","nan","nan","nan","nan","nan",0.01,0.04,2.0,"1,5",8.17,0.01,0.04,0.01,9,111.1125,-31.85
"Collinder 173","nan","nan","nan","nan","nan","nan",-0.1,"nan",1.0,"5",8.07,0.0,0.02,0.01,2,120.70417,-46.38334
"Collinder 258","nan","nan","nan","nan","nan","nan",-0.09,"nan",0.5,"2",7.5,0.07,0.12,0.08,4,186.81667,-60.77833
"Collinder 261",0.0,0.04,13.0,"nan","nan","nan",0.05,0.05,2.5,"1,3",7.01,0.14,7.18,2.63,6,189.4875,-68.36667
"Collinder 272","nan","nan","nan","nan","nan","nan",0.03,"nan",1.5,"1",6.87,0.08,0.01,0.01,10,202.60833,-61.31667
"IC 166","nan","nan","nan","nan","nan","nan",-0.17,"nan",0.5,"3",11.19,0.73,1.13,0.61,7,28.095,61.865
"IC 1311","nan","nan","nan","nan","nan","nan",-0.15,"nan",1.0,"4",8.54,0.41,1.38,0.45,8,302.699,41.178
"IC 2391",-0.01,0.03,12.0,"nan","nan","nan",-0.09,0.05,2.5,"1,5",8.0,0.0,0.05,0.03,11,130.13333,-53.03333
"IC 2488","nan","nan","nan","nan","nan","nan",0.08,"nan",0.5,"2",7.93,0.0,0.19,0.1,6,141.90833,-57.0
"IC 2602",-0.02,0.02,7.0,-0.05,0.04,6.0,-0.03,"nan",1.5,"1",7.95,0.0,0.03,0.02,12,160.74167,-64.4
"IC 2714",0.02,0.06,4.0,"nan","nan","nan",-0.01,"nan",1.0,"2",7.62,0.01,0.28,0.09,8,169.3625,-62.73333
"IC 4651",0.12,0.04,18.0,"nan","nan","nan",0.09,0.01,2.0,"2,5",7.17,0.11,1.86,0.73,17,261.20417,-49.93333
"IC 4665",-0.03,0.04,18.0,"nan","nan","nan",-0.06,0.1,2.5,"1,5",7.72,0.01,0.04,0.01,14,266.575,5.71667
"IC 4725","nan","nan","nan","nan","nan","nan",0.0,"nan",1.5,"1",7.41,0.06,0.06,0.03,8,277.94583,-19.11667
"IC 4756",0.02,0.04,15.0,-0.13,0.07,6.0,-0.03,0.02,2.0,"2,3",7.66,0.04,0.66,0.12,7,279.63,5.49
"King 1","nan","nan","nan","nan","nan","nan",-0.01,"nan",1.0,"4",8.99,0.2,2.91,1.49,4,5.516,64.384
"King 2","nan","nan","nan","nan","nan","nan",-0.29,"nan",1.0,"4",12.39,0.48,4.92,1.86,5,12.75,58.18333
"King 5","nan","nan","nan","nan","nan","nan",-0.11,"nan",1.0,"3",9.78,0.14,1.01,0.21,6,48.693,52.697
"King 8","nan","nan","nan","nan","nan","nan",-0.24,"nan",0.5,"3",12.3,1.2,0.62,0.3,6,87.327,33.63
"King 11","nan","nan","nan","nan","nan","nan",-0.07,"nan",1.0,"3",9.47,0.35,3.59,1.65,8,356.95,68.63333
"King 21","nan","nan","nan","nan","nan","nan",0.03,"nan",1.5,"1",9.34,0.37,0.02,0.02,7,357.465,62.7
"Loden 807","nan","nan","nan","nan","nan","nan",-0.1,"nan",0.5,"2",7.54,0.08,0.2,0.0,2,201.157,-62.495
"Lynga 1","nan","nan","nan","nan","nan","nan",0.02,"nan",1.5,"1",6.89,0.17,0.14,0.05,6,210.00833,-62.15
"Melotte 20",0.14,0.11,2.0,"nan","nan","nan",0.02,0.01,2.5,"1,5",8.14,0.01,0.05,0.03,13,51.675,48.8
"Melotte 22",-0.01,0.05,10.0,"nan","nan","nan",-0.04,0.11,2.5,"1,5",8.12,0.01,0.1,0.04,13,56.75,24.11667
"Melotte 25",0.13,0.05,61.0,0.14,0.04,21.0,0.15,0.03,3.0,"1,2,5",8.04,0.0,0.72,0.13,7,66.725,15.86667
"Melotte 66",-0.32,0.03,6.0,-0.28,0.03,7.0,-0.35,0.03,4.0,"1,2,3,4",9.57,0.44,3.93,1.17,8,111.59583,-47.66667
"Melotte 71",-0.27,"nan",1.0,"nan","nan","nan",-0.15,0.02,3.5,"1,5,6",9.91,0.3,0.69,0.4,10,114.39,-12.055
"Melotte 105","nan","nan","nan","nan","nan","nan",0.06,"nan",1.5,"1",7.45,0.03,0.29,0.1,17,169.925,-63.48333
"Melotte 111",0.0,0.08,10.0,"nan","nan","nan",-0.04,0.03,2.5,"1,5",8.01,0.0,0.57,0.1,10,186.27501,26.1
"NGC 188",0.11,0.04,4.0,-0.02,0.09,26.0,-0.02,0.18,3.0,"2,3,4",8.96,0.12,6.27,2.3,15,12.10833,85.255
"NGC 559","nan","nan","nan","nan","nan","nan",-0.25,"nan",1.0,"4",9.25,0.4,0.46,0.16,8,22.38,63.302
"NGC 752",-0.03,0.06,23.0,-0.09,0.13,36.0,-0.04,0.08,5.5,"1,2,3,5,6",8.28,0.03,1.69,0.66,13,29.42083,37.785
"NGC 1039",0.02,0.06,7.0,"nan","nan","nan",0.02,"nan",1.5,"1",8.38,0.02,0.19,0.12,11,40.52083,42.76167
"NGC 1193",-0.22,"nan",1.0,"nan","nan","nan",-0.41,"nan",0.5,"3",12.33,0.76,4.77,2.49,7,46.48333,44.38333
"NGC 1245",0.02,0.03,3.0,-0.05,0.06,11.0,"nan","nan","nan","nan",10.31,0.26,1.07,0.23,14,48.701,47.253
"NGC 1342",-0.13,0.03,3.0,"nan","nan","nan","nan","nan","nan","nan",8.48,0.12,0.42,0.13,9,52.90833,37.37667
"NGC 1545",-0.06,"nan",1.0,"nan","nan","nan",-0.06,"nan",0.5,"2",8.69,0.07,0.28,0.21,5,65.2375,50.25333
"NGC 1662",-0.11,0.01,2.0,"nan","nan","nan",0.0,0.08,2.0,"1,2",8.39,0.03,0.38,0.13,8,72.1125,10.93667
"NGC 1798","nan","nan","nan","nan","nan","nan",-0.12,"nan",1.0,"4",12.01,0.54,1.48,0.26,7,77.91,47.695
"NGC 1817",-0.11,0.03,4.0,-0.16,0.03,28.0,-0.1,"nan",0.5,"3",9.64,0.21,0.82,0.31,10,78.0625,16.69
"NGC 1901",-0.08,"nan",1.0,"nan","nan","nan",-0.01,"nan",1.5,"1",7.95,0.01,0.77,0.1,6,79.54583,-68.45
"NGC 1912",-0.1,0.14,2.0,"nan","nan","nan","nan","nan","nan","nan",9.22,0.12,0.26,0.08,12,82.17917,35.855
"NGC 1977",-0.06,0.19,2.0,"nan","nan","nan","nan","nan","nan","nan",8.36,0.08,0.01,0.01,2,83.81667,-4.82083
"NGC 2099",0.02,0.05,3.0,"nan","nan","nan",0.02,0.08,2.5,"1,2",9.34,0.06,0.36,0.19,11,88.075,32.55333
"NGC 2112",0.14,0.05,3.0,0.02,"nan",1.0,-0.19,"nan",0.5,"3",8.76,0.08,3.84,2.72,8,88.4375,0.41
"NGC 2141","nan","nan","nan","nan","nan","nan",-0.14,0.02,2.0,"3,4",12.05,0.15,2.19,0.82,9,90.72917,10.44667
"NGC 2158","nan","nan","nan",-0.32,0.08,11.0,-0.14,0.14,2.0,"2,3",12.37,0.58,1.67,0.45,9,91.85417,24.09667
"NGC 2168","nan","nan","nan",-0.21,0.1,9.0,-0.17,0.01,2.0,"1,2",8.85,0.12,0.1,0.04,16,92.225,24.33333
"NGC 2194",-0.09,0.0,2.0,0.08,0.08,6.0,"nan","nan","nan","nan",10.8,0.43,0.6,0.25,6,93.442,12.818
"NGC 2204","nan","nan","nan",-0.24,0.08,11.0,-0.24,0.14,2.0,"2,3",11.05,0.45,1.85,0.52,10,93.8875,-18.665
"NGC 2232","nan","nan","nan","nan","nan","nan",0.11,"nan",1.5,"1",8.29,0.02,0.04,0.02,9,96.8125,-4.75833
"NGC 2243","nan","nan","nan",-0.5,0.08,21.0,-0.51,0.11,4.0,"2,3,5,6",10.51,0.22,3.23,1.71,10,97.39167,-31.28333
"NGC 2251",-0.09,"nan",1.0,"nan","nan","nan",-0.08,"nan",0.5,"2",9.26,0.11,0.25,0.14,6,98.65833,8.36667
"NGC 2264",-0.13,"nan",1.0,"nan","nan","nan","nan","nan","nan","nan",8.66,0.13,0.01,0.01,16,100.24167,9.895
"NGC 2266",-0.44,"nan",1.0,"nan","nan","nan",-0.38,"nan",0.5,"4",11.11,0.29,0.89,0.35,12,100.834,26.985
"NGC 2287",-0.11,0.01,2.0,"nan","nan","nan",-0.11,0.09,3.0,"1,2,5",8.45,0.03,0.17,0.09,11,101.50417,-20.75667
"NGC 2301","nan","nan","nan","nan","nan","nan",0.05,0.01,1.5,"2,5",8.64,0.18,0.14,0.08,11,102.9375,0.46
"NGC 2324",-0.22,0.07,2.0,"nan","nan","nan",-0.08,0.21,2.5,"1,3",11.2,0.36,0.54,0.26,8,106.02917,1.045
"NGC 2335",-0.18,"nan",1.0,"nan","nan","nan",-0.03,"nan",0.5,"2",9.0,0.2,0.15,0.03,6,106.70417,-10.02833
"NGC 2343","nan","nan","nan","nan","nan","nan",0.03,"nan",1.5,"1",8.72,0.07,0.1,0.06,8,107.025,-10.61667
"NGC 2354",-0.18,0.02,2.0,"nan","nan","nan",-0.2,"nan",1.0,"2",10.33,0.39,0.2,0.14,4,108.54167,-25.69
"NGC 2355",-0.05,0.08,3.0,-0.08,0.08,5.0,"nan","nan","nan","nan",9.87,0.19,0.81,0.14,14,109.24583,13.75
"NGC 2360",-0.03,0.06,9.0,"nan","nan","nan",-0.05,0.0,1.5,"2,3",8.96,0.29,1.1,0.61,6,109.42917,-15.64167
"NGC 2420",-0.05,0.02,3.0,-0.21,0.09,5.0,-0.32,0.1,4.0,"2,3,5,6",10.26,0.34,2.34,0.68,10,114.59583,21.57333
"NGC 2422","nan","nan","nan","nan","nan","nan",0.09,0.03,2.5,"1,5",8.3,0.02,0.1,0.04,11,114.14583,-14.48333
"NGC 2423",0.08,0.05,3.0,"nan","nan","nan",0.07,0.03,2.5,"1,2",8.49,0.06,0.79,0.32,9,114.275,-13.87167
"NGC 2425","nan","nan","nan",-0.15,0.09,4.0,"nan","nan","nan","nan",10.76,0.39,2.21,0.03,3,114.562,-14.88
"NGC 2437","nan","nan","nan","nan","nan","nan",-0.07,"nan",0.5,"2",9.01,0.1,0.23,0.05,8,115.44167,-14.81
"NGC 2447",-0.05,0.01,3.0,"nan","nan","nan",-0.02,0.03,2.5,"1,2",8.57,0.02,0.41,0.15,9,116.125,-23.85667
"NGC 2451A","nan","nan","nan","nan","nan","nan",-0.08,"nan",1.5,"1",8.06,0.0,0.05,0.01,5,115.8,-38.4
"NGC 2451B","nan","nan","nan","nan","nan","nan",0.0,"nan",1.5,"1",8.11,0.01,0.05,0.01,4,116.1125,-37.66667
"NGC 2477",0.07,0.03,4.0,"nan","nan","nan",0.13,"nan",1.0,"3",8.45,0.07,0.85,0.2,16,118.04167,-38.53
"NGC 2482",-0.07,"nan",1.0,"nan","nan","nan",0.1,"nan",0.5,"2",8.58,0.19,0.37,0.07,5,118.8,-24.25833
"NGC 2489","nan","nan","nan","nan","nan","nan",0.05,0.02,2.0,"1,2",8.98,0.57,0.2,0.16,11,119.0625,-30.06333
"NGC 2506",-0.23,0.05,5.0,"nan","nan","nan",-0.3,0.07,3.5,"1,2,3",10.38,0.19,1.63,0.43,20,120.00417,-10.77
"NGC 2516",0.05,0.11,2.0,"nan","nan","nan",0.04,0.03,3.0,"1,2,5",7.98,0.0,0.13,0.06,16,119.51667,-60.75333
